network_id,policy,k,protected_fraction,selected,worst_target_mae,oracle_mae,regret,independent_realized_outcomes
chmi_botic,simple_risk_minimax,4,0.8,0-203-1-200600|0-203-1-200590|0-203-1-200480|0-203-1-200550,1.0866052857939814,1.0866052857939814,0.0,True
chmi_botic,greedy_mutual_information,4,0.8,0-203-1-200480|0-203-1-200590|0-203-1-200550|0-203-1-200580,1.230470262954592,1.0866052857939814,0.14386497716061064,True
chmi_botic,qr_pivot,4,0.8,0-203-1-200600|0-203-1-200590|0-203-1-200480|0-203-1-200550,1.0866052857939814,1.0866052857939814,0.0,True
chmi_botic,distance_even,4,0.8,0-203-1-200480|0-203-1-200550|0-203-1-200590|0-203-1-200600,1.0866052857939814,1.0866052857939814,0.0,True
chmi_botic,oracle,4,0.8,0-203-1-200480|0-203-1-200550|0-203-1-200590|0-203-1-200600,1.0866052857939814,1.0866052857939814,0.0,True
chmi_botic,random,4,0.8,random_ensemble,1.2726140161855777,1.0866052857939814,0.18600873039159627,True
chmi_jizera,simple_risk_minimax,1,0.2,0-203-1-091000,1.6100795273941828,1.6100795273941828,0.0,True
chmi_jizera,greedy_mutual_information,1,0.2,0-203-1-084500,1.6863470177550823,1.6100795273941828,0.07626749036089953,True
chmi_jizera,qr_pivot,1,0.2,0-203-1-101800,1.6644100962882393,1.6100795273941828,0.05433056889405652,True
chmi_jizera,distance_even,1,0.2,0-203-1-084500,1.6863470177550823,1.6100795273941828,0.07626749036089953,True
chmi_jizera,oracle,1,0.2,0-203-1-091000,1.6100795273941828,1.6100795273941828,0.0,True
chmi_jizera,random,1,0.2,random_ensemble,1.6615013805642322,1.6100795273941828,0.051421853170049436,True
chmi_jizera,simple_risk_minimax,2,0.4,0-203-1-091000|0-203-1-101800,1.3836802874600065,1.3836802874600065,0.0,True
chmi_jizera,greedy_mutual_information,2,0.4,0-203-1-084500|0-203-1-099900,1.4292031266361662,1.3836802874600065,0.045522839176159735,True
chmi_jizera,qr_pivot,2,0.4,0-203-1-101800|0-203-1-084500,1.3836802874600065,1.3836802874600065,0.0,True
chmi_jizera,distance_even,2,0.4,0-203-1-084500|0-203-1-101800,1.3836802874600065,1.3836802874600065,0.0,True
chmi_jizera,oracle,2,0.4,0-203-1-084500|0-203-1-101800,1.3836802874600065,1.3836802874600065,0.0,True
chmi_jizera,random,2,0.4,random_ensemble,1.521350669285157,1.3836802874600065,0.13767038182515057,True
chmi_jizera,simple_risk_minimax,3,0.6,0-203-1-091000|0-203-1-101800|0-203-1-098000,1.3279657999291188,1.3279657999291188,0.0,True
chmi_jizera,greedy_mutual_information,3,0.6,0-203-1-084500|0-203-1-099900|0-203-1-098000,1.4292031266361662,1.3279657999291188,0.10123732670704744,True
chmi_jizera,qr_pivot,3,0.6,0-203-1-101800|0-203-1-084500|0-203-1-098000,1.3279657999291188,1.3279657999291188,0.0,True
chmi_jizera,distance_even,3,0.6,0-203-1-084500|0-203-1-098000|0-203-1-101800,1.3279657999291188,1.3279657999291188,0.0,True
chmi_jizera,oracle,3,0.6,0-203-1-084500|0-203-1-098000|0-203-1-101800,1.3279657999291188,1.3279657999291188,0.0,True
chmi_jizera,random,3,0.6,random_ensemble,1.4367386638901822,1.3279657999291188,0.10877286396106345,True
chmi_jizera,simple_risk_minimax,4,0.8,0-203-1-091000|0-203-1-101800|0-203-1-098000|0-203-1-084500,1.3279657999291188,1.2788010889527874,0.04916471097633135,True
chmi_jizera,greedy_mutual_information,4,0.8,0-203-1-084500|0-203-1-099900|0-203-1-098000|0-203-1-091000,1.4292031266361662,1.2788010889527874,0.1504020376833788,True
chmi_jizera,qr_pivot,4,0.8,0-203-1-101800|0-203-1-084500|0-203-1-098000|0-203-1-091000,1.3279657999291188,1.2788010889527874,0.04916471097633135,True
chmi_jizera,distance_even,4,0.8,0-203-1-084500|0-203-1-091000|0-203-1-099900|0-203-1-101800,1.3836802874600065,1.2788010889527874,0.10487919850721905,True
chmi_jizera,oracle,4,0.8,0-203-1-084500|0-203-1-098000|0-203-1-099900|0-203-1-101800,1.2788010889527874,1.2788010889527874,0.0,True
chmi_jizera,random,4,0.8,random_ensemble,1.3396845745021044,1.2788010889527874,0.060883485549316996,True
chmi_labe,simple_risk_minimax,1,0.16666666666666666,0-203-1-245000,1.7526294345069098,1.625365660922542,0.1272637735843678,True
chmi_labe,greedy_mutual_information,1,0.16666666666666666,0-203-1-004200,1.7581473025935483,1.625365660922542,0.13278164167100637,True
chmi_labe,qr_pivot,1,0.16666666666666666,0-203-1-245000,1.7526294345069098,1.625365660922542,0.1272637735843678,True
chmi_labe,distance_even,1,0.16666666666666666,0-203-1-004200,1.7581473025935483,1.625365660922542,0.13278164167100637,True
chmi_labe,oracle,1,0.16666666666666666,0-203-1-042000,1.625365660922542,1.625365660922542,0.0,True
chmi_labe,random,1,0.16666666666666666,random_ensemble,1.7464111405724454,1.625365660922542,0.12104547964990342,True
chmi_labe,simple_risk_minimax,2,0.3333333333333333,0-203-1-245000|0-203-1-104400,1.7526294345069098,1.5433325698980929,0.2092968646088169,True
chmi_labe,greedy_mutual_information,2,0.3333333333333333,0-203-1-004200|0-203-1-104400,1.7581473025935483,1.5433325698980929,0.21481473269545548,True
chmi_labe,qr_pivot,2,0.3333333333333333,0-203-1-245000|0-203-1-104400,1.7526294345069098,1.5433325698980929,0.2092968646088169,True
chmi_labe,distance_even,2,0.3333333333333333,0-203-1-004200|0-203-1-245000,1.7526294345069098,1.5433325698980929,0.2092968646088169,True
chmi_labe,oracle,2,0.3333333333333333,0-203-1-042000|0-203-1-104400,1.5433325698980929,1.5433325698980929,0.0,True
chmi_labe,random,2,0.3333333333333333,random_ensemble,1.725620980523389,1.5433325698980929,0.18228841062529622,True
chmi_labe,simple_risk_minimax,3,0.5,0-203-1-245000|0-203-1-104400|0-203-1-042000,1.424020403589617,1.424020403589617,0.0,True
chmi_labe,greedy_mutual_information,3,0.5,0-203-1-004200|0-203-1-104400|0-203-1-042000,1.5104807484030587,1.424020403589617,0.08646034481344178,True
chmi_labe,qr_pivot,3,0.5,0-203-1-245000|0-203-1-104400|0-203-1-042000,1.424020403589617,1.424020403589617,0.0,True
chmi_labe,distance_even,3,0.5,0-203-1-004200|0-203-1-104400|0-203-1-245000,1.7526294345069098,1.424020403589617,0.3286090309172929,True
chmi_labe,oracle,3,0.5,0-203-1-042000|0-203-1-104400|0-203-1-245000,1.424020403589617,1.424020403589617,0.0,True
chmi_labe,random,3,0.5,random_ensemble,1.6653321890669348,1.424020403589617,0.2413117854773179,True
chmi_labe,simple_risk_minimax,4,0.6666666666666666,0-203-1-245000|0-203-1-104400|0-203-1-042000|0-203-1-004200,1.424020403589617,1.3673053880280863,0.05671501556153058,True
chmi_labe,greedy_mutual_information,4,0.6666666666666666,0-203-1-004200|0-203-1-104400|0-203-1-042000|0-203-1-204000,1.5055743220023314,1.3673053880280863,0.1382689339742451,True
chmi_labe,qr_pivot,4,0.6666666666666666,0-203-1-245000|0-203-1-104400|0-203-1-042000|0-203-1-004200,1.424020403589617,1.3673053880280863,0.05671501556153058,True
chmi_labe,distance_even,4,0.6666666666666666,0-203-1-004200|0-203-1-104400|0-203-1-204000|0-203-1-245000,1.7526294345069098,1.3673053880280863,0.38532404647882346,True
chmi_labe,oracle,4,0.6666666666666666,0-203-1-042000|0-203-1-104400|0-203-1-204000|0-203-1-240000,1.3673053880280863,1.3673053880280863,0.0,True
chmi_labe,random,4,0.6666666666666666,random_ensemble,1.6081976324810676,1.3673053880280863,0.2408922444529813,True
chmi_labe,simple_risk_minimax,5,0.8333333333333334,0-203-1-245000|0-203-1-104400|0-203-1-042000|0-203-1-004200|0-203-1-204000,1.3946384534309808,1.352300783770323,0.042337669660657884,True
chmi_labe,greedy_mutual_information,5,0.8333333333333334,0-203-1-004200|0-203-1-104400|0-203-1-042000|0-203-1-204000|0-203-1-240000,1.352300783770323,1.352300783770323,0.0,True
chmi_labe,qr_pivot,5,0.8333333333333334,0-203-1-245000|0-203-1-104400|0-203-1-042000|0-203-1-004200|0-203-1-204000,1.3946384534309808,1.352300783770323,0.042337669660657884,True
chmi_labe,distance_even,5,0.8333333333333334,0-203-1-004200|0-203-1-042000|0-203-1-104400|0-203-1-240000|0-203-1-245000,1.424020403589617,1.352300783770323,0.07171961981929398,True
chmi_labe,oracle,5,0.8333333333333334,0-203-1-004200|0-203-1-042000|0-203-1-104400|0-203-1-204000|0-203-1-240000,1.352300783770323,1.352300783770323,0.0,True
chmi_labe,random,5,0.8333333333333334,random_ensemble,1.45971345458834,1.352300783770323,0.10741267081801698,True
chmi_morava,simple_risk_minimax,1,0.16666666666666666,0-203-1-413000,1.9214620902001847,1.8600632950116385,0.061398795188546185,True
chmi_morava,greedy_mutual_information,1,0.16666666666666666,0-203-1-345000,1.9110852483347531,1.8600632950116385,0.051021953323114655,True
chmi_morava,qr_pivot,1,0.16666666666666666,0-203-1-367000,1.9044409076414397,1.8600632950116385,0.04437761262980122,True
chmi_morava,distance_even,1,0.16666666666666666,0-203-1-345000,1.9110852483347531,1.8600632950116385,0.051021953323114655,True
chmi_morava,oracle,1,0.16666666666666666,0-203-1-403000,1.8600632950116385,1.8600632950116385,0.0,True
chmi_morava,random,1,0.16666666666666666,random_ensemble,1.9028451252516714,1.8600632950116385,0.0427818302400329,True
chmi_morava,simple_risk_minimax,2,0.3333333333333333,0-203-1-413000|0-203-1-403000,1.827189515751647,1.5475948368575492,0.2795946788940977,True
chmi_morava,greedy_mutual_information,2,0.3333333333333333,0-203-1-345000|0-203-1-403000,1.763934278801957,1.5475948368575492,0.2163394419444078,True
chmi_morava,qr_pivot,2,0.3333333333333333,0-203-1-367000|0-203-1-403000,1.5475948368575492,1.5475948368575492,0.0,True
chmi_morava,distance_even,2,0.3333333333333333,0-203-1-345000|0-203-1-421500,1.9222531606938105,1.5475948368575492,0.3746583238362613,True
chmi_morava,oracle,2,0.3333333333333333,0-203-1-367000|0-203-1-403000,1.5475948368575492,1.5475948368575492,0.0,True
chmi_morava,random,2,0.3333333333333333,random_ensemble,1.8818765746887718,1.5475948368575492,0.3342817378312226,True
chmi_morava,simple_risk_minimax,3,0.5,0-203-1-413000|0-203-1-403000|0-203-1-355000,1.5762290469356084,1.5475948368575492,0.02863421007805922,True
chmi_morava,greedy_mutual_information,3,0.5,0-203-1-345000|0-203-1-403000|0-203-1-421500,1.892853552314584,1.5475948368575492,0.3452587154570348,True
chmi_morava,qr_pivot,3,0.5,0-203-1-367000|0-203-1-403000|0-203-1-421500,1.892853552314584,1.5475948368575492,0.3452587154570348,True
chmi_morava,distance_even,3,0.5,0-203-1-345000|0-203-1-367000|0-203-1-421500,1.9044409076414397,1.5475948368575492,0.3568460707838905,True
chmi_morava,oracle,3,0.5,0-203-1-345000|0-203-1-367000|0-203-1-403000,1.5475948368575492,1.5475948368575492,0.0,True
chmi_morava,random,3,0.5,random_ensemble,1.784527071092013,1.5475948368575492,0.23693223423446375,True
chmi_morava,simple_risk_minimax,4,0.6666666666666666,0-203-1-413000|0-203-1-403000|0-203-1-355000|0-203-1-421500,1.3409278421725217,1.266875199027155,0.07405264314536675,True
chmi_morava,greedy_mutual_information,4,0.6666666666666666,0-203-1-345000|0-203-1-403000|0-203-1-421500|0-203-1-367000,1.892853552314584,1.266875199027155,0.625978353287429,True
chmi_morava,qr_pivot,4,0.6666666666666666,0-203-1-367000|0-203-1-403000|0-203-1-421500|0-203-1-345000,1.892853552314584,1.266875199027155,0.625978353287429,True
chmi_morava,distance_even,4,0.6666666666666666,0-203-1-345000|0-203-1-367000|0-203-1-403000|0-203-1-421500,1.892853552314584,1.266875199027155,0.625978353287429,True
chmi_morava,oracle,4,0.6666666666666666,0-203-1-367000|0-203-1-403000|0-203-1-413000|0-203-1-421500,1.266875199027155,1.266875199027155,0.0,True
chmi_morava,random,4,0.6666666666666666,random_ensemble,1.7031150183093708,1.266875199027155,0.4362398192822159,True
chmi_morava,simple_risk_minimax,5,0.8333333333333334,0-203-1-413000|0-203-1-403000|0-203-1-355000|0-203-1-421500|0-203-1-345000,1.3409278421725217,0.9814314733691021,0.3594963688034196,True
chmi_morava,greedy_mutual_information,5,0.8333333333333334,0-203-1-345000|0-203-1-403000|0-203-1-421500|0-203-1-367000|0-203-1-413000,1.266875199027155,0.9814314733691021,0.28544372565805287,True
chmi_morava,qr_pivot,5,0.8333333333333334,0-203-1-367000|0-203-1-403000|0-203-1-421500|0-203-1-345000|0-203-1-413000,1.266875199027155,0.9814314733691021,0.28544372565805287,True
chmi_morava,distance_even,5,0.8333333333333334,0-203-1-345000|0-203-1-355000|0-203-1-367000|0-203-1-413000|0-203-1-421500,1.9214620902001847,0.9814314733691021,0.9400306168310826,True
chmi_morava,oracle,5,0.8333333333333334,0-203-1-355000|0-203-1-367000|0-203-1-403000|0-203-1-413000|0-203-1-421500,0.9814314733691021,0.9814314733691021,0.0,True
chmi_morava,random,5,0.8333333333333334,random_ensemble,1.4772881861307372,0.9814314733691021,0.4958567127616351,True
chmi_sazava,simple_risk_minimax,1,0.125,0-203-1-158000,1.5966690417978562,1.5918913051481762,0.004777736649679953,True
chmi_sazava,greedy_mutual_information,1,0.125,0-203-1-154900,1.7007085608985926,1.5918913051481762,0.10881725575041634,True
chmi_sazava,qr_pivot,1,0.125,0-203-1-155800,1.5940011291183793,1.5918913051481762,0.002109823970203095,True
chmi_sazava,distance_even,1,0.125,0-203-1-154900,1.7007085608985926,1.5918913051481762,0.10881725575041634,True
chmi_sazava,oracle,1,0.125,0-203-1-167200,1.5918913051481762,1.5918913051481762,0.0,True
chmi_sazava,random,1,0.125,random_ensemble,1.6326179879061948,1.5918913051481762,0.040726682758018606,True
chmi_sazava,simple_risk_minimax,2,0.25,0-203-1-158000|0-203-1-154900,1.5966690417978562,1.5357797204717927,0.060889321326063506,True
chmi_sazava,greedy_mutual_information,2,0.25,0-203-1-154900|0-203-1-165000,1.7096621747131562,1.5357797204717927,0.1738824542413635,True
chmi_sazava,qr_pivot,2,0.25,0-203-1-155800|0-203-1-165000,1.5357797204717927,1.5357797204717927,0.0,True
chmi_sazava,distance_even,2,0.25,0-203-1-154900|0-203-1-167200,1.5918913051481762,1.5357797204717927,0.05611158467638355,True
chmi_sazava,oracle,2,0.25,0-203-1-155800|0-203-1-165000,1.5357797204717927,1.5357797204717927,0.0,True
chmi_sazava,random,2,0.25,random_ensemble,1.606406448018926,1.5357797204717927,0.07062672754713328,True
chmi_sazava,simple_risk_minimax,3,0.375,0-203-1-158000|0-203-1-154900|0-203-1-165000,1.5966690417978562,1.5010485417626624,0.09562050003519373,True
chmi_sazava,greedy_mutual_information,3,0.375,0-203-1-154900|0-203-1-165000|0-203-1-161000,1.615015604014944,1.5010485417626624,0.11396706225228148,True
chmi_sazava,qr_pivot,3,0.375,0-203-1-155800|0-203-1-165000|0-203-1-154900,1.5357797204717927,1.5010485417626624,0.03473117870913023,True
chmi_sazava,distance_even,3,0.375,0-203-1-154900|0-203-1-159000|0-203-1-167200,1.5918913051481762,1.5010485417626624,0.09084276338551378,True
chmi_sazava,oracle,3,0.375,0-203-1-155000|0-203-1-165000|0-203-1-167200,1.5010485417626624,1.5010485417626624,0.0,True
chmi_sazava,random,3,0.375,random_ensemble,1.5916607092060655,1.5010485417626624,0.09061216744340306,True
chmi_sazava,simple_risk_minimax,4,0.5,0-203-1-158000|0-203-1-154900|0-203-1-165000|0-203-1-155800,1.5357797204717927,1.3959549998236451,0.13982472064814755,True
chmi_sazava,greedy_mutual_information,4,0.5,0-203-1-154900|0-203-1-165000|0-203-1-161000|0-203-1-159000,1.615015604014944,1.3959549998236451,0.2190606041912988,True
chmi_sazava,qr_pivot,4,0.5,0-203-1-155800|0-203-1-165000|0-203-1-154900|0-203-1-161000,1.615015604014944,1.3959549998236451,0.2190606041912988,True
chmi_sazava,distance_even,4,0.5,0-203-1-154900|0-203-1-155800|0-203-1-161000|0-203-1-167200,1.5918913051481762,1.3959549998236451,0.1959363053245311,True
chmi_sazava,oracle,4,0.5,0-203-1-155000|0-203-1-158000|0-203-1-165000|0-203-1-167200,1.3959549998236451,1.3959549998236451,0.0,True
chmi_sazava,random,4,0.5,random_ensemble,1.5729014972049307,1.3959549998236451,0.17694649738128554,True
chmi_sazava,simple_risk_minimax,5,0.625,0-203-1-158000|0-203-1-154900|0-203-1-165000|0-203-1-155800|0-203-1-161000,1.615015604014944,1.3311794087471205,0.28383619526782344,True
chmi_sazava,greedy_mutual_information,5,0.625,0-203-1-154900|0-203-1-165000|0-203-1-161000|0-203-1-159000|0-203-1-158000,1.615015604014944,1.3311794087471205,0.28383619526782344,True
chmi_sazava,qr_pivot,5,0.625,0-203-1-155800|0-203-1-165000|0-203-1-154900|0-203-1-161000|0-203-1-159000,1.615015604014944,1.3311794087471205,0.28383619526782344,True
chmi_sazava,distance_even,5,0.625,0-203-1-154900|0-203-1-155800|0-203-1-159000|0-203-1-161000|0-203-1-167200,1.5918913051481762,1.3311794087471205,0.26071189640105574,True
chmi_sazava,oracle,5,0.625,0-203-1-154900|0-203-1-155800|0-203-1-158000|0-203-1-165000|0-203-1-167200,1.3311794087471205,1.3311794087471205,0.0,True
chmi_sazava,random,5,0.625,random_ensemble,1.5518946783146794,1.3311794087471205,0.22071526956755894,True
chmi_sazava,simple_risk_minimax,6,0.75,0-203-1-158000|0-203-1-154900|0-203-1-165000|0-203-1-155800|0-203-1-161000|0-203-1-159000,1.615015604014944,1.305686335749837,0.309329268265107,True
chmi_sazava,greedy_mutual_information,6,0.75,0-203-1-154900|0-203-1-165000|0-203-1-161000|0-203-1-159000|0-203-1-158000|0-203-1-167200,1.443877270977834,1.305686335749837,0.13819093522799708,True
chmi_sazava,qr_pivot,6,0.75,0-203-1-155800|0-203-1-165000|0-203-1-154900|0-203-1-161000|0-203-1-159000|0-203-1-158000,1.615015604014944,1.305686335749837,0.309329268265107,True
chmi_sazava,distance_even,6,0.75,0-203-1-154900|0-203-1-155000|0-203-1-158000|0-203-1-159000|0-203-1-165000|0-203-1-167200,1.305686335749837,1.305686335749837,0.0,True
chmi_sazava,oracle,6,0.75,0-203-1-154900|0-203-1-155000|0-203-1-158000|0-203-1-159000|0-203-1-165000|0-203-1-167200,1.305686335749837,1.305686335749837,0.0,True
chmi_sazava,random,6,0.75,random_ensemble,1.5034414686279234,1.305686335749837,0.19775513287808644,True
chmi_sazava,simple_risk_minimax,7,0.875,0-203-1-158000|0-203-1-154900|0-203-1-165000|0-203-1-155800|0-203-1-161000|0-203-1-159000|0-203-1-167200,1.0456584774636504,1.0456584774636504,0.0,True
chmi_sazava,greedy_mutual_information,7,0.875,0-203-1-154900|0-203-1-165000|0-203-1-161000|0-203-1-159000|0-203-1-158000|0-203-1-167200|0-203-1-155000,1.2898457977600852,1.0456584774636504,0.24418732029643486,True
chmi_sazava,qr_pivot,7,0.875,0-203-1-155800|0-203-1-165000|0-203-1-154900|0-203-1-161000|0-203-1-159000|0-203-1-158000|0-203-1-167200,1.0456584774636504,1.0456584774636504,0.0,True
chmi_sazava,distance_even,7,0.875,0-203-1-154900|0-203-1-155000|0-203-1-155800|0-203-1-159000|0-203-1-161000|0-203-1-165000|0-203-1-167200,1.5069604124734708,1.0456584774636504,0.4613019350098204,True
chmi_sazava,oracle,7,0.875,0-203-1-154900|0-203-1-155800|0-203-1-158000|0-203-1-159000|0-203-1-161000|0-203-1-165000|0-203-1-167200,1.0456584774636504,1.0456584774636504,0.0,True
chmi_sazava,random,7,0.875,random_ensemble,1.3925205765374242,1.0456584774636504,0.34686209907377386,True
chmi_vltava,simple_risk_minimax,1,0.16666666666666666,0-203-1-111000,1.9195482717337398,1.8892168577646093,0.030331413969130416,True
chmi_vltava,greedy_mutual_information,1,0.16666666666666666,0-203-1-108100,1.9525489946604946,1.8892168577646093,0.06333213689588524,True
chmi_vltava,qr_pivot,1,0.16666666666666666,0-203-1-111000,1.9195482717337398,1.8892168577646093,0.030331413969130416,True
chmi_vltava,distance_even,1,0.16666666666666666,0-203-1-108100,1.9525489946604946,1.8892168577646093,0.06333213689588524,True
chmi_vltava,oracle,1,0.16666666666666666,0-203-1-115100,1.8892168577646093,1.8892168577646093,0.0,True
chmi_vltava,random,1,0.16666666666666666,random_ensemble,1.9358140888925428,1.8892168577646093,0.04659723112793346,True
chmi_vltava,simple_risk_minimax,2,0.3333333333333333,0-203-1-111000|0-203-1-200100,1.9195482717337398,1.4810665589898309,0.4384817127439089,True
chmi_vltava,greedy_mutual_information,2,0.3333333333333333,0-203-1-108100|0-203-1-200100,1.9525489946604946,1.4810665589898309,0.4714824356706637,True
chmi_vltava,qr_pivot,2,0.3333333333333333,0-203-1-111000|0-203-1-200100,1.9195482717337398,1.4810665589898309,0.4384817127439089,True
chmi_vltava,distance_even,2,0.3333333333333333,0-203-1-108100|0-203-1-203000,1.9152411447396491,1.4810665589898309,0.43417458574981826,True
chmi_vltava,oracle,2,0.3333333333333333,0-203-1-108100|0-203-1-115100,1.4810665589898309,1.4810665589898309,0.0,True
chmi_vltava,random,2,0.3333333333333333,random_ensemble,1.8546120634710845,1.4810665589898309,0.3735455044812537,True
