network_id,target_station,donor_station,gap_length,realized_mae,n_placements
usgs2_huc2_12,08065350,08180850,90,1.727856875843732,20
usgs2_huc2_12,08065350,08211200,90,1.82411280209378,20
usgs2_huc2_12,08065350,08211503,90,1.9080588232473066,20
usgs2_huc2_12,08070200,08065350,90,2.483652366891652,20
usgs2_huc2_12,08070200,08180850,90,2.234160991047346,20
usgs2_huc2_12,08070200,08211200,90,2.2662121024659956,20
usgs2_huc2_12,08070200,08211503,90,2.4325273529262494,20
usgs2_huc2_12,08180850,08065350,90,1.9581243954190295,20
usgs2_huc2_12,08180850,08070200,90,1.6364445970182633,20
usgs2_huc2_12,08180850,08211200,90,1.558579385736077,20
usgs2_huc2_12,08180850,08211503,90,1.8198041381548058,20
usgs2_huc2_12,08211200,08065350,90,1.9392268370969723,20
usgs2_huc2_12,08211200,08070200,90,1.593957942293748,20
usgs2_huc2_12,08211200,08180850,90,1.4599027685400763,20
usgs2_huc2_12,08211200,08211503,90,1.6291407500074253,20
usgs2_huc2_12,08211503,08065350,90,2.0741209120502386,20
usgs2_huc2_12,08211503,08070200,90,1.8883799187972041,20
usgs2_huc2_12,08211503,08180850,90,1.8463317270180142,20
usgs2_huc2_12,08211503,08211200,90,1.5292652280260124,20
usgs2_huc6_031300,023432415,02343805,90,1.0276161746688885,20
usgs2_huc6_031300,023432415,02344630,90,1.1718784482467648,20
usgs2_huc6_031300,023432415,02344673,90,1.1831966228842379,20
usgs2_huc6_031300,023432415,02357150,90,1.2139567275624994,20
usgs2_huc6_031300,023432415,02359170,90,1.1161537743770558,20
usgs2_huc6_031300,02343805,023432415,90,0.8969317953719109,20
usgs2_huc6_031300,02343805,02344630,90,1.002947560028272,20
usgs2_huc6_031300,02343805,02344673,90,1.0104125945163236,20
usgs2_huc6_031300,02343805,02357150,90,1.0342830914835648,20
usgs2_huc6_031300,02343805,02359170,90,0.8893001250327053,20
usgs2_huc6_031300,02344630,023432415,90,1.6658492004402459,20
usgs2_huc6_031300,02344630,02343805,90,1.6409777324959953,20
usgs2_huc6_031300,02344630,02344673,90,1.5613924359053137,20
usgs2_huc6_031300,02344630,02357150,90,1.6256302053581682,20
usgs2_huc6_031300,02344630,02359170,90,1.6070570188157394,20
usgs2_huc6_031300,02344673,023432415,90,1.8714883063983887,20
usgs2_huc6_031300,02344673,02343805,90,1.812989125450871,20
usgs2_huc6_031300,02344673,02344630,90,1.6226364153174746,20
usgs2_huc6_031300,02344673,02357150,90,1.7137510513955871,20
usgs2_huc6_031300,02344673,02359170,90,1.6931301630043116,20
usgs2_huc6_031300,02357150,023432415,90,1.5371367620347167,20
usgs2_huc6_031300,02357150,02343805,90,1.5312254568056318,20
usgs2_huc6_031300,02357150,02344630,90,1.5302666701315084,20
