network_id,panel,seed,epoch,train_loss,validation_loss
arso_drava,first_confirmation,11,54,0.10550715277592342,0.17825870215892792
arso_drava,first_confirmation,11,55,0.1121846263607343,0.17985689640045166
arso_drava,first_confirmation,11,56,0.10762021938959758,0.1857418715953827
arso_drava,first_confirmation,11,57,0.10599118222792943,0.1850937455892563
arso_drava,first_confirmation,11,58,0.10635208338499069,0.1850758045911789
arso_drava,first_confirmation,11,59,0.10100403676430385,0.18388676643371582
arso_drava,first_confirmation,11,60,0.10330850134293239,0.17947106063365936
arso_drava,first_confirmation,11,61,0.10031187782684962,0.17556723952293396
arso_drava,first_confirmation,11,62,0.10712432364622752,0.17160239815711975
arso_drava,first_confirmation,11,63,0.1122426117459933,0.1684384047985077
arso_drava,first_confirmation,11,64,0.10394307225942612,0.16560335457324982
arso_drava,first_confirmation,11,65,0.10403572022914886,0.1643780916929245
arso_drava,first_confirmation,11,66,0.09648870925108592,0.16286443173885345
arso_drava,first_confirmation,11,67,0.10642510155836742,0.1625993549823761
arso_drava,first_confirmation,11,68,0.09432490666707356,0.16163620352745056
arso_drava,first_confirmation,11,69,0.09489577511946361,0.15887762606143951
arso_drava,first_confirmation,11,70,0.09574874738852183,0.15799804031848907
arso_drava,first_confirmation,11,71,0.1012504870692889,0.15851108729839325
arso_drava,first_confirmation,11,72,0.09764166921377182,0.16025018692016602
arso_drava,first_confirmation,11,73,0.09493249903122584,0.15895633399486542
arso_drava,first_confirmation,11,74,0.09374186396598816,0.15504556894302368
arso_drava,first_confirmation,11,75,0.09156431754430135,0.1547248363494873
arso_drava,first_confirmation,11,76,0.0972087358434995,0.15570110082626343
arso_drava,first_confirmation,11,77,0.09779267261425655,0.1557687669992447
arso_drava,first_confirmation,11,78,0.09672293563683827,0.1506393700838089
arso_drava,first_confirmation,11,79,0.08991033583879471,0.14808714389801025
arso_drava,first_confirmation,11,80,0.09079694499572118,0.1514519453048706
arso_drava,first_confirmation,11,81,0.09184111406405766,0.1604810655117035
arso_drava,first_confirmation,11,82,0.09089015920956929,0.16441313922405243
arso_drava,first_confirmation,11,83,0.08429500460624695,0.16382132470607758
arso_drava,first_confirmation,11,84,0.09221967806418736,0.16258648037910461
arso_drava,first_confirmation,11,85,0.09482673555612564,0.1598864495754242
arso_drava,first_confirmation,11,86,0.09196876486142476,0.16039228439331055
arso_drava,first_confirmation,11,87,0.08919895440340042,0.1630001664161682
arso_drava,first_confirmation,11,88,0.08783136308193207,0.1619071364402771
arso_drava,first_confirmation,11,89,0.08516223231951396,0.15824709832668304
arso_drava,first_confirmation,11,90,0.08647839228312175,0.15764476358890533
