source_family,target_family,panel,granularity,n_units,unit_spearman,unit_p_value,n_networks,network_spearman,network_p_value,calibration_slope,calibration_intercept,n_units_used
xgboost_b_d,pchip_or_linear,first_confirmation,station_gap,673,0.8385915091077327,3.6198915449971315e-179,42,0.7219026010858116,6.83557798708151e-08,0.8536001339665438,0.6354851621831303,673
xgboost_b_d,pchip_or_linear,second_confirmation,station_gap,1446,0.6890682041032845,3.5398422154704385e-204,57,0.6424682395644284,7.144918889257583e-08,1.0008787099513707,0.7307798117045115,1446
xgboost_b_d,seasonal_boundary_ridge,development_validation,station_gap,640,0.6269995623768613,3.2279218238699134e-71,51,0.45592760180995473,0.0007730685143666543,0.45564910364498795,1.1607616199073891,640
xgboost_b_d,seasonal_boundary_ridge,first_confirmation,station_gap,673,0.8441251912469522,8.142453391228659e-184,42,0.7351916376306621,2.94424888784177e-08,0.7433249464513999,0.646025196227269,673
xgboost_b_d,donor_blup_ridge,development_validation,station_gap,640,0.8834621025686099,2.932631871787152e-212,51,0.8518552036199094,2.287100801572555e-15,0.8098670646560941,0.3095572957438391,640
xgboost_b_d,donor_blup_ridge,first_confirmation,station_gap,673,0.9412062856235831,1.87593e-318,42,0.9374442913864356,6.23388543744215e-20,0.9122482139540518,0.14051829592685897,673
xgboost_b_d,xgboost_b_d,development_validation,station_gap,640,0.9439674382749959,2.336784991249683e-309,51,0.9137556561085972,8.389720051613455e-21,0.8791329782555887,0.09976188741491229,640
xgboost_b_d,xgboost_b_d,first_confirmation,station_gap,673,0.9604247146806484,0.0,42,0.9390649055992223,3.743879822783853e-20,0.8028369014268083,0.21078096382837852,673
xgboost_b_d,xgboost_b_d,second_confirmation,station_gap,125,0.7879828847659228,1.1211140792459206e-27,12,0.8531468531468532,0.00041811794041499725,1.099778531487066,-0.15655976683685163,125
xgboost_b_d,bilstm,first_confirmation,station_gap,117,0.3277060948013607,0.0003100539134265768,10,0.6727272727272726,0.0330412225454377,4.614565604173641,0.6651483238535999,117
xgboost_b_d,bilstm,second_confirmation,station_gap,36,0.3742599742599743,0.02452913469766856,4,0.7999999999999999,0.20000000000000007,5.247812852622123,-0.5651985770848666,36
xgboost_b_d,air2stream,second_confirmation,station_gap,89,0.17261563230947377,0.10574898685432257,8,0.2380952380952381,0.5701563208157683,0.054904998251517144,0.8213102659943077,89
bilstm,pchip_or_linear,first_confirmation,network,10,-0.04242424242424241,0.907363817812816,10,-0.04242424242424241,0.907363817812816,-0.004775282035820263,2.1827805186576974,10
bilstm,pchip_or_linear,second_confirmation,network,2,,,2,,,,,2
bilstm,seasonal_boundary_ridge,first_confirmation,network,10,0.04242424242424241,0.907363817812816,10,0.04242424242424241,0.907363817812816,-0.001976006567235871,2.0193263906561354,10
bilstm,donor_blup_ridge,first_confirmation,network,10,-0.19999999999999998,0.5795840000000001,10,-0.19999999999999998,0.5795840000000001,-0.020481520276567897,1.5079725255080032,10
bilstm,xgboost_b_d,first_confirmation,network,10,-0.23636363636363633,0.5108853175152002,10,-0.23636363636363633,0.5108853175152002,-0.016492076254849695,1.3048144353236422,10
bilstm,xgboost_b_d,second_confirmation,network,2,,,2,,,,,2
bilstm,bilstm,first_confirmation,network,10,0.28484848484848485,0.42503815489214547,10,0.28484848484848485,0.42503815489214547,0.3165193487662442,3.898499623251787,10
bilstm,bilstm,second_confirmation,network,2,,,2,,,,,2
bilstm,air2stream,second_confirmation,network,0,,,0,,,,,0
air2stream,pchip_or_linear,second_confirmation,station,14,-0.05054945054945055,0.8637420361792153,8,-0.28571428571428575,0.4927262450169573,-0.7229145393115944,2.4975993869331314,14
air2stream,xgboost_b_d,second_confirmation,station,14,0.16043956043956045,0.5837527526413409,8,0.09523809523809526,0.8225054302036114,-0.17480204073745553,1.5218771096730068,14
air2stream,bilstm,second_confirmation,station,0,,,0,,,,,0
air2stream,air2stream,second_confirmation,station,14,0.6263736263736264,0.016541935428871186,8,0.6428571428571429,0.08555889101267318,0.30303165107730157,0.5512713369912046,14
