network_id,station_id,gap_length,placement,gap_start,season,panel,model_family,mae_deg_c,linear_boundary_mae_deg_c
arso_drava,2150,30,3,2021-06-09,JJA,first_confirmation,pchip_or_linear,1.0752680696437737,0.7601075268817203
arso_drava,2150,30,3,2021-06-09,JJA,first_confirmation,seasonal_boundary_ridge,0.8147823874358675,0.7601075268817203
arso_drava,2150,30,3,2021-06-09,JJA,first_confirmation,donor_blup_ridge,0.6448221506521851,0.7601075268817203
arso_drava,2150,30,4,2021-12-02,DJF,first_confirmation,pchip_or_linear,0.6293031832457944,0.6087096774193548
arso_drava,2150,30,4,2021-12-02,DJF,first_confirmation,seasonal_boundary_ridge,0.5551586175571546,0.6087096774193548
arso_drava,2150,30,4,2021-12-02,DJF,first_confirmation,donor_blup_ridge,0.3961801027872052,0.6087096774193548
arso_drava,2150,90,0,2020-01-01,DJF,first_confirmation,pchip_or_linear,0.7836334377694116,0.8780952380952383
arso_drava,2150,90,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,0.7453116577109291,0.8780952380952383
arso_drava,2150,90,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,0.5197906880406883,0.8780952380952383
arso_drava,2150,90,1,2020-06-09,JJA,first_confirmation,pchip_or_linear,2.027234814501871,2.1186935286935293
arso_drava,2150,90,1,2020-06-09,JJA,first_confirmation,seasonal_boundary_ridge,1.8106094245581126,2.1186935286935293
arso_drava,2150,90,1,2020-06-09,JJA,first_confirmation,donor_blup_ridge,1.4124130244567537,2.1186935286935293
arso_drava,2150,90,2,2020-11-16,SON,first_confirmation,pchip_or_linear,1.3981908834366268,1.2656410256410258
arso_drava,2150,90,2,2020-11-16,SON,first_confirmation,seasonal_boundary_ridge,1.1580133186482824,1.2656410256410258
arso_drava,2150,90,2,2020-11-16,SON,first_confirmation,donor_blup_ridge,0.9078561167687281,1.2656410256410258
arso_drava,2150,90,3,2021-04-25,MAM,first_confirmation,pchip_or_linear,1.4850888170970182,1.0840170940170941
arso_drava,2150,90,3,2021-04-25,MAM,first_confirmation,seasonal_boundary_ridge,1.0437041625147265,1.0840170940170941
arso_drava,2150,90,3,2021-04-25,MAM,first_confirmation,donor_blup_ridge,0.805710756333579,1.0840170940170941
arso_drava,2150,90,4,2021-10-03,SON,first_confirmation,pchip_or_linear,2.7445383677852844,1.943943833943834
arso_drava,2150,90,4,2021-10-03,SON,first_confirmation,seasonal_boundary_ridge,1.8065591138427841,1.943943833943834
arso_drava,2150,90,4,2021-10-03,SON,first_confirmation,donor_blup_ridge,1.3342263176812337,1.943943833943834
arso_drava,2150,180,0,2020-01-01,DJF,first_confirmation,pchip_or_linear,1.8141515360170615,1.8155616942909767
arso_drava,2150,180,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,1.64010652943767,1.8155616942909767
arso_drava,2150,180,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,1.224913345456753,1.8155616942909767
arso_drava,2150,180,1,2020-05-17,MAM,first_confirmation,pchip_or_linear,5.310562057005108,4.26269183548189
arso_drava,2150,180,1,2020-05-17,MAM,first_confirmation,seasonal_boundary_ridge,3.7806770968305967,4.26269183548189
arso_drava,2150,180,1,2020-05-17,MAM,first_confirmation,donor_blup_ridge,3.0498346204784714,4.26269183548189
arso_drava,2150,180,2,2020-10-02,SON,first_confirmation,pchip_or_linear,4.035754145553762,4.905263965623082
arso_drava,2150,180,2,2020-10-02,SON,first_confirmation,seasonal_boundary_ridge,4.446280728126854,4.905263965623082
arso_drava,2150,180,2,2020-10-02,SON,first_confirmation,donor_blup_ridge,3.282626439035971,4.905263965623082
arso_drava,2150,180,3,2021-02-17,DJF,first_confirmation,pchip_or_linear,1.5108593764921687,1.1787661141804788
arso_drava,2150,180,3,2021-02-17,DJF,first_confirmation,seasonal_boundary_ridge,1.0698479795227098,1.1787661141804788
arso_drava,2150,180,3,2021-02-17,DJF,first_confirmation,donor_blup_ridge,0.8486987330557281,1.1787661141804788
arso_drava,2150,180,4,2021-07-05,JJA,first_confirmation,pchip_or_linear,1.5181198495934862,2.5405463474524246
arso_drava,2150,180,4,2021-07-05,JJA,first_confirmation,seasonal_boundary_ridge,2.246096537832135,2.5405463474524246
arso_drava,2150,180,4,2021-07-05,JJA,first_confirmation,donor_blup_ridge,1.759823282519045,2.5405463474524246
arso_drava,2160,7,0,2020-01-01,DJF,first_confirmation,pchip_or_linear,0.1879464285714286,0.13928571428571437
arso_drava,2160,7,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,0.2921571726619684,0.13928571428571437
arso_drava,2160,7,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,0.11412492309937601,0.13928571428571437
arso_drava,2160,7,1,2020-06-30,JJA,first_confirmation,pchip_or_linear,0.7180950299700299,0.7285714285714283
arso_drava,2160,7,1,2020-06-30,JJA,first_confirmation,seasonal_boundary_ridge,0.7022501101408716,0.7285714285714283
arso_drava,2160,7,1,2020-06-30,JJA,first_confirmation,donor_blup_ridge,0.7177661651049257,0.7285714285714283
arso_drava,2160,7,2,2020-12-28,DJF,first_confirmation,pchip_or_linear,0.3305803571428572,0.3285714285714284
arso_drava,2160,7,2,2020-12-28,DJF,first_confirmation,seasonal_boundary_ridge,0.44220085742069987,0.3285714285714284
arso_drava,2160,7,2,2020-12-28,DJF,first_confirmation,donor_blup_ridge,0.4930282862976201,0.3285714285714284
arso_drava,2160,7,3,2021-06-27,JJA,first_confirmation,pchip_or_linear,1.0428571428571434,1.042857142857143
arso_drava,2160,7,3,2021-06-27,JJA,first_confirmation,seasonal_boundary_ridge,0.9052273272833895,1.042857142857143
arso_drava,2160,7,3,2021-06-27,JJA,first_confirmation,donor_blup_ridge,0.8618439536543404,1.042857142857143
arso_drava,2160,7,4,2021-12-25,DJF,first_confirmation,pchip_or_linear,0.30677466863033853,0.30357142857142877
arso_drava,2160,7,4,2021-12-25,DJF,first_confirmation,seasonal_boundary_ridge,0.4356385649519278,0.30357142857142877
arso_drava,2160,7,4,2021-12-25,DJF,first_confirmation,donor_blup_ridge,0.6380907306578839,0.30357142857142877
arso_drava,2160,30,0,2020-01-01,DJF,first_confirmation,pchip_or_linear,0.8891789872324056,0.9666666666666667
arso_drava,2160,30,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,0.6996147666871171,0.9666666666666667
arso_drava,2160,30,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,0.5714997048759415,0.9666666666666667
arso_drava,2160,30,1,2020-06-24,JJA,first_confirmation,pchip_or_linear,0.790962312587236,0.8582795698924727
arso_drava,2160,30,1,2020-06-24,JJA,first_confirmation,seasonal_boundary_ridge,0.8054873961583925,0.8582795698924727
arso_drava,2160,30,1,2020-06-24,JJA,first_confirmation,donor_blup_ridge,0.7510161507531051,0.8582795698924727
arso_drava,2160,30,2,2020-12-16,DJF,first_confirmation,pchip_or_linear,1.7965546978361329,1.5618279569892475
arso_drava,2160,30,2,2020-12-16,DJF,first_confirmation,seasonal_boundary_ridge,1.7010145221842012,1.5618279569892475
arso_drava,2160,30,2,2020-12-16,DJF,first_confirmation,donor_blup_ridge,1.4185958329926558,1.5618279569892475
arso_drava,2160,30,3,2021-06-09,JJA,first_confirmation,pchip_or_linear,1.2682242091050246,0.9061290322580645
arso_drava,2160,30,3,2021-06-09,JJA,first_confirmation,seasonal_boundary_ridge,0.9657544848893759,0.9061290322580645
arso_drava,2160,30,3,2021-06-09,JJA,first_confirmation,donor_blup_ridge,0.8168419696637346,0.9061290322580645
arso_drava,2160,30,4,2021-12-02,DJF,first_confirmation,pchip_or_linear,0.788479385420737,0.6876344086021504
arso_drava,2160,30,4,2021-12-02,DJF,first_confirmation,seasonal_boundary_ridge,0.6276639701919434,0.6876344086021504
arso_drava,2160,30,4,2021-12-02,DJF,first_confirmation,donor_blup_ridge,0.504774167903767,0.6876344086021504
arso_drava,2160,90,0,2020-01-01,DJF,first_confirmation,pchip_or_linear,1.1674614955731386,0.9789377289377289
arso_drava,2160,90,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,0.8737696873693314,0.9789377289377289
arso_drava,2160,90,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,0.7721804293006787,0.9789377289377289
arso_drava,2160,90,1,2020-06-09,JJA,first_confirmation,pchip_or_linear,2.8816318825792298,2.8811965811965807
arso_drava,2160,90,1,2020-06-09,JJA,first_confirmation,seasonal_boundary_ridge,2.5623195449561504,2.8811965811965807
