station_id,variable,value,start_date,end_date,run_length
B1,P,0.0,2010-12-02,2011-02-08,69
B1,P,0.0,2011-02-12,2011-03-21,38
B1,P,0.0,2011-03-26,2011-04-11,17
B1,P,0.0,2011-04-13,2011-04-20,8
B1,P,0.0,2011-04-25,2011-05-01,7
B1,P,0.0,2011-05-04,2011-05-10,7
B1,P,0.0,2011-05-23,2011-05-29,7
B1,P,0.0,2011-08-23,2011-09-06,15
B1,P,0.0,2011-09-26,2011-10-02,7
B1,P,0.0,2011-10-06,2011-10-15,10
B1,P,0.0,2011-10-31,2012-03-24,146
B1,P,0.0,2012-03-28,2012-04-07,11
B1,P,0.0,2012-04-09,2012-04-17,9
B1,P,0.0,2012-04-28,2012-05-12,15
B1,P,0.0,2012-05-17,2012-05-27,11
B1,P,0.0,2012-09-22,2012-09-28,7
B1,P,0.0,2012-10-06,2013-03-18,164
B1,P,0.0,2013-03-20,2013-03-28,9
B1,P,0.0,2013-04-16,2013-04-23,8
B1,P,0.0,2013-05-25,2013-05-31,7
B1,P,0.0,2013-06-09,2013-06-21,13
B1,P,0.0,2013-08-13,2013-08-23,11
B1,P,0.0,2013-09-13,2013-09-19,7
B1,P,0.0,2013-10-15,2013-10-28,14
B1,P,0.0,2013-10-31,2014-03-28,149
B1,P,0.0,2014-04-01,2014-04-28,28
B1,P,0.0,2014-05-11,2014-05-20,10
B1,P,0.0,2014-05-22,2014-06-06,16
B1,P,0.0,2014-09-06,2014-09-19,14
B1,P,0.0,2014-10-05,2014-10-22,18
B1,P,0.0,2014-10-25,2015-02-26,125
B1,P,0.0,2015-02-28,2015-03-29,30
B1,P,0.0,2015-04-04,2015-04-13,10
B1,P,0.0,2015-04-27,2015-05-06,10
B1,P,0.0,2015-05-20,2015-05-28,9
B1,P,0.0,2015-05-30,2015-06-06,8
B1,P,0.0,2015-09-24,2015-10-08,15
B1,P,0.0,2015-10-13,2016-02-20,131
B1,P,0.0,2016-02-25,2016-03-08,13
B1,P,0.0,2016-03-11,2016-03-28,18
B1,P,0.0,2016-03-30,2016-04-06,8
B1,P,0.0,2016-05-02,2016-05-13,12
B1,P,0.0,2016-05-24,2016-05-31,8
B1,P,0.0,2016-08-07,2016-08-13,7
B1,P,0.0,2016-10-02,2016-10-15,14
B1,P,0.0,2016-10-18,2017-03-26,160
B1,P,0.0,2017-06-06,2017-06-14,9
B1,P,0.0,2017-08-20,2017-08-28,9
B1,P,0.0,2017-10-03,2017-10-20,18
B1,P,0.0,2017-11-02,2017-11-27,26
B1,P,0.0,2017-11-30,2018-03-02,93
B1,P,0.0,2018-03-12,2018-03-25,14
B1,P,0.0,2018-03-28,2018-04-04,8
B1,P,0.0,2018-04-07,2018-04-13,7
B1,P,0.0,2018-05-07,2018-05-13,7
B1,P,0.0,2018-05-15,2018-05-28,14
B1,P,0.0,2018-08-29,2018-09-05,8
B1,P,0.0,2018-10-14,2018-12-17,65
B1,P,0.0,2018-12-20,2019-02-09,52
B1,P,0.0,2019-02-11,2019-03-18,36
B1,P,0.0,2019-04-22,2019-04-28,7
B1,P,0.0,2019-05-13,2019-05-20,8
B1,P,0.0,2019-06-16,2019-06-22,7
B1,P,0.0,2019-10-24,2019-11-04,12
B1,P,0.0,2019-11-06,2019-11-16,11
B1,P,0.0,2019-11-20,2020-02-17,90
B1,P,0.0,2020-02-19,2020-03-28,39
B1,P,0.0,2020-03-30,2020-04-06,8
B1,P,0.0,2020-05-01,2020-05-12,12
B1,P,0.0,2020-06-05,2020-06-16,12
B1,P,0.0,2020-09-26,2020-10-05,10
B1,P,0.0,2020-10-08,2020-10-19,12
B1,P,0.0,2020-10-21,2020-11-29,40
B1,P,0.0,2020-12-01,2020-12-31,31
B1,T,2.4,2010-12-07,2010-12-13,7
B1,T,2.1,2011-12-19,2011-12-29,11
P3,DH,0.0,2008-10-24,2008-11-01,9
P3,P,0.0,2006-01-01,2006-02-15,46
P3,P,0.0,2006-02-25,2006-03-12,16
P3,P,0.0,2006-03-14,2006-04-08,26
P3,P,0.0,2006-04-10,2006-04-17,8
P3,P,0.0,2006-04-19,2006-04-27,9
P3,P,0.0,2006-04-30,2006-05-11,12
P3,P,0.0,2006-08-28,2006-09-04,8
P3,P,0.0,2006-10-13,2006-10-23,11
P3,P,0.0,2006-10-27,2006-11-04,9
P3,P,0.0,2006-11-13,2006-11-20,8
P3,P,0.0,2006-11-22,2006-12-17,26
P3,P,0.0,2006-12-21,2007-01-27,38
P3,P,0.0,2007-02-03,2007-02-13,11
P3,P,0.0,2007-02-16,2007-04-02,46
P3,P,0.0,2007-04-14,2007-04-21,8
P3,P,0.0,2007-09-30,2007-10-08,9
P3,P,0.0,2007-10-23,2007-11-02,11
P3,P,0.0,2007-11-28,2007-12-04,7
P3,P,0.0,2007-12-06,2008-01-25,51
P3,P,0.0,2008-02-02,2008-02-17,16
P3,P,0.0,2008-02-20,2008-02-27,8
P3,P,0.0,2008-03-14,2008-03-21,8
P3,P,0.0,2008-03-26,2008-04-23,29
P3,P,0.0,2008-08-18,2008-08-25,8
P3,P,0.0,2008-10-14,2008-10-23,10
P3,P,0.0,2008-11-08,2008-11-26,19
P3,P,0.0,2008-11-28,2008-12-29,32
P3,P,0.0,2009-01-03,2009-01-11,9
P3,P,0.0,2009-01-13,2009-01-20,8
P3,P,0.0,2009-01-25,2009-02-24,31
P3,P,0.0,2009-03-06,2009-03-30,25
P3,P,0.0,2009-04-21,2009-04-27,7
P3,P,0.0,2009-05-04,2009-05-16,13
P3,P,0.0,2009-10-06,2009-10-15,10
P3,P,0.0,2009-10-17,2009-11-19,34
P3,P,0.0,2009-11-22,2009-12-18,27
P3,P,0.0,2009-12-21,2010-03-26,96
P3,P,0.0,2010-04-02,2010-04-20,19
P3,P,0.0,2010-05-12,2010-05-21,10
P3,P,0.0,2010-06-07,2010-06-13,7
P3,P,0.0,2010-10-19,2010-10-26,8
P3,P,0.0,2010-11-28,2010-12-05,8
P3,P,0.0,2010-12-12,2011-01-15,35
P3,P,0.0,2011-01-20,2011-03-24,64
P3,P,0.0,2011-04-01,2011-04-16,16
P3,P,0.0,2011-05-04,2011-05-11,8
P3,P,0.0,2011-08-27,2011-09-02,7
P3,P,0.0,2011-10-21,2011-10-28,8
P3,P,0.0,2011-10-30,2011-11-05,7
P3,P,0.0,2011-11-09,2011-11-30,22
P3,P,0.0,2011-12-02,2011-12-15,14
P3,P,0.0,2011-12-17,2012-01-03,18
P3,P,0.0,2012-01-05,2012-01-12,8
P3,P,0.0,2012-01-14,2012-03-01,48
P3,P,0.0,2012-03-03,2012-03-30,28
P3,P,0.0,2012-04-01,2012-04-07,7
P3,P,0.0,2012-04-09,2012-04-20,12
P3,P,0.0,2012-04-26,2012-05-13,18
P3,P,0.0,2012-05-15,2012-05-23,9
P3,P,0.0,2012-10-11,2013-01-09,91
P3,P,0.0,2013-01-12,2013-02-17,37
P3,P,0.0,2013-02-19,2013-03-11,21
P3,P,0.0,2013-03-19,2013-03-27,9
P3,P,0.0,2013-04-17,2013-04-27,11
P3,P,0.0,2013-06-12,2013-06-19,8
P3,P,0.0,2013-10-08,2013-10-14,7
P3,P,0.0,2013-10-30,2013-11-29,31
P3,P,0.0,2013-12-01,2013-12-14,14
P3,P,0.0,2013-12-16,2014-01-18,34
P3,P,0.0,2014-01-20,2014-02-16,28
P3,P,0.0,2014-02-20,2014-03-28,37
P3,P,0.0,2014-04-10,2014-05-01,22
P3,P,0.0,2014-05-07,2014-06-04,29
P3,P,0.0,2014-09-07,2014-09-16,10
P3,P,0.0,2014-11-08,2014-12-16,39
P3,P,0.0,2014-12-20,2015-01-07,19
P3,P,0.0,2015-01-20,2015-03-23,63
P3,P,0.0,2015-03-26,2015-04-05,11
P3,P,0.0,2015-04-30,2015-05-07,8
P3,P,0.0,2015-05-23,2015-05-29,7
P3,P,0.0,2015-06-23,2015-06-29,7
P3,P,0.0,2015-09-24,2015-09-30,7
P3,P,0.0,2015-10-20,2015-10-31,12
P3,P,0.0,2015-11-06,2015-12-02,27
P3,P,0.0,2015-12-05,2015-12-29,25
P3,P,0.0,2015-12-31,2016-01-22,23
P3,P,0.0,2016-02-03,2016-02-19,17
P3,P,0.0,2016-03-04,2016-03-23,20
P3,P,0.0,2016-03-26,2016-04-01,7
P3,P,0.0,2016-04-30,2016-05-08,9
P3,P,0.0,2016-10-19,2016-10-27,9
P3,P,0.0,2016-11-09,2016-11-27,19
P3,P,0.0,2016-12-01,2016-12-26,26
P3,P,0.0,2017-01-06,2017-02-20,46
P3,P,0.0,2017-03-03,2017-03-10,8
P3,P,0.0,2017-03-12,2017-03-18,7
P3,P,0.0,2017-04-07,2017-04-15,9
P3,P,0.0,2017-04-27,2017-05-10,14
P3,P,0.0,2017-09-24,2017-10-02,9
P3,P,0.0,2017-10-04,2017-10-10,7
P3,P,0.0,2017-10-25,2017-11-02,9
P3,P,0.0,2017-11-05,2018-01-01,58
P3,P,0.0,2018-01-05,2018-01-12,8
P3,P,0.0,2018-01-15,2018-02-02,19
P3,P,0.0,2018-02-07,2018-03-09,31
P3,P,0.0,2018-03-18,2018-03-26,9
P3,P,0.0,2018-03-30,2018-04-05,7
P3,P,0.0,2018-04-08,2018-04-15,8
P3,P,0.0,2018-04-20,2018-04-26,7
P3,P,0.0,2018-05-15,2018-05-21,7
P3,P,0.0,2018-10-16,2018-10-28,13
P3,P,0.0,2018-11-01,2018-11-23,23
P3,P,0.0,2018-11-25,2018-12-18,24
P3,P,0.0,2018-12-20,2018-12-27,8
P3,P,0.0,2018-12-31,2019-01-07,8
P3,P,0.0,2019-01-10,2019-01-28,19
P3,P,0.0,2019-02-01,2019-02-16,16
P3,P,0.0,2019-02-18,2019-02-24,7
P3,P,0.0,2019-03-05,2019-03-19,15
P3,P,0.0,2019-03-25,2019-04-02,9
P3,P,0.0,2019-04-07,2019-04-15,9
P3,P,0.0,2019-04-21,2019-04-27,7
P3,P,0.0,2019-04-29,2019-05-13,15
P3,P,0.0,2019-06-02,2019-06-11,10
P3,P,0.0,2019-10-30,2019-12-03,35
P3,P,0.0,2019-12-06,2019-12-26,21
P3,P,0.0,2020-01-11,2020-01-23,13
P3,P,0.0,2020-01-26,2020-02-08,14
P3,P,0.0,2020-02-11,2020-02-26,16
P3,P,0.0,2020-03-04,2020-03-11,8
P3,P,0.0,2020-03-13,2020-04-11,30
P3,P,0.0,2020-05-02,2020-05-15,14
P3,P,0.0,2020-11-10,2020-12-31,52
P3,T,10.1,2007-01-11,2007-01-18,8
P3,T,10.9,2009-12-05,2009-12-13,9
P3,T,10.2,2014-01-30,2014-02-05,7
P3,T,13.1,2020-02-05,2020-02-13,9
S2,DH,9.7,2018-11-26,2018-12-05,10
S2,DH,9.6,2018-12-20,2018-12-28,9
S2,DH,9.7,2019-12-25,2019-12-31,7
S2,DH,9.7,2020-12-25,2020-12-31,7
S2,P,0.0,2006-01-01,2006-02-15,46
S2,P,0.0,2006-02-25,2006-03-11,15
S2,P,0.0,2006-03-13,2006-04-01,20
S2,P,0.0,2006-04-03,2006-04-10,8
S2,P,0.0,2006-04-12,2006-04-27,16
S2,P,0.0,2006-04-30,2006-05-09,10
S2,P,0.0,2006-10-13,2006-10-19,7
S2,P,0.0,2006-10-23,2006-11-05,14
S2,P,0.0,2006-11-12,2006-12-18,37
S2,P,0.0,2006-12-21,2007-01-26,37
S2,P,0.0,2007-02-03,2007-02-13,11
S2,P,0.0,2007-02-15,2007-03-16,30
S2,P,0.0,2007-03-18,2007-04-01,15
S2,P,0.0,2007-04-14,2007-04-27,14
S2,P,0.0,2007-08-02,2007-08-10,9
S2,P,0.0,2007-10-21,2007-11-05,16
S2,P,0.0,2007-11-17,2007-11-25,9
S2,P,0.0,2007-11-27,2008-01-23,58
S2,P,0.0,2008-02-01,2008-02-18,18
S2,P,0.0,2008-02-20,2008-02-26,7
S2,P,0.0,2008-02-28,2008-03-07,9
S2,P,0.0,2008-03-09,2008-03-19,11
S2,P,0.0,2008-03-23,2008-04-01,10
S2,P,0.0,2008-04-03,2008-04-26,24
S2,P,0.0,2008-10-12,2008-10-24,13
S2,P,0.0,2008-11-06,2008-11-26,21
S2,P,0.0,2008-11-28,2008-12-04,7
S2,P,0.0,2008-12-06,2008-12-29,24
S2,P,0.0,2008-12-31,2009-02-24,56
S2,P,0.0,2009-03-01,2009-03-11,11
S2,P,0.0,2009-03-13,2009-03-28,16
S2,P,0.0,2009-04-09,2009-04-19,11
S2,P,0.0,2009-04-21,2009-05-03,13
S2,P,0.0,2009-05-05,2009-05-16,12
S2,P,0.0,2009-10-12,2009-11-01,21
S2,P,0.0,2009-11-03,2009-11-16,14
S2,P,0.0,2009-11-18,2010-02-16,91
S2,P,0.0,2010-02-19,2010-03-04,14
S2,P,0.0,2010-03-07,2010-03-18,12
S2,P,0.0,2010-03-20,2010-03-26,7
S2,P,0.0,2010-04-02,2010-04-13,12
S2,P,0.0,2010-04-27,2010-05-08,12
S2,P,0.0,2010-05-12,2010-05-22,11
S2,P,0.0,2010-06-06,2010-06-13,8
S2,P,0.0,2010-11-21,2010-12-08,18
S2,P,0.0,2010-12-12,2011-01-15,35
S2,P,0.0,2011-01-21,2011-02-21,32
S2,P,0.0,2011-02-23,2011-03-11,17
S2,P,0.0,2011-03-13,2011-03-26,14
S2,P,0.0,2011-04-07,2011-04-16,10
S2,P,0.0,2011-06-16,2011-06-22,7
S2,P,0.0,2011-08-27,2011-09-03,8
S2,P,0.0,2011-10-24,2011-11-05,13
S2,P,0.0,2011-11-10,2012-01-03,55
S2,P,0.0,2012-01-05,2012-01-12,8
S2,P,0.0,2012-01-14,2012-01-20,7
S2,P,0.0,2012-01-22,2012-02-09,19
S2,P,0.0,2012-02-13,2012-03-26,43
S2,P,0.0,2012-03-28,2012-04-09,13
S2,P,0.0,2012-04-11,2012-04-27,17
S2,P,0.0,2012-04-30,2012-05-13,14
S2,P,0.0,2012-05-15,2012-05-28,14
S2,P,0.0,2012-10-14,2013-02-08,118
S2,P,0.0,2013-02-10,2013-02-16,7
S2,P,0.0,2013-02-20,2013-03-17,26
S2,P,0.0,2013-03-23,2013-03-29,7
S2,P,0.0,2013-03-31,2013-04-10,11
S2,P,0.0,2013-04-14,2013-04-29,16
S2,P,0.0,2013-06-12,2013-06-19,8
S2,P,0.0,2013-10-08,2013-10-14,7
S2,P,0.0,2013-10-30,2013-12-14,46
S2,P,0.0,2013-12-16,2014-01-19,35
S2,P,0.0,2014-01-21,2014-02-15,26
S2,P,0.0,2014-02-18,2014-03-04,15
S2,P,0.0,2014-03-06,2014-03-20,15
S2,P,0.0,2014-03-22,2014-03-28,7
S2,P,0.0,2014-04-03,2014-05-01,29
S2,P,0.0,2014-05-10,2014-06-05,27
S2,P,0.0,2014-10-05,2014-10-18,14
S2,P,0.0,2014-10-20,2014-10-26,7
S2,P,0.0,2014-10-29,2014-12-16,49
S2,P,0.0,2014-12-19,2015-01-03,16
S2,P,0.0,2015-01-11,2015-01-17,7
S2,P,0.0,2015-01-20,2015-03-25,65
S2,P,0.0,2015-03-27,2015-04-03,8
S2,P,0.0,2015-04-30,2015-05-07,8
S2,P,0.0,2015-05-09,2015-05-20,12
S2,P,0.0,2015-05-22,2015-06-10,20
S2,P,0.0,2015-10-20,2015-11-03,15
S2,P,0.0,2015-11-05,2015-12-03,29
S2,P,0.0,2015-12-05,2016-02-20,78
S2,P,0.0,2016-03-23,2016-04-06,15
S2,P,0.0,2016-10-15,2016-10-25,11
S2,P,0.0,2016-10-30,2016-11-06,8
S2,P,0.0,2016-11-10,2016-12-26,47
S2,P,0.0,2016-12-29,2017-02-21,55
S2,P,0.0,2017-04-04,2017-04-15,12
S2,P,0.0,2017-04-26,2017-05-10,15
S2,P,0.0,2017-10-26,2017-11-01,7
S2,P,0.0,2017-11-06,2018-02-01,88
S2,P,0.0,2018-02-03,2018-03-05,31
S2,P,0.0,2018-03-08,2018-03-15,8
S2,P,0.0,2018-03-18,2018-03-26,9
S2,P,0.0,2018-03-30,2018-04-05,7
S2,P,0.0,2018-04-09,2018-04-18,10
S2,P,0.0,2018-04-20,2018-04-28,9
S2,P,0.0,2018-10-04,2018-10-10,7
S2,P,0.0,2018-10-16,2018-10-29,14
S2,P,0.0,2018-11-04,2018-12-17,44
S2,P,0.0,2018-12-20,2018-12-28,9
S2,P,0.0,2018-12-30,2019-01-28,30
S2,P,0.0,2019-01-31,2019-02-15,16
S2,P,0.0,2019-02-18,2019-02-24,7
S2,P,0.0,2019-03-03,2019-03-15,13
S2,P,0.0,2019-03-18,2019-03-26,9
S2,P,0.0,2019-04-06,2019-04-14,9
S2,P,0.0,2019-04-17,2019-04-25,9
S2,P,0.0,2019-04-27,2019-05-21,25
S2,P,0.0,2019-05-23,2019-05-31,9
S2,P,0.0,2019-10-09,2019-10-16,8
S2,P,0.0,2019-10-28,2019-11-10,14
S2,P,0.0,2019-11-12,2019-12-26,45
S2,P,0.0,2020-01-07,2020-01-30,24
S2,P,0.0,2020-02-01,2020-02-08,8
S2,P,0.0,2020-02-11,2020-02-26,16
S2,P,0.0,2020-02-28,2020-04-11,44
S2,P,0.0,2020-04-13,2020-04-20,8
S2,P,0.0,2020-05-02,2020-05-11,10
S2,P,0.0,2020-09-27,2020-10-03,7
S2,P,0.0,2020-11-04,2020-12-31,58
S2,T,11.4,2007-10-28,2007-11-05,9
S2,T,7.6,2009-02-02,2009-02-10,9
S2,T,5.4,2013-01-09,2013-01-15,7
S2,T,5.8,2013-01-19,2013-01-27,9
