station_id,year,n_observations,pearson_r,spearman_r,linear_r2,quadratic_r2,high_flow_r2,low_flow_r2,suspected_derived_flow
P3,2007,365,0.9849972152883046,0.9996131593673033,0.9702195141257154,0.998192492827701,0.996327503506287,0.9984692327724677,True
P3,2008,366,0.9887627464813674,0.9999865379631131,0.9776517688293773,0.9998111611487591,0.9992179825121931,0.9960882453092859,True
P3,2009,365,0.9908723381731676,0.9999835888809624,0.9818279905567622,0.9998134240358789,0.9980092990720973,0.9973137633965805,True
P3,2010,365,0.9894162820523448,0.999975876801574,0.9789445791902852,0.9996895678444911,0.9993303812280474,0.9990972095025131,True
P3,2011,365,0.9854442533445957,0.9972012879464286,0.971100376449887,0.9973594236254915,0.9977654162012324,0.9996585452945195,True
P3,2012,366,0.9895242753347685,0.9999489032066571,0.9791582914767988,0.9992274757287697,0.9949772995632213,0.9973607947825132,True
P3,2013,365,0.9885473489982126,0.9996989870512359,0.9772258612113934,0.9990112601682283,0.9993358084417853,0.9978271606568886,True
P3,2014,365,0.9930512125791483,0.9999281826471774,0.986150710804916,0.999887752600717,0.9981942775921245,0.9978719545119016,True
P3,2015,365,0.9915846680467885,0.9998632755371853,0.9832401539054599,0.9997930281335075,0.9976016535040217,0.9992063518748979,True
P3,2016,366,0.9914758918625095,0.999903866620122,0.9830244441445593,0.9998552940363573,0.9952765217631762,0.9987909242553974,True
P3,2017,365,0.9913873448159978,0.9998986332618133,0.9828488674613124,0.9997341271916155,0.9964606801850856,0.9968706795410153,True
P3,2018,365,0.9925723479034668,0.9998436001037031,0.9851998658226013,0.9997604694869293,0.9988728278395411,0.9940249955032503,True
P3,2019,365,0.9939271388349821,0.9998814820915813,0.9878911573126932,0.9998149595503714,0.9994523854717294,0.9911512644491371,True
P3,2020,366,0.9899009287413545,0.9999284674849294,0.9799038487229964,0.9999356096240696,0.993708447761023,0.995061111237379,True
S2,2006,365,0.9827680605639102,0.9984325748862135,0.9658330608645489,0.9922383623427624,0.9995478767573823,0.9988413862309492,True
S2,2007,365,0.9816318787915316,0.9997521545150805,0.9636011454597928,0.993558171609001,0.997534148132282,0.9900639870524398,True
S2,2008,366,0.9882749759163986,0.999970933647938,0.9766874280225589,0.9971037124769152,0.9998895073237782,0.9968908069845014,True
S2,2009,365,0.9939291989524524,0.9999452746371661,0.9878952525302642,0.9941781438133496,0.9820785932169585,0.9895484474041464,True
S2,2010,365,0.9890586598400964,0.9993743224890492,0.9782370326046879,0.9965406240603478,0.9982012689247656,0.9919389358914803,True
S2,2011,365,0.9844364159891741,0.9994767603921901,0.9691150571256102,0.993766941865497,0.993842623131108,0.9888371261153489,True
S2,2012,366,0.9906744640427018,0.9999289538058188,0.9814358937062939,0.9884835045079088,0.9902964609787345,0.9928694659310946,True
S2,2013,365,0.9873591287994096,0.999939288695173,0.9748780492235278,0.998738820954118,0.9998366301325756,0.9794347881733337,True
S2,2014,365,0.9926606504043975,0.999910661539666,0.9853751668612818,0.9955932657020811,0.9842061148924665,0.9941748122113442,True
S2,2015,365,0.9863888334813724,0.999933981637771,0.9729629308167426,0.9999016229711003,0.9992157017027999,0.9894918686662202,True
S2,2016,366,0.9857150577823725,0.9999475575157077,0.9716341751389064,0.9948366693151088,0.9919374725180298,0.9937697072989224,True
S2,2017,365,0.991648506026254,0.9999580460166464,0.983366759504106,0.9931165099194937,0.9867869942424816,0.9706528107281303,True
S2,2018,365,0.9948920037571626,0.999580514345657,0.9898100991399401,0.9946278102297098,0.986955257715964,0.9921859138445783,True
S2,2019,365,0.9919715461278072,0.9997615379362803,0.9840075483271913,0.9988887277748594,0.9607696920268279,0.9921524985400143,True
S2,2020,366,0.9944576194849338,0.9998391853684772,0.9889459569516406,0.9970200392688158,0.982165084109076,0.9905485238482408,True
