network_id,metric,mean_err_recon,mean_err_missing,mean_risk_transfer,mean_risk_fit_loss,n_units
foen_aare_aaregebiet,summer_max,0.0007407407407407513,0.0007407407407407513,0.5541519054289862,0.5715436377939094,27
gkd_bayern_donau,summer_max,0.0,0.0,0.8115639738049725,0.8470433125931347,30
gkd_bayern_isar,summer_max,0.008671531677246118,0.01111111111111115,0.9315496565900045,0.9194571100083925,9
gkd_bayern_main,summer_max,3.0225118001325768e-05,0.0,0.645712284387243,0.6401389329111766,12
huc8_02040101,summer_max,0.37181613498263894,0.4055555555555555,0.7386696255652326,0.7359569277729102,18
huc8_05030103,summer_max,0.576753495534261,0.7581481481481482,1.1337371618302516,1.1273866242845056,27
huc8_17090004,summer_max,0.009026501973470045,0.0009523809523809659,0.5038219289142538,0.5062130296936812,21
lubw_neckar,summer_max,0.2548397420247396,0.25799999999999995,0.8050079117613473,0.8023990503136653,30
lubw_rhein,summer_max,0.38019181569417326,0.4133333333333334,0.6970234393362225,0.6958374909197212,9
rws_rijn_lek_nederrijn,summer_max,0.09464170102719932,0.10353535353535379,0.8207465270881208,0.8288572898433253,9
usgs_missouri_river_huc10,summer_max,0.08997012837727868,0.0906666666666667,1.1921034478152746,1.1270079099756751,15
usgs_snake_river_huc4_1706,summer_max,0.2202266883850098,0.34,0.7158304596878785,0.6972036171980872,12
arso_bistrica,exceed_days_20,0.03333333333333333,0.03333333333333333,0.8293074078138849,0.8247428703027575,12
arso_sava,exceed_days_20,0.7666666666666666,1.4416666666666664,0.5583270150263552,0.5484621201347973,24
arso_savinja,exceed_days_20,0.24000000000000002,0.7333333333333335,0.3711990213389876,0.3717231647458657,15
foen_aare_aaregebiet,exceed_days_20,0.5333333333333334,2.437037037037037,0.5541519054289862,0.5715436377939094,27
gkd_bayern_donau,exceed_days_20,1.9200000000000002,5.406666666666666,0.8115639738049725,0.8470433125931347,30
gkd_bayern_isar,exceed_days_20,1.2222222222222223,1.3555555555555554,0.9315496565900045,0.9194571100083925,9
gkd_bayern_main,exceed_days_20,1.5999999999999999,1.95,0.645712284387243,0.6401389329111766,12
huc8_02040101,exceed_days_20,2.533333333333333,7.455555555555555,0.7386696255652326,0.7359569277729102,18
huc8_05030103,exceed_days_20,5.4222222222222225,15.237037037037036,1.1337371618302516,1.1273866242845056,27
huc8_17090004,exceed_days_20,0.0,0.0,0.5038219289142538,0.5062130296936812,21
lubw_neckar,exceed_days_20,5.680000000000001,11.759999999999998,0.8050079117613473,0.8023990503136653,30
lubw_rhein,exceed_days_20,4.2,22.11111111111111,0.6970234393362225,0.6958374909197212,9
rws_rijn_lek_nederrijn,exceed_days_20,2.0444444444444443,6.800000000000001,0.8207465270881208,0.8288572898433253,9
usgs_missouri_river_huc10,exceed_days_20,3.1333333333333333,8.893333333333333,1.1921034478152746,1.1270079099756751,15
usgs_snake_river_huc4_1706,exceed_days_20,4.516666666666667,8.083333333333334,0.7158304596878785,0.6972036171980872,12
arso_bistrica,exceed_days_25,0.0,0.0,0.8293074078138849,0.8247428703027575,12
arso_sava,exceed_days_25,0.0,0.0,0.5583270150263552,0.5484621201347973,24
arso_savinja,exceed_days_25,0.0,0.0,0.3711990213389876,0.3717231647458657,15
