network_id,station_id,role,regulated,donor_count,donor_direction,nearest_donor_distance_km,drainage_area_sqkm,climate,bfi,catalog_climate_band,catalog_regulation_stratum,donor_station_ids,eligible_for_matching
huc8_03080103,302609081453300,validation,,14,,8.763674116649419,,,,humid_subtropical,regulated,02244040|022462002|02246459|02246500|02246518|02246751|02246804|300803081354500|301124081395901|301204081434900|301510081383500|301817081393600|302309081333001|302657081312400,False
huc8_03080103,302657081312400,validation,,14,,7.081890135699461,,,,humid_subtropical,regulated,02244040|022462002|02246459|02246500|02246518|02246751|02246804|300803081354500|301124081395901|301204081434900|301510081383500|301817081393600|302309081333001|302609081453300,False
huc8_03090101,02264000,validation,False,4,,7.259201404004181,74.5,SECstPlain,44.3,humid_subtropical,unregulated,02264100|02266200|02266300|02266495,False
huc8_03090101,02264100,validation,False,4,,5.8509393880044165,113.0,SECstPlain,43.9,humid_subtropical,unregulated,02264000|02266200|02266300|02266495,False
huc8_03090101,02266200,validation,False,4,,6.825678166176615,26.1,SECstPlain,45.3,humid_subtropical,unregulated,02264000|02264100|02266300|02266495,False
huc8_03090101,02266300,validation,False,4,U0_D1_B0_X3,5.8509393880044165,257.8,SECstPlain,45.4,humid_subtropical,unregulated,02264000|02264100|02266200|02266495,False
huc8_03090101,02266495,validation,,4,,5.95352442562752,,,,humid_subtropical,unregulated,02264000|02264100|02266200|02266300,False
huc8_03090204,02290928,validation,,6,,6.131397137419477,,,,humid_subtropical,unmatched_gages,02290930|255327081275900|255432081303900|255534081324000|255654081350200|255726081303700,False
huc8_03090204,02290930,validation,,6,,6.131397137419477,,,,humid_subtropical,unmatched_gages,02290928|255327081275900|255432081303900|255534081324000|255654081350200|255726081303700,False
huc8_03090204,255327081275900,validation,,6,,5.740287393248787,,,,humid_subtropical,unmatched_gages,02290928|02290930|255432081303900|255534081324000|255654081350200|255726081303700,False
huc8_03090204,255432081303900,validation,,6,U0_D0_B0_X6,3.8478936830007666,,,,humid_subtropical,unmatched_gages,02290928|02290930|255327081275900|255534081324000|255654081350200|255726081303700,False
huc8_03090204,255534081324000,validation,,6,,3.8478936830007666,,,,humid_subtropical,unmatched_gages,02290928|02290930|255327081275900|255432081303900|255654081350200|255726081303700,False
