date,SALMON,TOTLK1,ANGEL1,TOTLK2,EP0128A,EP0132A,EP0131A
2010-05-30,13.503749999999998,17.42354166666667,14.3846875,17.71229166666667,,,
2010-05-31,12.640416666666669,17.004782608695653,13.44423913043478,17.36695652173913,,,
2010-06-01,12.525416666666668,16.413541666666667,13.962291666666667,17.291875,,,
2010-06-02,13.460869565217392,17.686326530612245,14.724895833333331,18.146666666666665,,,
2010-06-03,13.996956521739133,18.4175,15.536041666666668,18.783125,,,
2010-06-04,14.4525,18.8875,16.051458333333333,19.226875,,,
2010-06-05,15.8875,19.449787234042557,17.48757894736842,19.505625,,,
2010-06-06,16.326666666666664,19.470208333333336,17.517395833333335,19.778541666666666,,,
2010-06-07,15.254166666666668,18.942291666666662,16.482916666666664,19.299791666666668,,,
2010-06-08,14.955,17.432708333333334,15.849479166666669,18.647916666666667,,,
2010-06-09,15.424583333333333,18.171875,16.084791666666668,18.79125,,,
2010-06-10,15.072916666666666,18.154375,15.778645833333334,18.748125,,,
2010-06-11,14.31375,18.079583333333336,15.107291666666669,18.651041666666668,,,
2010-06-12,14.075416666666667,18.38875,15.153541666666667,18.863958333333333,,,
2010-06-13,14.234583333333331,18.549375,15.316458333333337,18.97895833333333,,,
2010-06-14,14.624583333333334,18.115625,15.5659375,18.672083333333333,,,
2010-06-15,13.6788,17.780208333333334,14.56618556701031,18.339583333333334,,,
2010-06-16,13.537916666666668,18.077291666666667,14.7453125,18.64395833333333,,,
2010-06-17,14.200869565217392,18.722708333333333,15.464687499999998,19.039166666666667,,,
2010-06-18,14.3075,18.46229166666667,15.53125,18.983958333333334,,,
2010-06-19,12.978260869565217,17.70875,14.095520833333332,18.188958333333336,,,
2010-06-20,12.269130434782609,17.53125,13.430208333333333,18.116041666666668,,,
2010-06-21,14.205,19.036666666666665,15.374479166666667,19.31375,,,
2010-06-22,15.859583333333331,19.8625,17.0209375,20.201875,,,
2010-06-23,16.562916666666666,20.52145833333333,17.992916666666666,20.620425531914893,,,
2010-06-24,16.72458333333333,20.34,17.993750000000002,20.63770833333333,,,
2010-06-25,16.902916666666666,20.72145833333333,18.188229166666662,20.860833333333336,,,
2010-06-26,17.621666666666666,21.126041666666666,18.87239583333333,21.28395833333333,,,
2010-06-27,17.701249999999998,21.378541666666667,19.039583333333333,21.46875,,,
2010-06-28,18.105416666666667,21.722291666666667,19.547916666666666,21.73145833333333,,,
2010-06-29,18.160416666666663,20.56122448979592,19.510736842105263,21.563333333333333,,,
2010-06-30,18.61875,19.604255319148937,19.320625,21.549791666666668,,,
2010-07-01,18.550833333333333,19.543333333333333,18.949166666666667,21.464791666666667,,,
2010-07-02,19.30708333333333,19.834375,19.6253125,21.748125,,,
2010-07-03,19.24125,19.94375,19.59375,21.79083333333333,,,
2010-07-04,18.453478260869566,19.701041666666665,18.77958333333333,21.36021739130435,,,
2010-07-05,18.07875,19.480425531914893,18.449375,21.454166666666666,,,
2010-07-06,17.091666666666665,19.12395833333333,17.7025,21.060416666666665,,,
2010-07-07,17.039565217391306,18.888125,17.609479166666667,20.92895833333333,,,
2010-07-08,18.15625,19.472978723404257,18.72020833333333,21.63416666666667,,,
2010-07-09,19.174166666666668,20.2725,19.63927083333333,22.274375000000003,,,
2010-07-10,20.01217391304348,20.92875,20.627291666666668,22.72148936170213,,,
2010-07-11,19.8175,20.541875,20.167291666666667,22.471666666666668,,,
2010-07-12,18.96125,19.880416666666665,19.32625,22.042708333333334,,,
2010-07-13,17.432000000000002,18.976875,18.01625,21.309791666666666,,,
2010-07-14,17.407083333333333,18.810338983050848,18.09141176470588,21.215593220338985,,,
2010-07-15,16.90041666666667,17.922777777777778,17.530694444444446,20.613472222222224,,,
2010-07-16,16.709166666666665,17.891739130434782,17.38375,20.40902777777778,,,
2010-07-17,16.65625,18.45611111111111,17.425277777777776,20.580416666666665,,,
2010-07-18,16.805833333333336,18.77180555555556,17.559305555555554,21.11861111111111,,,
2010-07-19,18.121666666666663,19.691805555555558,18.89763888888889,21.846944444444446,,,
2010-07-20,18.86608695652174,19.989444444444445,19.43861111111111,22.112777777777776,,,
2010-07-21,18.964583333333334,19.814027777777778,19.394583333333333,21.865972222222226,,,
2010-07-22,17.79125,19.208450704225356,18.319444444444443,21.49944444444445,,,
2010-07-23,17.267916666666668,18.984861111111112,17.757777777777775,21.265555555555554,,,
2010-07-24,17.312916666666666,19.5763768115942,17.844305555555554,21.644166666666663,,,
2010-07-25,18.101666666666667,19.735774647887325,18.619444444444444,21.89333333333333,,,
2010-07-26,18.37666666666667,19.752916666666668,18.89958333333333,21.94,,,
2010-07-27,18.6972,20.936986301369863,19.209722222222226,21.90875,,,
2010-07-28,18.527916666666663,21.60181818181818,18.872916666666665,21.56430555555556,,,
