date,GPRSA9A,GSML37,EN0099A,EN0100A,EN0101A,EP0124A,EP0130A,EP0137A
2012-12-12,,,7.485833333333333,10.630215053763441,8.666041666666667,,,
2012-12-13,,,7.777604166666666,10.770625,8.960104166666666,,,
2012-12-14,,,8.3334375,9.777291666666667,9.3596875,,,
2012-12-15,,,8.579583333333334,10.467395833333333,9.698020833333333,,,
2012-12-16,,,8.098333333333333,10.154166666666667,9.449583333333333,,,
2012-12-17,,,8.493978494623656,10.398854166666666,9.626875,,,
2012-12-18,,,9.116875,10.988645833333335,9.997291666666667,,,
2012-12-19,,,9.562083333333334,10.378229166666667,10.313437500000001,,,
2012-12-20,,,9.639270833333333,10.31842105263158,10.129479166666666,,,
2012-12-21,,,9.231702127659574,10.644791666666666,10.05505376344086,,,
2012-12-22,,,10.4203125,10.893958333333332,10.8975,,,
2012-12-23,,,10.593541666666667,11.183157894736842,10.8746875,,,
2012-12-24,,,10.0640625,10.786875,10.5071875,,,
2012-12-25,,,9.426458333333334,10.461458333333333,9.967395833333333,,,
2012-12-26,,,9.606145833333334,10.661145833333334,10.2125,,,
2012-12-27,,,9.40625,10.650833333333333,9.9840625,,,
2012-12-28,,,10.3715625,11.166354166666666,10.89,,,
2012-12-29,,,9.813437500000001,10.566354166666667,10.194270833333333,,,
2012-12-30,,,9.3071875,10.820729166666666,9.922526315789474,,,
2013-01-01,,,8.89698113207547,9.746666666666666,9.535185185185185,,,
2013-01-04,,,10.616140350877194,11.445500000000001,10.986551724137932,,,
2013-01-05,,,10.42375,11.380104166666667,10.787916666666668,,,
2013-01-06,,,10.301041666666666,11.369791666666666,10.7709375,,,
2013-01-07,,,10.303125,11.3578125,10.717368421052631,,,
2013-01-08,,,10.654583333333333,11.4915625,10.983020833333333,,,
2013-01-09,,,9.8934375,11.259895833333333,10.3465625,,,
2013-01-10,,,9.280416666666666,10.8853125,9.9246875,,,
2013-01-11,,,8.946382978723404,11.038854166666667,9.856021505376344,,,
2013-01-12,,,9.039479166666666,10.1675,9.866770833333334,,,
2013-01-13,,,7.9366666666666665,10.542604166666667,8.919375,,,
2013-01-14,,,8.1340625,10.108404255319149,9.119479166666666,,,
2013-01-15,,,7.795520833333334,10.475208333333333,8.879479166666666,,,
2013-01-16,,,7.894736842105263,10.101914893617021,9.015268817204301,,,
2013-01-17,,,7.949791666666666,10.145208333333334,8.979791666666666,,,
2013-01-18,,,6.829895833333333,8.092291666666666,7.952500000000001,,,
2013-01-19,,,6.905208333333333,9.921875,8.218645833333333,,,
2013-01-20,,,6.341666666666666,9.949583333333333,7.739270833333333,,,
2013-01-21,,,6.383125,9.771354166666667,7.935312499999999,,,
2013-01-22,,,6.301458333333334,9.73875,8.130833333333333,,,
2013-01-23,,,6.958125,10.203541666666666,8.367812500000001,,,
2013-01-24,,,6.768541666666667,10.18125,8.207083333333333,,,
2013-01-25,,,7.350625,9.284166666666666,8.580208333333333,,,
2013-01-26,,,7.953541666666666,10.294791666666667,9.197395833333333,,,
2013-01-27,,,8.379895833333334,10.137604166666668,9.197395833333333,,,
2013-01-28,,,8.186458333333333,10.1953125,9.326145833333333,,,
2013-01-29,,,9.964895833333333,10.679270833333334,10.643020833333333,,,
2013-01-30,,,9.339032258064515,10.514408602150539,9.87483870967742,,,
2013-01-31,,,9.233541666666666,10.546249999999999,9.879263157894737,,,
2013-02-01,,,8.56221052631579,9.741041666666666,9.3459375,,,
2013-02-02,,,7.907604166666666,10.2421875,8.7578125,,,
2013-02-03,,,8.164791666666668,9.9721875,9.424375,,,
2013-02-04,,,9.138631578947368,10.632934782608697,9.790315789473684,,,
2013-02-05,,,7.4328125,9.348854166666667,8.483854166666667,,,
