date,EP0111A,EP0112A,E01010A,E01021A,E02025A,E02033A,E03017A,E02034A
2013-06-02,,-9.99,,,12.022291666666668,12.232708333333333,12.022291666666668,
2013-06-03,,-9.99,,,11.447708333333333,11.642291666666667,11.448749999999999,
2013-06-04,,,,,11.46375,11.692444444444444,11.450425531914894,
2013-06-05,,,,,12.058124999999999,12.381041666666667,12.044375,
2013-06-06,,,,,12.655833333333334,12.965625000000001,12.635833333333332,
2013-06-07,-9.99,,,,12.986041666666667,13.238541666666668,12.989166666666668,
2013-06-08,-9.99,,,,13.000208333333333,13.308750000000002,12.976458333333333,
2013-06-09,-9.99,,,,12.457291666666668,12.784999999999998,12.456249999999999,
2013-06-10,-9.989999999999998,,,,11.763541666666667,11.947708333333333,11.773333333333333,
2013-06-11,,,,,11.9425,12.209375,11.931041666666667,
2013-06-12,,,,,12.505625,12.792978723404255,12.393958333333332,
2013-06-13,,,,,12.516041666666666,12.632083333333334,12.333333333333334,
2013-06-14,,,,,12.145625,12.303541666666668,11.955208333333333,
2013-06-15,,,,,11.972291666666665,12.1225,11.790625,
2013-06-16,,,,,11.850625,11.986875,11.669583333333334,
2013-06-17,,,,,12.340416666666668,12.515833333333333,12.140833333333333,
2013-06-18,,,,,13.212291666666667,13.444791666666667,13.020208333333334,
2013-06-19,,,,,13.675208333333332,13.918125000000002,13.483958333333334,
2013-06-20,,,,,14.362291666666666,14.624166666666667,14.17375,
2013-06-21,,,,,14.373958333333334,14.557083333333333,14.181041666666667,
2013-06-22,,,,,13.552916666666667,13.653333333333334,13.388125,
2013-06-23,,,,,12.742708333333333,12.857916666666666,12.560208333333334,
2013-06-24,,,,,12.090625000000001,12.286041666666668,11.902083333333332,
2013-06-25,,,,,11.471666666666666,11.660625000000001,11.291666666666666,
2013-06-26,,,,,11.484791666666666,11.697916666666666,11.297083333333333,
2013-06-27,,,,,12.321666666666667,12.621666666666668,12.118541666666667,
2013-06-28,,,,,13.332916666666668,13.639791666666667,13.119791666666666,
2013-06-29,,,,,14.153958333333334,14.525833333333333,13.932291666666666,
2013-06-30,,,,,14.720416666666667,15.107916666666666,14.502291666666666,
2013-07-01,,,,,14.317916666666667,14.559166666666668,14.137500000000001,
2013-07-02,,,,,13.20375,13.217083333333333,13.042499999999999,
2013-07-03,19.475,19.447142857142858,,,13.35421052631579,13.455526315789474,13.15421052631579,
2013-07-04,,,,,14.238333333333335,14.488333333333335,14.023333333333333,
2013-07-05,,,,,14.229583333333332,14.58625,14.015416666666667,
2013-07-06,,,,,14.529583333333333,14.929166666666667,14.314583333333333,
2013-07-07,,,,,14.852916666666667,15.099523809523808,14.63375,
2013-07-08,,,,,15.715833333333334,16.030416666666667,15.42125,
2013-07-09,16.771428571428572,,,,16.00875,16.331666666666667,15.7275,
2013-07-10,15.846874999999999,15.502,,,14.91529411764706,15.220555555555556,14.631874999999999,
2013-07-11,15.614166666666668,15.296451612903226,,,,,,
2013-07-12,15.226875,14.612708333333332,,,,,,
2013-07-13,16.225416666666668,15.185,,,,,,
2013-07-14,17.085416666666667,16.321875000000002,,,,,,
2013-07-15,16.873541666666664,16.77375,,,,,,
2013-07-16,16.818958333333335,16.705416666666668,,,,,,
2013-07-17,16.85291666666667,16.887708333333332,,,,,,
2013-07-18,17.07229166666667,17.342708333333334,,,,,,
2013-07-19,16.696875000000002,17.262916666666666,,,,,,
2013-07-20,16.673958333333335,17.54104166666667,,,,,,
2013-07-21,16.835833333333333,17.570416666666667,,,,,,
