source_station,target_station,variable,lag_days,lag_definition,period,raw_correlation,raw_n_pairs,anomaly_correlation,anomaly_n_pairs
B1,S2,F,-13,positive=source_leads_target,train,0.8421200237396168,3639,0.5355328380888753,3639
B1,S2,F,-12,positive=source_leads_target,train,0.8507609689355116,3640,0.5471128683449036,3640
B1,S2,F,-11,positive=source_leads_target,train,0.8594817744401059,3641,0.5575568814751375,3641
B1,S2,F,-10,positive=source_leads_target,train,0.8680971830414325,3642,0.570655967860749,3642
B1,S2,F,-9,positive=source_leads_target,train,0.8766181411333103,3643,0.5864382974236019,3643
B1,S2,F,-8,positive=source_leads_target,train,0.8853982841408985,3644,0.6075717058613263,3644
B1,S2,F,-7,positive=source_leads_target,train,0.8947508784740601,3645,0.6329146027281952,3645
B1,S2,F,-6,positive=source_leads_target,train,0.9049059952764267,3646,0.6613543540102885,3646
B1,S2,F,-5,positive=source_leads_target,train,0.9160117681949503,3647,0.6952970914361082,3647
B1,S2,F,-4,positive=source_leads_target,train,0.9279961257991787,3648,0.7342639190114373,3648
B1,S2,F,-3,positive=source_leads_target,train,0.9405198534005975,3649,0.7770507482808374,3649
B1,S2,F,-2,positive=source_leads_target,train,0.9534837497383076,3650,0.823127327464272,3650
B1,S2,F,-1,positive=source_leads_target,train,0.9667479437979194,3651,0.8735749869258407,3651
B1,S2,F,0,positive=source_leads_target,train,0.9788953628671022,3652,0.9210197655812555,3652
B1,S2,F,1,positive=source_leads_target,train,0.9866717216602033,3651,0.9510092519657681,3651
B1,S2,F,2,positive=source_leads_target,train,0.9859432859360794,3650,0.9422548756684297,3650
B1,S2,F,3,positive=source_leads_target,train,0.978086680609768,3649,0.9022080936812608,3649
B1,S2,F,4,positive=source_leads_target,train,0.9670893676102155,3648,0.8508452980444459,3648
B1,S2,F,5,positive=source_leads_target,train,0.9552578368204054,3647,0.8006047256333938,3647
B1,S2,F,6,positive=source_leads_target,train,0.9434640813463322,3646,0.7544124736892215,3646
B1,S2,F,7,positive=source_leads_target,train,0.9321097779372828,3645,0.7114388947512613,3645
B1,S2,F,8,positive=source_leads_target,train,0.9216215265687491,3644,0.6733501847037336,3644
B1,S2,F,9,positive=source_leads_target,train,0.9120541133365515,3643,0.6398060778232981,3643
B1,S2,F,10,positive=source_leads_target,train,0.902984919730877,3642,0.6106124524288142,3642
B1,S2,F,11,positive=source_leads_target,train,0.8939756378538715,3641,0.5841701472532523,3641
B1,S2,F,12,positive=source_leads_target,train,0.8851051176682808,3640,0.5624891868244616,3640
B1,S2,F,13,positive=source_leads_target,train,0.876347171300863,3639,0.5426547724575084,3639
B1,S2,F,14,positive=source_leads_target,train,0.8677957941684015,3638,0.5250483658562045,3638
B1,S2,F,15,positive=source_leads_target,train,0.8597407371212754,3637,0.5098949934243696,3637
B1,S2,F,16,positive=source_leads_target,train,0.8522077809431003,3636,0.49620405995823963,3636
B1,S2,F,17,positive=source_leads_target,train,0.8448742405032836,3635,0.4832604343428888,3635
B1,S2,F,18,positive=source_leads_target,train,0.8372825350925434,3634,0.46998882003160164,3634
