station_id,variable,season,count,mean_anomaly,std_anomaly,q10_anomaly,q90_anomaly,max_absolute_anomaly
S2,T,DJF,1354,0.06451255539143276,0.5654941969942004,-0.6500000000000004,0.8000000000000007,1.9000000000000004
S2,T,JJA,1380,-0.06648550724637703,0.9466123924525299,-1.2999999999999972,1.149999999999999,3.3000000000000007
S2,T,MAM,1380,0.0022463768115940754,0.6693204568738085,-0.7999999999999989,0.8000000000000007,4.0
S2,T,SON,1365,0.10725274725274722,0.943451810129591,-1.0999999999999979,1.3000000000000007,3.1499999999999986
S2,Ta,DJF,1354,-0.02503692762186115,2.410478671669438,-3.0999999999999996,3.0500000000000007,8.5
S2,Ta,JJA,1380,0.14561594202898553,1.8993312010292585,-2.2500000000000036,2.5,7.25
S2,Ta,MAM,1380,-0.27782608695652167,2.5435405651228713,-3.4999999999999982,2.7499999999999982,11.5
S2,Ta,SON,1365,0.237032967032967,1.915507306967863,-2.1999999999999975,2.5999999999999996,6.75
S2,W,DJF,1354,-0.004711303988183132,1.1314809154233103,-1.4147210000000001,1.509893140000001,5.015829
S2,W,JJA,1378,0.08860905907111757,0.6673525298782468,-0.6430549999999999,0.8745548000000003,3.4210526
S2,W,MAM,1379,-0.027177117766497456,1.1754805161714341,-1.5176098000000002,1.5176098000000002,4.115552
S2,W,SON,1363,0.13038494482758617,0.7317080686382896,-0.6173328,1.028888,3.7554411999999995
P3,DH,DJF,1354,-0.7481905465288035,2.406328357008563,-4.134999999999999,1.0500000000000005,10.25
P3,DH,JJA,1380,-0.6735869565217392,4.091865216013675,-6.5,4.405000000000007,11.1
P3,DH,MAM,1380,-1.0822101449275363,3.0723551280205843,-5.55,1.5999999999999996,12.1
P3,DH,SON,1365,-1.0146520146520146,3.6320645550893613,-7.1,2.8,9.55
P3,F,DJF,1354,22.20864106351551,203.61120492449643,-165.35,211.10000000000014,1260.0
P3,F,JJA,1380,181.26014492753623,1182.735298891053,-1185.4,1775.5000000000007,5120.0
P3,F,MAM,1380,8.075724637681159,257.24672250840524,-248.39999999999998,292.10000000000014,1761.5
P3,F,SON,1365,56.6978021978022,745.8069652356387,-644.6,858.4000000000005,3200.0
P3,L,DJF,1354,0.023914327917281535,0.5796796169323191,-0.6020000000000209,0.6235000000000016,3.0550000000000637
P3,L,JJA,1380,0.24409782608695768,1.8628065840777606,-2.096500000000026,2.6414999999998847,6.919999999999959
P3,L,MAM,1380,-0.016971014492750874,0.7047281470934119,-0.7909999999999626,0.8055000000000525,3.925000000000068
P3,L,SON,1365,0.09231135531135114,1.2475322070120087,-1.2430000000000518,1.515999999999987,5.4249999999999545
P3,P,DJF,1351,0.2974300518134715,1.5982875496026172,0.0,0.0,20.827999999999996
P3,P,JJA,1376,5.10907340116279,13.229510710545062,-3.8099999999999996,21.9075,97.917
P3,P,MAM,1375,1.3808363636363636,4.889424646989601,0.0,3.6322000000000165,58.674
P3,P,SON,1360,2.7705610294117644,8.17064394986756,-0.6349999999999998,9.283700000000016,74.549
P3,RH,DJF,1354,0.7511078286558346,11.503947821310307,-13.5,14.5,47.5
P3,RH,JJA,1380,1.15,12.464305817288384,-14.0,17.0,48.5
P3,RH,MAM,1380,3.619565217391304,14.102244271813884,-11.5,24.0,52.5
P3,RH,SON,1365,2.220879120879121,9.190878867580874,-9.0,15.0,32.5
P3,Rs,DJF,1354,-1.153016986706056,3.795719722507505,-6.444999999999998,2.2354999999999996,19.394999999999996
P3,Rs,JJA,1380,-0.07823913043478248,5.493863038749051,-7.606000000000002,6.892000000000009,20.17
P3,Rs,MAM,1380,-0.9216376811594202,5.5343305870082276,-8.6175,5.538500000000005,20.14
P3,Rs,SON,1365,-0.8486776556776559,4.932164243638206,-8.273,4.879000000000001,15.300000000000002
P3,T,DJF,1354,1.0762186115214183,1.72332467127055,-0.5999999999999996,3.8000000000000007,5.600000000000001
P3,T,JJA,1380,-0.07188405797101433,0.8690321612878484,-1.1999999999999993,1.0,2.6999999999999993
P3,T,MAM,1380,-0.32474637681159413,0.9399895896974511,-1.5999999999999996,0.8999999999999986,3.0
P3,T,SON,1365,0.9597435897435899,1.7703695975468483,-1.0999999999999979,3.760000000000013,5.799999999999999
P3,Ta,DJF,1354,-0.01240768094534698,2.1558633761202866,-2.600000000000001,2.4499999999999993,10.3
P3,Ta,JJA,1380,0.05260869565217412,2.0152546607954083,-2.5,2.3500000000000014,7.550000000000001
P3,Ta,MAM,1380,-0.43510869565217414,2.8297281639784413,-4.155000000000001,2.649999999999999,12.400000000000002
P3,Ta,SON,1365,0.07520146520146531,1.9970319012626232,-2.5500000000000007,2.400000000000002,8.0
P3,W,DJF,1348,0.08310102448071217,0.5323827547687064,-0.5658883999999998,0.7459438,2.8037197999999997
P3,W,JJA,1374,0.09068292343522563,0.41406415980318795,-0.4115552,0.6173328000000002,1.8519983999999998
P3,W,MAM,1380,0.015396041449275264,0.6204993826251133,-0.7973881999999999,0.8231104,2.3664424
P3,W,SON,1361,0.06601590345334316,0.4256708858711173,-0.46299960000000007,0.6173328000000002,1.6204986
