evaluation_split,experiment,station_id,target,model,gap_length,window,information_combination,primary_data_version,sensitivity_data_version,primary_MAE,sensitivity_MAE,MAE_difference,ci_lower,ci_upper,p_value,n_paired_anchors,n_years,hypothesis_family,training_seeds_collapsed_first,bootstrap_unit,p_bh,bh_family_size,bh_finite_hypotheses,bh_reject,bh_alpha,bh_scope,status
development_test,M2,B1,F,random_forest,180.0,368,full_information,published_v2,no_s2_suspect_v2,1820.595936448664,1830.2049178607504,9.608981412086738,7.477499335319111,11.812028532048581,2.546585164964199e-11,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,3.015581266178439e-09,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,rating_curve,10.0,368,full_information,published_v2,no_s2_suspect_v2,9488.93667598754,9488.93667598754,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,rating_curve,30.0,368,full_information,published_v2,no_s2_suspect_v2,9397.19280747076,9397.19280747076,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,rating_curve,90.0,368,full_information,published_v2,no_s2_suspect_v2,9258.899125618203,9258.899125618203,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,rating_curve,180.0,368,full_information,published_v2,no_s2_suspect_v2,8928.403746844862,8928.403746844862,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,xgboost,10.0,368,full_information,published_v2,no_s2_suspect_v2,1737.110217895508,1717.708977355957,-19.401240539550777,-38.25877210235597,-0.20787080383300136,0.42797189528209856,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,xgboost,30.0,368,full_information,published_v2,no_s2_suspect_v2,1719.6459056854249,1700.7838778686523,-18.862027816772475,-37.51311865425113,0.12910678609211793,0.49291002014433616,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,xgboost,90.0,368,full_information,published_v2,no_s2_suspect_v2,1697.6630136108402,1673.7950687408447,-23.86794486999509,-42.57440987841285,-6.612887098630272,0.0770006142774946,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.36291168453837425,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,xgboost,180.0,368,full_information,published_v2,no_s2_suspect_v2,1650.273582717048,1625.627680208418,-24.645902508629685,-40.736276916292,-9.604876263194619,0.02407598106947262,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.13795148830532497,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,climatology,10.0,368,full_information,published_v2,no_s2_suspect_v2,8.899486083984375,8.899486083984375,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
