experiment,mask_type,layout,outage_mode,overlap_ratio,pattern,window_length,training_protocol,fit_split,tuning_split,evaluation_split,validation_scope,target_station_id,station_id,target,model,gap_length,failed_count,failure_fraction,failure_class,mean_skill,n_events,full_network_skill,relative_skill,network_size,reason,failure_count,status
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,2,0.6666666666666666,double,-2.903699600428408,60,0.08740979319173245,-33.21938531600428,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,3,1.0,full_network,-4.635184434256281,20,0.08740979319173245,-53.02820502147916,3,,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,90.0,0,0.0,none,0.040429694701708645,20,0.040429694701708645,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,90.0,1,0.3333333333333333,single,-1.453242336196993,60,0.040429694701708645,-35.94492481130648,3,,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,90.0,2,0.6666666666666666,double,-3.1188637244934947,60,0.040429694701708645,-77.14289577263824,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,90.0,3,1.0,full_network,-4.956434470187796,20,0.040429694701708645,-122.5939128839953,3,,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,180.0,0,0.0,none,0.15835486265245094,20,0.15835486265245094,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,180.0,1,0.3333333333333333,single,-1.1241607579130952,60,0.15835486265245094,-7.098997397890743,3,,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,180.0,2,0.6666666666666666,double,-2.52641982531661,60,0.15835486265245094,-15.954166376699561,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,180.0,3,1.0,full_network,-4.048422339558093,20,0.15835486265245094,-25.565506936426456,3,,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,10.0,0,0.0,none,0.005425710094025043,20,0.005425710094025043,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,10.0,1,0.3333333333333333,single,0.005425710094025036,60,0.005425710094025043,0.9999999999999987,3,,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,10.0,2,0.6666666666666666,double,0.005425710094025036,60,0.005425710094025043,0.9999999999999987,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,10.0,3,1.0,full_network,0.005425710094025043,20,0.005425710094025043,1.0,3,,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,30.0,0,0.0,none,0.06843088046954277,20,0.06843088046954277,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,30.0,1,0.3333333333333333,single,0.06843088046954277,60,0.06843088046954277,1.0,3,,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,30.0,2,0.6666666666666666,double,0.06843088046954277,60,0.06843088046954277,1.0,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,30.0,3,1.0,full_network,0.06843088046954277,20,0.06843088046954277,1.0,3,,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,90.0,0,0.0,none,-0.5265877718350545,20,-0.5265877718350545,,3,full-network skill is not positive,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,90.0,1,0.3333333333333333,single,-0.5265877718350545,60,-0.5265877718350545,,3,full-network skill is not positive,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,90.0,2,0.6666666666666666,double,-0.5265877718350545,60,-0.5265877718350545,,3,full-network skill is not positive,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,90.0,3,1.0,full_network,-0.5265877718350545,20,-0.5265877718350545,,3,full-network skill is not positive,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,180.0,0,0.0,none,-1.4389272375143602,20,-1.4389272375143602,,3,full-network skill is not positive,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,180.0,1,0.3333333333333333,single,-1.4389272375143605,60,-1.4389272375143602,,3,full-network skill is not positive,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,180.0,2,0.6666666666666666,double,-1.4389272375143605,60,-1.4389272375143602,,3,full-network skill is not positive,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,kalman,180.0,3,1.0,full_network,-1.4389272375143602,20,-1.4389272375143602,,3,full-network skill is not positive,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,10.0,0,0.0,none,-0.0047751339027685465,20,-0.0047751339027685465,,3,full-network skill is not positive,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,10.0,1,0.3333333333333333,single,-0.004775133902768569,60,-0.0047751339027685465,,3,full-network skill is not positive,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,10.0,2,0.6666666666666666,double,-0.004775133902768569,60,-0.0047751339027685465,,3,full-network skill is not positive,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,10.0,3,1.0,full_network,-0.0047751339027685465,20,-0.0047751339027685465,,3,full-network skill is not positive,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,30.0,0,0.0,none,0.0982648704346178,20,0.0982648704346178,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,30.0,1,0.3333333333333333,single,0.0982648704346178,60,0.0982648704346178,1.0,3,,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,30.0,2,0.6666666666666666,double,0.0982648704346178,60,0.0982648704346178,1.0,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,30.0,3,1.0,full_network,0.0982648704346178,20,0.0982648704346178,1.0,3,,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,90.0,0,0.0,none,-0.9547617325888498,20,-0.9547617325888498,,3,full-network skill is not positive,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,90.0,1,0.3333333333333333,single,-0.9547617325888497,60,-0.9547617325888498,,3,full-network skill is not positive,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,90.0,2,0.6666666666666666,double,-0.9547617325888497,60,-0.9547617325888498,,3,full-network skill is not positive,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,90.0,3,1.0,full_network,-0.9547617325888498,20,-0.9547617325888498,,3,full-network skill is not positive,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,180.0,0,0.0,none,-3.0391487726836894,20,-3.0391487726836894,,3,full-network skill is not positive,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,180.0,1,0.3333333333333333,single,-3.0391487726836894,60,-3.0391487726836894,,3,full-network skill is not positive,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,180.0,2,0.6666666666666666,double,-3.0391487726836894,60,-3.0391487726836894,,3,full-network skill is not positive,2,ok
