station_id,target,data_version,model,information_combination,window,evaluation_split,curve_type,breakpoint_days,weighted_sse,left_slope,right_slope,reason,breakpoint_reason,boundary_days,boundary_censoring,boundary_ci_lower,boundary_ci_upper,n_anchors,n_years,status
P3,T,published_v2,donor_regression,full_information,736,development_test,raw,21.0,0.35719530567973323,0.024490483793033948,-0.00011737218917844128,,,,left,1.1016486956696492,365.0,20,3,ok
P3,T,published_v2,donor_regression,full_information,736,development_test,weighted_pava_nonincreasing,3.0,6.875998481060369e-27,-2.010041974748071e-17,-3.559973620069979e-17,,,365.0,right,365.0,365.0,20,3,ok
P3,T,published_v2,kalman,full_information,736,development_test,raw,240.0,1.5254154540355123,-0.004787882384810192,-0.018880784047399672,,,173.55142579071386,,161.63193724600717,188.33536930990658,20,3,ok
P3,T,published_v2,kalman,full_information,736,development_test,weighted_pava_nonincreasing,240.0,1.5067509667310397,-0.004789081943250959,-0.018879146478762522,,,173.55142579071386,,161.63193724600717,188.33536930990658,20,3,ok
P3,T,published_v2,linear,full_information,736,development_test,raw,240.0,1.6216661063688824,-0.008510644839095619,-0.006585000596488203,,,114.18902136970158,,100.32862666329632,127.73023302674247,20,3,ok
P3,T,published_v2,linear,full_information,736,development_test,weighted_pava_nonincreasing,240.0,1.6216661063688824,-0.008510644839095619,-0.006585000596488203,,,114.18902136970158,,100.32862666329632,127.73023302674247,20,3,ok
P3,T,published_v2,pchip,full_information,736,development_test,raw,90.0,1.61373770588737,-0.006410373851912494,-0.00826209598146841,,,111.91026618611394,,92.26201912210364,155.42405644198314,20,3,ok
P3,T,published_v2,pchip,full_information,736,development_test,weighted_pava_nonincreasing,90.0,1.5771298885102332,-0.006418607365911914,-0.008259714694195595,,,111.91026618611394,,93.1190303464094,155.42405644198314,20,3,ok
P3,T,published_v2,random_forest,full_information,736,development_test,raw,30.0,0.2343592951375373,0.00838461129063718,4.173927154330417e-06,,,,left,365.0,365.0,20,3,ok
P3,T,published_v2,random_forest,full_information,736,development_test,weighted_pava_nonincreasing,3.0,1.4701293874314407e-25,-8.367928860700119e-17,-1.6466530669745966e-16,,,365.0,right,365.0,365.0,20,3,ok
P3,T,published_v2,xgboost,full_information,736,development_test,raw,30.0,0.1956825199436858,0.008405525620432919,-6.604399823987098e-05,,,,left,365.0,365.0,20,3,ok
P3,T,published_v2,xgboost,full_information,736,development_test,weighted_pava_nonincreasing,3.0,1.342161072424988e-24,-2.771427871092221e-16,-4.9791565560347495e-16,,,365.0,right,365.0,365.0,20,3,ok
S2,T,published_v2,air_hydro,full_information,736,development_test,raw,14.0,0.1044422075323341,0.032710874057894905,-2.8145488564709775e-06,,,,left,3.3542597351935037,365.0,20,3,ok
S2,T,published_v2,air_hydro,full_information,736,development_test,weighted_pava_nonincreasing,3.0,2.1810294850794768e-26,-3.2028161113764804e-17,-6.505391631072904e-17,,,365.0,right,365.0,365.0,20,3,ok
S2,T,published_v2,air_only,full_information,736,development_test,raw,21.0,0.032215554559543176,0.012142326495727194,4.08479295590132e-05,,,,left,2.4140922211493354,3.464871203732476,20,3,ok
S2,T,published_v2,air_only,full_information,736,development_test,weighted_pava_nonincreasing,3.0,6.882620818257534e-27,1.805157879540114e-17,3.653637647053351e-17,,,,left,4.190786251649128,365.0,20,3,ok
S2,T,published_v2,climatology,full_information,736,development_test,raw,3.0,0.0,0.0,0.0,,,,left,,,20,3,ok
S2,T,published_v2,climatology,full_information,736,development_test,weighted_pava_nonincreasing,3.0,0.0,0.0,0.0,,,,left,,,20,3,ok
S2,T,published_v2,donor_regression,full_information,736,development_test,raw,3.0,0.10850845927799954,-0.019082609634352415,0.00025927847949702015,,,365.0,right,365.0,365.0,20,3,ok
S2,T,published_v2,donor_regression,full_information,736,development_test,weighted_pava_nonincreasing,3.0,1.5774335233812521e-24,-0.00710949984898607,-5.533767888366015e-16,,,365.0,right,365.0,365.0,20,3,ok
S2,T,published_v2,kalman,full_information,736,development_test,raw,240.0,4.987709697293041,-0.010618328944790815,-0.045561504135808645,,,45.52881980534125,,2.8553774817647035,120.69771289696901,20,3,ok
S2,T,published_v2,kalman,full_information,736,development_test,weighted_pava_nonincreasing,240.0,4.898890388169729,-0.010620492156720245,-0.0455585510424947,,,45.52881980534125,,22.70165720762282,120.37763399625412,20,3,ok
S2,T,published_v2,linear,full_information,736,development_test,raw,90.0,4.601579837153001,-0.012712211740114873,-0.022349944634742314,,,39.167827683687406,,2.866777743957183,81.0181226107633,20,3,ok
S2,T,published_v2,linear,full_information,736,development_test,weighted_pava_nonincreasing,90.0,4.536784580884114,-0.012719267275272079,-0.022347904041130174,,,39.167827683687406,,22.409912054797175,79.2079645372589,20,3,ok
S2,T,published_v2,pchip,full_information,736,development_test,raw,120.0,4.840965622029784,-0.015049772981851572,-0.022104519037631404,,,29.632068598678185,,2.589638993551927,50.91206390271938,20,3,ok
S2,T,published_v2,pchip,full_information,736,development_test,weighted_pava_nonincreasing,120.0,4.693892363564189,-0.015056344273642483,-0.022101706166867303,,,29.632068598678185,,21.18910635492402,68.54214602708149,20,3,ok
S2,T,published_v2,random_forest,full_information,736,development_test,raw,3.0,0.11918964581906263,-0.023781685911038856,0.00024132019166582183,,,365.0,right,5.634677272777229,365.0,20,3,ok
S2,T,published_v2,random_forest,full_information,736,development_test,weighted_pava_nonincreasing,3.0,1.4673837793916063e-24,-0.012637864203019723,-5.342948306008566e-16,,,365.0,right,365.0,365.0,20,3,ok
S2,T,published_v2,xgboost,full_information,736,development_test,raw,21.0,0.20651604576074056,0.0043831841292724305,0.0001490947814405813,,,365.0,right,6.127361332017465,365.0,20,3,ok
S2,T,published_v2,xgboost,full_information,736,development_test,weighted_pava_nonincreasing,3.0,1.89826040701018e-24,-3.8255360958252856e-16,-6.067467685128235e-16,,,365.0,right,365.0,365.0,20,3,ok
