experiment,mask_type,layout,outage_mode,overlap_ratio,pattern,window_length,training_protocol,fit_split,tuning_split,evaluation_split,validation_scope,target_station_id,station_id,target,gap_length,model,failed_station_id,full_network_value,failed_value,full_network_climatology_value,failed_climatology_value,full_network_best_model,failed_best_model,full_network_best_model_counts,failed_best_model_counts,impact,value_metric,impact_definition,hard_cap_model,n_events,reason,status
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,90.0,best_available,S2,0.37442715072151644,0.3897570031981572,1.2955555327733357,1.2955555327733357,kalman,kalman,"{""climatology"":1,""donor_regression"":1,""kalman"":8,""linear"":2,""pchip"":4,""xgboost"":4}","{""air_only"":1,""climatology"":1,""kalman"":11,""linear"":3,""pchip"":4}",0.015329852476640819,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,180.0,best_available,B1,0.8155253741165595,0.8079987856581703,1.2178888705041673,1.2178888705041673,xgboost,donor_regression,"{""climatology"":1,""kalman"":7,""pchip"":3,""xgboost"":9}","{""climatology"":2,""donor_regression"":6,""kalman"":6,""pchip"":3,""xgboost"":3}",-0.007526588458389316,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,180.0,best_available,P3,0.8155253741165595,0.8251511765525061,1.2178888705041673,1.2178888705041673,xgboost,kalman,"{""climatology"":1,""kalman"":7,""pchip"":3,""xgboost"":9}","{""climatology"":2,""kalman"":7,""pchip"":3,""random_forest"":1,""xgboost"":7}",0.00962580243594659,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,180.0,best_available,S2,0.8155253741165595,0.8644575616610514,1.2178888705041673,1.2178888705041673,xgboost,kalman,"{""climatology"":1,""kalman"":7,""pchip"":3,""xgboost"":9}","{""air_only"":1,""climatology"":4,""donor_regression"":2,""kalman"":10,""pchip"":3}",0.048932187544491836,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,10.0,best_available,B1,0.19896401544382375,0.23434355668784276,0.6955000388622284,0.6955000388622284,pchip,pchip,"{""air_hydro"":1,""donor_regression"":2,""kalman"":2,""linear"":4,""pchip"":7,""random_forest"":4}","{""air_hydro"":2,""climatology"":3,""kalman"":3,""linear"":4,""pchip"":8}",0.03537954124401899,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,10.0,best_available,P3,0.19896401544382375,0.20085071067459329,0.6955000388622284,0.6955000388622284,pchip,pchip,"{""air_hydro"":1,""donor_regression"":2,""kalman"":2,""linear"":4,""pchip"":7,""random_forest"":4}","{""air_hydro"":1,""climatology"":1,""donor_regression"":1,""kalman"":2,""linear"":4,""pchip"":7,""random_forest"":4}",0.0018866952307695292,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,10.0,best_available,S2,0.19896401544382375,0.1923043423267931,0.6955000388622284,0.6955000388622284,pchip,pchip,"{""air_hydro"":1,""donor_regression"":2,""kalman"":2,""linear"":4,""pchip"":7,""random_forest"":4}","{""air_hydro"":1,""air_only"":1,""donor_regression"":2,""kalman"":2,""linear"":4,""pchip"":7,""random_forest"":3}",-0.006659673117030635,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,30.0,best_available,B1,0.3296951601840881,0.376474817450359,0.6738333268960316,0.6738333268960316,pchip,pchip,"{""air_only"":1,""donor_regression"":4,""kalman"":3,""linear"":3,""pchip"":5,""random_forest"":1,""xgboost"":3}","{""air_hydro"":2,""air_only"":2,""climatology"":1,""kalman"":3,""linear"":5,""pchip"":6,""xgboost"":1}",0.04677965726627089,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,30.0,best_available,P3,0.3296951601840881,0.329604588119747,0.6738333268960316,0.6738333268960316,pchip,xgboost,"{""air_only"":1,""donor_regression"":4,""kalman"":3,""linear"":3,""pchip"":5,""random_forest"":1,""xgboost"":3}","{""air_only"":1,""donor_regression"":2,""kalman"":3,""linear"":3,""pchip"":4,""random_forest"":3,""xgboost"":4}",-9.057206434109483e-05,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,30.0,best_available,S2,0.3296951601840881,0.3267813455649172,0.6738333268960316,0.6738333268960316,pchip,donor_regression,"{""air_only"":1,""donor_regression"":4,""kalman"":3,""linear"":3,""pchip"":5,""random_forest"":1,""xgboost"":3}","{""air_hydro"":1,""air_only"":1,""donor_regression"":4,""kalman"":3,""linear"":3,""pchip"":4,""random_forest"":3,""xgboost"":1}",-0.0029138146191708863,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,90.0,best_available,B1,0.4578147808164882,0.5470270624502271,0.6735277616977692,0.6735277616977692,donor_regression,air_hydro,"{""air_hydro"":2,""donor_regression"":6,""kalman"":4,""pchip"":1,""random_forest"":2,""xgboost"":5}","{""air_hydro"":5,""air_only"":4,""climatology"":1,""kalman"":4,""linear"":3,""pchip"":3}",0.08921228163373886,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,90.0,best_available,P3,0.4578147808164882,0.4506347044959337,0.6735277616977692,0.6735277616977692,donor_regression,donor_regression,"{""air_hydro"":2,""donor_regression"":6,""kalman"":4,""pchip"":1,""random_forest"":2,""xgboost"":5}","{""air_hydro"":2,""air_only"":1,""donor_regression"":6,""kalman"":4,""pchip"":1,""random_forest"":5,""xgboost"":1}",-0.00718007632055446,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,90.0,best_available,S2,0.4578147808164882,0.4383623159034199,0.6735277616977692,0.6735277616977692,donor_regression,random_forest,"{""air_hydro"":2,""donor_regression"":6,""kalman"":4,""pchip"":1,""random_forest"":2,""xgboost"":5}","{""air_hydro"":4,""donor_regression"":6,""kalman"":2,""pchip"":2,""random_forest"":6}",-0.01945246491306819,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,180.0,best_available,B1,0.4771976009630479,0.5858779440579002,0.6510416666666667,0.6510416666666667,donor_regression,air_hydro,"{""air_hydro"":4,""donor_regression"":9,""random_forest"":1,""xgboost"":6}","{""air_hydro"":14,""air_only"":5,""pchip"":1}",0.10868034309485244,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,180.0,best_available,P3,0.4771976009630479,0.4920227324456756,0.6510416666666667,0.6510416666666667,donor_regression,xgboost,"{""air_hydro"":4,""donor_regression"":9,""random_forest"":1,""xgboost"":6}","{""air_hydro"":6,""donor_regression"":6,""random_forest"":1,""xgboost"":7}",0.014825131482627717,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,S2,S2,T,180.0,best_available,S2,0.4771976009630479,0.47065527492519477,0.6510416666666667,0.6510416666666667,donor_regression,donor_regression,"{""air_hydro"":4,""donor_regression"":9,""random_forest"":1,""xgboost"":6}","{""air_hydro"":5,""donor_regression"":9,""pchip"":1,""random_forest"":5}",-0.006542326037852988,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
