experiment,mask_type,layout,outage_mode,overlap_ratio,pattern,window_length,training_protocol,fit_split,tuning_split,evaluation_split,validation_scope,target_station_id,station_id,target,model,gap_length,data_version,failed_stations,failure_count,failure_fraction,MAE,skill,n_units,status
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,30.0,published_v2,"[""S2""]",1,0.3333333333333333,0.7571666431427002,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,30.0,published_v2,[],0,0.0,0.7571666431427002,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,90.0,published_v2,"[""B1"",""P3""]",2,0.6666666666666666,0.6991110970576604,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,90.0,published_v2,"[""B1"",""S2"",""P3""]",3,1.0,0.6991110970576604,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,90.0,published_v2,"[""B1"",""S2""]",2,0.6666666666666666,0.6991110970576604,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,90.0,published_v2,"[""B1""]",1,0.3333333333333333,0.6991110970576604,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,90.0,published_v2,"[""P3""]",1,0.3333333333333333,0.6991110970576604,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,90.0,published_v2,"[""S2"",""P3""]",2,0.6666666666666666,0.6991110970576604,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,90.0,published_v2,"[""S2""]",1,0.3333333333333333,0.6991110970576604,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,90.0,published_v2,[],0,0.0,0.6991110970576604,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,180.0,published_v2,"[""B1"",""P3""]",2,0.6666666666666666,0.7175138778818978,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,180.0,published_v2,"[""B1"",""S2"",""P3""]",3,1.0,0.7175138778818978,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,180.0,published_v2,"[""B1"",""S2""]",2,0.6666666666666666,0.7175138778818978,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,180.0,published_v2,"[""B1""]",1,0.3333333333333333,0.7175138778818978,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,180.0,published_v2,"[""P3""]",1,0.3333333333333333,0.7175138778818978,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,180.0,published_v2,"[""S2"",""P3""]",2,0.6666666666666666,0.7175138778818978,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,180.0,published_v2,"[""S2""]",1,0.3333333333333333,0.7175138778818978,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,180.0,published_v2,[],0,0.0,0.7175138778818978,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,10.0,published_v2,"[""B1"",""P3""]",2,0.6666666666666666,0.4501168524195899,-0.06888170630398527,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,10.0,published_v2,"[""B1"",""S2"",""P3""]",3,1.0,2.921653698071389,-6.65162997273203,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,10.0,published_v2,"[""B1"",""S2""]",2,0.6666666666666666,2.7951301906040285,-6.314864780291511,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,10.0,published_v2,"[""B1""]",1,0.3333333333333333,0.45601899949362606,-0.18190306848693744,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,10.0,published_v2,"[""P3""]",1,0.3333333333333333,0.4501168524195899,-0.06888170630398527,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,10.0,published_v2,"[""S2"",""P3""]",2,0.6666666666666666,2.921653698071389,-6.65162997273203,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,10.0,published_v2,"[""S2""]",1,0.3333333333333333,2.7951301906040285,-6.314864780291511,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,10.0,published_v2,[],0,0.0,0.45601899949362606,-0.18190306848693744,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,published_v2,"[""B1"",""P3""]",2,0.6666666666666666,0.49574124710461787,0.2005056073972616,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,published_v2,"[""B1"",""S2"",""P3""]",3,1.0,3.041571996047851,-4.635184434256281,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,published_v2,"[""B1"",""S2""]",2,0.6666666666666666,2.8570708856782674,-4.276419974426203,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,published_v2,"[""B1""]",1,0.3333333333333333,0.5210180797193615,0.08740979319173245,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,published_v2,"[""P3""]",1,0.3333333333333333,0.49574124710461787,0.2005056073972616,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,published_v2,"[""S2"",""P3""]",2,0.6666666666666666,3.041571996047851,-4.635184434256281,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,published_v2,"[""S2""]",1,0.3333333333333333,2.8570708856782674,-4.276419974426203,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,30.0,published_v2,[],0,0.0,0.5210180797193615,0.08740979319173245,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,90.0,published_v2,"[""B1"",""P3""]",2,0.6666666666666666,0.5093781709492913,0.15424189391934937,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,90.0,published_v2,"[""B1"",""S2"",""P3""]",3,1.0,3.147177048192769,-4.956434470187796,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,donor_regression,90.0,published_v2,"[""B1"",""S2""]",2,0.6666666666666666,2.9496459471498335,-4.554398597212037,20,ok
