panel,horizon,n_units,n_networks,rung,network_spearman,pooled_spearman
first,7,219,42,r2_gap_only,,
first,7,219,42,r3_gap_season,0.113428599062557,0.02893783073324845
first,7,219,42,r4_network_mean,0.713475407179321,0.5185103096216487
first,7,219,42,r5_network_x_horizon,0.9301515274288956,0.638662061552869
first,7,219,42,r6_station_x_horizon,0.9301515274288956,0.8382724180129849
first,7,219,42,r7_empirical_curve,0.9345271858034196,0.8431924373760677
first,7,219,42,r8_simple_routeA,-0.08970099667774087,0.09126897985764393
first,7,219,42,r10_blocked_cv_mean,,
first,7,219,42,r11_risk_surface,0.7595008508224618,0.7034145954250706
first,7,219,42,r12_meta_stack,0.15063609107851877,0.24109754191045832
first,14,219,42,r1_global_mean,,
first,14,219,42,r2_gap_only,,
first,14,219,42,r3_gap_season,-0.08411467539958463,-0.10073590328796715
first,14,219,42,r4_network_mean,0.7659833076736083,0.47717455788192176
first,14,219,42,r5_network_x_horizon,0.7659833076736083,0.47717455788192176
first,14,219,42,r6_station_x_horizon,0.7659833076736083,0.47717455788192176
first,14,219,42,r7_empirical_curve,0.7659833076736083,0.47717455788192176
first,14,219,42,r8_simple_routeA,0.20800583421116603,0.3337290207593086
first,14,219,42,r10_blocked_cv_mean,,
first,14,219,42,r11_risk_surface,0.851713799530022,0.771789556200825
first,14,219,42,r12_meta_stack,0.44299489506522977,0.4642888663752136
first,30,219,42,r1_global_mean,,
first,30,219,42,r2_gap_only,-0.08798269900380042,
first,30,219,42,r3_gap_season,-0.09388598328724208,0.05000215172079922
first,30,219,42,r4_network_mean,0.7849444939632121,0.43819304139424436
first,30,219,42,r5_network_x_horizon,0.8857466979985414,0.6003345628234104
first,30,219,42,r6_station_x_horizon,0.8857466979985414,0.8278765648994293
first,30,219,42,r7_empirical_curve,0.8888258650028361,0.8311054345922914
first,30,219,42,r8_simple_routeA,0.29260189611862897,0.3670398848355365
first,30,219,42,r10_blocked_cv_mean,,
first,30,219,42,r11_risk_surface,0.857061826432218,0.807523325822028
first,30,219,42,r12_meta_stack,0.3835183534559598,0.4662184240291568
first,60,219,42,r1_global_mean,,
first,60,219,42,r2_gap_only,0.14817344521089768,
first,60,219,42,r3_gap_season,-0.08932603960633528,0.013740172624958252
first,60,219,42,r4_network_mean,0.7366501904221701,0.41596958657323285
first,60,219,42,r5_network_x_horizon,0.7366501904221701,0.41596958657323285
first,60,219,42,r6_station_x_horizon,0.7366501904221701,0.41596958657323285
first,60,219,42,r7_empirical_curve,0.7366501904221701,0.41596958657323285
first,60,219,42,r8_simple_routeA,0.476703670691192,0.40832885852365564
first,60,219,42,r10_blocked_cv_mean,,
first,60,219,42,r11_risk_surface,0.8074710315209465,0.783061232834825
first,60,219,42,r12_meta_stack,0.5753990762498987,0.5026894558250598
first,90,219,42,r1_global_mean,,
first,90,219,42,r2_gap_only,,
first,90,219,42,r3_gap_season,-0.15503824558186866,-0.045873318420656645
first,90,219,42,r4_network_mean,0.7272506279880075,0.4853011858828652
first,90,219,42,r5_network_x_horizon,0.8027712503038652,0.5709706518833848
first,90,219,42,r6_station_x_horizon,0.8027712503038652,0.7600080029467937
