network_id,role,site_id,variable,information_group,target_start,request_start,request_end,n_target_calendar_days,n_expected_provider_days,n_provider_rows,n_provider_eligible_rows,provider_row_coverage,eligible_coverage,pre_power_archive_days,source_status
huc8_05040001,development,03127986,P,M,2015-06-24,2015-06-24,2025-11-17,3800,3800,3800,3800,1.0,1.0,0,materialized
huc8_05040001,development,03127986,W,M,2015-06-24,2015-06-24,2025-11-17,3800,3800,3800,3800,1.0,1.0,0,materialized
huc8_05040001,development,03127986,RH,M,2015-06-24,2015-06-24,2025-11-17,3800,3800,3800,3800,1.0,1.0,0,materialized
huc8_05040001,development,03127986,Rs,M,2015-06-24,2015-06-24,2025-11-17,3800,3800,3800,3800,1.0,1.0,0,materialized
huc8_05040001,development,03127986,F,H,2015-06-24,2015-06-24,2025-11-17,3800,3800,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03127986,L,H,2015-06-24,2015-06-24,2025-11-17,3800,3800,2879,2879,0.7576315789473684,0.7576315789473684,0,materialized
huc8_05040001,development,03127989,Ta,M,2015-06-25,2015-06-25,2025-10-20,3771,3771,3771,3771,1.0,1.0,0,materialized
huc8_05040001,development,03127989,P,M,2015-06-25,2015-06-25,2025-10-20,3771,3771,3771,3771,1.0,1.0,0,materialized
huc8_05040001,development,03127989,W,M,2015-06-25,2015-06-25,2025-10-20,3771,3771,3771,3771,1.0,1.0,0,materialized
huc8_05040001,development,03127989,RH,M,2015-06-25,2015-06-25,2025-10-20,3771,3771,3771,3771,1.0,1.0,0,materialized
huc8_05040001,development,03127989,Rs,M,2015-06-25,2015-06-25,2025-10-20,3771,3771,3771,3771,1.0,1.0,0,materialized
huc8_05040001,development,03127989,F,H,2015-06-25,2015-06-25,2025-10-20,3771,3771,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03127989,L,H,2015-06-25,2015-06-25,2025-10-20,3771,3771,2891,2891,0.7666401485017237,0.7666401485017237,0,materialized
