network_id,n_sites,n_gages_matched,frac_major_dam,regulated,mean_drain_sqkm,aggecoregion,seplains,matchable,achieved_skill,recoverability_r,donor_r2,acf30,heuristic_explained_variance,donor_mae,n_station_gap_rows,spearman_operator_r_vs_achieved_skill,spearman_donor_r2_vs_achieved_skill,mean_bfi,n_bfi_matched
pecos_river_huc13,4,0,,False,,,,False,0.9359039321436572,0.9636352191639034,0.900169657564614,-0.0601791101088795,0.9068592724670018,0.4225211045487261,3.0,0.6655391120507399,0.804369274136716,,0
platte_river_huc10,4,0,,False,,,,False,,,,,,,,,,,0
red_river_of_the_north_huc09,5,1,1.0,True,17195.9,CntlPlains,False,True,,,,,,,,,,44.3,1
reedy_creek_huc03,5,1,0.0,False,257.8,SECstPlain,False,True,,,,,,,,,,45.4,1
rock_creek_huc17,4,0,,False,,,,False,0.749161363058603,0.7621653347098839,0.3977019827064096,0.1052861572122889,0.4394661767934347,1.0579700125080294,3.0,0.6655391120507399,0.804369274136716,74.94999999999999,2
rogue_river_huc17,8,5,1.0,True,4627.4800000000005,WestMnts,False,True,,,,,,,,,,70.02,5
saluda_river_huc03,4,3,1.0,True,4620.233333333334,SEPlains,True,True,0.6923580066668317,0.8338286735291983,0.2452081917898068,0.4922136761156841,0.6173731810314189,1.3299674333419975,3.0,0.6655391120507399,0.804369274136716,57.43333333333334,3
san_joaquin_r_huc18,4,1,1.0,True,30039.7,WestXeric,False,True,,,,,,,,,,46.0,1
sauk_river_huc17,4,0,,False,,,,False,0.9375771715849288,0.9374892038574132,0.9167543778093232,0.146501577798369,0.9254205159094152,0.2260909881074137,3.0,0.6655391120507399,0.804369274136716,58.25,2
savannah_river_huc03,6,0,,False,,,,False,0.976143316122965,0.986495408548927,0.9597574262683392,0.1972297185710256,0.9741001011754112,0.1274075753655541,5.0,0.6655391120507399,0.804369274136716,,0
shenango_river_huc05,4,1,1.0,True,1523.4,NorthEast,False,True,,,,,,,,,,36.95,2
sheyenne_r_huc09,4,1,1.0,True,3955.0,CntlPlains,False,True,0.8780642847564105,0.8756787726881082,0.7224940359377351,0.0563079967878932,0.7532678013726297,0.7999415628743284,3.0,0.6655391120507399,0.804369274136716,24.5,2
sheyenne_river_huc09,4,2,1.0,True,8939.55,CntlPlains,False,True,,,,,,,,,,24.433333333333337,3
skagit_river_huc17,4,0,,False,,,,False,0.8705259424156546,0.9732078161773,0.1771589254630768,0.3897741778459722,0.4508603212049213,0.3775461704571192,3.0,0.6655391120507399,0.804369274136716,,0
snake_river_huc17,13,3,1.0,True,22895.3,WestMnts,False,True,,,,,,,,,,76.36,5
south_river_huc03,4,2,0.0,False,32.8,SEPlains,True,True,0.917860663928702,0.9491847320271796,0.9425170655798812,0.1070245111325242,0.9451648908321538,0.4106881603197963,3.0,0.6655391120507399,0.804369274136716,45.8,2
south_santiam_river_huc17,4,2,0.5,True,951.5500000000001,WestMnts,False,True,,,,,,,,,,53.53333333333334,3
st_johns_river_huc03,5,0,,False,,,,False,,,,,,,,,,47.525000000000006,4
trinity_rv_huc12,7,2,1.0,True,28507.5,WestPlains,False,True,0.9312769057926932,0.9999832325135846,0.7568200774782561,0.2283387075913613,0.8090661613930173,0.4277634715562321,6.0,0.6655391120507399,0.804369274136716,12.325000000000001,4
truckee_rv_huc16,5,2,1.0,True,3620.8,WestMnts,False,True,,,,,,,,,,67.36666666666666,3
tualatin_river_huc17,4,0,,False,,,,False,,,,,,,,,,49.4,1
village_creek_huc03,4,1,0.0,False,85.9,EastHghlnds,False,True,0.8824194506867556,0.9120004409683568,0.8887364400829968,0.0838199206735814,0.8942449673221239,0.4267434805687773,3.0,0.6655391120507399,0.804369274136716,37.4,1
waccamaw_river_huc03,6,2,0.0,False,3298.95,SECstPlain,False,True,0.9386729911928832,0.973481579074069,0.8987991112789029,0.1976713204147961,0.923389583884642,0.3723486878799725,5.0,0.6655391120507399,0.804369274136716,48.6,2
walker_rv_huc16,4,1,1.0,True,7032.1,WestXeric,False,True,,,,,,,,,,67.8,1
white_river_huc05,4,2,1.0,True,17557.05,CntlPlains,False,True,0.9189839916059932,0.9358361681210507,0.8018320723227798,0.15882878820929,0.8369450354308894,0.6200616335609409,3.0,0.6655391120507399,0.804369274136716,28.85,2
white_river_huc11,7,1,1.0,True,25801.9,EastHghlnds,False,True,0.3266112436639012,0.9999230422916928,0.7133111669279885,0.7137936236200119,0.9202448624576568,0.9976728773507708,5.0,0.6655391120507399,0.804369274136716,33.25,2
white_river_huc14,3,0,,False,,,,False,,,,,,,,,,69.4,2
white_river_huc17,4,0,,False,,,,False,0.956325457680582,0.9353748549080356,0.7873027407909244,0.2241346717760205,0.8041294340042892,0.1602939903672774,3.0,0.6655391120507399,0.804369274136716,,0
wichita_rv_huc11,5,4,1.0,True,6761.65,WestPlains,False,True,,,,,,,,,,17.875,4
withlacoochee_river_huc03,4,0,,False,,,,False,,,,,,,,,,42.6,3
yellow_river_huc03,4,1,1.0,True,418.4,SEPlains,True,True,,,,,,,,,,50.23333333333333,3
yellow_river_huc07,4,0,,False,,,,False,0.977783083127508,0.9791706209622548,0.9267341715721268,0.1184285665598899,0.9295501220127432,0.1526947581541049,3.0,0.6655391120507399,0.804369274136716,60.4,1
youghiogheny_river_huc05,5,3,1.0,True,2737.133333333333,EastHghlnds,False,True,0.9208904363007115,0.9492287176827016,0.7550331644176058,0.3044374528919101,0.8464499766733911,0.4947465961701507,4.0,0.6655391120507399,0.804369274136716,38.599999999999994,4
