network_id,achieved_skill,recoverability_r,donor_r2,acf30,heuristic_explained_variance,donor_mae,n_station_gap_rows,spearman_operator_r_vs_achieved_skill,spearman_donor_r2_vs_achieved_skill
johnson_creek_huc17,0.9058229181399157,0.9125168721497378,0.9040936448889999,0.10726031185528974,0.908986854415298,0.42080965030457446,3,0.6655391120507399,0.804369274136716
kankakee_river_huc07,0.951082424624752,0.9662782160061674,0.8992179966986577,0.08214146611925624,0.907639672978416,0.36982954849389615,5,0.6655391120507399,0.804369274136716
klamath_river_huc18,0.9678458394105189,0.9649588150630135,0.9341171336859714,0.16933315470306878,0.9477550987608163,0.22039034731759735,4,0.6655391120507399,0.804369274136716
kootenai_river_huc17,0.9012546641954869,0.9353634923002221,0.8054798173433086,0.33642234429108814,0.8817482461586955,0.42348957751816724,3,0.6655391120507399,0.804369274136716
link_river_huc18,0.9792760183822208,0.9882564698538617,0.9836985902772929,0.137036469260072,0.9858913883695543,0.14494455668507103,3,0.6655391120507399,0.804369274136716
manistee_river_huc04,0.8949967704618652,0.9208508002667215,0.7433035860941334,0.13447916631939524,0.8026764885658567,0.6808743359214192,3,0.6655391120507399,0.804369274136716
mill_creek_huc05,0.7270713274351565,0.8656721214588038,0.38160855023453477,0.18217355222809464,0.5823366464707173,1.8447247480386917,3,0.6655391120507399,0.804369274136716
muskegon_river_huc04,0.9305369786982107,0.9600164722502258,0.7668400097862788,0.19770601228845505,0.8700063753781768,0.5029581318411186,4,0.6655391120507399,0.804369274136716
nancy_creek_huc03,0.9778568161182847,0.9746198746280338,0.9411680898200873,0.11559714298418249,0.944969692489266,0.12678774648548377,3,0.6655391120507399,0.804369274136716
peace_river_huc03,0.9211179457784241,0.9414432494351397,0.9347372716301777,-0.07059080443635701,0.9377861318330473,0.288145347557659,3,0.6655391120507399,0.804369274136716
pecos_river_huc13,0.9359039321436571,0.9636352191639034,0.900169657564614,-0.06017911010887957,0.9068592724670018,0.4225211045487261,3,0.6655391120507399,0.804369274136716
rock_creek_huc17,0.749161363058603,0.7621653347098839,0.3977019827064096,0.10528615721228891,0.4394661767934347,1.0579700125080294,3,0.6655391120507399,0.804369274136716
saluda_river_huc03,0.6923580066668317,0.8338286735291983,0.24520819178980682,0.4922136761156841,0.6173731810314189,1.3299674333419977,3,0.6655391120507399,0.804369274136716
sauk_river_huc17,0.9375771715849289,0.9374892038574133,0.9167543778093231,0.14650157779836906,0.9254205159094152,0.2260909881074137,3,0.6655391120507399,0.804369274136716
savannah_river_huc03,0.976143316122965,0.986495408548927,0.9597574262683392,0.19722971857102561,0.9741001011754113,0.12740757536555414,5,0.6655391120507399,0.804369274136716
sheyenne_r_huc09,0.8780642847564105,0.8756787726881082,0.7224940359377351,0.05630799678789327,0.7532678013726297,0.7999415628743284,3,0.6655391120507399,0.804369274136716
skagit_river_huc17,0.8705259424156546,0.9732078161773,0.1771589254630768,0.38977417784597224,0.4508603212049213,0.37754617045711925,3,0.6655391120507399,0.804369274136716
south_river_huc03,0.9178606639287019,0.9491847320271795,0.9425170655798811,0.1070245111325242,0.9451648908321538,0.4106881603197963,3,0.6655391120507399,0.804369274136716
trinity_rv_huc12,0.9312769057926932,0.9999832325135846,0.7568200774782561,0.22833870759136132,0.8090661613930173,0.4277634715562321,6,0.6655391120507399,0.804369274136716
village_creek_huc03,0.8824194506867556,0.9120004409683569,0.8887364400829968,0.0838199206735814,0.8942449673221239,0.4267434805687773,3,0.6655391120507399,0.804369274136716
waccamaw_river_huc03,0.9386729911928832,0.973481579074069,0.8987991112789029,0.1976713204147961,0.9233895838846419,0.37234868787997255,5,0.6655391120507399,0.804369274136716
white_river_huc05,0.9189839916059932,0.9358361681210509,0.8018320723227798,0.15882878820929006,0.8369450354308894,0.6200616335609409,3,0.6655391120507399,0.804369274136716
white_river_huc11,0.32661124366390126,0.9999230422916929,0.7133111669279885,0.7137936236200119,0.9202448624576569,0.9976728773507709,5,0.6655391120507399,0.804369274136716
white_river_huc17,0.9563254576805819,0.9353748549080355,0.7873027407909244,0.22413467177602056,0.8041294340042892,0.16029399036727743,3,0.6655391120507399,0.804369274136716
yellow_river_huc07,0.977783083127508,0.9791706209622548,0.9267341715721269,0.11842856655988998,0.9295501220127432,0.15269475815410494,3,0.6655391120507399,0.804369274136716
youghiogheny_river_huc05,0.9208904363007115,0.9492287176827015,0.7550331644176058,0.3044374528919101,0.8464499766733911,0.49474659617015077,4,0.6655391120507399,0.804369274136716
