network_id,level,stage,n
huc8_05010005,station,rejected_sentinel,0
huc8_05010006,station,locked_network_members,6
huc8_05010006,station,registered_raw_objects,6
huc8_05010006,station,parsed_nonempty,6
huc8_05010006,station,qc_verdict_accepted,6
huc8_05010006,station,qualified_years_ge_6,5
huc8_05010006,station,rejected_sentinel,0
huc8_05010007,station,locked_network_members,4
huc8_05010007,station,registered_raw_objects,4
huc8_05010007,station,parsed_nonempty,4
huc8_05010007,station,qc_verdict_accepted,4
huc8_05010007,station,qualified_years_ge_6,4
huc8_05010007,station,rejected_sentinel,0
huc8_05020001,station,locked_network_members,3
huc8_05020001,station,registered_raw_objects,3
huc8_05020001,station,parsed_nonempty,3
huc8_05020001,station,qc_verdict_accepted,3
huc8_05020001,station,qualified_years_ge_6,3
huc8_05020001,station,rejected_sentinel,0
huc8_05020004,station,locked_network_members,3
huc8_05020004,station,registered_raw_objects,3
huc8_05020004,station,parsed_nonempty,3
huc8_05020004,station,qc_verdict_accepted,3
huc8_05020004,station,qualified_years_ge_6,1
huc8_05020004,station,rejected_sentinel,0
huc8_05020005,station,locked_network_members,5
huc8_05020005,station,registered_raw_objects,5
huc8_05020005,station,parsed_nonempty,5
huc8_05020005,station,qc_verdict_accepted,4
huc8_05020005,station,qualified_years_ge_6,4
huc8_05020005,station,rejected_sentinel,1
huc8_05020006,station,locked_network_members,6
huc8_05020006,station,registered_raw_objects,6
huc8_05020006,station,parsed_nonempty,6
huc8_05020006,station,qc_verdict_accepted,6
huc8_05020006,station,qualified_years_ge_6,5
huc8_05020006,station,rejected_sentinel,0
huc8_05030102,station,locked_network_members,5
huc8_05030102,station,registered_raw_objects,5
huc8_05030102,station,parsed_nonempty,5
huc8_05030102,station,qc_verdict_accepted,5
huc8_05030102,station,qualified_years_ge_6,5
huc8_05030102,station,rejected_sentinel,0
huc8_05040001,station,locked_network_members,11
huc8_05040001,station,registered_raw_objects,11
huc8_05040001,station,parsed_nonempty,11
huc8_05040001,station,qc_verdict_accepted,11
huc8_05040001,station,qualified_years_ge_6,11
huc8_05040001,station,rejected_sentinel,0
huc8_05040005,station,locked_network_members,3
huc8_05040005,station,registered_raw_objects,3
huc8_05040005,station,parsed_nonempty,3
huc8_05040005,station,qc_verdict_accepted,3
huc8_05040005,station,qualified_years_ge_6,3
huc8_05040005,station,rejected_sentinel,0
huc8_05060001,station,locked_network_members,4
huc8_05060001,station,registered_raw_objects,4
huc8_05060001,station,parsed_nonempty,4
huc8_05060001,station,qc_verdict_accepted,2
huc8_05060001,station,qualified_years_ge_6,0
huc8_05060001,station,rejected_sentinel,2
huc8_05090203,station,locked_network_members,4
huc8_05090203,station,registered_raw_objects,4
huc8_05090203,station,parsed_nonempty,4
huc8_05090203,station,qc_verdict_accepted,4
huc8_05090203,station,qualified_years_ge_6,3
huc8_05090203,station,rejected_sentinel,0
huc8_05100101,station,locked_network_members,3
huc8_05100101,station,registered_raw_objects,3
huc8_05100101,station,parsed_nonempty,3
huc8_05100101,station,qc_verdict_accepted,2
huc8_05100101,station,qualified_years_ge_6,2
huc8_05100101,station,rejected_sentinel,1
huc8_05100205,station,locked_network_members,4
huc8_05100205,station,registered_raw_objects,4
huc8_05100205,station,parsed_nonempty,4
huc8_05100205,station,qc_verdict_accepted,3
huc8_05100205,station,qualified_years_ge_6,2
huc8_05100205,station,rejected_sentinel,1
huc8_05110001,station,locked_network_members,5
huc8_05110001,station,registered_raw_objects,5
huc8_05110001,station,parsed_nonempty,5
huc8_05110001,station,qc_verdict_accepted,3
huc8_05110001,station,qualified_years_ge_6,3
huc8_05110001,station,rejected_sentinel,2
huc8_05120201,station,locked_network_members,5
huc8_05120201,station,registered_raw_objects,5
huc8_05120201,station,parsed_nonempty,5
huc8_05120201,station,qc_verdict_accepted,5
huc8_05120201,station,qualified_years_ge_6,5
huc8_05120201,station,rejected_sentinel,0
huc8_05130202,station,locked_network_members,3
huc8_05130202,station,registered_raw_objects,3
huc8_05130202,station,parsed_nonempty,3
huc8_05130202,station,qc_verdict_accepted,3
huc8_05130202,station,qualified_years_ge_6,3
huc8_05130202,station,rejected_sentinel,0
huc8_05130204,station,locked_network_members,4
huc8_05130204,station,registered_raw_objects,4
huc8_05130204,station,parsed_nonempty,4
huc8_05130204,station,qc_verdict_accepted,4
huc8_05130204,station,qualified_years_ge_6,2
huc8_05130204,station,rejected_sentinel,0
huc8_05140101,station,locked_network_members,10
huc8_05140101,station,registered_raw_objects,10
huc8_05140101,station,parsed_nonempty,10
huc8_05140101,station,qc_verdict_accepted,10
huc8_05140101,station,qualified_years_ge_6,8
huc8_05140101,station,rejected_sentinel,0
huc8_05140102,station,locked_network_members,14
huc8_05140102,station,registered_raw_objects,14
huc8_05140102,station,parsed_nonempty,14
huc8_05140102,station,qc_verdict_accepted,13
huc8_05140102,station,qualified_years_ge_6,13
huc8_05140102,station,rejected_sentinel,1
huc8_07040006,station,locked_network_members,4
huc8_07040006,station,registered_raw_objects,4
huc8_07040006,station,parsed_nonempty,4
huc8_07040006,station,qc_verdict_accepted,4
huc8_07040006,station,qualified_years_ge_6,4
huc8_07040006,station,rejected_sentinel,0
huc8_07050002,station,locked_network_members,3
huc8_07050002,station,registered_raw_objects,3
huc8_07050002,station,parsed_nonempty,3
huc8_07050002,station,qc_verdict_accepted,0
huc8_07050002,station,qualified_years_ge_6,0
huc8_07050002,station,rejected_sentinel,3
huc8_07070005,station,locked_network_members,4
huc8_07070005,station,registered_raw_objects,4
huc8_07070005,station,parsed_nonempty,4
huc8_07070005,station,qc_verdict_accepted,4
huc8_07070005,station,qualified_years_ge_6,3
huc8_07070005,station,rejected_sentinel,0
huc8_07100006,station,locked_network_members,3
huc8_07100006,station,registered_raw_objects,3
huc8_07100006,station,parsed_nonempty,3
huc8_07100006,station,qc_verdict_accepted,0
huc8_07100006,station,qualified_years_ge_6,0
huc8_07100006,station,rejected_sentinel,3
huc8_07120001,station,locked_network_members,9
huc8_07120001,station,registered_raw_objects,9
huc8_07120001,station,parsed_nonempty,9
huc8_07120001,station,qc_verdict_accepted,9
huc8_07120001,station,qualified_years_ge_6,9
huc8_07120001,station,rejected_sentinel,0
huc8_07120004,station,locked_network_members,4
huc8_07120004,station,registered_raw_objects,4
huc8_07120004,station,parsed_nonempty,4
huc8_07120004,station,qc_verdict_accepted,4
huc8_07120004,station,qualified_years_ge_6,3
huc8_07120004,station,rejected_sentinel,0
huc8_10020004,station,locked_network_members,6
huc8_10020004,station,registered_raw_objects,6
huc8_10020004,station,parsed_nonempty,6
huc8_10020004,station,qc_verdict_accepted,1
huc8_10020004,station,qualified_years_ge_6,0
huc8_10020004,station,rejected_sentinel,5
huc8_10020005,station,locked_network_members,4
huc8_10020005,station,registered_raw_objects,4
huc8_10020005,station,parsed_nonempty,4
huc8_10020005,station,qc_verdict_accepted,4
huc8_10020005,station,qualified_years_ge_6,1
huc8_10020005,station,rejected_sentinel,0
huc8_10160003,station,locked_network_members,4
huc8_10160003,station,registered_raw_objects,4
huc8_10160003,station,parsed_nonempty,4
huc8_10160003,station,qc_verdict_accepted,4
huc8_10160003,station,qualified_years_ge_6,2
huc8_10160003,station,rejected_sentinel,0
huc8_10170101,station,locked_network_members,3
huc8_10170101,station,registered_raw_objects,3
huc8_10170101,station,parsed_nonempty,3
huc8_10170101,station,qc_verdict_accepted,3
huc8_10170101,station,qualified_years_ge_6,0
huc8_10170101,station,rejected_sentinel,0
huc8_10230006,station,locked_network_members,4
huc8_10230006,station,registered_raw_objects,4
huc8_10230006,station,parsed_nonempty,4
huc8_10230006,station,qc_verdict_accepted,3
huc8_10230006,station,qualified_years_ge_6,3
huc8_10230006,station,rejected_sentinel,1
huc8_10300101,station,locked_network_members,5
huc8_10300101,station,registered_raw_objects,5
huc8_10300101,station,parsed_nonempty,5
huc8_10300101,station,qc_verdict_accepted,5
huc8_10300101,station,qualified_years_ge_6,5
huc8_10300101,station,rejected_sentinel,0
huc8_11010003,station,locked_network_members,3
huc8_11010003,station,registered_raw_objects,3
huc8_11010003,station,parsed_nonempty,3
huc8_11010003,station,qc_verdict_accepted,1
huc8_11010003,station,qualified_years_ge_6,0
huc8_11010003,station,rejected_sentinel,2
huc8_13060011,station,locked_network_members,3
huc8_13060011,station,registered_raw_objects,3
huc8_13060011,station,parsed_nonempty,3
huc8_13060011,station,qc_verdict_accepted,3
huc8_13060011,station,qualified_years_ge_6,3
huc8_13060011,station,rejected_sentinel,0
huc8_14010001,station,locked_network_members,11
huc8_14010001,station,registered_raw_objects,11
huc8_14010001,station,parsed_nonempty,11
huc8_14010001,station,qc_verdict_accepted,9
huc8_14010001,station,qualified_years_ge_6,1
huc8_14010001,station,rejected_sentinel,2
huc8_14010003,station,locked_network_members,3
huc8_14010003,station,registered_raw_objects,3
huc8_14010003,station,parsed_nonempty,3
huc8_14010003,station,qc_verdict_accepted,3
huc8_14010003,station,qualified_years_ge_6,1
huc8_14010003,station,rejected_sentinel,0
huc8_14010005,station,locked_network_members,3
huc8_14010005,station,registered_raw_objects,3
huc8_14010005,station,parsed_nonempty,3
huc8_14010005,station,qc_verdict_accepted,3
huc8_14010005,station,qualified_years_ge_6,2
huc8_14010005,station,rejected_sentinel,0
huc8_14020004,station,locked_network_members,3
huc8_14020004,station,registered_raw_objects,3
huc8_14020004,station,parsed_nonempty,3
huc8_14020004,station,qc_verdict_accepted,3
huc8_14020004,station,qualified_years_ge_6,1
huc8_14020004,station,rejected_sentinel,0
huc8_14040106,station,locked_network_members,3
huc8_14040106,station,registered_raw_objects,3
huc8_14040106,station,parsed_nonempty,3
huc8_14040106,station,qc_verdict_accepted,2
huc8_14040106,station,qualified_years_ge_6,2
huc8_14040106,station,rejected_sentinel,1
huc8_14050006,station,locked_network_members,4
huc8_14050006,station,registered_raw_objects,4
huc8_14050006,station,parsed_nonempty,4
huc8_14050006,station,qc_verdict_accepted,4
huc8_14050006,station,qualified_years_ge_6,3
huc8_14050006,station,rejected_sentinel,0
huc8_14050007,station,locked_network_members,3
huc8_14050007,station,registered_raw_objects,3
huc8_14050007,station,parsed_nonempty,3
huc8_14050007,station,qc_verdict_accepted,3
huc8_14050007,station,qualified_years_ge_6,1
huc8_14050007,station,rejected_sentinel,0
huc8_14080104,station,locked_network_members,4
huc8_14080104,station,registered_raw_objects,4
huc8_14080104,station,parsed_nonempty,4
huc8_14080104,station,qc_verdict_accepted,2
huc8_14080104,station,qualified_years_ge_6,1
huc8_14080104,station,rejected_sentinel,2
huc8_15030108,station,locked_network_members,3
huc8_15030108,station,registered_raw_objects,3
huc8_15030108,station,parsed_nonempty,3
huc8_15030108,station,qc_verdict_accepted,3
huc8_15030108,station,qualified_years_ge_6,3
huc8_15030108,station,rejected_sentinel,0
huc8_16020102,station,locked_network_members,3
huc8_16020102,station,registered_raw_objects,3
huc8_16020102,station,parsed_nonempty,3
huc8_16020102,station,qc_verdict_accepted,3
huc8_16020102,station,qualified_years_ge_6,3
huc8_16020102,station,rejected_sentinel,0
huc8_16050101,station,locked_network_members,3
huc8_16050101,station,registered_raw_objects,3
huc8_16050101,station,parsed_nonempty,3
huc8_16050101,station,qc_verdict_accepted,2
huc8_16050101,station,qualified_years_ge_6,2
huc8_16050101,station,rejected_sentinel,1
huc8_16050102,station,locked_network_members,4
huc8_16050102,station,registered_raw_objects,4
huc8_16050102,station,parsed_nonempty,4
huc8_16050102,station,qc_verdict_accepted,4
huc8_16050102,station,qualified_years_ge_6,3
huc8_16050102,station,rejected_sentinel,0
