network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
gkd_bayern_alz,18403002,7,SON,0,2010-10-14,0.8603295189993722,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,1,2010-10-29,0.28528864724295466,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,2,2010-11-13,1.260600389753069,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,3,2010-11-29,0.5928744724818639,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,4,2011-09-14,0.6939206804547986,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,5,2011-09-29,0.4023427145821711,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,6,2011-10-15,0.33573932647705085,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,7,2011-10-30,0.16611227308000817,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,8,2011-11-14,0.2065462384905134,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,9,2011-11-30,0.60950927734375,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
