network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_02070010,01649500,7,SON,9,2019-11-30,0.3888475690569197,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,0,2015-01-16,1.4529521445433298,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,1,2015-02-07,2.0793588852882383,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,2,2015-12-05,3.634668795267741,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,3,2015-12-28,2.934246841271718,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,4,2016-01-19,1.59056498448054,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,5,2016-12-16,1.7991541687647503,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,6,2017-01-08,2.572476788361867,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,7,2017-01-30,2.5364067649841306,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,8,2017-02-21,2.4473492685953775,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,DJF,9,2019-12-02,2.212008619308472,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,0,2015-06-30,0.9795457712809246,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,1,2015-07-17,1.107254015604655,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,2,2015-08-03,1.2330208587646487,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,3,2015-08-21,1.490555686950684,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,4,2016-07-15,1.4941378402709957,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,5,2018-06-10,1.471274579366048,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,6,2018-07-28,1.057376340230306,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,7,2019-06-07,1.1206810760498047,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,8,2019-06-24,2.250314915974935,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,JJA,9,2019-08-31,1.2166664377848309,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,MAM,0,2015-03-01,1.4219553995132443,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,MAM,1,2015-03-17,1.6982707786560058,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,MAM,2,2015-04-03,1.9413707224527994,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,MAM,3,2016-04-01,2.5265090624491373,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,MAM,4,2017-03-06,2.7033170827229815,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
