network_id,station_id,gap_length,air2stream_mae_deg_c,xgboost_mae_deg_c,n_placements,simple_predicted_loss,empirical_transfer_prediction
usgs2_huc4_1707,14034500,90,0.9269074022822078,0.9075407631529702,20,2.473139535352036,0.7085873695614422
usgs2_huc4_1707,14034500,180,0.9928736271416898,1.6019227224058574,20,3.602395519295544,0.7085873695614422
usgs2_huc4_1707,14046890,7,0.9382462381873168,0.5147105039869035,20,0.528406287740026,0.4686396671835342
usgs2_huc4_1707,14046890,14,0.8393626832589589,0.6023492857388087,20,0.7618414769320274,0.7085873695614422
usgs2_huc4_1707,14046890,30,0.7517099920847781,0.7295803224245707,20,0.8694063059775952,0.6284621203740438
usgs2_huc4_1707,14046890,60,0.6936185967103785,0.6976718511581421,20,1.067395318289724,0.7085873695614422
usgs2_huc4_1707,14046890,90,0.7027122882449306,0.764458918677436,20,1.389228440937075,0.7085873695614422
usgs2_huc4_1707,14046890,180,0.521633498235885,1.4900929016537137,20,2.626430125024779,0.7085873695614422
usgs2_huc4_1903,15297610,7,0.7686358731393982,0.7711822321585247,20,0.7931153490989995,0.5673137891522742
usgs2_huc4_1903,15297610,14,0.807626562767755,0.7958418428206018,20,0.959575965595318,1.1156930450873792
usgs2_huc4_1903,15297610,30,0.8312436423412908,0.9344507454517297,20,1.1154596709203108,0.7263332408520189
usgs2_huc4_1903,15297610,60,0.7921313398488536,0.9327744845760366,20,1.3995738807710656,1.1156930450873792
usgs2_huc4_1903,15297610,90,0.8471391669208556,1.045253443668079,20,1.7760504040825125,0.95440975376187
usgs2_huc4_1903,15297610,180,0.8407617350155615,1.5764611042944923,20,2.950245479884013,1.858649470029104
usgs2_huc4_1903,15297610,365,0.7902556652427418,2.8021063384650504,20,5.482627385588026,1.1156930450873792
usgs2_huc4_1903,15300100,7,0.821475047436742,0.5349941875280013,20,0.5332191712532219,0.3587094211099133
usgs2_huc4_1903,15300100,14,0.7700451929522665,0.6064924843704128,20,0.6926773830443438,1.1156930450873792
usgs2_huc4_1903,15300100,30,0.9277276685615256,0.5885377659800773,20,0.8077677620333703,0.6384897888070491
usgs2_huc4_1903,15300100,60,0.9466358961816352,0.73059591790863,20,1.047174198564839,1.1156930450873792
usgs2_huc4_1903,15300100,90,1.0007715831189032,1.2096495275205104,20,1.3546831771192154,1.5203476317707676
usgs2_huc4_1903,15300100,180,1.1217862918534993,2.9978047154207403,20,2.471834420067468,3.22450238825448
usgs2_huc4_1903,15300100,365,1.0314173501512258,5.12630983948205,20,4.957418910451896,1.1156930450873792
usgs2_huc4_1903,15300250,7,0.7108438648693626,0.47792405362640106,20,0.4947663439943686,0.3911566240173166
usgs2_huc4_1903,15300250,14,0.6908158315373959,0.4125165317473667,20,0.5963468111758154,1.1156930450873792
usgs2_huc4_1903,15300250,30,0.7854479323461004,0.5382391054274048,20,0.7015425670957647,0.5562384219416796
usgs2_huc4_1903,15300250,60,0.8114754935892338,0.5584524653851985,20,0.9627683826042694,1.1156930450873792
usgs2_huc4_1903,15300250,90,0.8200334918799432,0.7892109995716148,20,1.2878477652866511,0.9380924847783544
usgs2_huc4_1903,15300250,180,0.8507231164464004,1.810614114506377,20,2.423046300173244,1.7829070528299222
usgs2_huc4_1903,15300250,365,0.7860407536834674,3.17976882153035,20,4.918758537106621,1.1156930450873792
usgs2_huc6_010802,01157000,7,0.8895117616292165,0.5075485467990595,20,0.5971586252145722,0.5854446968767859
usgs2_huc6_010802,01157000,14,0.7822980352505791,0.7394789023863684,20,0.6779255775926576,1.0472262972338304
usgs2_huc6_010802,01157000,30,0.7437129945412686,0.7014802399840361,20,0.6498784029780611,0.7855265877094391
usgs2_huc6_010802,01157000,60,0.6319660836138459,0.9258606890126442,20,0.8168419107721494,1.0472262972338304
usgs2_huc6_010802,01157000,90,0.6281283006409932,1.3666235962717068,20,1.1199014187369216,1.2913417904531377
usgs2_huc6_010802,01157000,180,0.6532817365178247,1.47665794045147,2,2.238154478517285,2.652435415815252
usgs2_huc6_010802,01170100,7,0.7109579992785455,0.5612093539429563,20,0.5463311307028733,0.5600937732580518
usgs2_huc6_010802,01170100,14,0.6571081708648511,0.7140387827835262,20,0.5358467060242584,1.0472262972338304
usgs2_huc6_010802,01170100,30,0.5963948936062821,0.6936756262170771,20,0.4930186705509516,0.7514682902857662
usgs2_huc6_010802,01170100,60,0.5504582106118359,0.8362839344100406,20,0.6809505764980193,1.0472262972338304
usgs2_huc6_010802,01170100,90,0.5403548457974343,1.0772201018536256,20,1.003977184975822,1.0928784564917289
