station_id,model,missing_rate,pattern,target,metric,mean,median,std,ci_lower,ci_upper,n_events,ci_method,reason
B1,kalman,0.5,T+F+L,T,RMSE,0.3062105564619216,0.2969485918856153,0.02218799930024391,0.29765553916446075,0.31651077775152536,20,percentile bootstrap over scenario_id (1000 replicates),
B1,kalman,0.5,T+F+L,T,skill,0.7211041723204661,0.7232907861903543,0.012280036781695607,0.7154691316200565,0.7261432206684246,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.1,T,T,MAE,0.170166693221439,0.17060609342473926,0.016556462820607853,0.16308318102630703,0.17759131896608701,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.1,T,T,RMSE,0.23133909611825193,0.23020592847912605,0.02856129200399961,0.220305925120049,0.24409179682377255,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.1,T,T,skill,0.7831792399422188,0.7793112444641027,0.020944516973699725,0.7742875878516041,0.7930055040454226,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.1,T+F+L,T,MAE,0.170166693221439,0.17060609342473926,0.016556462820607853,0.1637498289218003,0.17711517581004987,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.1,T+F+L,T,RMSE,0.23133909611825193,0.23020592847912605,0.02856129200399961,0.2190800350994309,0.2439415670489165,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.1,T+F+L,T,skill,0.7831792399422188,0.7793112444641027,0.020944516973699725,0.7742485171871132,0.7915772998206452,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.3,T,T,MAE,0.1841587280360951,0.18125127473621505,0.01056499583825498,0.17991830122523916,0.18873961508406287,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.3,T,T,RMSE,0.2521387769829035,0.2487239786290416,0.020243533063940305,0.24424249602818382,0.26082600082725427,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.3,T,T,skill,0.7663149800310388,0.7661865414998418,0.013380269826793773,0.7607033686757789,0.7721545451265835,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.3,T+F+L,T,MAE,0.1841587280360951,0.18125127473621505,0.01056499583825498,0.179960803188128,0.18888548259169427,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.3,T+F+L,T,RMSE,0.2521387769829035,0.2487239786290416,0.020243533063940305,0.24434103284060535,0.26107731925293964,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.3,T+F+L,T,skill,0.7663149800310388,0.7661865414998418,0.013380269826793773,0.7608339760754305,0.7719110587129328,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.5,T,T,MAE,0.2201963177897126,0.2189046862310198,0.009837102305006016,0.21642286316176637,0.2244729902523628,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.5,T,T,RMSE,0.30619125666939995,0.29714298296201935,0.022081830039761833,0.2980199569929514,0.3161264755915627,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.5,T,T,skill,0.7211351610946009,0.7236468405017742,0.01232835620251949,0.7157983316434674,0.7258670630535096,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.5,T+F+L,T,MAE,0.2201963177897126,0.2189046862310198,0.009837102305006016,0.2163735950366414,0.22460654406820332,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.5,T+F+L,T,RMSE,0.30619125666939995,0.29714298296201935,0.022081830039761833,0.29796412657338134,0.3164081400164265,20,percentile bootstrap over scenario_id (1000 replicates),
B1,linear,0.5,T+F+L,T,skill,0.7211351610946009,0.7236468405017742,0.01232835620251949,0.7158085172010734,0.725901321955516,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.1,T,T,MAE,0.166667996615723,0.1662307484501988,0.016832242623599124,0.16003145626570034,0.1741589858215402,20,percentile bootstrap over scenario_id (1000 replicates),
