network_id,station_id,gap_length,horizon_group,empirical,r6,simple,surface,observed,domain,subset
chmi_otava,0-203-1-138000,180,direct,2.493790131089491,2.56651413499704,2.082966423041983,2.101454595499558,2.47184057162832,czechia,direct
chmi_otava,0-203-1-138000,365,fallback,1.47120143120601,1.47120143120601,4.172092395038091,2.301381535134104,4.377070990505702,czechia,fallback
chmi_otava,0-203-1-141000,7,direct,0.7378038271552266,0.7584180698994072,0.5517268404522082,0.7255102494832072,0.605183423266157,czechia,direct
chmi_otava,0-203-1-141000,14,fallback,1.47120143120601,1.47120143120601,0.6697955502001116,0.896371837134879,0.8090223251087177,czechia,fallback
chmi_otava,0-203-1-141000,30,direct,1.0989686682495772,1.1092590980631951,0.730563303954501,0.9931498900698458,0.8270288390253867,czechia,direct
chmi_otava,0-203-1-141000,60,fallback,1.47120143120601,1.47120143120601,0.8873716156845877,1.2041275005305114,1.3441078004303812,czechia,fallback
chmi_otava,0-203-1-141000,90,direct,1.5534189342346674,1.5534189342346674,1.1341729533167006,1.5383612211806637,1.6089856745634026,czechia,direct
chmi_otava,0-203-1-141000,180,direct,2.805852390996943,2.8746411848954976,2.068556179723505,2.5532688078780543,2.82279303087606,czechia,direct
chmi_otava,0-203-1-141000,365,fallback,1.47120143120601,1.47120143120601,4.163585538438079,2.773037803587376,5.039937558963397,czechia,fallback
chmi_sazava,0-203-1-154900,7,direct,0.4721070201493813,0.4616541768161385,0.3271967202820731,0.5593079884212679,0.4382186789492888,czechia,direct
chmi_sazava,0-203-1-154900,14,fallback,1.209461880974539,1.209461880974539,0.6549556563941235,0.7157116149495146,0.4919111320602652,czechia,fallback
chmi_sazava,0-203-1-154900,30,direct,0.7575613758890061,0.7865178410308501,0.9785841349138448,0.797419392377205,0.8580663415508104,czechia,direct
chmi_sazava,0-203-1-154900,60,fallback,1.209461880974539,1.209461880974539,1.2705051638036304,0.9889328340782696,0.9746997582195808,czechia,fallback
chmi_sazava,0-203-1-154900,90,direct,1.3748903209991663,1.320761758100342,1.5494282602823624,1.2898278627192832,1.2818827614703308,czechia,direct
chmi_sazava,0-203-1-154900,180,direct,2.8949749675176726,2.966343397885878,2.522357416587264,2.2159892542965376,3.304308421931643,czechia,direct
chmi_sazava,0-203-1-154900,365,fallback,1.209461880974539,1.209461880974539,4.580416319362351,2.404729977658673,6.348307619511108,czechia,fallback
chmi_sazava,0-203-1-155000,7,direct,0.4370193901433315,0.4351483147082267,0.5205156031767075,0.4829832779649802,0.469103892983199,czechia,direct
chmi_sazava,0-203-1-155000,14,fallback,1.209461880974539,1.209461880974539,0.6793630294594568,0.6314326730386977,0.4860330492722897,czechia,fallback
chmi_sazava,0-203-1-155000,30,direct,0.6002482197595517,0.6123754755511771,0.7984562027323794,0.7080909401708356,0.7533276855380447,czechia,direct
chmi_sazava,0-203-1-155000,60,fallback,1.209461880974539,1.209461880974539,0.970728478446313,0.8882509800583721,0.7781966683104036,czechia,fallback
chmi_sazava,0-203-1-155000,90,direct,0.9426098711119252,0.8899255241350674,1.2223201424343944,1.1758917354279432,0.9221105075893694,czechia,direct
chmi_sazava,0-203-1-155000,180,direct,1.8295192575678223,1.829808286740428,2.151555340841309,2.064081733218412,2.2184837930759715,czechia,direct
chmi_sazava,0-203-1-155000,365,fallback,1.209461880974539,1.209461880974539,4.248241400814866,2.22441244747225,4.182521879296862,czechia,fallback
chmi_sazava,0-203-1-155800,7,direct,0.6507076878442535,0.6451048158251792,0.5735568338527062,0.5547490974038863,0.5391913873232833,czechia,direct
chmi_sazava,0-203-1-155800,14,fallback,1.209461880974539,1.209461880974539,0.7085112439337091,0.7105524086141535,0.6124270626666054,czechia,fallback
chmi_sazava,0-203-1-155800,30,direct,0.8720696869501925,0.87122118520588,0.7895390202245254,0.7900870564085144,0.945207428124152,czechia,direct
chmi_sazava,0-203-1-155800,60,fallback,1.209461880974539,1.209461880974539,0.9408936692087148,0.9794701703452086,1.0072567798510166,czechia,fallback
chmi_sazava,0-203-1-155800,90,direct,1.2021718626306224,1.192786898956548,1.1857398196743838,1.281399653292195,1.1352660338659246,czechia,direct
chmi_sazava,0-203-1-155800,180,direct,2.061993035369082,2.074066982937153,2.10877782134635,2.205137307647472,2.6604359160389945,czechia,direct
chmi_sazava,0-203-1-155800,365,fallback,1.209461880974539,1.209461880974539,4.20733679778831,2.3797430248601583,5.148584718607731,czechia,fallback
chmi_sazava,0-203-1-158000,7,direct,0.531094690654326,0.5298460546065344,0.4528209251704311,0.5471876021974601,0.5939216586797299,czechia,direct
chmi_sazava,0-203-1-158000,14,fallback,1.209461880974539,1.209461880974539,0.7344993962233994,0.7026887544310964,0.5880905995502029,czechia,fallback
chmi_sazava,0-203-1-158000,30,direct,0.7738446065012147,0.789914523390003,0.9974480343026886,0.7822152379892977,1.1213043570944337,czechia,direct
chmi_sazava,0-203-1-158000,60,fallback,1.209461880974539,1.209461880974539,1.2254847747804951,0.9706432996176452,1.220946804403814,czechia,fallback
