event_id,pair_id,anchor_id,station_id,event_type,season,episode_length,analysis_eligible,cluster_id,cluster_size,station_cluster_id,station_cluster_size,station_event_type_cluster_id,station_event_type_cluster_size,experiment_family
M7BEVENT-20180703-20180626-20180703-47476F3FAF66,M7BPAIR-M7BEVENT20180703201806262018070347476F3FAF66-M7BCONTROL201807032018061820180625FF7F4CAD3272-339E9094A648,M7BANCHOR-M7BEVENT20180703201806262018070347476F3FAF66-M7BCONTROL201807032018061820180625FF7F4CAD3272-339E9094A648,B1,high_temperature,JJA,8,True,EC0013,4,STB1-SC0014,2,ETB1high_temperature-TC0006,1,M7b
M7BEVENT-20190618-20190616-20190618-E52D79632B08,M7BPAIR-M7BEVENT201906182019061620190618E52D79632B08-M7BCONTROL201906182019061320190615C5A2C02C7545-DADB18FF0A55,M7BANCHOR-M7BEVENT201906182019061620190618E52D79632B08-M7BCONTROL201906182019061320190615C5A2C02C7545-DADB18FF0A55,B1,high_temperature,JJA,3,True,EC0036,23,STB1-SC0035,1,ETB1high_temperature-TC0011,1,M7b
M7BEVENT-20190901-20190825-20190901-3E14FCD70265,M7BPAIR-M7BEVENT2019090120190825201909013E14FCD70265-M7BCONTROL2019090120190817201908245F5CA77C6A55-12BFD8023D33,M7BANCHOR-M7BEVENT2019090120190825201909013E14FCD70265-M7BCONTROL2019090120190817201908245F5CA77C6A55-12BFD8023D33,B1,high_temperature,JJA,8,True,EC0047,21,STB1-SC0042,2,ETB1high_temperature-TC0012,1,M7b
M7BEVENT-20180307-20180302-20180307-8944E6E8084C,M7BPAIR-M7BEVENT2018030720180302201803078944E6E8084C-M7BCONTROL20180307201803082018031345FEB5CB21C8-CF8E5C9D936D,M7BANCHOR-M7BEVENT2018030720180302201803078944E6E8084C-M7BCONTROL20180307201803082018031345FEB5CB21C8-CF8E5C9D936D,B1,high_temperature,MAM,6,True,EC0001,33,STB1-SC0005,6,ETB1high_temperature-TC0002,1,M7b
M7BEVENT-20180406-20180326-20180406-7A1926A59C82,M7BPAIR-M7BEVENT2018040620180326201804067A1926A59C82-M7BCONTROL201804062018031420180325450B2D2DC1FC-73390F218392,M7BANCHOR-M7BEVENT2018040620180326201804067A1926A59C82-M7BCONTROL201804062018031420180325450B2D2DC1FC-73390F218392,B1,high_temperature,MAM,12,True,EC0001,33,STB1-SC0005,6,ETB1high_temperature-TC0003,1,M7b
M7BEVENT-20180427-20180422-20180427-0C7087AB6718,M7BPAIR-M7BEVENT2018042720180422201804270C7087AB6718-M7BCONTROL201804272018041620180421601FD00A7131-AB29DAD85829,M7BANCHOR-M7BEVENT2018042720180422201804270C7087AB6718-M7BCONTROL201804272018041620180421601FD00A7131-AB29DAD85829,B1,high_temperature,MAM,6,True,EC0005,8,STB1-SC0007,2,ETB1high_temperature-TC0004,1,M7b
M7BEVENT-20180528-20180518-20180528-6BE9C207F04B,M7BPAIR-M7BEVENT2018052820180518201805286BE9C207F04B-M7BCONTROL201805282018050720180517265400A56948-8361AD660902,M7BANCHOR-M7BEVENT2018052820180518201805286BE9C207F04B-M7BCONTROL201805282018050720180517265400A56948-8361AD660902,B1,high_temperature,MAM,11,True,EC0008,15,STB1-SC0010,3,ETB1high_temperature-TC0005,1,M7b
M7BEVENT-20190420-20190415-20190420-86CDEA3A0CAC,M7BPAIR-M7BEVENT20190420201904152019042086CDEA3A0CAC-M7BCONTROL201904202019040920190414D4940D17E07F-CF7F68465981,M7BANCHOR-M7BEVENT20190420201904152019042086CDEA3A0CAC-M7BCONTROL201904202019040920190414D4940D17E07F-CF7F68465981,B1,high_temperature,MAM,6,True,EC0036,23,STB1-SC0028,1,ETB1high_temperature-TC0009,1,M7b
M7BEVENT-20190501-20190429-20190501-A4367DEE7875,M7BPAIR-M7BEVENT201905012019042920190501A4367DEE7875-M7BCONTROL2019050120190426201904283D4FEFAA1F50-B0FA278F1B04,M7BANCHOR-M7BEVENT201905012019042920190501A4367DEE7875-M7BCONTROL2019050120190426201904283D4FEFAA1F50-B0FA278F1B04,B1,high_temperature,MAM,3,True,EC0036,23,STB1-SC0029,3,ETB1high_temperature-TC0010,1,M7b
M7BEVENT-20180909-20180903-20180909-078B272EA060,M7BPAIR-M7BEVENT201809092018090320180909078B272EA060-M7BCONTROL20180909201809102018091630D1453A3BAF-22FD3F8EEF3E,M7BANCHOR-M7BEVENT201809092018090320180909078B272EA060-M7BCONTROL20180909201809102018091630D1453A3BAF-22FD3F8EEF3E,B1,high_temperature,SON,7,True,EC0018,10,STB1-SC0018,3,ETB1high_temperature-TC0007,1,M7b
M7BEVENT-20190916-20190906-20190916-A4D6D05489E5,M7BPAIR-M7BEVENT201909162019090620190916A4D6D05489E5-M7BCONTROL20190916201909172019092795A6736E1B20-11F5253B3A5D,M7BANCHOR-M7BEVENT201909162019090620190916A4D6D05489E5-M7BCONTROL20190916201909172019092795A6736E1B20-11F5253B3A5D,B1,high_temperature,SON,11,True,EC0047,21,STB1-SC0043,4,ETB1high_temperature-TC0013,1,M7b
M7BEVENT-20191012-20191008-20191012-EFBE7D8AA574,M7BPAIR-M7BEVENT201910122019100820191012EFBE7D8AA574-M7BCONTROL2019101220191003201910077C4A194AB6EA-43755EDE91C3,M7BANCHOR-M7BEVENT201910122019100820191012EFBE7D8AA574-M7BCONTROL2019101220191003201910077C4A194AB6EA-43755EDE91C3,B1,high_temperature,SON,5,True,EC0049,2,STB1-SC0046,2,ETB1high_temperature-TC0014,1,M7b
M7BEVENT-20191130-20191111-20191130-0160E9FD64B3,M7BPAIR-M7BEVENT2019113020191111201911300160E9FD64B3-M7BCONTROL2019113020191022201911108DFBAFFB5020-C87202370101,M7BANCHOR-M7BEVENT2019113020191111201911300160E9FD64B3-M7BCONTROL2019113020191022201911108DFBAFFB5020-C87202370101,B1,high_temperature,SON,20,True,EC0054,9,STB1-SC0048,2,ETB1high_temperature-TC0015,1,M7b
M7BEVENT-20200915-20200907-20200915-5A86414CBC57,M7BPAIR-M7BEVENT2020091520200907202009155A86414CBC57-M7BCONTROL202009152020082920200906BC9FAAF1EDFF-E663AA59296E,M7BANCHOR-M7BEVENT2020091520200907202009155A86414CBC57-M7BCONTROL202009152020082920200906BC9FAAF1EDFF-E663AA59296E,B1,high_temperature,SON,9,True,EC0080,39,STB1-SC0067,7,ETB1high_temperature-TC0017,1,M7b
M7BEVENT-20201022-20201010-20201022-4D91C759EA9D,M7BPAIR-M7BEVENT2020102220201010202010224D91C759EA9D-M7BCONTROL202010222020092720201009CFBEA9D611ED-40C893572857,M7BANCHOR-M7BEVENT2020102220201010202010224D91C759EA9D-M7BCONTROL202010222020092720201009CFBEA9D611ED-40C893572857,B1,high_temperature,SON,13,True,EC0080,39,STB1-SC0068,2,ETB1high_temperature-TC0018,1,M7b
M7BEVENT-20201110-20201026-20201110-DF10E3A68DC8,M7BPAIR-M7BEVENT202011102020102620201110DF10E3A68DC8-M7BCONTROL202011102020111120201126C934BAE229D0-9A22ED16524C,M7BANCHOR-M7BEVENT202011102020102620201110DF10E3A68DC8-M7BCONTROL202011102020111120201126C934BAE229D0-9A22ED16524C,B1,high_temperature,SON,16,True,EC0080,39,STB1-SC0069,2,ETB1high_temperature-TC0019,1,M7b
M7BEVENT-20180613-20180601-20180613-EA26F445DB87,M7BPAIR-M7BEVENT201806132018060120180613EA26F445DB87-M7BCONTROL2018061320180614201806263720F4EC8C68-607392393DE6,M7BANCHOR-M7BEVENT201806132018060120180613EA26F445DB87-M7BCONTROL2018061320180614201806263720F4EC8C68-607392393DE6,B1,low_flow,JJA,13,True,EC0008,15,STB1-SC0011,3,ETB1low_flow-TC0002,1,M7b
