left_event_id,right_event_id,left_station_id,right_station_id,left_event_type,right_event_type,left_season,right_season,same_station,same_event_type,same_season,overlap_days,union_days,jaccard,overlap_class,experiment_family
M7BEVENT-20200531-20200519-20200602-637910BEB468,M7BEVENT-20200531-20200530-20200531-2843726BCE16,B1,S2,flood,rapid_warming,MAM,MAM,False,False,True,2,15,0.13333333333333333,cross_station,M7b
M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BEVENT-20180909-20180903-20180909-078B272EA060,B1,B1,flood,high_temperature,SON,SON,True,False,True,3,19,0.15789473684210525,cross_type,M7b
M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BEVENT-20180921-20180920-20180921-536209762918,B1,B1,flood,rapid_warming,SON,SON,True,False,True,2,15,0.13333333333333333,cross_type,M7b
M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BEVENT-20180926-20180908-20180922-69340218F9B3,B1,P3,flood,flood,SON,SON,False,True,True,14,16,0.875,cross_station,M7b
M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BEVENT-20180922-20180914-20180922-E2B755959F2F,B1,P3,flood,high_temperature,SON,SON,False,False,True,8,16,0.5,cross_station,M7b
M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BEVENT-20180908-20180908-20180908-D4618FBCEFCE,B1,P3,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BEVENT-20180910-20180910-20180910-AC83405A3595,B1,P3,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BEVENT-20181006-20180907-20180921-0451C6D0914E,B1,S2,flood,flood,SON,SON,False,True,True,15,15,1.0,cross_station,M7b
M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BEVENT-20180914-20180914-20180914-07D9F3304ED6,B1,S2,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BEVENT-20181012-20181012-20181012-222D870A50D4,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BEVENT-20181016-20181016-20181016-FD08B27B6AEE,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BEVENT-20181018-20181018-20181018-D2385FC211E7,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BEVENT-20181002-20180925-20181009-1AFF9F620DB5,B1,P3,flood,flood,SON,SON,False,True,True,4,26,0.15384615384615385,cross_station,M7b
M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BEVENT-20181013-20181006-20181020-BB69B0DA6C50,B1,P3,flood,flood,SON,SON,False,True,True,15,15,1.0,cross_station,M7b
M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BEVENT-20181011-20181011-20181011-061F87DDE6CB,B1,P3,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BEVENT-20181015-20181008-20181022-1F13A14421DD,B1,S2,flood,flood,SON,SON,False,True,True,13,17,0.7647058823529411,cross_station,M7b
M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BEVENT-20181014-20181014-20181014-C97452BBBDE0,B1,S2,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20181114-20181107-20181121-8C3324B97270,M7BEVENT-20181113-20181105-20181113-16C49213CA83,B1,B1,flood,low_flow,SON,SON,True,False,True,7,17,0.4117647058823529,cross_type,M7b
M7BEVENT-20181114-20181107-20181121-8C3324B97270,M7BEVENT-20181107-20181107-20181107-E5B9F0A0D8B3,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20181114-20181107-20181121-8C3324B97270,M7BEVENT-20181118-20181118-20181118-BF75BA9B1D36,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20181114-20181107-20181121-8C3324B97270,M7BEVENT-20181122-20181114-20181122-C1779678E723,B1,P3,flood,low_flow,SON,SON,False,False,True,8,16,0.5,cross_station,M7b
M7BEVENT-20181114-20181107-20181121-8C3324B97270,M7BEVENT-20181119-20181119-20181119-CC10A952FC53,B1,P3,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20181114-20181107-20181121-8C3324B97270,M7BEVENT-20181115-20181108-20181122-A7BD18BC7A84,B1,S2,flood,flood,SON,SON,False,True,True,14,16,0.875,cross_station,M7b
M7BEVENT-20181114-20181107-20181121-8C3324B97270,M7BEVENT-20181113-20181106-20181113-24D50FEDE8A4,B1,S2,flood,low_flow,SON,SON,False,False,True,7,16,0.4375,cross_station,M7b
M7BEVENT-20190926-20190914-20190928-6ACAC673A986,M7BEVENT-20190916-20190906-20190916-A4D6D05489E5,B1,B1,flood,high_temperature,SON,SON,True,False,True,3,23,0.13043478260869565,cross_type,M7b
M7BEVENT-20190926-20190914-20190928-6ACAC673A986,M7BEVENT-20190917-20190907-20190921-B060CEE8C24A,B1,P3,flood,flood,SON,SON,False,True,True,8,22,0.36363636363636365,cross_station,M7b
M7BEVENT-20190926-20190914-20190928-6ACAC673A986,M7BEVENT-20190927-20190920-20191004-FAD72F6FC07E,B1,P3,flood,flood,SON,SON,False,True,True,9,21,0.42857142857142855,cross_station,M7b
M7BEVENT-20190926-20190914-20190928-6ACAC673A986,M7BEVENT-20190919-20190911-20190919-D968B8FB251B,B1,P3,flood,high_temperature,SON,SON,False,False,True,6,18,0.3333333333333333,cross_station,M7b
