criterion,method,c,family,share
ambiguity_margin,random,0.9,xgboost,0.32175925925925924
ambiguity_margin,oracle,0.9,seasonal_ridge,0.010030864197530864
ambiguity_margin,oracle,0.9,donor_ridge,0.4498456790123457
ambiguity_margin,oracle,0.9,xgboost,0.5401234567901234
ambiguity_margin,proposed,1.0,seasonal_ridge,0.001388888888888889
ambiguity_margin,proposed,1.0,donor_ridge,0.59375
ambiguity_margin,proposed,1.0,xgboost,0.4048611111111111
ambiguity_margin,best_fixed,1.0,seasonal_ridge,0.0
ambiguity_margin,best_fixed,1.0,donor_ridge,0.0
ambiguity_margin,best_fixed,1.0,xgboost,1.0
ambiguity_margin,global_cv,1.0,seasonal_ridge,0.0
ambiguity_margin,global_cv,1.0,donor_ridge,0.0
ambiguity_margin,global_cv,1.0,xgboost,1.0
ambiguity_margin,per_network_cv,1.0,seasonal_ridge,0.0
ambiguity_margin,per_network_cv,1.0,donor_ridge,0.48194444444444445
ambiguity_margin,per_network_cv,1.0,xgboost,0.5180555555555556
ambiguity_margin,gap_rule,1.0,seasonal_ridge,0.0
ambiguity_margin,gap_rule,1.0,donor_ridge,0.7604166666666666
ambiguity_margin,gap_rule,1.0,xgboost,0.23958333333333334
ambiguity_margin,random,1.0,seasonal_ridge,0.3472222222222222
ambiguity_margin,random,1.0,donor_ridge,0.32916666666666666
ambiguity_margin,random,1.0,xgboost,0.3236111111111111
ambiguity_margin,oracle,1.0,seasonal_ridge,0.009027777777777777
ambiguity_margin,oracle,1.0,donor_ridge,0.44722222222222224
ambiguity_margin,oracle,1.0,xgboost,0.54375
mean_width,proposed,0.1,seasonal_ridge,0.0
mean_width,proposed,0.1,donor_ridge,0.5763888888888888
mean_width,proposed,0.1,xgboost,0.4236111111111111
mean_width,best_fixed,0.1,seasonal_ridge,0.0
mean_width,best_fixed,0.1,donor_ridge,0.0
mean_width,best_fixed,0.1,xgboost,1.0
mean_width,global_cv,0.1,seasonal_ridge,0.0
mean_width,global_cv,0.1,donor_ridge,0.0
mean_width,global_cv,0.1,xgboost,1.0
mean_width,per_network_cv,0.1,seasonal_ridge,0.0
mean_width,per_network_cv,0.1,donor_ridge,0.4583333333333333
mean_width,per_network_cv,0.1,xgboost,0.5416666666666666
mean_width,gap_rule,0.1,seasonal_ridge,0.0
mean_width,gap_rule,0.1,donor_ridge,0.8333333333333334
mean_width,gap_rule,0.1,xgboost,0.16666666666666666
mean_width,random,0.1,seasonal_ridge,0.3194444444444444
mean_width,random,0.1,donor_ridge,0.3263888888888889
mean_width,random,0.1,xgboost,0.3541666666666667
mean_width,oracle,0.1,seasonal_ridge,0.0
mean_width,oracle,0.1,donor_ridge,0.3125
mean_width,oracle,0.1,xgboost,0.6875
mean_width,proposed,0.2,seasonal_ridge,0.0
mean_width,proposed,0.2,donor_ridge,0.40625
mean_width,proposed,0.2,xgboost,0.59375
mean_width,best_fixed,0.2,seasonal_ridge,0.0
mean_width,best_fixed,0.2,donor_ridge,0.0
mean_width,best_fixed,0.2,xgboost,1.0
mean_width,global_cv,0.2,seasonal_ridge,0.0
mean_width,global_cv,0.2,donor_ridge,0.0
mean_width,global_cv,0.2,xgboost,1.0
mean_width,per_network_cv,0.2,seasonal_ridge,0.0
mean_width,per_network_cv,0.2,donor_ridge,0.4166666666666667
mean_width,per_network_cv,0.2,xgboost,0.5833333333333334
mean_width,gap_rule,0.2,seasonal_ridge,0.0
mean_width,gap_rule,0.2,donor_ridge,0.8333333333333334
mean_width,gap_rule,0.2,xgboost,0.16666666666666666
mean_width,random,0.2,seasonal_ridge,0.3333333333333333
mean_width,random,0.2,donor_ridge,0.3263888888888889
mean_width,random,0.2,xgboost,0.3402777777777778
mean_width,oracle,0.2,seasonal_ridge,0.0
mean_width,oracle,0.2,donor_ridge,0.3541666666666667
mean_width,oracle,0.2,xgboost,0.6458333333333334
mean_width,proposed,0.3,seasonal_ridge,0.0
mean_width,proposed,0.3,donor_ridge,0.5208333333333334
mean_width,proposed,0.3,xgboost,0.4791666666666667
mean_width,best_fixed,0.3,seasonal_ridge,0.0
mean_width,best_fixed,0.3,donor_ridge,0.0
mean_width,best_fixed,0.3,xgboost,1.0
mean_width,global_cv,0.3,seasonal_ridge,0.0
mean_width,global_cv,0.3,donor_ridge,0.0
mean_width,global_cv,0.3,xgboost,1.0
mean_width,per_network_cv,0.3,seasonal_ridge,0.0
mean_width,per_network_cv,0.3,donor_ridge,0.5694444444444444
mean_width,per_network_cv,0.3,xgboost,0.4305555555555556
mean_width,gap_rule,0.3,seasonal_ridge,0.0
mean_width,gap_rule,0.3,donor_ridge,0.8333333333333334
mean_width,gap_rule,0.3,xgboost,0.16666666666666666
mean_width,random,0.3,seasonal_ridge,0.3333333333333333
mean_width,random,0.3,donor_ridge,0.3472222222222222
mean_width,random,0.3,xgboost,0.3194444444444444
mean_width,oracle,0.3,seasonal_ridge,0.0023148148148148147
mean_width,oracle,0.3,donor_ridge,0.4699074074074074
mean_width,oracle,0.3,xgboost,0.5277777777777778
mean_width,proposed,0.4,seasonal_ridge,0.0
mean_width,proposed,0.4,donor_ridge,0.5902777777777778
mean_width,proposed,0.4,xgboost,0.4097222222222222
mean_width,best_fixed,0.4,seasonal_ridge,0.0
mean_width,best_fixed,0.4,donor_ridge,0.0
mean_width,best_fixed,0.4,xgboost,1.0
mean_width,global_cv,0.4,seasonal_ridge,0.0
mean_width,global_cv,0.4,donor_ridge,0.0
mean_width,global_cv,0.4,xgboost,1.0
mean_width,per_network_cv,0.4,seasonal_ridge,0.0
mean_width,per_network_cv,0.4,donor_ridge,0.5729166666666666
mean_width,per_network_cv,0.4,xgboost,0.4270833333333333
mean_width,gap_rule,0.4,seasonal_ridge,0.0
mean_width,gap_rule,0.4,donor_ridge,0.8333333333333334
mean_width,gap_rule,0.4,xgboost,0.16666666666666666
mean_width,random,0.4,seasonal_ridge,0.3506944444444444
mean_width,random,0.4,donor_ridge,0.328125
mean_width,random,0.4,xgboost,0.3211805555555556
mean_width,oracle,0.4,seasonal_ridge,0.001736111111111111
mean_width,oracle,0.4,donor_ridge,0.4670138888888889
mean_width,oracle,0.4,xgboost,0.53125
mean_width,proposed,0.5,seasonal_ridge,0.0
mean_width,proposed,0.5,donor_ridge,0.6166666666666667
mean_width,proposed,0.5,xgboost,0.38333333333333336
mean_width,best_fixed,0.5,seasonal_ridge,0.0
mean_width,best_fixed,0.5,donor_ridge,0.0
mean_width,best_fixed,0.5,xgboost,1.0
mean_width,global_cv,0.5,seasonal_ridge,0.0
mean_width,global_cv,0.5,donor_ridge,0.0
mean_width,global_cv,0.5,xgboost,1.0
mean_width,per_network_cv,0.5,seasonal_ridge,0.0
mean_width,per_network_cv,0.5,donor_ridge,0.48333333333333334
mean_width,per_network_cv,0.5,xgboost,0.5166666666666667
mean_width,gap_rule,0.5,seasonal_ridge,0.0
mean_width,gap_rule,0.5,donor_ridge,0.8333333333333334
mean_width,gap_rule,0.5,xgboost,0.16666666666666666
mean_width,random,0.5,seasonal_ridge,0.3625
mean_width,random,0.5,donor_ridge,0.3263888888888889
mean_width,random,0.5,xgboost,0.3111111111111111
mean_width,oracle,0.5,seasonal_ridge,0.011111111111111112
mean_width,oracle,0.5,donor_ridge,0.44583333333333336
mean_width,oracle,0.5,xgboost,0.5430555555555555
mean_width,proposed,0.6,seasonal_ridge,0.0
mean_width,proposed,0.6,donor_ridge,0.6458333333333334
mean_width,proposed,0.6,xgboost,0.3541666666666667
mean_width,best_fixed,0.6,seasonal_ridge,0.0
mean_width,best_fixed,0.6,donor_ridge,0.0
mean_width,best_fixed,0.6,xgboost,1.0
mean_width,global_cv,0.6,seasonal_ridge,0.0
mean_width,global_cv,0.6,donor_ridge,0.0
mean_width,global_cv,0.6,xgboost,1.0
mean_width,per_network_cv,0.6,seasonal_ridge,0.0
mean_width,per_network_cv,0.6,donor_ridge,0.4861111111111111
mean_width,per_network_cv,0.6,xgboost,0.5138888888888888
mean_width,gap_rule,0.6,seasonal_ridge,0.0
mean_width,gap_rule,0.6,donor_ridge,0.8414351851851852
mean_width,gap_rule,0.6,xgboost,0.15856481481481483
mean_width,random,0.6,seasonal_ridge,0.3587962962962963
mean_width,random,0.6,donor_ridge,0.3287037037037037
mean_width,random,0.6,xgboost,0.3125
mean_width,oracle,0.6,seasonal_ridge,0.009259259259259259
mean_width,oracle,0.6,donor_ridge,0.4305555555555556
mean_width,oracle,0.6,xgboost,0.5601851851851852
mean_width,proposed,0.7,seasonal_ridge,0.0
mean_width,proposed,0.7,donor_ridge,0.623015873015873
mean_width,proposed,0.7,xgboost,0.376984126984127
mean_width,best_fixed,0.7,seasonal_ridge,0.0
mean_width,best_fixed,0.7,donor_ridge,0.0
mean_width,best_fixed,0.7,xgboost,1.0
mean_width,global_cv,0.7,seasonal_ridge,0.0
mean_width,global_cv,0.7,donor_ridge,0.0
mean_width,global_cv,0.7,xgboost,1.0
mean_width,per_network_cv,0.7,seasonal_ridge,0.0
mean_width,per_network_cv,0.7,donor_ridge,0.4583333333333333
mean_width,per_network_cv,0.7,xgboost,0.5416666666666666
mean_width,gap_rule,0.7,seasonal_ridge,0.0
mean_width,gap_rule,0.7,donor_ridge,0.8442460317460317
mean_width,gap_rule,0.7,xgboost,0.15575396825396826
mean_width,random,0.7,seasonal_ridge,0.3531746031746032
mean_width,random,0.7,donor_ridge,0.33134920634920634
mean_width,random,0.7,xgboost,0.31547619047619047
mean_width,oracle,0.7,seasonal_ridge,0.00992063492063492
mean_width,oracle,0.7,donor_ridge,0.42658730158730157
