network_id,n_units,n_supported,cap_base_b05,cap_base_b10,cap_base_b20,cap_base_b30,cap_emp_b05,cap_emp_b10,cap_emp_b20,cap_emp_b30,d_cap_rand_b05,d_cap_rand_b10,d_cap_rand_b20,d_cap_rand_b30,d_cap_simple_b05,d_cap_simple_b10,d_cap_simple_b20,d_cap_simple_b30,d_ndcg_rand_b05,d_ndcg_rand_b10,d_ndcg_rand_b20,d_ndcg_rand_b30,d_ndcg_simple_b05,d_ndcg_simple_b10,d_ndcg_simple_b20,d_ndcg_simple_b30,d_rho_all,d_rho_sup,d_rho_therm,ndcg_base_b05,ndcg_base_b10,ndcg_base_b20,ndcg_base_b30,ndcg_emp_b05,ndcg_emp_b10,ndcg_emp_b20,ndcg_emp_b30,ndcg_rand_b05,ndcg_rand_b10,ndcg_rand_b20,ndcg_rand_b30,rho_all_base,rho_all_emp,rho_sup_base,rho_sup_emp
nve_basin_2,24,16,0.2568770258821641,0.3757585627816588,0.5762724620289593,0.7311027654546985,0.2662676481859001,0.4164615405243668,0.5774304746204935,0.7311027654546985,0.18293431485256678,0.2914615405243668,0.3690971412871601,0.39776943212136523,0.009390622303735996,0.04070297774270798,0.001158012591534141,0.0,0.47159828185004105,0.35175174508420537,-0.08403890757581778,-0.8393940357455902,0.020102272554990086,0.06788842995575861,0.009370025871864751,0.00789986907824003,-0.02347826086956517,0.04705882352941182,0.10000000000000009,0.8943980639594791,0.9151401090535557,0.976732831989778,0.9799053335116777,0.9145003365144692,0.9830285390093143,0.9861028578616428,0.9878052025899178,0.4429020546644281,0.6312767939251089,1.0701417654374605,1.827199238335508,0.9486956521739129,0.9252173913043478,0.9352941176470588,0.9823529411764707
nve_basin_212,21,12,0.2758015078104294,0.4404613520188251,0.6300524847576316,0.7779531293699948,0.21145613327154977,0.2878611928090612,0.5021516215595655,0.777953129369995,0.11621803803345454,0.14500404995191835,0.2640563834643274,0.44461979603666163,-0.06434537453887962,-0.15260015920976389,-0.12790086319806615,1.1102230246251565e-16,0.18538913839073345,-0.014637320433374179,-0.36719597539711113,-0.7233282114804014,-0.22843454385485673,-0.3208526191087505,-0.24287146158097994,-0.12365012998218883,-0.13376623376623364,0.020979020979021157,0.0,0.8518805425019722,0.9529476051580898,0.956708802665804,0.9776732327394029,0.6234459986471155,0.6320949860493393,0.7138373410848241,0.854023102757214,0.438056860256382,0.6467323064827135,1.0810333164819352,1.5773513142376154,0.9480519480519479,0.8142857142857143,0.965034965034965,0.9860139860139862
nve_basin_26,28,16,0.19773070657472844,0.32789677972372994,0.56597004893856,0.7142356532798911,0.13342743410253327,0.1882838269833654,0.2960817214821205,0.6239785012058504,0.061998862673961846,0.08114096984050827,0.0817960071964062,0.30254992977727896,-0.06430327247219517,-0.13961295274036453,-0.2698883274564395,-0.09025715207404073,0.08849642934304486,-0.09947086935554172,-0.7403021202286798,-1.2605501990378571,-0.2526204663087953,-0.3478883185345506,-0.40832908501137277,-0.22157876790352904,-0.11932129173508477,0.04117647058823526,0.0,0.7876014349188096,0.8821542077396669,0.9273365033921882,0.94703730962462,0.5349809686100143,0.5342658892051163,0.5190074183808154,0.7254585417210909,0.44648453926696946,0.633736758560658,1.2593095386094952,1.9860087407589482,0.9633278598795839,0.8440065681444991,0.95,0.9911764705882352
nve_basin_311,18,12,0.16825585613406185,0.29440216739092767,0.5172944009301944,0.6248406710172747,0.16825585613406185,0.30101957204883656,0.5172944009301944,0.6169595519929443,0.1127003005785063,0.18990846093772545,0.2950721787079722,0.28362621865961096,0.0,0.006617404657908887,0.0,-0.007881119024330419,0.6698150255686177,0.4301691131152431,-0.08422007976129997,-0.7413525410068282,0.0,0.016566583162500148,0.0024481240347021815,-0.005528031452518012,-0.09700722394220851,0.020979020979021157,0.20000000000000007,1.0,0.9834334168374999,0.9975518759652978,0.9949370484961849,1.0,1.0,1.0,0.9894090170436669,0.33018497443138234,0.5698308868847569,1.0842200797613,1.7307615580504951,0.9380804953560371,0.8410732714138286,0.965034965034965,0.9860139860139862
nve_basin_76,18,12,0.09651154828166468,0.2473547623706987,0.4817214355459662,0.5957235518471606,0.09651154828166468,0.2662377847459347,0.4817214355459663,0.5944584712568081,0.04095599272610913,0.15512667363482358,0.2594992133237441,0.26112513792347475,0.0,0.01888302237523598,1.1102230246251565e-16,-0.0012650805903525741,0.24130619743477894,0.22645667032310424,-0.22539648892654063,-0.8717314615563665,0.0,0.04497532548608607,0.0072504489610513145,0.005271272364694601,-0.11558307533539713,-0.013986013986013845,-0.20000000000000007,0.568630697835463,0.7236114701157527,0.8926447561098036,0.904552851821355,0.568630697835463,0.7685867956018387,0.899895205070855,0.9098241241860496,0.3273245004006841,0.5421301252787345,1.1252916939973956,1.7815555857424161,0.9649122807017543,0.8493292053663571,0.965034965034965,0.9510489510489512
nve_basin_78,24,16,0.278027968276499,0.30134173926350155,0.44078003558450873,0.5931477405915629,0.33859687909382125,0.41157796978674016,0.5153061666909813,0.6430460675981416,0.25526354576048793,0.28657796978674016,0.3069728333576479,0.30971273426480833,0.06056891081732224,0.11023623052323861,0.07452613110647255,0.0498983270065787,0.6368519640810613,0.4158050644245016,-0.05002223489699842,-0.7808217479918728,0.1288461560628087,0.18456353405638082,0.1264794406978308,0.09453163536594777,0.03565217391304354,0.28823529411764715,0.2999999999999998,0.8711538439371913,0.7904792522375801,0.8151258269816718,0.8432194985240306,1.0,0.9750427862939609,0.9416052676795026,0.9377511338899783,0.3631480359189388,0.5592377218694593,0.991627502576501,1.718572881881851,0.6686956521739129,0.7043478260869565,0.6294117647058822,0.9176470588235294
nve_basin_88,24,16,0.32137025436487876,0.4447979683732982,0.5606977206827548,0.6690102016295936,0.32137025436487876,0.37316894743935713,0.5351139373912975,0.6691851974541205,0.23803692103154545,0.24816894743935713,0.32678060405796416,0.3358518641207872,0.0,-0.07162902093394108,-0.025583783291457274,0.00017499582452695783,0.5503445787166383,0.2736461032096882,-0.11990742380555375,-0.8953528031246594,0.0,-0.10842506587226308,-0.0416593551757678,-0.01630236013634656,-0.12956521739130422,0.0,-0.09999999999999987,0.9513348943993989,0.9604271374226493,0.95254002360095,0.9624958499833707,0.9513348943993989,0.8520020715503862,0.9108806684251822,0.9461934898470241,0.4009903156827606,0.578355968340698,1.030788092230736,1.8415462929716835,0.9330434782608694,0.8034782608695652,0.9558823529411766,0.9558823529411766
usgs2_huc2_08,20,12,0.07582793897931958,0.12823066006468176,0.2924122892717345,0.44416604665321296,0.09014348312654441,0.17399455883426898,0.3212456135334944,0.450689974121692,0.04014348312654441,0.07399455883426898,0.12124561353349439,0.150689974121692,0.014315544147224829,0.045763898769587225,0.028833324261759885,0.006523927468479018,0.4453287329733038,0.0942717694408628,-0.6008382687270487,-1.2804236859032212,0.158808420206356,0.2333464894394467,0.11775647757845265,0.06131419098835722,0.019548872180451093,0.11888111888111896,0.0,0.841191579793644,0.7438886066017609,0.8307164951324391,0.8705240000664104,1.0,0.9772350960412076,0.9484729727108917,0.9318381910547676,0.5546712670266962,0.8829633266003448,1.5493112414379404,2.2122618769579887,0.8165413533834586,0.8360902255639097,0.8321678321678322,0.9510489510489512
usgs2_huc2_12,30,20,0.13331628217170036,0.2052707719625361,0.3629106970031815,0.4785463141919792,0.13415475839618876,0.2052707719625361,0.3629106970031815,0.47137117048562066,0.0674880917295221,0.10527077196253609,0.1629106970031815,0.17137117048562067,0.0008384762244884048,0.0,0.0,-0.007175143706358522,0.21428077967764658,-0.04107239865656864,-0.9602564901106997,-1.9305556897920568,0.007177278529795661,0.0028341485190001015,0.0019976641080159396,-0.006509377613232115,0.09165739710789766,0.08270676691729328,-0.05714285714285705,0.944671457356068,0.9892743828318166,0.9912646773455253,0.976911801431318,0.9518487358858636,0.9921085313508167,0.9932623414535412,0.9704024238180858,0.737567956208217,1.0331809300073853,1.9535188315642409,2.9009581136101428,0.8206896551724139,0.9123470522803115,0.8962406015037594,0.9789473684210527
usgs2_huc2_15,28,16,0.27485263389323455,0.34052514321781635,0.5847383728174762,0.7045190273442785,0.12051355129307033,0.17122948658687,0.25501125158008214,0.614619788111091,0.049084979864498904,0.06408662944401287,0.04072553729436787,0.2931912166825195,-0.1543390826001642,-0.16929565663094634,-0.32972712123739406,-0.08989923923318754,0.03153417639536982,-0.12698524736117123,-0.7479238548146591,-1.231310825617634,-0.5390893657860143,-0.45794768986644296,-0.544413194129051,-0.31339672079416414,-0.10727969348659017,0.06470588235294117,0.0,0.9504619133211084,0.8723768219524691,0.9658278514347056,0.9747984188074297,0.4113725475350941,0.41442913208602616,0.42141465730565464,0.6614016980132655,0.3798383711397243,0.5414143794471974,1.1693385121203137,1.8927125236308995,0.9365079365079365,0.8292282430213463,0.9147058823529413,0.9794117647058824
