endpoint,anchor,effect_scale,margin,panel_size,power,mean_panel_effect
d_cap_rand_b05,0.07824630696917584,0.5,0.03912315348458792,60,1.0,0.03598250397825196
d_cap_rand_b05,0.07824630696917584,0.5,0.03912315348458792,80,1.0,0.03556133946837123
d_cap_rand_b05,0.07824630696917584,0.5,0.03912315348458792,100,1.0,0.03591684576526914
d_cap_rand_b05,0.07824630696917584,0.5,0.03912315348458792,120,1.0,0.0359381757212084
d_cap_rand_b05,0.07824630696917584,0.5,0.03912315348458792,140,1.0,0.03577945722845448
d_cap_rand_b05,0.07824630696917584,0.5,0.03912315348458792,160,1.0,0.035562248846090584
d_cap_rand_b05,0.07824630696917584,1.0,0.07824630696917584,40,1.0,0.07028877820431392
d_cap_rand_b05,0.07824630696917584,1.0,0.07824630696917584,60,1.0,0.07084478289518922
d_cap_rand_b05,0.07824630696917584,1.0,0.07824630696917584,80,1.0,0.07133881389013962
d_cap_rand_b05,0.07824630696917584,1.0,0.07824630696917584,100,1.0,0.07124089836007497
d_cap_rand_b05,0.07824630696917584,1.0,0.07824630696917584,120,1.0,0.0715971106369413
d_cap_rand_b05,0.07824630696917584,1.0,0.07824630696917584,140,1.0,0.07158969995112281
d_cap_rand_b05,0.07824630696917584,1.0,0.07824630696917584,160,1.0,0.07132857162685745
d_cap_rand_b05,0.07824630696917584,1.5,0.11736946045376376,40,1.0,0.10768121889415358
d_cap_rand_b05,0.07824630696917584,1.5,0.11736946045376376,60,1.0,0.10795176776656726
d_cap_rand_b05,0.07824630696917584,1.5,0.11736946045376376,80,1.0,0.10659998196978196
d_cap_rand_b05,0.07824630696917584,1.5,0.11736946045376376,100,1.0,0.10791024458836711
d_cap_rand_b05,0.07824630696917584,1.5,0.11736946045376376,120,1.0,0.10589072553380818
d_cap_rand_b05,0.07824630696917584,1.5,0.11736946045376376,140,1.0,0.10758347253958286
d_cap_rand_b05,0.07824630696917584,1.5,0.11736946045376376,160,1.0,0.10708908295360162
d_cap_rand_b10,0.1079765299779638,0.5,0.0539882649889819,40,1.0,0.05174156439239298
d_cap_rand_b10,0.1079765299779638,0.5,0.0539882649889819,60,1.0,0.05213121593951098
d_cap_rand_b10,0.1079765299779638,0.5,0.0539882649889819,80,1.0,0.05209249080470812
d_cap_rand_b10,0.1079765299779638,0.5,0.0539882649889819,100,1.0,0.051888041902300466
d_cap_rand_b10,0.1079765299779638,0.5,0.0539882649889819,120,1.0,0.05183622368483668
