network_id,station_id,gap_length,start_date,n_usable_donors,acf30,donor_r2,donor_r2_estimator,heuristic_explained_variance,recoverability_r,predicted_skill,predicted_conditional_risk,fill_mae,donor_mae,climate_mae,observed_recovery_loss,achieved_skill,y_kind,reason
willamette_river_huc17,14174000,90,2018-01-01,5,0.32564832877086347,0.8770483959600062,year_block_cv,0.8933077744387659,0.9834305052864916,0.9837603433282451,0.0645131874932957,0.14866425680303877,0.14866425680303877,1.0034790903540904,0.14866425680303877,0.8518511663749957,planted_gap,
willamette_river_huc17,14192015,30,2018-01-01,5,0.31232820457504656,0.9571069440827816,year_block_cv,0.9650643202221362,0.9830974596111097,0.9833107266647598,0.06989564656719222,0.08761273885187312,0.08761273885187312,0.9464583333333335,0.08761273885187312,0.9074309604910872,planted_gap,
willamette_river_huc17,14192015,90,2018-01-01,5,0.31232820457504656,0.9571069440827816,year_block_cv,0.9621936345720015,0.987419103968073,0.987595376265927,0.051951285049960876,0.07969617036826086,0.07969617036826086,1.0035961328976033,0.07969617036826086,0.9205894007002992,planted_gap,
willamette_river_huc17,14197900,30,2018-01-01,5,0.3370310492658412,0.9569468536624912,year_block_cv,0.9663664946794798,0.9822399247067178,0.9825243307730978,0.07843841117225026,0.07546207761515691,0.07546207761515691,1.1392066544566544,0.07546207761515691,0.9337590968943659,planted_gap,
willamette_river_huc17,14197900,90,2018-01-01,5,0.3370310492658412,0.9569468536624912,year_block_cv,0.9625121056970365,0.9866308272942182,0.9868453372097484,0.05904385322111973,0.07983730558923016,0.07983730558923016,1.0349670329670329,0.07983730558923016,0.9228600495994994,planted_gap,
willamette_river_huc17,14211720,30,2018-01-01,5,0.3838124393163743,0.7221520238732428,year_block_cv,0.8118140421705362,0.9546436841847467,0.9555092803476879,0.2103937740482253,0.24041901049548484,0.24041901049548484,1.101198523698524,0.24041901049548484,0.7816751427453743,planted_gap,
willamette_river_huc17,14211720,90,2018-01-01,5,0.3838124393163743,0.7221520238732428,year_block_cv,0.7640649313212234,0.9679995959600987,0.968416496866979,0.14935637080608388,0.29325998148325644,0.29325998148325644,1.059388111888112,0.29325998148325644,0.7231798448629096,planted_gap,
madison_river_huc10,06037500,30,2019-01-01,3,0.021063891715808237,0.5942980590859959,year_block_cv,0.6144468494669115,0.8532164394900712,0.8537929534967357,0.5307102569816017,1.1560738659579333,1.1560738659579333,1.8541666666666667,1.1560738659579333,0.37649948802268773,planted_gap,
madison_river_huc10,06037500,90,2019-01-01,3,0.021063891715808237,0.5942980590859959,year_block_cv,0.5944335931513224,0.9233252828879083,0.9241255285449415,0.27541326637330193,1.7734677721241041,1.7734677721241041,1.8083333333333331,1.7734677721241041,0.019280494677914706,planted_gap,
madison_river_huc10,06038500,30,2019-01-01,3,0.25660031964195806,0.33738196572182266,year_block_cv,0.5898476217200697,0.8972561467091278,0.8978583577896507,0.46634062431893475,0.44914875341185506,0.44914875341185506,0.4033333333333333,0.44914875341185506,-0.11359195060790506,planted_gap,
madison_river_huc10,06038500,90,2019-01-01,3,0.25660031964195806,0.33738196572182266,year_block_cv,0.4327857254026979,0.9508338263227422,0.9512497661623149,0.2225753766200617,0.7065305743567726,0.7065305743567726,0.2912654320987654,0.7065305743567726,-1.4257275203093607,planted_gap,
madison_river_huc10,06038800,30,2019-01-01,3,0.20585908303861747,0.7705852706489775,year_block_cv,0.8267818696692366,0.9422514987846826,0.942625870036674,0.22133874664407144,0.29993012139654424,0.29993012139654424,0.5577777777777778,0.29993012139654424,0.46227667478707213,planted_gap,
madison_river_huc10,06038800,90,2019-01-01,3,0.20585908303861747,0.7705852706489775,year_block_cv,0.7861316175981342,0.9682279615386238,0.9686317911107067,0.1210127289854088,0.43692992591770863,0.43692992591770863,0.648987308987309,0.43692992591770863,0.326751201653694,planted_gap,
madison_river_huc10,06040000,30,2021-08-13,4,0.18758194480928342,0.7913150240944642,year_block_cv,0.8180339808841829,0.9179187432900134,0.9182522442768185,0.32667132882176214,0.3338710824459842,0.3338710824459842,1.4679166666666668,0.3338710824459842,0.7725544712261249,planted_gap,
madison_river_huc10,06040000,90,2021-08-13,4,0.18758194480928342,0.7913150240944642,year_block_cv,0.7994714982966804,0.958227370107555,0.9584542348071812,0.16602058616034207,0.6708620782431355,0.6708620782431355,1.3846626984126984,0.6708620782431355,0.5155050547601412,planted_gap,
madison_river_huc10,06041000,30,2019-01-01,3,0.06103334912640559,0.44230744832386504,year_block_cv,0.5361034329519413,0.890986043399978,0.8914307356991141,0.5071755893290611,1.2616705174956193,1.2616705174956193,0.42435897435897435,1.2616705174956193,-1.9731208569383174,planted_gap,
madison_river_huc10,06041000,90,2019-01-01,3,0.06103334912640559,0.44230744832386504,year_block_cv,0.44996773287560193,0.947288150209537,0.948456454543021,0.2407829528143841,1.947476488458439,1.947476488458439,1.5222578347578348,1.947476488458439,-0.2793341863589418,planted_gap,
mahoning_river_huc50,03086500,30,2020-01-01,5,0.1158974654247516,0.7861881990640947,year_block_cv,0.8084139906697471,0.9420357174860665,0.9425981580538116,0.37688593706392143,0.46870846819016,0.46870846819016,1.9703240740740742,0.46870846819016,0.7621160527054804,planted_gap,
mahoning_river_huc50,03086500,90,2020-01-01,5,0.1158974654247516,0.7861881990640947,year_block_cv,0.7902502578741862,0.9647096396503925,0.9657524503543259,0.22486072576648666,0.4301497576394256,0.4301497576394256,1.9512037037037038,0.4301497576394256,0.7795464631278984,planted_gap,
mahoning_river_huc50,03090500,30,2020-01-01,5,0.3580146981185182,0.34406635802398633,year_block_cv,0.7871037496695805,0.9653222188612797,0.9655560816868938,0.21866462552889449,0.38065658374839173,0.38065658374839173,0.549925925925926,0.38065658374839173,0.3078038953928762,planted_gap,
mahoning_river_huc50,03090500,90,2020-01-01,5,0.3580146981185182,0.34406635802398633,year_block_cv,0.4819362127136618,0.9715211048021921,0.9733225277927354,0.1693599263948823,0.6053836448302683,0.6053836448302683,0.6450740740740742,0.6053836448302683,0.06152848306727676,planted_gap,
mahoning_river_huc50,03091500,30,2020-03-15,5,0.1793494983234172,0.44635642413634247,year_block_cv,0.7147098586212024,0.9668988315513114,0.9672045138413439,0.21348420508100513,0.5788465490828731,0.5788465490828731,2.516,0.5788465490828731,0.7699338040211157,planted_gap,
