panel,subset,rung,description,available,n,n_networks,pooled_spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,n_networks_within_defined,within_network_spearman_median,residualized_pooled_spearman
second,all_1446,r6_station_gap,station x horizon mean,True,1446,57,0.735287931908787,0.7255639097744361,0.30774800640324496,0.9384671267038125,0.23145833920780579,1.3261751556557644,57.0,0.6874856129610069,0.6032787705218047
second,all_1446,r7_prev_period,previous-period LOO gap x season,True,1446,57,0.5853943166162463,-0.02263772149909926,0.3618089514791507,0.9903228072221153,0.10962919734417897,1.4274228197389514,57.0,0.6722947096966174,0.5894160897025025
second,all_1446,r8_simple,"simple structural descriptors (route-A, fit-period)",True,1446,57,0.8346255703753276,0.6046149857402127,-0.054772613286336765,1.1503174400140002,0.7564136389267573,0.7466097621559827,57.0,0.9381499726327313,0.90755287970127
second,all_1446,r9_condcov,conditional covariance -> MAE (NA),False,0,0,,,,,,,,,
second,all_1446,r10_blocked_cv,generic blocked-CV mean (LOO network),True,1446,57,-0.3101272570288555,-0.7777417682136376,74.63208196318757,-57.97304411915985,-0.04132574680519152,1.5436913962165013,0.0,,
second,all_1446,r11_surface,hierarchical risk surface (t04 frozen),True,1446,57,0.8927996015324269,0.674358309567021,-0.5085233694256392,1.729725315404635,0.47526242056121437,1.095817581837708,57.0,0.9402597402597404,0.8764648203461284
second,all_1446,r12_stack,meta-model (simple + surface stack),True,1446,57,0.9045802646130534,0.7588151413015297,-0.02611627432198349,1.1995951200743837,0.7061883674847905,0.8199770051717602,57.0,0.9532467532467532,0.899509134077109
second,all_1446,empirical,empirical transfer curve (proposed reference),True,1446,57,0.7399228649476387,0.715452424163858,0.2862046930270103,0.9502513594290952,0.23847087348229312,1.3201109690332493,57.0,0.682456407050482,0.6072931774184497
first,direct_858,r1_global,global mean (pooled fitting MAE),True,858,42,,,1.1264130816055367,,-0.0005883015544998482,0.8874221761921931,0.0,,
first,direct_858,r2_gap,gap-length mean,True,858,42,0.7781256111129278,0.2906836026812315,-0.07739344359004323,1.0168216558843048,0.5929456296311058,0.5660160910719547,42.0,0.9081794898850314,0.8434240775276559
first,direct_858,r3_gap_season,gap x season mean,True,858,42,0.7458518806062768,-0.13587129720986516,0.18148898007242775,0.785371912814222,0.4697899987044797,0.6459910850101253,42.0,0.9029655749513017,0.8004893673175184
first,direct_858,r4_network,network historical mean (fitting-period),True,858,42,0.2908094035186295,0.7484806741755126,0.4209786956984504,0.6430143225298715,0.028600756357139656,0.8743824804435539,0.0,,
first,direct_858,r5_network_gap,network x horizon mean,True,858,42,0.7615112560748694,0.7983955919293412,0.2010472648142103,0.8309707292000572,0.48317220349570844,0.6377867586232961,42.0,0.888672703754131,0.74217184623052
first,direct_858,r6_station_gap,station x horizon mean,True,858,42,0.8249657489084111,0.7983955919293412,0.18973176016868548,0.8409550488393908,0.561289692740709,0.5876131224774016,42.0,0.9510489510489512,0.8001585802621084
first,direct_858,r7_prev_period,previous-period LOO gap x season,True,858,42,0.7445176309718662,-0.09397773706271126,0.18865167328426102,0.7107529930922324,0.3455245759148927,0.7177103982880041,42.0,0.9036744116801065,0.7985027786265844
first,direct_858,r8_simple,"simple structural descriptors (route-A, fit-period)",True,858,42,0.791569096951193,0.4846446803338465,-0.07659359536937245,0.9041230928713916,0.519928307242866,0.6146892473598832,42.0,0.9062845849802371,0.8493945962047454
first,direct_858,r9_condcov,conditional covariance -> MAE (NA),False,0,0,,,,,,,,,
first,direct_858,r10_blocked_cv,generic blocked-CV mean (LOO network),True,858,42,-0.3005486140608228,-0.7567458066607244,26.158595801463296,-23.556614576025485,-0.00949443947004558,0.8913628554094226,0.0,,
first,direct_858,r11_surface,hierarchical risk surface (t04 frozen),True,858,42,0.9103195732024556,0.8703508629770683,-0.18529723468833165,1.2308968272712846,0.7455905906041882,0.44747538634891837,42.0,0.9598905442383703,0.9055249366689857
first,direct_858,r12_stack,meta-model (simple + surface stack),False,0,0,,,,,,,,,
first,direct_858,empirical,empirical transfer curve (proposed reference),True,858,42,0.8254221357603908,0.8005023904059639,0.19951817398041174,0.8313246554502989,0.5591495592085054,0.5890446372763252,42.0,0.9587583148558758,0.8015022674917314
first,all_1440,r1_global,global mean (pooled fitting MAE),True,1440,42,,,1.3024704835684153,,-0.02247394100149891,1.2643415345143263,0.0,,
first,all_1440,r2_gap,gap-length mean,True,1440,42,0.5729228176801057,0.09955374733861176,0.21378231600669162,0.9682769950107629,0.15555840687300193,1.149008096908754,42.0,0.6487904676619956,0.5522983018203961
first,all_1440,r3_gap_season,gap x season mean,True,1440,42,0.5373714976066097,-0.20713473744299638,0.45832855649214665,0.7465621753630736,0.11861749250263853,1.1738713262480343,42.0,0.6104099508427283,0.5419708726500112
first,all_1440,r4_network,network historical mean (fitting-period),True,1440,42,0.2904301187624216,0.7236852767198768,0.5299018994664673,0.7133136228820974,-0.014505143295121536,1.2594049834798609,0.0,,
first,all_1440,r5_network_gap,network x horizon mean,True,1440,42,0.5929641643320855,0.7792723442184588,0.3922731197336318,0.831433375741252,0.12184497547421591,1.1717200897488385,42.0,0.5966795054111185,0.4759848078616814
first,all_1440,r6_station_gap,station x horizon mean,True,1440,42,0.6329509153090218,0.7792723442184588,0.3826696980761568,0.8399437628840143,0.14527655922978644,1.1559820440904418,42.0,0.6451249554605984,0.5125640436924277
first,all_1440,r7_prev_period,previous-period LOO gap x season,True,1440,42,0.5652713191787256,-0.14918140402906682,0.5195837648167941,0.6488915751193518,0.08740497857650698,1.1944757260248038,42.0,0.6507845848415437,0.5501742929502186
first,all_1440,r8_simple,"simple structural descriptors (route-A, fit-period)",True,1440,42,0.8026646545450687,0.5625962239688842,0.01844162458067791,0.8062816531246824,0.6027006871557901,0.7881287817985497,42.0,0.8959169312524171,0.8623124778063003
first,all_1440,r9_condcov,conditional covariance -> MAE (NA),False,0,0,,,,,,,,,
first,all_1440,r10_blocked_cv,generic blocked-CV mean (LOO network),True,1440,42,-0.3065259749869677,-0.7103962401750264,26.021324532689466,-23.250520309338146,-0.03135648367151278,1.2698215187531712,0.0,,
first,all_1440,r11_surface,hierarchical risk surface (t04 frozen),True,1440,42,0.9079523896169549,0.8983874888582773,-0.450585766481736,1.5584428910084507,0.6794271580191722,0.7079484652574358,42.0,0.9545454545454546,0.9101238888417407
first,all_1440,r12_stack,meta-model (simple + surface stack),False,0,0,,,,,,,,,
first,all_1440,empirical,empirical transfer curve (proposed reference),True,1440,42,0.6333593455063955,0.766631553358723,0.39371198987029404,0.8291303560017645,0.14463461952342083,1.1564160625447537,42.0,0.6458011870700959,0.5036383647640937
