mechanism,network_id,station_id,gap_length,trial_mean_mae_deg_c,n_trial_placements,network_trial_mean_mae_deg_c
a_uniform_block,gkd_bayern_donau,10081004,90,1.0792677687715602,12,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10081004,180,,0,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10081004,365,,0,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10074009,7,0.49436975142785483,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,14,0.8374327358745391,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,30,0.8817632226149241,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,60,1.1290317227960462,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,90,1.1969024876753491,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,180,,0,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,365,,0,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10089006,7,0.381050703940647,12,0.730181559331715
a_uniform_block,gkd_bayern_donau,10089006,14,0.5627009360563188,12,0.730181559331715
a_uniform_block,gkd_bayern_donau,10089006,30,0.7301274777783288,12,0.730181559331715
a_uniform_block,gkd_bayern_donau,10089006,60,0.9418427519955569,12,0.730181559331715
a_uniform_block,gkd_bayern_donau,10089006,90,1.0351859268877244,12,0.730181559331715
a_uniform_block,gkd_bayern_donau,10089006,180,,0,0.730181559331715
a_uniform_block,gkd_bayern_donau,10089006,365,,0,0.730181559331715
a_uniform_block,gkd_bayern_donau,10098007,7,0.4905340359324502,12,0.847293693992196
a_uniform_block,gkd_bayern_donau,10098007,14,0.5984782235963003,12,0.847293693992196
a_uniform_block,gkd_bayern_donau,10098007,30,0.9276565692159865,12,0.847293693992196
a_uniform_block,gkd_bayern_donau,10098007,60,1.056830938193533,12,0.847293693992196
a_uniform_block,gkd_bayern_donau,10098007,90,1.1629687030227098,12,0.847293693992196
a_uniform_block,gkd_bayern_donau,10098007,180,,0,0.847293693992196
a_uniform_block,gkd_bayern_donau,10098007,365,,0,0.847293693992196
a_uniform_block,gkd_bayern_donau,10056302,7,0.575651379302144,12,0.9536717727762998
a_uniform_block,gkd_bayern_donau,10056302,14,0.867384996300652,12,0.9536717727762998
a_uniform_block,gkd_bayern_donau,10056302,30,0.8990078119436901,12,0.9536717727762998
a_uniform_block,gkd_bayern_donau,10056302,60,1.1439507209344046,12,0.9536717727762998
a_uniform_block,gkd_bayern_donau,10056302,90,1.282363955400608,12,0.9536717727762998
a_uniform_block,gkd_bayern_donau,10056302,180,,0,0.9536717727762998
a_uniform_block,gkd_bayern_donau,10056302,365,,0,0.9536717727762998
a_uniform_block,gkd_bayern_donau,10026293,7,0.5121979364327021,12,0.920539160819123
a_uniform_block,gkd_bayern_donau,10026293,14,0.7897008226031349,12,0.920539160819123
a_uniform_block,gkd_bayern_donau,10026293,30,1.0115634393692017,12,0.920539160819123
a_uniform_block,gkd_bayern_donau,10026293,60,1.0616730833550294,12,0.920539160819123
a_uniform_block,gkd_bayern_donau,10026293,90,1.227560522335547,12,0.920539160819123
a_uniform_block,gkd_bayern_donau,10026293,180,,0,0.920539160819123
a_uniform_block,gkd_bayern_donau,10026293,365,,0,0.920539160819123
a_uniform_block,gkd_bayern_donau,10039802,7,0.5256743218217577,12,0.9364580921848459
a_uniform_block,gkd_bayern_donau,10039802,14,0.7733430189745767,12,0.9364580921848459
a_uniform_block,gkd_bayern_donau,10039802,30,1.0334054488605924,12,0.9364580921848459
a_uniform_block,gkd_bayern_donau,10039802,60,1.0917088923437728,12,0.9364580921848459
a_uniform_block,gkd_bayern_donau,10039802,90,1.2581587789235291,12,0.9364580921848459
a_uniform_block,gkd_bayern_donau,10039802,180,,0,0.9364580921848459
a_uniform_block,gkd_bayern_donau,10039802,365,,0,0.9364580921848459
a_uniform_block,gkd_bayern_donau,10062000,7,0.7821310885960148,12,1.1170586419691326
a_uniform_block,gkd_bayern_donau,10062000,14,1.075464626295226,12,1.1170586419691326
a_uniform_block,gkd_bayern_donau,10062000,30,0.9323605203628541,12,1.1170586419691326
a_uniform_block,gkd_bayern_donau,10062000,60,1.3116788589706025,12,1.1170586419691326
a_uniform_block,gkd_bayern_donau,10062000,90,1.4836581156209663,12,1.1170586419691326
a_uniform_block,gkd_bayern_donau,10062000,180,,0,1.1170586419691326
a_uniform_block,gkd_bayern_donau,10062000,365,,0,1.1170586419691326
a_uniform_block,lubw_neckar,CYY165,7,0.4125543480827694,12,0.7996740869189067
a_uniform_block,lubw_neckar,CYY165,14,0.5476960874739148,12,0.7996740869189067
a_uniform_block,lubw_neckar,CYY165,30,0.992435473865933,12,0.7996740869189067
a_uniform_block,lubw_neckar,CYY165,60,0.9181919950909087,12,0.7996740869189067
a_uniform_block,lubw_neckar,CYY165,90,1.127492530081007,12,0.7996740869189067
a_uniform_block,lubw_neckar,CYY165,180,,0,0.7996740869189067
a_uniform_block,lubw_neckar,CYY165,365,,0,0.7996740869189067
a_uniform_block,lubw_neckar,CYY137,7,0.3112871873946418,12,0.8793760388641761
a_uniform_block,lubw_neckar,CYY137,14,0.6150141193753197,12,0.8793760388641761
a_uniform_block,lubw_neckar,CYY137,30,1.0613961640993752,12,0.8793760388641761
a_uniform_block,lubw_neckar,CYY137,60,1.0450223324033951,12,0.8793760388641761
a_uniform_block,lubw_neckar,CYY137,90,1.3641603910481486,12,0.8793760388641761
a_uniform_block,lubw_neckar,CYY137,180,,0,0.8793760388641761
a_uniform_block,lubw_neckar,CYY137,365,,0,0.8793760388641761
a_uniform_block,lubw_neckar,CYY061,7,0.4741426797140212,12,0.7779636934446909
a_uniform_block,lubw_neckar,CYY061,14,0.5223134097598846,12,0.7779636934446909
a_uniform_block,lubw_neckar,CYY061,30,0.897270641989178,12,0.7779636934446909
a_uniform_block,lubw_neckar,CYY061,60,0.8807413788636526,12,0.7779636934446909
a_uniform_block,lubw_neckar,CYY061,90,1.1153503568967185,12,0.7779636934446909
a_uniform_block,lubw_neckar,CYY061,180,,0,0.7779636934446909
a_uniform_block,lubw_neckar,CYY061,365,,0,0.7779636934446909
