site_id,found,name,latitude,longitude,huc,drainage_area_sqmi,site_type,has_daily_temperature,daily_begin,daily_end,span_years,daily_statistic,n_temperature_series,error,network_id,query
0142090503,True,E BR DELAWARE RIVER BELOW THE BEAVER KILL,41.9909206841238,-75.1310012647196,020401020503,762.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-0142090503&parameter_code=00010,delaware_mainstem,Delaware River
01421000,True,EAST BRANCH DELAWARE RIVER AT FISHS EDDY NY,41.973278,-75.174722,020401020505,784.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01421000&parameter_code=00010,delaware_mainstem,Delaware River
01421552,True,WEST BRANCH DELAWARE RIVER AT STP AT STAMFORD,42.4023025857203,-74.6273739797937,020401010101,7.42,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01421552&parameter_code=00010,delaware_mainstem,Delaware River
01421640,True,"West Branch Delaware River at South Kortright, NY",42.3436111111111,-74.72,020401010102,,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01421640&parameter_code=00010,delaware_mainstem,Delaware River
01421865,True,WEST BRANCH DELAWARE RIVER TRIB NR BLOOMVILLE NY,42.3119444444444,-74.8197222222222,020401010104,1.26,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01421865&parameter_code=00010,delaware_mainstem,Delaware River
01421900,True,WEST BRANCH DELAWARE RIVER UPSTREAM FROM DELHI NY,42.280278,-74.907222,020401010106,134.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01421900&parameter_code=00010,delaware_mainstem,Delaware River
01422642,True,WEST BRANCH DELAWARE RIVER AT DE LANCEY NY,42.2081412325015,-74.9759966609161,020401010202,,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01422642&parameter_code=00010,delaware_mainstem,Delaware River
01426500,True,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,42.0030277777778,-75.3835277777778,020401010305,595.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01426500&parameter_code=00010,delaware_mainstem,Delaware River
01413073,True,E BR DELAWARE RIVER TRIB BELOW MORE SETTLEMENT NY,42.3228055555556,-74.5518333333333,020401020302,1.22,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01413073&parameter_code=00010,delaware_mainstem,Delaware River
0142150205,True,E BR DELAWARE RIVER AT MOUTH AT HANCOCK NY,41.9392532509715,-75.2793393675818,020401010403,840.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-0142150205&parameter_code=00010,delaware_mainstem,Delaware River
0142186103,True,W BR DELAWARE RIVER BELOW WRIGHT BR AT BLOOMVILLE,42.3284163340833,-74.8046019309173,020401010104,94.4,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-0142186103&parameter_code=00010,delaware_mainstem,Delaware River
0142250005,True,LITTLE DELAWARE RIVER AT MOUTH AT DELHI NY,42.259807233912,-74.9282173729029,020401010106,52.2,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-0142250005&parameter_code=00010,delaware_mainstem,Delaware River
0142712905,True,W BR DELAWARE RIVER AT MOUTH AT HANCOCK PA,41.9392532509715,-75.2793393675818,020401010403,666.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-0142712905&parameter_code=00010,delaware_mainstem,Delaware River
0142100001,True,E BR DELAWARE RIVER AT FISHS EDDY NY OLD SITE,41.9667538849725,-75.180169488406,020401020505,784.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-0142100001&parameter_code=00010,delaware_mainstem,Delaware River
01425200,True,W BR DELAWARE RIVER AT RT 8 AT STILESVILLE NY,42.0795555555556,-75.3991666666667,020401010304,457.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01425200&parameter_code=00010,delaware_mainstem,Delaware River
01420980,True,E BR DELAWARE RIVER ABV READ CR AT FISHS EDDY NY,41.9761983250426,-75.170724684036,020401020505,766.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01420980&parameter_code=00010,delaware_mainstem,Delaware River
0142162103,True,W BR DELAWARE RIVER BELOW MOUTH OF TOWN BR AT HOBA,42.3714703992654,-74.6770979855274,020401010101,31.7,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-0142162103&parameter_code=00010,delaware_mainstem,Delaware River
01427130,True,DELAWARE RIVER AT CONFLUENCE OF EAST AND WEST BRS,41.9389754843418,-75.2787837988695,020401010403,1506.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427130&parameter_code=00010,delaware_mainstem,Delaware River
01426100,True,WEST BRANCH DELAWARE RIVER AT DEPOSIT NY,42.0470280702247,-75.4207320461352,020401010304,,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01426100&parameter_code=00010,delaware_mainstem,Delaware River
01427207,True,DELAWARE RIVER AT LORDVILLE NY,41.8672777777778,-75.21375,020401010406,1590.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427207&parameter_code=00010,delaware_mainstem,Delaware River
01427220,True,"Delaware River at Bridge at Lordville, PA",41.8675876842992,-75.2146161452432,020401010406,,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427220&parameter_code=00010,delaware_mainstem,Delaware River
01427301,True,DELAWARE RIVER NEAR HANKINS NY,41.8236991832565,-75.1129466699211,020401010501,1668.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427301&parameter_code=00010,delaware_mainstem,Delaware River
01427410,True,DELAWARE RIVER TRIB NEAR CALLICOON NY,41.7789771245209,-75.0693344104625,020401010501,0.22,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427410&parameter_code=00010,delaware_mainstem,Delaware River
01427415,True,DELAWARE RIVER TRIBUTARY NO 2 AT CALLICOON NY,41.7717549190078,-75.0612786179561,020401010501,0.49,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427415&parameter_code=00010,delaware_mainstem,Delaware River
01427416,True,DELAWARE RIVER TRIB NO.3 AT CALLICOON NY,41.7675,-75.0566666666667,020401010505,0.65,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427416&parameter_code=00010,delaware_mainstem,Delaware River
01427510,True,DELAWARE RIVER AT CALLICOON NY,41.75675,-75.0574166666667,020401010506,1820.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427510&parameter_code=00010,delaware_mainstem,Delaware River
01427705,True,DELAWARE RIVER AT SKINNERS FALLS NY,41.6700885602078,-75.0573905610111,020401010604,1897.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427705&parameter_code=00010,delaware_mainstem,Delaware River
01427725,True,"Delaware River near Milanville, PA",41.6469444444444,-75.0488888888889,020401010604,1900.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427725&parameter_code=00010,delaware_mainstem,Delaware River
01427740,True,DELAWARE RIVER NEAR NARROWSBURG NY,41.6306442466464,-75.0490573570726,020401010604,1913.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427740&parameter_code=00010,delaware_mainstem,Delaware River
01427750,True,DELAWARE RIVER AT NARROWSBURG NY,41.6095331980873,-75.0618357868701,020401010604,1909.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427750&parameter_code=00010,delaware_mainstem,Delaware River
01432120,True,DELAWARE RIVER BELOW LACKAWAXEN PA,41.4825896317363,-74.9846127020553,020401040504,2623.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01432120&parameter_code=00010,delaware_mainstem,Delaware River
01432160,True,DELAWARE RIVER AT BARRYVILLE NY,41.474833333333336,-74.91325,020401040504,2659.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01432160&parameter_code=00010,delaware_mainstem,Delaware River
01432805,True,DELAWARE RIVER AT POND EDDY NY,41.43875,-74.8191388888889,020401040504,2820.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01432805&parameter_code=00010,delaware_mainstem,Delaware River
