river,site_id,n_correct_instantaneous,correct_begin,correct_end,correct_span_years,quality_code_required,quality_label_required,daily_download_started,error
La Seille,02081000,0,,,,1,Correcte,False,
La Seille,02082350,0,,,,1,Correcte,False,
La Seille,06041800,0,,,,1,Correcte,False,
La Seine,03001000,0,,,,1,Correcte,False,
La Seine,03002100,0,,,,1,Correcte,False,
La Seine,03012100,0,,,,1,Correcte,False,
La Seine,03048000,0,,,,1,Correcte,False,
La Seine,03063000,0,,,,1,Correcte,False,
La Seine,03082000,0,,,,1,Correcte,False,
La Seine,03125000,0,,,,1,Correcte,False,
La Seine,03127370,0,,,,1,Correcte,False,
La Seine,03174000,0,,,,1,Correcte,False,
Le Doubs,06017200,0,,,,1,Correcte,False,
Le Doubs,06021000,0,,,,1,Correcte,False,
Le Doubs,06031200,0,,,,1,Correcte,False,
Le Drac,06142500,0,,,,1,Correcte,False,
Le Drac,06146500,0,,,,1,Correcte,False,
Le Drac,06820118,0,,,,1,Correcte,False,
Le Golo,06150185,0,,,,1,Correcte,False,
Le Golo,06213500,0,,,,1,Correcte,False,
Le Golo,06213800,0,,,,1,Correcte,False,
Le Lot,05084000,0,,,,1,Correcte,False,
Le Lot,05092200,0,,,,1,Correcte,False,
Le Lot,05094810,0,,,,1,Correcte,False,
Le Lot,05099000,0,,,,1,Correcte,False,
Le Rhône,06065700,0,,,,1,Correcte,False,
Le Rhône,06080000,0,,,,1,Correcte,False,
Le Rhône,06100900,0,,,,1,Correcte,False,
Le Rhône,06104000,0,,,,1,Correcte,False,
Le Rhône,06113500,0,,,,1,Correcte,False,
Le Rhône,06121500,0,,,,1,Correcte,False,
Le Rhône,06131550,0,,,,1,Correcte,False,
Le Taravo,06217445,0,,,,1,Correcte,False,
Le Taravo,06217470,0,,,,1,Correcte,False,
Le Taravo,06217490,0,,,,1,Correcte,False,
Le Taravo,06217500,0,,,,1,Correcte,False,
Le Tarn,05119000,0,,,,1,Correcte,False,
Le Tarn,05141000,0,,,,1,Correcte,False,
Le Tarn,05144000,0,,,,1,Correcte,False,
Le Tarn,05145600,0,,,,1,Correcte,False,
Le Tarn,05147000,0,,,,1,Correcte,False,
Le Tarn,05150900,0,,,,1,Correcte,False,
l'Allier,04026500,0,,,,1,Correcte,False,
l'Allier,04027740,0,,,,1,Correcte,False,
l'Allier,04043200,0,,,,1,Correcte,False,
l'Allier,04044700,0,,,,1,Correcte,False,
l'Ance,04003645,0,,,,1,Correcte,False,
l'Ance,04003900,0,,,,1,Correcte,False,
l'Ance,04027350,0,,,,1,Correcte,False,
l'Arroux,04016840,0,,,,1,Correcte,False,
l'Arroux,04017000,0,,,,1,Correcte,False,
l'Arroux,04020010,0,,,,1,Correcte,False,
l'Huisne,04115580,0,,,,1,Correcte,False,
l'Huisne,04116800,0,,,,1,Correcte,False,
l'Huisne,04118000,0,,,,1,Correcte,False,
la Besbre,04022150,0,,,,1,Correcte,False,
la Besbre,04022210,0,,,,1,Correcte,False,
la Besbre,04023000,0,,,,1,Correcte,False,
la Creuse,04088000,0,,,,1,Correcte,False,
la Creuse,04089000,0,,,,1,Correcte,False,
la Creuse,04091400,0,,,,1,Correcte,False,
la Dore,04036300,0,,,,1,Correcte,False,
la Dore,04037900,0,,,,1,Correcte,False,
la Dore,04039000,0,,,,1,Correcte,False,
la Sarthe,04110700,0,,,,1,Correcte,False,
la Sarthe,04111000,0,,,,1,Correcte,False,
la Sarthe,04113250,0,,,,1,Correcte,False,
la Sarthe,04119170,0,,,,1,Correcte,False,
la Sioule,04041675,0,,,,1,Correcte,False,
la Sioule,04041700,0,,,,1,Correcte,False,
la Sioule,04041780,0,,,,1,Correcte,False,
la Sioule,04043100,0,,,,1,Correcte,False,
la Sioule,04433002,0,,,,1,Correcte,False,
la Vienne,04075700,0,,,,1,Correcte,False,
la Vienne,04082500,0,,,,1,Correcte,False,
la Vienne,04097600,0,,,,1,Correcte,False,
la Vilaine,04204300,0,,,,1,Correcte,False,
la Vilaine,04209990,0,,,,1,Correcte,False,
la Vilaine,04216000,0,,,,1,Correcte,False,
le Cher,04057000,0,,,,1,Correcte,False,
le Cher,04060500,0,,,,1,Correcte,False,
le Cher,04064000,0,,,,1,Correcte,False,
le Cher,04065000,0,,,,1,Correcte,False,
le Cher,04070300,0,,,,1,Correcte,False,
le Cher,04072000,0,,,,1,Correcte,False,
