cluster_id,n_stations,max_pairwise_km,site_ids,cap_km,countable_public_daily
uk_ea_s100_021,49,55.31990975720675,"E00458A,E00459A,E00461A,E01050A,E01128A,E01132A,E01150A,E01266A,E01441A,E02020A,E02036A,E02053A,E02160A,E02234A,E03006A,E03043A,E04010A,E04026A,E04029A,E04105A,E04136A,E04143A,E04236A,E04251A,E05015A,E05050A,E05052A,E05109A,E06080A,E06105A,E06214A,E07025A,E07133A,E08053A,E08077A,E09034A,E09051A,E09096A,E09121A,E10113A,E11363A,E12034A,E12089A,E15073A,E17050A,E18044A,E18050A,E18060A,E19060A",100.0,False
uk_ea_s100_022,49,80.3102413542099,"E00493A,E00571A,E00573A,E01471A,E01473A,E01558A,E01593A,E02054A,E02429A,E02560A,E02564A,E02650A,E02661A,E03051A,E03215A,E03216A,E03269A,E03328A,E03370A,E03459A,E03471A,E03479A,E03611A,E03773A,E04151A,E04429A,E04667A,E04799A,E05091A,E05116A,E05154A,E05431A,E05677A,E06035A,E06527A,E07433A,E07528A,E08313A,E09056A,E10129A,E11056A,E12074A,E12266A,E13266A,E14132A,E15058A,E17889A,E22017A,EP0122A",100.0,False
uk_ea_s100_023,44,72.47361762999155,"E00127A,E01012A,E01566A,E01646A,E01647A,E02027A,E02058A,E02278A,E02329A,E02363A,E02572A,E02664A,E02725A,E03022A,E03097A,E03329A,E03363A,E03664A,E04022A,E04027A,E04205A,E04566A,E05360A,E06057A,E07056A,E07152A,E08216A,E09013A,E09066A,E15096A,E15148A,E16035A,E16089A,E17058A,E18058A,E18089A,E20007A,E20010A,EN0046A,EN0092A,EP0139A,EP0142A,EP0143A,EP0150A",100.0,False
uk_ea_s100_024,42,68.98392530685818,"E00385A,E00400A,E00401A,E01034A,E02011A,E02229A,E02261A,E02282A,E02507A,E02609A,E03202A,E03241A,E04096A,E04349A,E05048A,E05062A,E05081A,E06002A,E06019A,E06020A,E06152A,E07216A,E08008A,E08208A,E09101A,E09146A,E10146A,E11266A,E14005A,E15037A,E15051A,E16007A,E16019A,E16037A,E16132A,E17060A,E18033A,E19088A,E22090A,E22102A,GSML36,MCRO02A",100.0,False
uk_ea_s100_025,38,57.35267076296427,"E00281A,E01060A,E01130A,E01138A,E01144A,E01674A,E01681A,E01686A,E02128A,E03088A,E03089A,E03112A,E03146A,E03212A,E03280A,E03560A,E04084A,E04662A,E05117A,E05259A,E05717A,E06099A,E06147A,E07006A,E07070A,E07148A,E08101A,E09015A,E09062A,E09076A,E10089A,E10136A,E13010A,E13102A,E14030A,E15049A,E17085A,P01001A",100.0,False
uk_ea_s100_026,36,60.072580150467445,"E00558A,E01275A,E01565A,E01780A,E01802A,E02780A,E03234A,E03781A,E04120A,E04696A,E05133A,E05152A,E05233A,E05370A,E05696A,E06387A,E06610A,E07471A,E07480A,E08129A,E09010A,E09129A,E09154A,E10161A,E12148A,E13005A,E13050A,E15095A,E17074A,E25015A,EN0026A,EN0084A,EP0103A,EP0106A,b401b1e3-c946-4a3e-bca3-3427e64eebba,bbaa85be-3a06-4d2b-b5ad-7f1f55b6554d",100.0,False
uk_ea_s100_027,33,68.72420379709071,"E01221A,E01768A,E02021A,E02035A,E02378A,E03145A,E03217A,E03622A,E04068A,E04280A,E04613A,E05005A,E05077A,E05571A,E06042A,E06092A,E06143A,E06470A,E07001A,E07044A,E07103A,E07109A,E07202A,E08033A,E08123A,E08222A,E08378A,E09021A,E09081A,E10013A,E16076A,E16095A,E17107A",100.0,False
uk_ea_s100_028,28,73.98820697710433,"E00275A,E01590A,E01602A,E01624A,E02333A,E02393A,E03137A,E03315A,E03594A,E03602A,E03659A,E04141A,E04261A,E04571A,E05148A,E05251A,E06378A,E06691A,E07310A,E08302A,E08644A,E10066A,E12019A,E12999A,E14217A,E19057A,E20065A,E25999A",100.0,False
uk_ea_s100_029,18,61.39735891201718,"E01255A,E01256A,E01388A,E01480A,E01587A,E02157A,E02206A,E03431A,E06388A,E07156A,E08138A,E09054A,E09235A,E11030A,E11146A,E11216A,E13043A,E17202A",100.0,False
uk_ea_s100_030,17,90.2208881569708,"E01530A,E01531A,E02569A,E03559A,E03576A,E03576B,E04581A,E05524A,E05602A,E05602B,E06319A,E06572A,E07368A,E12233A,E23089A,E95999A,E96999A",100.0,False
uk_ea_s100_031,10,52.28279065860286,"E01814A,E02134A,E02793A,E03100A,E04131A,E04563A,E06203A,E06310A,E07679A,E08618A",100.0,False
uk_ea_s100_032,9,54.37196672554043,"E01692A,E02213A,E03570A,E04011A,E04081A,E05145A,E07038A,E18057A,P02036A",100.0,False
