Locatie_MessageID,Code,Coordinatenstelsel,Lat,Lon,Naam,Omschrijving
12772,hank.bergschemaas,ETRS89,51.7191,4.894,Keizersveer,"km 247,60"
6941,hansweert.boeiohmg,ETRS89,51.440034,3.990671,"Hansweert, boei OHMG","Hansweert, boei OHMG"
18787,hansweert.geul,ETRS89,51.436114,4.014149,"Hansweert, geul","Hansweert, geul"
17294,harderwijk.veluwestrand.1,ETRS89,52.355371,5.61478,"Harderwijk, Veluwestrand, 1","Harderwijk, Veluwestrand, 1"
13744,hardinxveld,ETRS89,51.815838,4.876714,Hardinxveld,kilometer 962
10838,haringvliet.1,ETRS89,51.79685,4.12387,"Haringvliet, Kier1","Haringvliet, Kier1"
8138,haringvliet.10,ETRS89,51.862779,3.860561,"Haringvliet, punt 10","Haringvliet, punt 10"
9662,haringvliet.2,ETRS89,51.819858,4.074067,"Haringvliet, Kier2","Haringvliet, Kier2"
2358,haringvliet.20,ETRS89,51.721629,4.394648,"Haringvliet, 20","Haringvliet, 20"
2683,haringvliet.21,ETRS89,51.726518,4.382874,"Haringvliet, 21","Haringvliet, 21"
11134,haringvliet.22,ETRS89,51.731954,4.371114,"Haringvliet, 22","Haringvliet, 22"
12476,haringvliet.23,ETRS89,51.73747,4.357381,"Haringvliet, 23","Haringvliet, 23"
3918,haringvliet.24,ETRS89,51.742332,4.343036,"Haringvliet, 24","Haringvliet, 24"
6964,haringvliet.25,ETRS89,51.745663,4.329564,"Haringvliet, 25","Haringvliet, 25"
15790,haringvliet.26,ETRS89,51.749382,4.316371,"Haringvliet, 26","Haringvliet, 26"
5774,haringvliet.27,ETRS89,51.752276,4.302645,"Haringvliet, 27","Haringvliet, 27"
6774,haringvliet.28,ETRS89,51.755728,4.289149,"Haringvliet, 28","Haringvliet, 28"
5075,haringvliet.29,ETRS89,51.756669,4.274584,"Haringvliet, 29","Haringvliet, 29"
15550,haringvliet.3,ETRS89,51.826032,4.051158,"Haringvliet, Kier3","Haringvliet, Kier3"
1889,haringvliet.30,ETRS89,51.758575,4.260428,"Haringvliet, 30","Haringvliet, 30"
10651,haringvliet.31,ETRS89,51.759901,4.248807,"Haringvliet, 31","Haringvliet, 31"
1822,haringvliet.4,ETRS89,51.82039,4.07514,"Haringvliet, Kier4","Haringvliet, Kier4"
10574,haringvliet.44,ETRS89,51.777648,4.195639,"Haringvliet, 44","Haringvliet, 44"
16197,haringvliet.45,ETRS89,51.767118,4.205059,"Haringvliet, 45","Haringvliet, 45"
14676,haringvliet.46,ETRS89,51.761335,4.216466,"Haringvliet, 46","Haringvliet, 46"
124,haringvliet.47,ETRS89,51.756203,4.229158,"Haringvliet, 47","Haringvliet, 47"
18582,haringvliet.49,ETRS89,51.765964,4.225416,"Haringvliet, 49","Haringvliet, 49"
15075,haringvliet.50,ETRS89,51.771243,4.213007,"Haringvliet, 50","Haringvliet, 50"
4046,haringvliet.51,ETRS89,51.778229,4.198029,"Haringvliet, 51","Haringvliet, 51"
305,haringvliet.52,ETRS89,51.800675,4.185621,"Haringvliet, 52","Haringvliet, 52"
13211,haringvliet.53,ETRS89,51.803418,4.178791,"Haringvliet, 53","Haringvliet, 53"
8647,haringvlietbrug,ETRS89,51.712529,4.395311,Haringvlietbrug,Haringvlietbrug
2862,haringvlietbrug.oost,ETRS89,51.722137,4.406882,"Haringvlietbrug, oost","Haringvlietbrug, oost"
16620,haringvlietbrug.west,ETRS89,51.722033,4.403063,"Haringvlietbrug, west","Haringvlietbrug, west"
14441,haringvlietmond,ETRS89,51.895597,3.933201,Haringvlietmond,Haringvlietmond
10020,haringvliet.ponton.2,ETRS89,51.82,4.074,"Haringvliet, ponton, 2",kier
2364,haringvlietsluizen,ETRS89,51.82947,4.058326,Haringvlietsluizen,punt ligt binnen
16829,haringvlietsluizen.buiten,ETRS89,51.829227,4.04484,"Haringvlietsluizen, buiten","Haringvlietsluizen, buiten"
6630,harlingen.harlingerstrand,ETRS89,53.166818,5.414661,"Harlingen, Harlingerstrand","Harlingen, Harlingerstrand"
2537,harlingen.havenmond.west,ETRS89,53.176984,5.396929,"Harlingen, havenmond, west","Harlingen, havenmond, west"
15532,harlingen.vaargeul,ETRS89,53.194492,5.328854,"Harlingen, vaargeul","Harlingen, vaargeul"
1321,harlingen.voorhaven,ETRS89,53.174287,5.405902,"Harlingen, voorhaven","Harlingen, voorhaven"
3352,harlingen.waddenzee,ETRS89,53.175634,5.409342,"Harlingen, Waddenzee","Harlingen, Waddenzee"
7497,hasselt,ETRS89,52.589725,6.086965,Hasselt,Hasselt
3216,hato.kayatilburg,ETRS89,12.17712,-68.292651,Hato Kaya Tilburg,Hato Kaya Tilburg
15132,hato.marinakralendijk,ETRS89,12.167587,-68.28753,Hato Marina Kralendijk,Hato Marina Kralendijk
5720,hedel,ETRS89,51.738778,5.267761,Hedel,Hedel
