site_id,name,latitude,longitude,huc,site_type,found
15302250,NF KOKTULI R NR ILIAMNA AK,59.8424682,-155.7185564,19030302.0,Stream,True
15304010,CROOKED C AB AIRPORT RD NR CROOKED CREEK AK,61.89,-158.154444,190305010809.0,Stream,True
15484000,SALCHA R NR SALCHAKET AK,64.471528,-146.928056,190803050809.0,Stream,True
15493000,CHENA R NR TWO RIVERS AK,64.9019722,-146.3613333,19080306.0,Stream,True
15515500,TANANA R AT NENANA AK,64.5649444,-149.094,19080307.0,Stream,True
15519100,TOLOVANA R BL ROSEBUD C NR LIVENGOOD AK,65.4648407,-148.6311143,19080309.0,Stream,True
15564860,YUKON R AT GALENA AK,64.7369001,-156.89431429,190902051104.0,Stream,True
15564879,SLATE C AT COLDFOOT AK,67.2544444,-150.1772222,19090101.0,Stream,True
15565447,YUKON R AT PILOT STATION AK,61.934444,-162.880556,190903042303.0,Stream,True
15565700,UNALAKLEET R AB CHIROSKEY R NR UNALAKLEET AK,63.9343184,-160.3076258,19050102.0,Stream,True
15580095,NIUKLUK R AB MELSING C AT COUNCIL AK,64.8919444,-163.67,19050104.0,Stream,True
15747000,WULIK R BL TUTAK C NR KIVALINA AK,67.87547519,-163.677559,19050404.0,Stream,True
15803000,MEADE R AT ATKASUK AK,70.4953764,-157.395848,19060203.0,Stream,True
15896000,KUPARUK R NR DEADHORSE AK,70.2813799,-148.962861,19060401.0,Stream,True
15908000,SAGAVANIRKTOK R NR PUMP STA 3 AK,69.0158333,-148.8177778,19060402.0,Stream,True
09380000,"COLORADO RIVER AT LEES FERRY, AZ",36.86433333,-111.58787222,140700061105,Stream,True
09383100,COLORADO R ABV LITTLE COLORADO R NR DESERT VIEW,36.2040833,-111.8007222,15010001,Stream,True
09402300,"LITTLE COLORADO RIVER ABV MOUTH NR DESERT VIEW, AZ",36.1952642,-111.7771024,15020016,Stream,True
09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",36.10137176,-112.0862795,15010001,Stream,True
09404200,COLORADO RVR ABV DIAMOND CREEK NR PEACH SPRINGS AZ,35.7735994,-113.363544,15010002,Stream,True
09471000,"SAN PEDRO RIVER AT CHARLESTON, AZ",31.62594167,-110.1751028,15050202,Stream,True
09505800,"WEST CLEAR CREEK NEAR CAMP VERDE, AZ",34.53863606,-111.6940356,15060203,Stream,True
09522005,"COLORADO RIVER BELOW COOPER WASTEWAY NEAR YUMA, AZ",32.7122222,-114.7222222,15030108,Stream,True
09534000,YUMA MAIN DRAIN ABOVE ARIZONA-SONORA BOUNDARY,32.48758333,-114.7896667,15030108,Stream,True
09534550,242 LATERAL ABOVE MAIN DRAIN AT AZ-SONORA BOUNDRY,32.48694444,-114.7872222,15030108,Stream,True
07048550,"West Fork White River east of Fayetteville, AR",36.05388889,-94.0830556,11010001,Stream,True
07048600,"White River near Fayetteville, AR",36.07305556,-94.0811111,11010001,Stream,True
07049691,White River at Beaver Dam near Eureka Springs,36.4208333,-93.8472222,11010001,Stream,True
07054501,White River at Bull Shoals Dam near Flippin,36.365,-92.575,11010003,Stream,True
07054527,White River below Bull Shoals Dam near Fairview,36.3436111,-92.5741667,11010003,Stream,True
07056515,"Bear Creek near Silver Hill, AR",35.94,-92.7133333,11010005,Stream,True
07059998,North Fork River at Base of Norfork Dam nr Norfork,36.248333,-92.24,110100061003,Stream,True
07060000,"North Fork Riv US of Dry Ck bl Norfork Dam, AR",36.24923449,-92.2384887,11010006,Stream,True
07060500,"White River at Calico Rock, AR",36.11666667,-92.1430556,11010004,Stream,True
07075250,"S Fk Lit Red Riv us of Gulf Mt WMA nr Scotland, AR",35.54705,-92.7076667,11010014,Stream,True
07075270,"South Fork of Little Red River near Scotland, AR",35.5697222,-92.6219444,11010014,Stream,True
07076000,Little Red River near Heber Springs,35.5172222,-91.9972222,11010014,Stream,True
071948095,"Mud Creek near Johnson, AR",36.1228083,-94.1625611,11110103,Stream,True
07194880,"Osage Creek near Cave Springs, AR",36.2814592,-94.227997,11110103,Stream,True
07263296,"Maumelle River near Wye, AR",34.87888889,-92.6855556,11110207,Stream,True
072632966,"Lake Maumelle at State Hwy 10 near Wye, AR",34.87527778,-92.6538889,11110207,Stream,True
07337000,"Red River at Index, AR",33.55194444,-94.0411111,11140106,Stream,True
07364130,"Deep Bayou near Star City, AR",33.963125,-91.6924472,8040205,Stream,True
07364133,"Bayou Bartholomew at Garrett Bridge, AR",33.86638889,-91.6561111,8040205,Stream,True
09429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",32.8849361,-114.468111,15030104,Stream,True
10260500,DEEP C NR HESPERIA CA,34.34305858,-117.2264316,18090208,Stream,True
10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,34.57304916,-117.3206018,18090208,Stream,True
10263500,BIG ROCK C NR VALYERMO CA,34.42083115,-117.8395072,18090206,Stream,True
10265100,DEADMAN C A BIG SPRINGS NR CRESTVIEW CA,37.75027778,-118.9394444,18090102,Stream,True
10265150,HOT C A FLUME NR MAMMOTH LAKES CA,37.66881076,-118.8176148,18090102,Stream,True
10336610,"UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA",38.9224078,-119.9915706,16050101,Stream,True
10336780,"TROUT CK NR TAHOE VALLEY, CA",38.9199077,-119.9724036,16050101,Stream,True
10343500,SAGEHEN C NR TRUCKEE CA,39.43154577,-120.2379547,16050102,Stream,True
11044000,SANTA MARGARITA R NR TEMECULA CA,33.4739175,-117.1422536,18070302,Stream,True
11108500,SANTA CLARA RIVER AT L.A.-VENTURA CO. LINE CA,34.39971939,-118.7048126,18070102,Stream,True
11126000,SANTA YNEZ R NR SANTA YNEZ CA,34.58914745,-119.9887195,18060010,Stream,True
11133000,SANTA YNEZ R A NARROWS NR LOMPOC CA,34.6360873,-120.4245645,18060010,Stream,True
11173575,ALAMEDA C BL WELCH C NR SUNOL CA,37.5404908,-121.856345,18050004,Stream,True
11176900,ARROYO DE LA LAGUNA A VERONA CA,37.62659915,-121.8830126,18050004,Stream,True
11179000,ALAMEDA C NR NILES CA,37.5871193,-121.960752,18050004,Stream,True
11203580,SF TULE R NR CHOLOLLO CAMPGROUND NR PORTERVILLE CA,36.0482899,-118.6542574,18030006,Stream,True
11204100,SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA,36.02411648,-118.8134258,18030006,Stream,True
11206820,MARBLE FORK KAWEAH R AB HORSE C NR LODGEPOLE CA,36.61166667,-118.7016667,18030007,Stream,True
11251000,SAN JOAQUIN R BL FRIANT CA,36.98439397,-119.7243124,18040001,Stream,True
11261100,SALT SLOUGH A HWY 165 NR STEVINSON CA,37.2476912,-120.8521075,18040001,Stream,True
11261500,SAN JOAQUIN R A FREMONT FORD BRIDGE CA,37.3099115,-120.9309993,18040001,Stream,True
11262900,MUD SLOUGH NR GUSTINE CA,37.26241267,-120.9065536,18040001,Stream,True
11273400,SAN JOAQUIN R AB MERCED R NR NEWMAN CA,37.34718815,-120.9761399,18040001,Stream,True
11274538,ORESTIMBA CR AT RIVER RD NR CROWS LANDING CA,37.41354657,-121.0160412,18040002,Stream,True
11274550,SAN JOAQUIN R NR CROWS LANDING CA,37.43218889,-121.0133444,18040002,Stream,True
11278300,CHERRY C NR EARLY INTAKE CA,37.89435266,-119.9626483,18040009,Stream,True
11290000,TUOLUMNE R A MODESTO CA,37.627153,-120.9843777,18040009,Stream,True
11299997,STANISLAUS R BL TULLOCH PP NR KNIGHTS FERRY CA,37.87603788,-120.6052025,18040010,Stream,True
11302000,STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA,37.85159385,-120.6379816,18040010,Stream,True
11303000,STANISLAUS R A RIPON CA,37.72962389,-121.110454,18040010,Stream,True
11303500,SAN JOAQUIN R NR VERNALIS CA,37.67601249,-121.2662907,18040003,Stream,True
11355500,HAT C NR HAT CREEK CA,40.6891111,-121.4228056,18020003,Stream,True
11381500,MILL C NR LOS MOLINOS CA,40.0546022,-122.0241541,18020156,Stream,True
11383500,DEER C NR VINA CA,40.0140214,-121.9482872,18020157,Stream,True
11390000,BUTTE C NR CHICO CA,39.72599524,-121.7088643,18020158,Stream,True
11390500,SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA,39.00987205,-121.8246576,18020104,Stream,True
11446220,AMERICAN R BL FOLSOM DAM NR FOLSOM CA,38.70452778,-121.164361,18020111,Stream,True
11446500,AMERICAN R A FAIR OAKS CA,38.6354394,-121.227692,18020111,Stream,True
11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,18020163,Stream,True
11451800,CACHE C A RUMSEY CA,38.8898988,-122.2383082,18020116,Stream,True
11452900,CACHE C OUTFLOW FROM SETTLING BASIN NR WOODLAND CA,38.67851526,-121.6727386,18020163,Stream,True
11458000,NAPA R NR NAPA CA,38.36821248,-122.3032719,18050002,Stream,True
11458433,SONOMA CREEK A KENWOOD CA,38.4188004,-122.5627606,18050002,Stream,True
11462500,RUSSIAN R NR HOPLAND CA,39.0265265,-123.1305253,18010110,Stream,True
11463000,RUSSIAN R NR CLOVERDALE CA,38.87930758,-123.0535767,18010110,Stream,True
11463682,RUSSIAN R A JIMTOWN CA,38.65820245,-122.8294009,18010110,Stream,True
11463980,RUSSIAN R A DIGGER BEND NR HEALDSBURG CA,38.63292489,-122.8555123,18010110,Stream,True
11465240,DRY C BLW LAMBERT BR NR GEYSERVILLE CA,38.65320165,-122.927181,18010110,Stream,True
11467000,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,38.50848204,-122.9277345,18010110,Stream,True
11475560,ELDER C NR BRANSCOMB CA,39.72956555,-123.643883,18010106,Stream,True
11523000,KLAMATH R A ORLEANS,41.30343278,-123.5344618,18010209,Stream,True
11530000,TRINITY R A HOOPA CA,41.0498236,-123.6736278,18010211,Stream,True
11530500,KLAMATH R NR KLAMATH CA,41.51092575,-123.9794772,18010209,Stream,True
06711565,"SOUTH PLATTE RIVER AT ENGLEWOOD, CO.",39.66497989,-105.00418085,101900020904,Stream,True
07086000,"ARKANSAS RIVER AT GRANITE, CO.",39.04277116,-106.2658553,11020001,Stream,True
07091200,"ARKANSAS RIVER NEAR NATHROP, CO",38.6522188,-106.051126,11020001,Stream,True
07094500,"ARKANSAS RIVER AT PARKDALE, CO.",38.487222,-105.373056,110200011409,Stream,True
07096000,"ARKANSAS RIVER AT CANON CITY, CO.",38.43388674,-105.2572128,11020002,Stream,True
07097000,"ARKANSAS RIVER AT PORTLAND, CO.",38.38833418,-105.0160961,11020002,Stream,True
07099400,"ARKANSAS RIVER ABOVE PUEBLO, CO",38.2716694,-104.718033,11020002,Stream,True
07099969,"ARKANSAS R. AT ST CHARLES MESA DIVER. AT PUEBLO,CO",38.25361396,-104.6060854,11020002,Stream,True
07105530,"FOUNTAIN CR BLW JANITELL RD BLW COLO. SPRINGS, CO",38.8030491,-104.7958069,11020003,Stream,True
07105800,"FOUNTAIN CREEK AT SECURITY, CO",38.729444,-104.733333,110200030305,Stream,True
07105815,"CLOVER DITCH DRAIN AT QUINN ST NR WIDEFIELD, CO",38.7297222,-104.7676389,11020003,Stream,True
07105820,"CLOVER DITCH DRAIN NEAR WIDEFIELD, CO.",38.71860726,-104.729139,11020003,Stream,True
07106000,"FOUNTAIN CREEK NEAR FOUNTAIN, CO.",38.6016647,-104.6702503,11020003,Stream,True
07106500,"FOUNTAIN CREEK AT PUEBLO, CO.",38.2877801,-104.6010849,11020003,Stream,True
07109500,"ARKANSAS RIVER NEAR AVONDALE, CO.",38.248056,-104.398611,110200021204,Stream,True
07119700,"ARKANSAS RIVER AT CATLIN DAM, NEAR FOWLER, CO.",38.12583934,-103.9119006,11020005,Stream,True
07120500,"ARKANSAS RIVER NEAR ROCKY FORD, CO.",38.06528559,-103.6860593,11020005,Stream,True
08227000,"SAGUACHE CREEK NEAR SAGUACHE, CO",38.16333294,-106.290583,13010004,Stream,True
09010500,"COLORADO RIVER BELOW BAKER GULCH NR GRAND LAKE, CO",40.325833,-105.856111,140100010303,Stream,True
09014050,"GRAND LAKE OUTLET BLW CHIPMUNK LN AT GRAND LK, CO",40.2461111,-105.8288333,14010001,Stream,True
09027100,"FRASER RIVER AT TABERNASH, CO",39.990333,-105.829778,140100010206,Stream,True
09032000,"RANCH CREEK NEAR FRASER, CO.",39.94998694,-105.7655627,14010001,Stream,True
09033100,"RANCH CREEK BLW MEADOW CR NR TABERNASH, CO",39.9990861,-105.8265583,14010001,Stream,True
09033300,FRASER RIVER BLW CROOKED CR AT TABERNASH CO,40.00689167,-105.8482722,14010001,Stream,True
09034250,"COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO.",40.108319,-106.0041847,14010001,Stream,True
09034500,"COLORADO RIVER AT HOT SULPHUR SPRINGS, CO.",40.08331887,-106.0880765,14010001,Stream,True
09041090,"MUDDY CREEK ABOVE ANTELOPE CREEK NR. KREMMLING, CO",40.2025,-106.421944,140100010704,Stream,True
09058000,"COLORADO RIVER NEAR KREMMLING, CO",40.036667,-106.439444,140100010905,Stream,True
09060799,"COLORADO RIVER AT CATAMOUNT BRIDGE, CO",39.8911,-106.8316944,14010001,Stream,True
09064600,"EAGLE RIVER NEAR MINTURN, CO",39.55387495,-106.402529,14010003,Stream,True
09066510,"GORE CREEK AT MOUTH NEAR MINTURN, CO",39.60943048,-106.447808,14010003,Stream,True
09070500,"COLORADO RIVER NEAR DOTSERO, CO",39.6446111,-107.0780139,14010001,Stream,True
09085000,"ROARING FORK RIVER AT GLENWOOD SPRINGS, CO.",39.54666667,-107.33083333,140100041003,Stream,True
09085150,COLORADO R ABV SOUTH CANYON CR NR GLENWOOD SPGS CO,39.561667,-107.406667,140100050102,Stream,True
09095300,"DRY FORK AT UPPER STATION NEAR DE BEQUE, CO.",39.3747361,-108.3172694,14010005,Stream,True
09110000,"TAYLOR RIVER AT ALMONT, CO.",38.664444,-106.844722,140200010113,Stream,True
09119000,"TOMICHI CREEK AT GUNNISON, CO",38.5211111,-106.9409583,14020003,Stream,True
09124500,"LAKE FORK AT GATEVIEW, CO.",38.2988834,-107.2300557,14020002,Stream,True
09132095,ANTHRACITE CREEK ABOVE MOUTH NEAR SOMERSET,38.9372222,-107.3583333,14020004,Stream,True
09136100,"NORTH FK GUNNISON RIVER ABOVE MOUTH NR LAZEAR, CO",38.78516667,-107.8334167,14020004,Stream,True
09144250,"GUNNISON RIVER AT DELTA, CO",38.75303944,-108.078403,14020005,Stream,True
09149500,"UNCOMPAHGRE RIVER AT DELTA, CO",38.74194444,-108.08041667,140200060606,Stream,True
09163500,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,39.1327434,-109.02707585,140100051906,Stream,True
09171100,"DOLORES RIVER NEAR BEDROCK, CO.",38.35692324,-108.83345163,140300021104,Stream,True
09239500,"YAMPA RIVER AT STEAMBOAT SPRINGS, CO",40.48298611,-106.83243056,140500010409,Stream,True
09260000,"LITTLE SNAKE RIVER NEAR LILY, CO",40.54901667,-108.42432222,140500031102,Stream,True
09304200,"WHITE RIVER ABOVE COAL CREEK NEAR MEEKER, CO",40.00496048,-107.82538142,140500050310,Stream,True
09304800,"WHITE RIVER BELOW MEEKER, CO",40.022583,-108.119944,140500050408,Stream,True
09306007,"PICEANCE CREEK BELOW RIO BLANCO, CO.",39.8260846,-108.1831384,14050006,Stream,True
09306200,"PICEANCE CREEK BL RYAN GULCH, NR RIO BLANCO, CO.",39.921111,-108.296944,140500060206,Stream,True
09306222,"PICEANCE CREEK AT WHITE RIVER, CO",40.078056,-108.235833,140500060211,Stream,True
09306242,"CORRAL GULCH NEAR RANGELY, CO",39.920278,-108.472222,140500060302,Stream,True
09306255,"YELLOW CREEK NEAR WHITE RIVER, CO.",40.16856617,-108.40123387,140500060308,Stream,True
09352900,"VALLECITO CREEK NEAR BAYFIELD, CO.",37.4775,-107.543056,140801011203,Stream,True
09359020,"ANIMAS RIVER BELOW SILVERTON, CO",37.788333,-107.668222,140801040104,Stream,True
09361500,"ANIMAS RIVER AT DURANGO, CO",37.279167,-107.879722,140801040604,Stream,True
09363500,"ANIMAS RIVER NEAR CEDAR HILL, NM",37.03656944,-107.8753333,14080104,Stream,True
09371010,"SAN JUAN RIVER AT FOUR CORNERS, CO",37.00113889,-109.0295833,14080201,Stream,True
373947105421101,CLOSED BASIN PROJECT CANAL ABV HWY 150 NR MOSCA CO,37.6631111,-105.7031111,13010003,Stream,True
381312104321001,BESSEMER DITCH AT ST. CHARLES WD NEAR PUEBLO CO,38.2201111,-104.5359722,11020002,Stream,True
383926107593001,LOUTSENHIZER ARROYO AT HWY 50 NEAR OLATHE CO,38.657207,-107.9922886,14020006,Stream,True
385553107243301,NORTH FORK GUNNISON BLW RAVEN GULCH NR SOMERSET,38.93125278,-107.4090917,14020004,Stream,True
394220106431500,"EAGLE RIVER BELOW MILK CREEK NEAR WOLCOTT, CO",39.705,-106.7258333,14010003,Stream,True
402114105350101,"BIG THOMPSON BL MORAINE PARK NR ESTES PARK, CO",40.3538611,-105.5841389,10190006,Stream,True
01192500,"HOCKANUM RIVER NEAR EAST HARTFORD, CT",41.78303965,-72.58729366,10802050402,Stream,True
01193050,"CONNECTICUT RIVER AT MIDDLE HADDAM, CT",41.54165281,-72.55312768,10802050702,Stream,True
01193500,"SALMON RIVER NEAR EAST HAMPTON, CT",41.55220783,-72.44923535,10802050805,Stream,True
01193630,"SALMON R, AT LEESVILLE FISHWAY, AT LEESVILLE, CT",41.51693053,-72.48257003,10802050805,Stream,True
01196500,"QUINNIPIAC RIVER AT WALLINGFORD, CT",41.45026389,-72.841275,11000040105,Stream,True
01200600,"HOUSATONIC RIVER NEAR NEW MILFORD, CT",41.59304488,-73.44954534,11000050604,Stream,True
01480065,"CHRISTINA RIVER AT NEWPORT, DE",39.71063889,-75.6087222,2040205.0,Stream,True
01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",39.7695,-75.576694,20402050403.0,Stream,True
01484080,"MURDERKILL RIVER AT FREDERICA, DE",39.0105,-75.4583056,2040207.0,Stream,True
01484272,"BROADKILL RIVER NEAR MILTON, DE",38.791,-75.25077778,2040207.0,Stream,True
01484525,"MILLSBORO POND OUTLET AT MILLSBORO, DE",38.594556,-75.291028,20403030202.0,Stream,True
02231291,"NASSAU RIVER NEAR TISONIA, FL",30.5507931,-81.5898179,3070205,Stream,True
02232400,"ST. JOHNS RIVER NEAR COCOA, FL",28.36972837,-80.8725578,3080101,Stream,True
02234000,"ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL",28.7141611,-81.0353374,3080101,Stream,True
02234500,"ST. JOHNS RIVER NEAR SANFORD, FL",28.83804694,-81.3242323,3080101,Stream,True
02236000,"ST. JOHNS RIVER NEAR DE LAND, FL",29.00831827,-81.3825651,3080101,Stream,True
02240000,"OCKLAWAHA RIVER NEAR CONNER, FL",29.21469888,-81.9859203,3080102,Stream,True
02244040,"ST. JOHNS R AT BUFFALO BLUFF NEAR SATSUMA, FL",29.596362,-81.6831761,3080103,Stream,True
02245260,"DEEP CREEK AT SPUDS, FL",29.72338056,-81.4843667,3080103,Stream,True
02245290,ST JOHNS RIVER AT RACY PT NEAR HASTINGS FL,29.8,-81.55,3080103,Stream,True
02245340,"ST JOHNS R BLW SHANDS BRIDGE NR GRN COVE SPRG, FL",30.0059222,-81.6151361,3080103,Stream,True
022462002,"DURBIN CREEK NEAR FRUIT COVE, FL",30.11916667,-81.54638889,30801031301,Stream,True
02246459,"CEDAR RIVER AT SAN JUAN AVENUE AT JACKSONVILLE, FL",30.28218375,-81.7403761,3080103,Stream,True
02246500,"ST. JOHNS RIVER AT JACKSONVILLE, FL",30.3224616,-81.6653735,3080103,Stream,True
02246518,"POTTSBURG CRK AT US90 NR S. JACKSONVILLE, FL",30.28696944,-81.57,3080103,Stream,True
02246751,"BROWARD RIVER BL BISCAYNE BLVD NR JACKSONVILLE, FL",30.44333889,-81.6682,3080103,Stream,True
02246804,"DUNN CREEK AT DUNN CREEK RD NR EASTPORT, FL",30.45494167,-81.59688889,3080103,Stream,True
02248000,"SPRUCE CREEK NEAR SAMSULA, FL",29.05081845,-81.0464455,3080201,Stream,True
02248380,"HAULOVER CANAL NEAR MIMS,FL",28.73638079,-80.754773,3080202,Stream,True
02264000,"CYPRESS CREEK AT VINELAND, FL",28.390564,-81.519517,30901010503,Stream,True
02264100,"BONNET CREEK NEAR VINELAND, FL",28.32528785,-81.5206284,3090101,Stream,True
02266200,"WHITTENHORSE CREEK NEAR VINELAND, FL",28.38500749,-81.6164632,3090101,Stream,True
022662947,"CANAL 405 AT FORCE MAIN NEAR VINELAND, FL",28.3800078,-81.5828516,3090101,Stream,True
02266298,"REEDY CREEK ABOVE HW-192 NEAR VINELAND, FL",28.3486201,-81.5811849,3090101,Stream,True
02266300,"REEDY CREEK NEAR VINELAND, FL",28.33278738,-81.579796,3090101,Stream,True
02266320,"REEDY CREEK AT I-4 NEAR LOUGHMAN, FL",28.298622,-81.5775738,3090101,Stream,True
02266495,"REEDY CREEK AT S-40, NEAR LOUGHMAN, FL",28.27584517,-81.5439622,3090101,Stream,True
02277100,"ST LUCIE RIVER AT SPEEDY POINT, STUART FL",27.2048,-80.2587833,3090202,Stream,True
02286328,"C-8 CANAL AT NE 135 ST AT NORTH MIAMI, FL",25.9002222,-80.1949722,3090202,Stream,True
022907085,"BLACK CREEK CANAL WEST OF US1 NR GOULDS, FL",25.570917,-80.37875,3090202,Stream,True
