split,site_id,variable,expected_days,quality_approved_days,usable_finite_approved_days,usable_fraction,data_version
validation,02337170,L,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02337170,Ta,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02337170,P,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02337170,W,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02337170,RH,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02337170,Rs,730,730,730,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02334430,T,1096,1092,1092,0.9963503649635036,external_upper_middle_chattahoochee_v1
confirmatory,02334430,F,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02334430,L,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02334430,Ta,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02334430,P,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02334430,W,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02334430,RH,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02334430,Rs,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335000,T,1096,1095,1095,0.9990875912408759,external_upper_middle_chattahoochee_v1
confirmatory,02335000,F,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335000,L,1096,1093,1093,0.9972627737226277,external_upper_middle_chattahoochee_v1
confirmatory,02335000,Ta,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335000,P,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335000,W,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335000,RH,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335000,Rs,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335450,T,1096,1093,1093,0.9972627737226277,external_upper_middle_chattahoochee_v1
confirmatory,02335450,F,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335450,L,1096,1093,1093,0.9972627737226277,external_upper_middle_chattahoochee_v1
confirmatory,02335450,Ta,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335450,P,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335450,W,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335450,RH,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02335450,Rs,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02336000,T,1096,1088,1088,0.9927007299270073,external_upper_middle_chattahoochee_v1
confirmatory,02336000,F,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02336000,L,1096,1092,1092,0.9963503649635036,external_upper_middle_chattahoochee_v1
confirmatory,02336000,Ta,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02336000,P,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02336000,W,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02336000,RH,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02336000,Rs,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02337170,T,1096,1050,1050,0.958029197080292,external_upper_middle_chattahoochee_v1
confirmatory,02337170,F,1096,1068,1068,0.9744525547445255,external_upper_middle_chattahoochee_v1
confirmatory,02337170,L,1096,1045,1045,0.9534671532846716,external_upper_middle_chattahoochee_v1
confirmatory,02337170,Ta,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02337170,P,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02337170,W,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02337170,RH,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
confirmatory,02337170,Rs,1096,1096,1096,1.0,external_upper_middle_chattahoochee_v1
