outer_cutoff,network_id,outer_training_years,outer_evaluation_years,stress_model_fit_years,stress_model_score_years,stress_curve_cells,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,n_supported_fraction
0.7,gkd_bayern_inn,33,14,23,10,640,160,1,0.8005548433445595,,0.028681345564032467,0.8373138454237494,0.6653267880752289,0.4957296393954512,0.5714285714285714
0.8,gkd_bayern_inn,38,9,27,11,640,88,1,0.7761780469761477,,0.04577053904015929,0.9069171717161009,0.7261297180249915,0.4178114972674427,0.6111111111111112
0.6,gkd_bayern_isar,28,19,20,8,132,200,1,0.5042798403802754,,0.1630629486252981,0.8487099645083034,0.18823099104609153,0.34995215466016516,0.2857142857142857
0.7,gkd_bayern_isar,33,14,23,10,960,400,1,0.7810681888301471,,-0.19849915663703702,1.0675736719450164,0.604907822271664,0.6833703533645795,0.5714285714285714
0.8,gkd_bayern_isar,38,9,27,11,960,125,1,0.8361137656588,,-0.09636864748265196,1.0852327019488512,0.6159919748158145,0.7504414563641751,0.5813953488372093
0.6,gkd_bayern_main,28,19,20,8,0,0,0,,,,,,,
0.7,gkd_bayern_main,33,14,23,10,960,600,1,0.5410027127732304,,0.05190674532960856,0.7611285490801861,0.15113458776952493,0.3441208532034797,0.2857142857142857
0.8,gkd_bayern_main,38,9,27,11,1820,900,1,0.7708778516077157,,-0.021188160170703553,0.8148774899689905,0.4134309707117828,0.901620660609247,0.5607476635514018
0.6,gkd_bayern_vils,28,19,20,8,0,0,0,,,,,,,
0.7,gkd_bayern_vils,33,14,23,10,290,320,1,0.6294745584132775,,0.28935081862545725,0.47239232831845673,-0.8824309999686069,1.4216160177934438,0.5714285714285714
0.8,gkd_bayern_vils,38,9,27,11,320,204,1,0.6807476484713232,,0.06164930791155978,0.6989034111250522,0.15351040233929292,1.0549015628939438,0.5604395604395604
0.6,gkd_bayern_alz,28,18,20,8,0,0,0,,,,,,,
0.7,gkd_bayern_alz,32,14,22,10,280,240,1,0.768975366970842,,0.23965554094086663,0.48396856092223967,-0.6848096026979746,1.3642161037871439,0.5714285714285714
0.8,gkd_bayern_alz,37,9,26,11,320,168,1,0.7623256104472519,,0.10513645051538026,0.6183187115721276,-0.04981395112674969,1.0562236397027822,0.5490196078431373
0.6,lubw_rhein,23,16,16,7,506,240,1,0.5937767555014307,,-0.10285569145875736,1.2317321927529166,0.23041804864891835,0.43174434498092745,0.42857142857142855
0.7,lubw_rhein,27,12,19,8,660,240,1,0.5846518723020798,,-0.02347234077406258,0.9654262958184016,0.28512108977319683,0.4161170044895625,0.42857142857142855
0.8,lubw_rhein,31,8,22,9,1267,214,1,0.8395991012203864,,0.08637254505379426,0.8205435598655746,0.6174053554852089,0.5784302972770007,0.5336658354114713
0.6,foen_aare_aaregebiet,16,11,11,5,2880,720,1,0.85509235575274,,-0.04023626142628894,1.023235979948488,0.7348582693174476,0.4411425502236619,0.5714285714285714
0.7,foen_aare_aaregebiet,19,8,13,6,2880,720,1,0.8567120664799547,,0.005011119178020439,0.9455521690075889,0.7241980551669247,0.44992338689871203,0.5714285714285714
0.8,foen_aare_aaregebiet,22,5,15,7,2880,387,1,0.8478530322118809,,0.012123982058142854,0.9229669515646564,0.7157180495722155,0.42916037979455957,0.589041095890411
0.6,huc8_02040101,16,11,11,5,1920,480,1,0.7410282527545254,,-0.04904037810225706,0.9600147104543153,0.6431303169281725,0.5568420394225354,0.5714285714285714
0.7,huc8_02040101,19,8,13,6,1920,480,1,0.7784624168887125,,-0.007167413269037257,0.9561602327114197,0.6728591143108442,0.5331440912793347,0.5714285714285714
0.8,huc8_02040101,22,5,15,7,1920,252,1,0.7842117518632684,,0.14541097784778517,0.7942110639837991,0.6252922518858628,0.542782573727245,0.6176470588235294
0.6,huc8_02040102,16,11,11,5,0,0,0,,,,,,,
0.7,huc8_02040102,19,8,13,6,960,240,1,0.8066339483948812,,-0.12159528906532531,0.941606138565671,0.69797960827306,0.5198477180760519,0.5714285714285714
0.8,huc8_02040102,22,5,15,7,960,131,1,0.813684115074947,,-0.14959774234520704,1.0050868292243722,0.7518390622557621,0.4630948852641736,0.5770925110132159
0.6,huc8_02040104,16,11,11,5,960,480,1,0.6975994221182026,,0.35925166679097587,0.6277523274453384,0.2599143099680804,1.0572174734429007,0.5714285714285714
0.7,huc8_02040104,19,8,13,6,960,480,1,0.7098966620389238,,0.3111327005633533,0.5941381805548221,0.13271199943188094,1.1444715411322437,0.5714285714285714
0.8,huc8_02040104,22,5,15,7,1920,210,1,0.740718885040178,,0.12748938484902614,0.9133755722872764,0.6714731807308787,0.6138161231501582,0.6363636363636364
0.6,huc8_03010107,16,11,11,5,900,240,1,0.8877296837921853,,0.09238267763353543,0.9869583505439533,0.7695052935129288,0.6554861186749401,0.5714285714285714
0.7,huc8_03010107,19,8,13,6,960,240,1,0.8613157860821538,,-0.025392125346372803,1.033251545092469,0.7208441617756167,0.7213671787168449,0.5714285714285714
0.8,huc8_03010107,22,5,15,7,960,147,1,0.8915079790695432,,-0.0906125335996762,1.1740558490462079,0.7879624255575519,0.641694082069828,0.5632183908045977
0.6,huc8_03150202,16,11,11,5,960,240,1,0.5781581583277335,,0.0688510269200754,0.7710873336311286,0.19537663643437486,0.3558422868689191,0.6
0.7,huc8_03150202,19,8,13,6,1280,240,1,0.5428217091903337,,0.2084177051826229,0.6793657760525474,0.22599849041216402,0.34900539549921994,0.6
0.8,huc8_03150202,22,5,15,7,960,136,1,0.5337286434491714,,0.1828747103612516,0.7237797355620814,0.2625572143003956,0.3575221838725361,0.6071428571428571
0.6,huc8_05030103,16,11,11,5,1200,720,1,0.787500077699801,,0.14896425599805543,0.7857384757984621,0.5304591701763497,1.1268735620200185,0.6666666666666666
0.7,huc8_05030103,19,8,13,6,2880,720,1,0.8221323578161809,,0.12507089844856972,0.8521234685993081,0.6201682999014624,1.0135241746767523,0.6666666666666666
0.8,huc8_05030103,22,5,15,7,2880,469,1,0.8479516402679419,,0.13521381017564005,0.9502425284815269,0.667984350373714,1.0536400570472262,0.6937869822485208
0.6,huc8_10020007,16,11,11,5,2100,480,1,0.6743415975418088,,0.12993980796344887,0.8448174901882063,0.40942034215935796,0.3320395538436204,0.6
0.7,huc8_10020007,19,8,13,6,2100,480,1,0.6619242315397745,,0.12440236597833396,0.8235820160604175,0.3824470348320408,0.339537452086009,0.6
0.8,huc8_10020007,22,5,15,7,1580,480,1,0.6432003644038294,,0.06028618219915334,0.9669536269289163,0.40223823427553573,0.33405243841593923,0.6
0.6,huc8_17060306,16,11,11,5,960,240,1,0.8267886314300389,,0.0318811470851495,0.9542585250525565,0.6625009564885345,0.695876206220312,0.5714285714285714
0.7,huc8_17060306,19,8,13,6,960,240,1,0.8208616569235109,,-0.09590149813673861,1.0918239901800675,0.6687771666808617,0.6893755049015469,0.5714285714285714
0.8,huc8_17060306,22,5,15,7,960,165,1,0.859066449401536,,-0.10007954650660757,1.1326862021577833,0.6570062908643097,0.7831757400750635,0.55
0.6,huc8_17090001,16,11,11,5,1817,800,1,0.7874082639290639,,-0.005357371592951773,0.8674641450500943,0.5371482333278075,0.5139833879783259,0.6666666666666666
0.7,huc8_17090001,19,8,13,6,3200,800,1,0.8315686571614368,,0.0846652234723521,0.8687272455671349,0.6218155871698827,0.46460077769682084,0.6666666666666666
0.8,huc8_17090001,22,5,15,7,3039,320,1,0.7461398243385058,,0.06648339143504066,0.8592699158424397,0.5411538982504878,0.34327931126679123,0.6177606177606177
