history_level,dataset,network_id,history_years,score_years,stress_curve_cells,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,n_supported_fraction
8,first_panel,gkd_bayern_main,8,25,640,600,1,0.5363197029314928,,0.01490503195785637,0.8631011391490296,0.2091619043990003,0.332150845816623,0.2857142857142857
2,first_panel,gkd_bayern_vils,2,31,290,320,1,0.6418146432066711,,0.3324393651950855,0.435733993446261,-1.219185903147884,1.5435461453736075,0.5714285714285714
4,first_panel,gkd_bayern_vils,4,29,290,320,1,0.6320175574294464,,0.33641275846955343,0.4383184373015085,-1.1571121141803729,1.5218054459937163,0.5714285714285714
6,first_panel,gkd_bayern_vils,6,27,290,320,1,0.6193207690919963,,0.32680600997982673,0.43726219971958474,-1.2057525828151627,1.5388673071432761,0.5714285714285714
8,first_panel,gkd_bayern_vils,8,25,290,320,1,0.6158124411097247,,0.24184754211428344,0.4994966183100737,-0.7368524975198418,1.3655394264411216,0.5714285714285714
2,first_panel,gkd_bayern_alz,2,30,280,240,1,0.7680632180564197,,0.20406105889589038,0.4824398560300103,-0.8172996500205589,1.416840715895286,0.5714285714285714
4,first_panel,gkd_bayern_alz,4,28,280,240,1,0.7694683491875963,,0.23681520906725048,0.48467529748893123,-0.6856909532853734,1.3645728786598565,0.5714285714285714
6,first_panel,gkd_bayern_alz,6,26,280,240,1,0.768975366970842,,0.24416973253812935,0.4813126874339557,-0.7003071421033671,1.37047603874769,0.5714285714285714
8,first_panel,gkd_bayern_alz,8,24,280,240,1,0.7679507372654313,,0.23856013569664347,0.4852788633820583,-0.6737394569934765,1.3597268843153458,0.5714285714285714
2,first_panel,lubw_rhein,2,25,220,240,1,0.5815305544385098,,-0.16878199463686874,0.867992827200253,-0.06907958182944962,0.5088669422095797,0.42857142857142855
4,first_panel,lubw_rhein,4,23,220,240,1,0.5749103183296695,,-0.049489596071335365,0.7803627691053974,0.010998444052995882,0.48943802635131806,0.42857142857142855
