date,t2m_deg_c
2014-05-24,16.42
2014-05-25,16.49
2014-05-26,17.2
2014-05-27,16.21
2014-05-28,14.37
2014-05-29,8.72
2014-05-30,9.93
2014-05-31,12.62
2014-06-01,12.5
2014-06-02,12.68
2014-06-03,13.45
2014-06-04,15.42
2014-06-05,14.89
2014-06-06,16.46
2014-06-07,18.86
2014-06-08,22.41
2014-06-09,23.8
2014-06-10,24.16
2014-06-11,23.38
2014-06-12,19.14
2014-06-13,15.7
2014-06-14,13.85
2014-06-15,13.87
2014-06-16,15.72
2014-06-17,15.84
2014-06-18,17.79
2014-06-19,16.17
2014-06-20,12.74
2014-06-21,13.31
2014-06-22,13.88
2014-06-23,14.52
2014-06-24,15.17
2014-06-25,13.18
2014-06-26,13.46
2014-06-27,16.45
2014-06-28,18.74
2014-06-29,16.8
2014-06-30,13.7
2014-07-01,14.24
2014-07-02,15.71
2014-07-03,17.9
2014-07-04,20.81
2014-07-05,20.44
2014-07-06,22.29
2014-07-07,23.33
2014-07-08,22.34
2014-07-09,17.41
2014-07-10,13.59
2014-07-11,16.9
2014-07-12,16.32
2014-07-13,17.16
2014-07-14,19.21
2014-07-15,20.41
2014-07-16,21.82
2014-07-17,21.68
2014-07-18,22.43
2014-07-19,24.27
2014-07-20,24.99
2014-07-21,22.99
2014-07-22,21.87
2014-07-23,20.44
2014-07-24,17.41
2014-07-25,19.85
2014-07-26,21.68
2014-07-27,22.66
2014-07-28,21.94
2014-07-29,21.22
2014-07-30,21.62
2014-07-31,18.56
2014-08-01,18.69
2014-08-02,22.23
2014-08-03,21.08
2014-08-04,18.65
2014-08-05,18.22
2014-08-06,18.38
2014-08-07,19.62
2014-08-08,20.0
2014-08-09,21.46
2014-08-10,22.13
2014-08-11,18.52
2014-08-12,17.29
2014-08-13,16.7
2014-08-14,16.59
2014-08-15,14.87
2014-08-16,14.21
2014-08-17,15.12
2014-08-18,15.26
2014-08-19,14.61
2014-08-20,14.01
2014-08-21,14.51
2014-08-22,15.29
2014-08-23,15.15
