date,t2m_deg_c
2013-08-23,16.75
2013-08-24,15.86
2013-08-25,16.08
2013-08-26,15.24
2013-08-27,14.82
2013-08-28,16.06
2013-08-29,16.21
2013-08-30,17.03
2013-08-31,18.08
2013-09-01,15.08
2013-09-02,13.71
2013-09-03,15.75
2013-09-04,16.67
2013-09-05,16.68
2013-09-06,15.78
2013-09-07,16.54
2013-09-08,17.08
2013-09-09,14.62
2013-09-10,15.21
2013-09-11,12.78
2013-09-12,12.6
2013-09-13,10.63
2013-09-14,12.04
2013-09-15,13.82
2013-09-16,14.77
2013-09-17,9.19
2013-09-18,8.91
2013-09-19,9.44
2013-09-20,8.98
2013-09-21,10.5
2013-09-22,10.6
2013-09-23,12.86
2013-09-24,12.62
2013-09-25,10.5
2013-09-26,11.02
2013-09-27,7.46
2013-09-28,7.87
2013-09-29,7.59
2013-09-30,6.9
2013-10-01,5.68
2013-10-02,4.14
2013-10-03,2.92
2013-10-04,3.37
2013-10-05,5.05
2013-10-06,6.57
2013-10-07,8.89
2013-10-08,9.55
2013-10-09,9.02
2013-10-10,10.66
2013-10-11,12.86
2013-10-12,12.8
2013-10-13,10.48
2013-10-14,9.55
2013-10-15,10.31
2013-10-16,7.71
2013-10-17,7.94
2013-10-18,7.88
2013-10-19,6.63
2013-10-20,8.0
2013-10-21,10.93
2013-10-22,11.6
2013-10-23,13.08
2013-10-24,11.99
2013-10-25,11.25
2013-10-26,12.16
2013-10-27,12.62
2013-10-28,12.6
2013-10-29,10.24
2013-10-30,7.11
2013-10-31,5.24
2013-11-01,4.69
2013-11-02,7.23
2013-11-03,7.31
2013-11-04,5.45
2013-11-05,5.71
2013-11-06,3.32
2013-11-07,8.95
2013-11-08,9.21
2013-11-09,8.26
2013-11-10,5.94
2013-11-11,3.77
2013-11-12,3.36
2013-11-13,3.93
2013-11-14,2.9
2013-11-15,3.43
2013-11-16,3.57
2013-11-17,4.44
2013-11-18,4.43
2013-11-19,4.12
2013-11-20,4.27
2013-11-21,2.44
2013-11-22,4.61
2013-11-23,4.46
2013-11-24,4.22
2013-11-25,-1.62
2013-11-26,-1.86
2013-11-27,-3.15
2013-11-28,-1.37
2013-11-29,0.72
2013-11-30,0.06
2013-12-01,-0.29
2013-12-02,-0.58
2013-12-03,-2.43
2013-12-04,-3.79
2013-12-05,-0.42
2013-12-06,-0.03
2013-12-07,-1.44
2013-12-08,-0.86
2013-12-09,1.52
2013-12-10,-1.87
2013-12-11,-1.35
2013-12-12,-0.83
2013-12-13,-2.07
2013-12-14,-2.07
2013-12-15,-0.85
2013-12-16,-2.88
2013-12-17,-4.84
2013-12-18,-5.42
2013-12-19,-5.55
2013-12-20,-3.01
2013-12-21,-1.38
2013-12-22,-0.96
2013-12-23,-0.22
2013-12-24,1.47
2013-12-25,4.05
2013-12-26,4.52
2013-12-27,3.36
2013-12-28,3.47
2013-12-29,2.48
2013-12-30,0.01
2013-12-31,0.61
2014-01-01,-0.23
2014-01-02,0.78
2014-01-03,1.05
2014-01-04,2.48
2014-01-05,5.67
2014-01-06,2.4
2014-01-07,1.71
2014-01-08,2.05
2014-01-09,0.85
2014-01-10,2.26
2014-01-11,0.81
2014-01-12,0.38
2014-01-13,-1.66
2014-01-14,1.35
2014-01-15,0.17
2014-01-16,0.42
2014-01-17,1.04
2014-01-18,3.28
2014-01-19,6.9
2014-01-20,5.94
2014-01-21,0.53
2014-01-22,-4.0
2014-01-23,-5.58
2014-01-24,-5.47
2014-01-25,-12.13
2014-01-26,-9.57
2014-01-27,-7.13
2014-01-28,-6.05
2014-01-29,-4.95
2014-01-30,-2.92
2014-01-31,-1.38
2014-02-01,-2.98
2014-02-02,-1.73
2014-02-03,-1.97
2014-02-04,-3.15
2014-02-05,-1.88
2014-02-06,-0.57
2014-02-07,-0.11
2014-02-08,1.73
2014-02-09,1.67
2014-02-10,1.46
2014-02-11,1.69
2014-02-12,-0.26
2014-02-13,0.09
2014-02-14,1.3
2014-02-15,1.53
2014-02-16,2.04
2014-02-17,2.11
2014-02-18,2.6
2014-02-19,2.69
2014-02-20,2.48
2014-02-21,2.3
2014-02-22,2.74
2014-02-23,1.87
2014-02-24,1.95
2014-02-25,3.35
2014-02-26,3.49
2014-02-27,2.32
2014-02-28,3.23
2014-03-01,3.69
2014-03-02,3.81
2014-03-03,2.57
2014-03-04,3.59
2014-03-05,2.85
2014-03-06,2.83
2014-03-07,2.15
2014-03-08,3.59
2014-03-09,3.43
2014-03-10,5.22
2014-03-11,4.81
2014-03-12,3.93
2014-03-13,5.98
2014-03-14,7.99
2014-03-15,4.39
2014-03-16,6.68
2014-03-17,8.02
2014-03-18,7.49
2014-03-19,7.51
2014-03-20,8.9
2014-03-21,10.19
2014-03-22,10.31
2014-03-23,7.85
2014-03-24,3.31
2014-03-25,3.13
2014-03-26,4.32
2014-03-27,6.14
2014-03-28,7.42
2014-03-29,8.35
2014-03-30,10.09
2014-03-31,10.47
2014-04-01,8.43
2014-04-02,9.06
2014-04-03,11.2
2014-04-04,12.21
2014-04-05,10.8
2014-04-06,10.24
2014-04-07,11.95
2014-04-08,12.93
2014-04-09,6.96
2014-04-10,5.33
2014-04-11,6.23
2014-04-12,7.11
2014-04-13,7.34
2014-04-14,6.89
2014-04-15,3.67
2014-04-16,4.32
2014-04-17,5.7
2014-04-18,8.64
2014-04-19,10.48
2014-04-20,10.54
2014-04-21,10.9
2014-04-22,12.38
2014-04-23,13.34
2014-04-24,14.61
2014-04-25,13.64
2014-04-26,12.62
2014-04-27,14.2
2014-04-28,13.82
2014-04-29,13.53
2014-04-30,14.18
2014-05-01,14.61
2014-05-02,13.43
2014-05-03,6.6
2014-05-04,7.19
2014-05-05,6.89
2014-05-06,10.94
2014-05-07,12.61
2014-05-08,12.67
2014-05-09,13.92
2014-05-10,13.76
2014-05-11,11.57
2014-05-12,9.94
2014-05-13,9.09
2014-05-14,8.78
2014-05-15,8.87
2014-05-16,8.21
2014-05-17,9.91
2014-05-18,9.88
2014-05-19,14.11
2014-05-20,16.01
2014-05-21,17.56
2014-05-22,19.44
2014-05-23,20.35
2014-05-24,19.19
2014-05-25,17.79
2014-05-26,18.1
2014-05-27,16.09
2014-05-28,15.53
2014-05-29,10.43
2014-05-30,9.67
2014-05-31,12.52
2014-06-01,14.13
2014-06-02,12.55
2014-06-03,12.0
2014-06-04,14.51
2014-06-05,15.38
2014-06-06,16.73
2014-06-07,18.58
2014-06-08,21.88
2014-06-09,24.13
2014-06-10,24.93
2014-06-11,23.9
2014-06-12,20.97
2014-06-13,17.48
2014-06-14,14.38
2014-06-15,13.98
2014-06-16,15.56
2014-06-17,16.65
2014-06-18,17.86
2014-06-19,18.61
2014-06-20,14.43
2014-06-21,14.17
2014-06-22,15.45
2014-06-23,16.67
2014-06-24,16.86
2014-06-25,14.54
2014-06-26,13.62
2014-06-27,17.15
2014-06-28,19.93
2014-06-29,20.47
2014-06-30,14.02
2014-07-01,15.44
2014-07-02,14.93
2014-07-03,17.64
2014-07-04,19.53
2014-07-05,20.41
2014-07-06,22.44
2014-07-07,24.36
2014-07-08,22.09
2014-07-09,18.37
2014-07-10,16.67
2014-07-11,17.54
2014-07-12,18.4
2014-07-13,18.18
2014-07-14,20.75
2014-07-15,21.54
2014-07-16,21.99
2014-07-17,22.34
2014-07-18,21.09
2014-07-19,24.07
2014-07-20,25.14
2014-07-21,23.47
2014-07-22,21.7
2014-07-23,20.24
2014-07-24,18.66
2014-07-25,20.89
2014-07-26,22.86
2014-07-27,23.54
2014-07-28,22.11
2014-07-29,21.25
2014-07-30,22.03
2014-07-31,20.46
2014-08-01,21.21
2014-08-02,23.3
2014-08-03,22.29
2014-08-04,19.67
2014-08-05,20.05
2014-08-06,18.56
2014-08-07,18.82
2014-08-08,20.57
2014-08-09,21.78
2014-08-10,21.87
2014-08-11,20.42
2014-08-12,17.68
2014-08-13,17.37
2014-08-14,15.6
2014-08-15,16.27
2014-08-16,14.11
2014-08-17,14.91
2014-08-18,17.28
2014-08-19,14.71
2014-08-20,15.8
2014-08-21,14.26
2014-08-22,14.53
2014-08-23,16.32
2014-08-24,13.19
2014-08-25,12.65
2014-08-26,12.71
2014-08-27,12.26
2014-08-28,14.12
2014-08-29,15.45
2014-08-30,16.67
2014-08-31,15.58
2014-09-01,14.43
