panel_size,margin,margin_label,endpoint,power,n_reps,alpha,observed_mean_effect,observed_median_effect
140,0.5,0.5x,dcap_0.05,0.785,600,0.05,0.012071,0.0
140,0.5,0.5x,dcap_0.10,0.645,600,0.05,0.013306,0.008574
140,0.5,0.5x,dcap_0.20,0.3533,600,0.05,-0.012274,0.0
140,0.5,0.5x,dcap_0.30,0.3233,600,0.05,-0.013933,0.0
140,0.5,0.5x,d_ndcg,0.9967,600,0.05,0.009477,0.006881
140,1.0,1x,d_rho,0.9983,600,0.05,0.036214,0.021053
140,1.0,1x,dcap_0.05,0.825,600,0.05,0.012071,0.0
140,1.0,1x,dcap_0.10,0.6867,600,0.05,0.013306,0.008574
140,1.0,1x,dcap_0.20,0.3667,600,0.05,-0.012274,0.0
140,1.0,1x,dcap_0.30,0.3567,600,0.05,-0.013933,0.0
140,1.0,1x,d_ndcg,0.9917,600,0.05,0.009477,0.006881
140,1.5,1.5x,d_rho,0.9983,600,0.05,0.036214,0.021053
140,1.5,1.5x,dcap_0.05,0.8033,600,0.05,0.012071,0.0
140,1.5,1.5x,dcap_0.10,0.6817,600,0.05,0.013306,0.008574
140,1.5,1.5x,dcap_0.20,0.3683,600,0.05,-0.012274,0.0
140,1.5,1.5x,dcap_0.30,0.345,600,0.05,-0.013933,0.0
140,1.5,1.5x,d_ndcg,0.99,600,0.05,0.009477,0.006881
160,0.0,null,d_rho,0.0417,600,0.05,0.036214,0.021053
160,0.0,null,dcap_0.05,0.045,600,0.05,0.012071,0.0
160,0.0,null,dcap_0.10,0.0433,600,0.05,0.013306,0.008574
160,0.0,null,dcap_0.20,0.0433,600,0.05,-0.012274,0.0
160,0.0,null,dcap_0.30,0.0483,600,0.05,-0.013933,0.0
160,0.0,null,d_ndcg,0.0367,600,0.05,0.009477,0.006881
160,0.5,0.5x,d_rho,1.0,600,0.05,0.036214,0.021053
160,0.5,0.5x,dcap_0.05,0.8567,600,0.05,0.012071,0.0
160,0.5,0.5x,dcap_0.10,0.7233,600,0.05,0.013306,0.008574
160,0.5,0.5x,dcap_0.20,0.4417,600,0.05,-0.012274,0.0
160,0.5,0.5x,dcap_0.30,0.3933,600,0.05,-0.013933,0.0
160,0.5,0.5x,d_ndcg,1.0,600,0.05,0.009477,0.006881
160,1.0,1x,d_rho,1.0,600,0.05,0.036214,0.021053
160,1.0,1x,dcap_0.05,0.82,600,0.05,0.012071,0.0
160,1.0,1x,dcap_0.10,0.72,600,0.05,0.013306,0.008574
160,1.0,1x,dcap_0.20,0.4317,600,0.05,-0.012274,0.0
160,1.0,1x,dcap_0.30,0.3867,600,0.05,-0.013933,0.0
160,1.0,1x,d_ndcg,1.0,600,0.05,0.009477,0.006881
160,1.5,1.5x,d_rho,1.0,600,0.05,0.036214,0.021053
160,1.5,1.5x,dcap_0.05,0.8417,600,0.05,0.012071,0.0
160,1.5,1.5x,dcap_0.10,0.7167,600,0.05,0.013306,0.008574
160,1.5,1.5x,dcap_0.20,0.4467,600,0.05,-0.012274,0.0
160,1.5,1.5x,dcap_0.30,0.385,600,0.05,-0.013933,0.0
160,1.5,1.5x,d_ndcg,0.995,600,0.05,0.009477,0.006881
160,1.0,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,1.0,scan,dcap_0.05,0.8325,400,0.05,0.012071,0.0
160,1.0,scan,dcap_0.10,0.6925,400,0.05,0.013306,0.008574
160,1.0,scan,dcap_0.20,0.4,400,0.05,-0.012274,0.0
160,1.0,scan,dcap_0.30,0.38,400,0.05,-0.013933,0.0
160,1.0,scan,d_ndcg,1.0,400,0.05,0.009477,0.006881
160,1.5,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,1.5,scan,dcap_0.05,0.8325,400,0.05,0.012071,0.0
160,1.5,scan,dcap_0.10,0.6775,400,0.05,0.013306,0.008574
160,1.5,scan,dcap_0.20,0.3925,400,0.05,-0.012274,0.0
160,1.5,scan,dcap_0.30,0.3425,400,0.05,-0.013933,0.0
160,1.5,scan,d_ndcg,0.9975,400,0.05,0.009477,0.006881
160,2.0,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,2.0,scan,dcap_0.05,0.8175,400,0.05,0.012071,0.0
160,2.0,scan,dcap_0.10,0.685,400,0.05,0.013306,0.008574
160,2.0,scan,dcap_0.20,0.405,400,0.05,-0.012274,0.0
160,2.0,scan,dcap_0.30,0.375,400,0.05,-0.013933,0.0
160,2.0,scan,d_ndcg,0.9975,400,0.05,0.009477,0.006881
160,2.5,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,2.5,scan,dcap_0.05,0.8575,400,0.05,0.012071,0.0
160,2.5,scan,dcap_0.10,0.72,400,0.05,0.013306,0.008574
160,2.5,scan,dcap_0.20,0.41,400,0.05,-0.012274,0.0
160,2.5,scan,dcap_0.30,0.375,400,0.05,-0.013933,0.0
160,2.5,scan,d_ndcg,0.9975,400,0.05,0.009477,0.006881
160,3.0,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,3.0,scan,dcap_0.05,0.835,400,0.05,0.012071,0.0
160,3.0,scan,dcap_0.10,0.74,400,0.05,0.013306,0.008574
160,3.0,scan,dcap_0.20,0.425,400,0.05,-0.012274,0.0
160,3.0,scan,dcap_0.30,0.4125,400,0.05,-0.013933,0.0
160,3.0,scan,d_ndcg,0.9975,400,0.05,0.009477,0.006881
160,4.0,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,4.0,scan,dcap_0.05,0.8225,400,0.05,0.012071,0.0
160,4.0,scan,dcap_0.10,0.7275,400,0.05,0.013306,0.008574
160,4.0,scan,dcap_0.20,0.435,400,0.05,-0.012274,0.0
160,4.0,scan,dcap_0.30,0.3675,400,0.05,-0.013933,0.0
160,4.0,scan,d_ndcg,1.0,400,0.05,0.009477,0.006881
160,5.0,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,5.0,scan,dcap_0.05,0.82,400,0.05,0.012071,0.0
160,5.0,scan,dcap_0.10,0.6725,400,0.05,0.013306,0.008574
160,5.0,scan,dcap_0.20,0.3775,400,0.05,-0.012274,0.0
160,5.0,scan,dcap_0.30,0.3625,400,0.05,-0.013933,0.0
160,5.0,scan,d_ndcg,0.995,400,0.05,0.009477,0.006881
160,6.0,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,6.0,scan,dcap_0.05,0.8425,400,0.05,0.012071,0.0
160,6.0,scan,dcap_0.10,0.7025,400,0.05,0.013306,0.008574
160,6.0,scan,dcap_0.20,0.38,400,0.05,-0.012274,0.0
160,6.0,scan,dcap_0.30,0.3625,400,0.05,-0.013933,0.0
160,6.0,scan,d_ndcg,0.9925,400,0.05,0.009477,0.006881
160,8.0,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,8.0,scan,dcap_0.05,0.8675,400,0.05,0.012071,0.0
160,8.0,scan,dcap_0.10,0.7425,400,0.05,0.013306,0.008574
160,8.0,scan,dcap_0.20,0.4,400,0.05,-0.012274,0.0
160,8.0,scan,dcap_0.30,0.3625,400,0.05,-0.013933,0.0
160,8.0,scan,d_ndcg,0.9925,400,0.05,0.009477,0.006881
160,10.0,scan,d_rho,1.0,400,0.05,0.036214,0.021053
160,10.0,scan,dcap_0.05,0.8375,400,0.05,0.012071,0.0
160,10.0,scan,dcap_0.10,0.7225,400,0.05,0.013306,0.008574
160,10.0,scan,dcap_0.20,0.37,400,0.05,-0.012274,0.0
160,10.0,scan,dcap_0.30,0.365,400,0.05,-0.013933,0.0
160,10.0,scan,d_ndcg,0.995,400,0.05,0.009477,0.006881
