scenario_id,model,mask_type,mask_seed,stations,variables,protocol,horizon_bin,horizon_order,minimum_horizon_days,maximum_horizon_days,hidden_cells,MAE,RMSE,climatology_MAE,skill
PNT-B1-T-SYNC-P30-test-R0110,persistence,point,110,B1,T,online_causal,2-3,2,2,3,89,0.4483146412988727,0.5885613991146944,0.7191010325142507,0.37656237297922623
PNT-B1-T-SYNC-P30-test-R0110,persistence,point,110,B1,T,online_causal,4-7,3,4,4,2,0.6500000953674316,0.7905696563047544,1.325000286102295,0.5094339962148136
PNT-B1-T-SYNC-P30-test-R0110,causal_gru,point,110,B1,T,online_causal,1,1,1,1,238,0.9389369883457152,1.1328646688463924,0.7628150957973063,-0.2308841205670209
PNT-B1-T-SYNC-P30-test-R0110,causal_gru,point,110,B1,T,online_causal,2-3,2,2,3,89,1.1173218957493813,1.4043207421071127,0.7191010325142507,-0.5537759580775443
PNT-B1-T-SYNC-P30-test-R0110,causal_gru,point,110,B1,T,online_causal,4-7,3,4,4,2,1.4949636459350586,2.0477640031001605,1.325000286102295,-0.12827420613827845
PNT-B1-T-SYNC-P30-test-R0111,climatology,point,111,B1,T,online_causal,1,1,1,1,227,0.7491189367445555,0.9811045192263402,0.7491189367445555,0.0
PNT-B1-T-SYNC-P30-test-R0111,climatology,point,111,B1,T,online_causal,2-3,2,2,3,94,0.6702127025482503,0.9471681518074635,0.6702127025482503,0.0
PNT-B1-T-SYNC-P30-test-R0111,climatology,point,111,B1,T,online_causal,4-7,3,4,4,8,1.1249999403953552,1.4562365191576747,1.1249999403953552,0.0
PNT-B1-T-SYNC-P30-test-R0111,persistence,point,111,B1,T,online_causal,1,1,1,1,227,0.26211461569244116,0.3430236588099022,0.7491189367445555,0.6501028036595737
PNT-B1-T-SYNC-P30-test-R0111,persistence,point,111,B1,T,online_causal,2-3,2,2,3,94,0.4553191623789199,0.5910682691363032,0.6702127025482503,0.32063483630237466
PNT-B1-T-SYNC-P30-test-R0111,persistence,point,111,B1,T,online_causal,4-7,3,4,4,8,0.8374999165534973,1.0494045919548627,1.1249999403953552,0.25555559028814057
PNT-B1-T-SYNC-P30-test-R0111,causal_gru,point,111,B1,T,online_causal,1,1,1,1,227,0.9685691180208181,1.1803472918069005,0.7491189367445555,-0.2929443784052861
PNT-B1-T-SYNC-P30-test-R0111,causal_gru,point,111,B1,T,online_causal,2-3,2,2,3,94,0.959466483998806,1.2674230587732829,0.6702127025482503,-0.4315850480761838
PNT-B1-T-SYNC-P30-test-R0111,causal_gru,point,111,B1,T,online_causal,4-7,3,4,4,8,1.2071684002876282,1.3894498618651052,1.1249999403953552,-0.07303863488507978
PNT-B1-T-SYNC-P30-test-R0112,climatology,point,112,B1,T,online_causal,1,1,1,1,237,0.796624422576357,1.032969105648193,0.796624422576357,0.0
PNT-B1-T-SYNC-P30-test-R0112,climatology,point,112,B1,T,online_causal,2-3,2,2,3,86,0.8697674440783124,1.0540894851648526,0.8697674440783124,0.0
PNT-B1-T-SYNC-P30-test-R0112,climatology,point,112,B1,T,online_causal,4-7,3,4,5,6,0.5916667381922404,0.7385232346517137,0.5916667381922404,0.0
PNT-B1-T-SYNC-P30-test-R0112,persistence,point,112,B1,T,online_causal,1,1,1,1,237,0.2523206824491799,0.34883773001546714,0.796624422576357,0.6832626827669286
PNT-B1-T-SYNC-P30-test-R0112,persistence,point,112,B1,T,online_causal,2-3,2,2,3,86,0.4418604997701423,0.5654798533931173,0.8697674440783124,0.49197857107841125
PNT-B1-T-SYNC-P30-test-R0112,persistence,point,112,B1,T,online_causal,4-7,3,4,5,6,0.8999996185302734,0.9416294011758578,0.5916667381922404,-0.5211259319394961
PNT-B1-T-SYNC-P30-test-R0112,causal_gru,point,112,B1,T,online_causal,1,1,1,1,237,0.9461920004856738,1.1725675588895503,0.796624422576357,-0.1877516853244361
PNT-B1-T-SYNC-P30-test-R0112,causal_gru,point,112,B1,T,online_causal,2-3,2,2,3,86,0.92615057008211,1.1099011900758176,0.8697674440783124,-0.06482551903692646
PNT-B1-T-SYNC-P30-test-R0112,causal_gru,point,112,B1,T,online_causal,4-7,3,4,5,6,1.1213908195495605,1.3532870535881114,0.5916667381922404,-0.895308198287134
PNT-B1-T-SYNC-P30-test-R0113,climatology,point,113,B1,T,online_causal,1,1,1,1,221,0.7904976622551275,0.9918787157129956,0.7904976622551275,0.0
PNT-B1-T-SYNC-P30-test-R0113,climatology,point,113,B1,T,online_causal,2-3,2,2,3,95,0.7768420959773816,0.9998420892065174,0.7768420959773816,0.0
PNT-B1-T-SYNC-P30-test-R0113,climatology,point,113,B1,T,online_causal,4-7,3,4,6,13,1.2538458750798152,1.63988697686902,1.2538458750798152,0.0
PNT-B1-T-SYNC-P30-test-R0113,persistence,point,113,B1,T,online_causal,1,1,1,1,221,0.2556561528287862,0.3390831833854551,0.7904976622551275,0.676588350559505
PNT-B1-T-SYNC-P30-test-R0113,persistence,point,113,B1,T,online_causal,2-3,2,2,3,95,0.4357894859815899,0.5771071041797636,0.7768420959773816,0.439024367708469
PNT-B1-T-SYNC-P30-test-R0113,persistence,point,113,B1,T,online_causal,4-7,3,4,6,13,0.3076926744901217,0.350823490017817,1.2538458750798152,0.7546008798963946
PNT-B1-T-SYNC-P30-test-R0113,causal_gru,point,113,B1,T,online_causal,1,1,1,1,221,0.9402415612164665,1.1357410811634907,0.7904976622551275,-0.18942990740054877
PNT-B1-T-SYNC-P30-test-R0113,causal_gru,point,113,B1,T,online_causal,2-3,2,2,3,95,0.9452330062263891,1.1454150343676925,0.7768420959773816,-0.2167633694427269
PNT-B1-T-SYNC-P30-test-R0113,causal_gru,point,113,B1,T,online_causal,4-7,3,4,6,13,1.1215520271888146,1.2606497548192106,1.2538458750798152,0.1055104542913452
PNT-B1-T-SYNC-P30-test-R0114,climatology,point,114,B1,T,online_causal,1,1,1,1,224,0.7810267050351415,0.998318809637162,0.7810267050351415,0.0
PNT-B1-T-SYNC-P30-test-R0114,climatology,point,114,B1,T,online_causal,2-3,2,2,3,95,0.7136843016273097,0.9444018411834192,0.7136843016273097,0.0
PNT-B1-T-SYNC-P30-test-R0114,climatology,point,114,B1,T,online_causal,4-7,3,4,5,10,0.6450002193450928,0.7967121176211327,0.6450002193450928,0.0
PNT-B1-T-SYNC-P30-test-R0114,persistence,point,114,B1,T,online_causal,1,1,1,1,224,0.24598213764173643,0.3243812723602971,0.7810267050351415,0.6850528463931733
PNT-B1-T-SYNC-P30-test-R0114,persistence,point,114,B1,T,online_causal,2-3,2,2,3,95,0.4642105265667564,0.6113832685721664,0.7136843016273097,0.3495576048004907
PNT-B1-T-SYNC-P30-test-R0114,persistence,point,114,B1,T,online_causal,4-7,3,4,5,10,0.8700002193450928,1.0606603516064133,0.6450002193450928,-0.34883709067332713
PNT-B1-T-SYNC-P30-test-R0114,causal_gru,point,114,B1,T,online_causal,1,1,1,1,224,0.8955379522272519,1.0973404023163744,0.7810267050351415,-0.14661630191884156
PNT-B1-T-SYNC-P30-test-R0114,causal_gru,point,114,B1,T,online_causal,2-3,2,2,3,95,0.8846250057220459,1.107833536596161,0.7136843016273097,-0.23951865510417591
PNT-B1-T-SYNC-P30-test-R0114,causal_gru,point,114,B1,T,online_causal,4-7,3,4,5,10,1.08166184425354,1.310333574458686,0.6450002193450928,-0.6769945370744459
PNT-B1-T-SYNC-P30-test-R0115,climatology,point,115,B1,T,online_causal,1,1,1,1,231,0.7902597488262952,1.0101701600349269,0.7902597488262952,0.0
PNT-B1-T-SYNC-P30-test-R0115,climatology,point,115,B1,T,online_causal,2-3,2,2,3,87,0.7603448423846014,0.9548876338495412,0.7603448423846014,0.0
PNT-B1-T-SYNC-P30-test-R0115,climatology,point,115,B1,T,online_causal,4-7,3,4,5,11,0.5318181623112072,0.74574539905473,0.5318181623112072,0.0
PNT-B1-T-SYNC-P30-test-R0115,persistence,point,115,B1,T,online_causal,1,1,1,1,231,0.2696969653620864,0.35572010324288306,0.7902597488262952,0.6587236465445139
PNT-B1-T-SYNC-P30-test-R0115,persistence,point,115,B1,T,online_causal,2-3,2,2,3,87,0.36091956599005337,0.4770599612445263,0.7603448423846014,0.5253212149659178
PNT-B1-T-SYNC-P30-test-R0115,persistence,point,115,B1,T,online_causal,4-7,3,4,5,11,0.37272718819704925,0.4661251103162916,0.5318181623112072,0.2991454323838262
