scenario_id,model,mask_type,mask_seed,stations,variables,protocol,hidden_cells,MAE,RMSE,climatology_MAE,skill
PNT-B1-T-SYNC-P30-test-R0116,climatology,point,116,B1,T,online_causal,329,0.8091185255978245,1.0622136489314764,0.8091185255978245,0.0
PNT-B1-T-SYNC-P30-test-R0116,persistence,point,116,B1,T,online_causal,329,0.31306994830946067,0.5041469759257413,0.8091185255978245,0.6130728213420324
PNT-B1-T-SYNC-P30-test-R0116,causal_gru,point,116,B1,T,online_causal,329,0.8897278471920628,1.1149403018519484,0.8091185255978245,-0.09962609808578948
PNT-B1-T-SYNC-P30-test-R0117,climatology,point,117,B1,T,online_causal,329,0.7951367839853815,1.0192598400786181,0.7951367839853815,0.0
PNT-B1-T-SYNC-P30-test-R0117,persistence,point,117,B1,T,online_causal,329,0.31185407297951834,0.4179119876463804,0.7951367839853815,0.6077982062200109
PNT-B1-T-SYNC-P30-test-R0117,causal_gru,point,117,B1,T,online_causal,329,0.9474709617330673,1.1859179521730623,0.7951367839853815,-0.19158235515675326
PNT-B1-T-SYNC-P30-test-R0118,climatology,point,118,B1,T,online_causal,329,0.760638260551499,0.9897383655953702,0.760638260551499,0.0
PNT-B1-T-SYNC-P30-test-R0118,persistence,point,118,B1,T,online_causal,329,0.3197568459351374,0.42210933290292235,0.760638260551499,0.5796203497529844
PNT-B1-T-SYNC-P30-test-R0118,causal_gru,point,118,B1,T,online_causal,329,0.9400844563104461,1.1595842758467443,0.760638260551499,-0.23591528991565602
PNT-B1-T-SYNC-P30-test-R0119,climatology,point,119,B1,T,online_causal,329,0.7539513618388074,0.9839942445093963,0.7539513618388074,0.0
PNT-B1-T-SYNC-P30-test-R0119,persistence,point,119,B1,T,online_causal,329,0.33252278540996794,0.46231872707446553,0.7539513618388074,0.558959898157117
PNT-B1-T-SYNC-P30-test-R0119,causal_gru,point,119,B1,T,online_causal,329,0.9304277661361231,1.149929763063327,0.7539513618388074,-0.23406868563365735
PNT-B1-T-SYNC-P30-test-R0120,climatology,point,120,B1,T,online_causal,329,0.7925531610529474,1.0348817442213303,0.7925531610529474,0.0
PNT-B1-T-SYNC-P30-test-R0120,persistence,point,120,B1,T,online_causal,329,0.3443768948407159,0.47793244692965403,0.7925531610529474,0.5654841696887644
PNT-B1-T-SYNC-P30-test-R0120,causal_gru,point,120,B1,T,online_causal,329,0.96945260542142,1.2150558473379507,0.7925531610529474,-0.22320199207010005
PNT-S2-T-SYNC-P30-test-R0101,climatology,point,101,S2,T,online_causal,329,0.6784194363649131,0.8745732867122892,0.6784194363649131,0.0
PNT-S2-T-SYNC-P30-test-R0101,persistence,point,101,S2,T,online_causal,329,0.3185410572040407,0.4642214414641852,0.6784194363649131,0.530465903349058
PNT-S2-T-SYNC-P30-test-R0101,causal_gru,point,101,S2,T,online_causal,329,0.7396860398057746,0.9032987372461184,0.6784194363649131,-0.09030785404548314
PNT-S2-T-SYNC-P30-test-R0102,climatology,point,102,S2,T,online_causal,329,0.633890579536693,0.8244598826460142,0.633890579536693,0.0
PNT-S2-T-SYNC-P30-test-R0102,persistence,point,102,S2,T,online_causal,329,0.28662611865707444,0.43020461133203647,0.633890579536693,0.5478302913626389
PNT-S2-T-SYNC-P30-test-R0102,causal_gru,point,102,S2,T,online_causal,329,0.687529349399555,0.8531986226948578,0.633890579536693,-0.08461834202058371
PNT-S2-T-SYNC-P30-test-R0103,climatology,point,103,S2,T,online_causal,329,0.6483282463166489,0.8465646669710462,0.6483282463166489,0.0
PNT-S2-T-SYNC-P30-test-R0103,persistence,point,103,S2,T,online_causal,329,0.28054711449110037,0.39104722428837946,0.6483282463166489,0.5672761196431371
PNT-S2-T-SYNC-P30-test-R0103,causal_gru,point,103,S2,T,online_causal,329,0.68041983201511,0.8355606898916899,0.6483282463166489,-0.04949897815000859
PNT-S2-T-SYNC-P30-test-R0104,climatology,point,104,S2,T,online_causal,329,0.7088145832885,0.878915499591336,0.7088145832885,0.0
PNT-S2-T-SYNC-P30-test-R0104,persistence,point,104,S2,T,online_causal,329,0.26626136600065375,0.35146241596681965,0.7088145832885,0.6243568173141258
PNT-S2-T-SYNC-P30-test-R0104,causal_gru,point,104,S2,T,online_causal,329,0.7540296276289641,0.9095588345909664,0.7088145832885,-0.06378966433039768
PNT-S2-T-SYNC-P30-test-R0105,climatology,point,105,S2,T,online_causal,329,0.6755318989507333,0.8762442250743978,0.6755318989507333,0.0
PNT-S2-T-SYNC-P30-test-R0105,persistence,point,105,S2,T,online_causal,329,0.2507598697233345,0.33248628329467794,0.6755318989507333,0.6287964045623513
PNT-S2-T-SYNC-P30-test-R0105,causal_gru,point,105,S2,T,online_causal,329,0.740787717709063,0.9045551832908899,0.6755318989507333,-0.09659916705589788
PNT-S2-T-SYNC-P30-test-R0106,climatology,point,106,S2,T,online_causal,329,0.695744649255167,0.9045309845743085,0.695744649255167,0.0
PNT-S2-T-SYNC-P30-test-R0106,persistence,point,106,S2,T,online_causal,329,0.26018233574632454,0.34938068763904284,0.695744649255167,0.6260376044215876
PNT-S2-T-SYNC-P30-test-R0106,causal_gru,point,106,S2,T,online_causal,329,0.6913941826863854,0.841797651307209,0.695744649255167,0.006252964465395472
PNT-S2-T-SYNC-P30-test-R0107,climatology,point,107,S2,T,online_causal,329,0.6636777996654568,0.8476635346219995,0.6636777996654568,0.0
PNT-S2-T-SYNC-P30-test-R0107,persistence,point,107,S2,T,online_causal,329,0.23465043505636754,0.3248567389852208,0.6636777996654568,0.64643922822995
PNT-S2-T-SYNC-P30-test-R0107,causal_gru,point,107,S2,T,online_causal,329,0.7332793658989903,0.9083027310312687,0.6636777996654568,-0.10487252439153139
PNT-S2-T-SYNC-P30-test-R0108,climatology,point,108,S2,T,online_causal,329,0.6869301027802348,0.8815743128094244,0.6869301027802348,0.0
PNT-S2-T-SYNC-P30-test-R0108,persistence,point,108,S2,T,online_causal,329,0.27841942361060606,0.39425970838625013,0.6869301027802348,0.5946903149479839
PNT-S2-T-SYNC-P30-test-R0108,causal_gru,point,108,S2,T,online_causal,329,0.737285256023465,0.896656426897002,0.6869301027802348,-0.07330462450171571
PNT-S2-T-SYNC-P30-test-R0109,climatology,point,109,S2,T,online_causal,329,0.6799392062479964,0.891712979350729,0.6799392062479964,0.0
PNT-S2-T-SYNC-P30-test-R0109,persistence,point,109,S2,T,online_causal,329,0.24498475576244227,0.3242011067012447,0.6799392062479964,0.639696088251325
PNT-S2-T-SYNC-P30-test-R0109,causal_gru,point,109,S2,T,online_causal,329,0.7511810850589833,0.9250728856689312,0.6799392062479964,-0.10477683615879418
PNT-S2-T-SYNC-P30-test-R0110,climatology,point,110,S2,T,online_causal,329,0.6390577058299334,0.8338078677430433,0.6390577058299334,0.0
PNT-S2-T-SYNC-P30-test-R0110,persistence,point,110,S2,T,online_causal,329,0.2477203459000515,0.36507901863238595,0.6390577058299334,0.6123662329079637
PNT-S2-T-SYNC-P30-test-R0110,causal_gru,point,110,S2,T,online_causal,329,0.6974381661342632,0.8493934569796842,0.6390577058299334,-0.09135397284430224
PNT-S2-T-SYNC-P30-test-R0111,climatology,point,111,S2,T,online_causal,329,0.6750759861027216,0.8724507267435726,0.6750759861027216,0.0
PNT-S2-T-SYNC-P30-test-R0111,persistence,point,111,S2,T,online_causal,329,0.2832826596987646,0.43905118442811486,0.6750759861027216,0.580369224308833
PNT-S2-T-SYNC-P30-test-R0111,causal_gru,point,111,S2,T,online_causal,329,0.7075819476397204,0.8587833605855465,0.6750759861027216,-0.04815155953725858
PNT-S2-T-SYNC-P30-test-R0112,climatology,point,112,S2,T,online_causal,329,0.6653495066796392,0.842136874072111,0.6653495066796392,0.0
PNT-S2-T-SYNC-P30-test-R0112,persistence,point,112,S2,T,online_causal,329,0.27507601682900656,0.40110031411283903,0.6653495066796392,0.5865691428828945
PNT-S2-T-SYNC-P30-test-R0112,causal_gru,point,112,S2,T,online_causal,329,0.7054217086374579,0.8611180899413219,0.6653495066796392,-0.06022729641417346
PNT-S2-T-SYNC-P30-test-R0113,climatology,point,113,S2,T,online_causal,329,0.6705167083392389,0.8656831254237985,0.6705167083392389,0.0
PNT-S2-T-SYNC-P30-test-R0113,persistence,point,113,S2,T,online_causal,329,0.2765957301873204,0.37253747829016937,0.6705167083392389,0.587488683358237
PNT-S2-T-SYNC-P30-test-R0113,causal_gru,point,113,S2,T,online_causal,329,0.7265566112784991,0.8803926275817067,0.6705167083392389,-0.08357719090708704
PNT-S2-T-SYNC-P30-test-R0114,climatology,point,114,S2,T,online_causal,329,0.6267477125382351,0.7924798499111844,0.6267477125382351,0.0
PNT-S2-T-SYNC-P30-test-R0114,persistence,point,114,S2,T,online_causal,329,0.30151975480981147,0.39587537888142893,0.6267477125382351,0.5189136732726136
PNT-S2-T-SYNC-P30-test-R0114,causal_gru,point,114,S2,T,online_causal,329,0.6833692553557886,0.8385513174630828,0.6267477125382351,-0.0903418419961115
PNT-S2-T-SYNC-P30-test-R0115,climatology,point,115,S2,T,online_causal,329,0.6636777706783955,0.8357922092768274,0.6636777706783955,0.0
PNT-S2-T-SYNC-P30-test-R0115,persistence,point,115,S2,T,online_causal,329,0.26717328300592025,0.3800096112345723,0.6636777706783955,0.5974352391932276
PNT-S2-T-SYNC-P30-test-R0115,causal_gru,point,115,S2,T,online_causal,329,0.7316101822084932,0.8908885993953731,0.6636777706783955,-0.10235752127219633
PNT-S2-T-SYNC-P30-test-R0116,climatology,point,116,S2,T,online_causal,329,0.7098784171339226,0.9018935292849627,0.7098784171339226,0.0
