request_ordinal,target_station_id,direction,distance_km,endpoint,cache_path
79,01481500,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01481500/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01481500_DM_200.json
80,01516350,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01516350/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01516350_UM_200.json
81,01516350,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01516350/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01516350_DM_200.json
82,01518700,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01518700/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01518700_UM_200.json
83,01518700,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01518700/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01518700_DM_200.json
84,01520000,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01520000/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01520000_UM_200.json
85,01520000,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01520000/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01520000_DM_200.json
86,0157155010,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-0157155010/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/0157155010_UM_200.json
87,0157155010,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-0157155010/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/0157155010_DM_200.json
88,0157155014,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-0157155014/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/0157155014_UM_200.json
89,0157155014,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-0157155014/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/0157155014_DM_200.json
90,01571820,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01571820/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01571820_UM_200.json
91,01571820,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01571820/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01571820_DM_200.json
92,01581752,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01581752/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01581752_UM_200.json
93,01581752,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01581752/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01581752_DM_200.json
94,01581920,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01581920/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01581920_UM_200.json
95,01581920,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01581920/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01581920_DM_200.json
96,01585075,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01585075/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01585075_UM_200.json
97,01585075,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01585075/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01585075_DM_200.json
98,01589290,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01589290/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01589290_UM_200.json
99,01589290,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01589290/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01589290_DM_200.json
100,01595800,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01595800/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01595800_UM_200.json
101,01595800,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01595800/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01595800_DM_200.json
102,01596500,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01596500/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01596500_UM_200.json
