request_ordinal,target_station_id,direction,status,response_sha256,http_status
123,02011460,DM,complete,7e20897f502a4d4100914980fd4c5ddc994e239980f3a4be9c940b0990d5478d,200.0
124,02011470,UM,complete,e926b13aee1e9a4df6cee5fd00226589015700d2026c84d0899bcdaaab106603,200.0
125,02011470,DM,complete,7e20897f502a4d4100914980fd4c5ddc994e239980f3a4be9c940b0990d5478d,200.0
126,02011490,UM,complete,1d95c20f27bcb9f7ca6485aa1ba87d9c7d922e84398abd82b1a0b0abc5617142,200.0
127,02011490,DM,complete,857a651aa87a07c7833b3161b43da4687bda1f570452d58ddc12fecc0814f87c,200.0
130,02011800,UM,complete,64134b9f2924c27f2652b6860441ff103ed49bc9f9b65db27c1b112109afa7ed,200.0
131,02011800,DM,complete,f3dc23eaa7fc3fd48d29fa7ff65c4385e462c7949130508884a792c7803dc1dc,200.0
132,02012800,UM,complete,25e7d4e4b7134fa249f098620502e2b6b88cb71883e5c493dc8058e3b64ec6aa,200.0
133,02012800,DM,complete,517fad392135aefd52287d808dfd1808adaccdbfb3289ec542111546ee96785c,200.0
134,02110725,UM,complete,e424e3ae426c28cdf944a0073249ee90591bc6c19e300ed4f7f3624c1961829b,200.0
135,02110725,DM,complete,012f56956431d481b97aeafcda09561ff3f187437528508b2ad7a25b3c6087b8,200.0
136,02110802,UM,complete,44429dc0bac751f16948b3589990d526af9326a06bbde778204312b9ef430941,200.0
137,02110802,DM,complete,099b90acf49b1db09b1550a03e6b83397ff16bac72686a75aa704ef31b582406,200.0
138,021108125,UM,complete,5f1502a99d82e35f6447a80b440cf7383f5202ff226a7e7cc5c9e396a262a952,200.0
139,021108125,DM,complete,abdce13472c2ca3109da46aea6476dad9baa7cdf5ab89448e60c5e2e184ec8e3,200.0
140,02110815,UM,complete,3f3ddbbf95d0885208cb4407ef56c50df43af8cb588ac23f7a9839294d23fdc3,200.0
141,02110815,DM,complete,5da1b508e2b56b0c8c49419c7e6c0015dd213819c457909960fe78c1e37f7f2e,200.0
142,02156500,UM,complete,a512cb40d3cefb97d856a6c966895f3f98659c5fdd334c84408f42bfff53c9b6,200.0
143,02156500,DM,complete,aea22d70fbd96e20e913e9669f8cace281c1e3353df2bb92966299ea879ee028,200.0
146,02163001,UM,complete,6b456491098f739c6f59d89b23934847472be673bb54a0914aca1a0948f2dd25,200.0
147,02163001,DM,complete,e9a9162e15ab66b744254ac6810992c5dc0fa2f76e9b7778759eddbcb8fc08a5,200.0
148,02167600,UM,complete,338ceeef5a3c4bc43e66c772b408f4f7abe5b1c6dc1457c0d4b15cfb8ade2697,200.0
149,02167600,DM,complete,60be4326c9d90122a0fa93caa8bfb9eea69d344397d27a05829fb0b204d912b6,200.0
152,02168504,UM,complete,5d1b6b0556690d75d409e7260a8b297622f57309f6af47227a1065668db08c5d,200.0
153,02168504,DM,complete,a086183fff3dd431e60cfbcf3b5cecb3d30ee7c53b5da7c145d28ac413400ebf,200.0
154,02169000,UM,complete,318b1613b8c42574389fb343c9c41d2d6a995f9d747bff0f8add62a175285c1c,200.0
155,02169000,DM,complete,433f7224fe59898f14a2fdb632aa4d84963082ab6021bf97bd9d819633370d00,200.0
156,02176585,UM,complete,d0e9be8a4e33cb662029fab2333ac0884d834a71932e283d6b30f2fcf7d5610d,200.0
157,02176585,DM,complete,9629f3445d50979c0a0bfc33295c06a67472467bb0f051044d9d24c419c01755,200.0
158,02176603,UM,complete,419503c33c57934604c83d1f8fe1a354e36966b59db539770c9c8fe78c2343eb,200.0
159,02176603,DM,complete,59e237ad66388b76583d3546535f3f9093b110adb2e1c8420421401c0017d9ae,200.0
162,02176635,UM,complete,70d285d67ad62b45ed968b0d0747f5e72d574b9fe3b3f19268ba9a538eaab326,200.0
