request_ordinal,target_station_id,direction,cache_path,status,response_sha256
85,01520000,DM,results/framework/public_catalog/nldi_cache/01520000_DM_200.json,missing,
86,0157155010,UM,results/framework/public_catalog/nldi_cache/0157155010_UM_200.json,missing,
87,0157155010,DM,results/framework/public_catalog/nldi_cache/0157155010_DM_200.json,missing,
88,0157155014,UM,results/framework/public_catalog/nldi_cache/0157155014_UM_200.json,complete,99743ac17547d4dfbe27ce3a3e7a5b06eb469662d447c41bb94a551e62d146b0
89,0157155014,DM,results/framework/public_catalog/nldi_cache/0157155014_DM_200.json,complete,899a03e8ec6ad9816e50d810f89f17f88572e813ac655b15abcfcb033478751a
90,01571820,UM,results/framework/public_catalog/nldi_cache/01571820_UM_200.json,missing,
91,01571820,DM,results/framework/public_catalog/nldi_cache/01571820_DM_200.json,missing,
92,01581752,UM,results/framework/public_catalog/nldi_cache/01581752_UM_200.json,complete,e69b92178e65c2a0e229adbc459c64a750507d7e610dd2aa61ad463ceb1940d2
93,01581752,DM,results/framework/public_catalog/nldi_cache/01581752_DM_200.json,complete,09f63f3ca419bc6d213622cb009f286c1b538fc0cc1241921716cabf265a4d38
94,01581920,UM,results/framework/public_catalog/nldi_cache/01581920_UM_200.json,missing,
95,01581920,DM,results/framework/public_catalog/nldi_cache/01581920_DM_200.json,missing,
96,01585075,UM,results/framework/public_catalog/nldi_cache/01585075_UM_200.json,missing,
97,01585075,DM,results/framework/public_catalog/nldi_cache/01585075_DM_200.json,missing,
98,01589290,UM,results/framework/public_catalog/nldi_cache/01589290_UM_200.json,missing,
99,01589290,DM,results/framework/public_catalog/nldi_cache/01589290_DM_200.json,missing,
100,01595800,UM,results/framework/public_catalog/nldi_cache/01595800_UM_200.json,missing,
101,01595800,DM,results/framework/public_catalog/nldi_cache/01595800_DM_200.json,missing,
102,01596500,UM,results/framework/public_catalog/nldi_cache/01596500_UM_200.json,missing,
103,01596500,DM,results/framework/public_catalog/nldi_cache/01596500_DM_200.json,missing,
104,01597500,UM,results/framework/public_catalog/nldi_cache/01597500_UM_200.json,complete,8994e4eaaec70010786326c8614d82e84a08e05702ec970d3a12de021a825ea3
105,01597500,DM,results/framework/public_catalog/nldi_cache/01597500_DM_200.json,complete,cb53676e37abefa95b49daf69a043ab86d08af9f7cc09f4b425104926df73e9b
106,01646000,UM,results/framework/public_catalog/nldi_cache/01646000_UM_200.json,missing,
107,01646000,DM,results/framework/public_catalog/nldi_cache/01646000_DM_200.json,missing,
108,01646305,UM,results/framework/public_catalog/nldi_cache/01646305_UM_200.json,complete,7ce169a4eea996ab086845d064a012ca67152fd390bbb40ec9bf89548e7d0ec8
109,01646305,DM,results/framework/public_catalog/nldi_cache/01646305_DM_200.json,complete,97de103b089ccc8eff72b8b7ea980faa5d4f81d88d884fa18459715401c70340
110,01646500,UM,results/framework/public_catalog/nldi_cache/01646500_UM_200.json,missing,
111,01646500,DM,results/framework/public_catalog/nldi_cache/01646500_DM_200.json,missing,
112,01649190,UM,results/framework/public_catalog/nldi_cache/01649190_UM_200.json,missing,
113,01649190,DM,results/framework/public_catalog/nldi_cache/01649190_DM_200.json,missing,
114,01649500,UM,results/framework/public_catalog/nldi_cache/01649500_UM_200.json,complete,bcf69c2f9de28a5f397d32b8128998553d8876b4009c3be4cad3261ee4d4ff4d
115,01649500,DM,results/framework/public_catalog/nldi_cache/01649500_DM_200.json,complete,2d3c70ddf2058428b058a895acccaf92d9db9a5910cb8962bdc6b5d7e52bf32c
116,01654500,UM,results/framework/public_catalog/nldi_cache/01654500_UM_200.json,missing,
117,01654500,DM,results/framework/public_catalog/nldi_cache/01654500_DM_200.json,missing,
