station_id,donors,gap_length,average_boundary_distance_days,effective_acf_lag_days,seasonal_variance_fraction,anomaly_sd_degC,R2_donor,rho,donor_component,memory_component,R2_avail,predicted_skill,calibration,post_hoc_state_control
S2,"B1,P3",120,30.0,30.0,0.9715366488242987,0.766818598303544,0.4698037657024676,0.1396555372056361,0.4698037657024676,0.010340771897062933,0.4801445375995306,0.278989970665824,frozen_2006_2015,False
S2,"B1,P3",150,37.5,37.5,0.9715366488242987,0.766818598303544,0.4698037657024676,0.15316775652653786,0.4698037657024676,0.012438595396453731,0.4822423610989214,0.28044622237036476,frozen_2006_2015,False
S2,"B1,P3",180,45.0,45.0,0.9715366488242987,0.766818598303544,0.4698037657024676,0.14209466654117017,0.4698037657024676,0.010705136103458118,0.48050890180592576,0.27924269119621536,frozen_2006_2015,False
S2,"B1,P3",240,60.0,60.0,0.9715366488242987,0.766818598303544,0.4698037657024676,0.057461852758590934,0.4698037657024676,0.0017506361359636018,0.4715544018384312,0.2730573625370646,frozen_2006_2015,False
S2,"B1,P3",365,91.25,91.25,0.9715366488242987,0.766818598303544,0.4698037657024676,0.07069971413942155,0.4698037657024676,0.0026501591443218032,0.47245392484678944,0.2736763289323343,frozen_2006_2015,False
P3,"B1,S2",1,0.25,1.0,0.915831035695185,1.1639207331549215,0.10631928223226639,0.9703421623058993,0.10631928223226639,0.8414575126543201,0.9477767948865865,0.7714760294555219,frozen_2006_2015,False
P3,"B1,S2",3,0.75,1.0,0.915831035695185,1.1639207331549215,0.10631928223226639,0.9703421623058993,0.10631928223226639,0.8414575126543201,0.9477767948865865,0.7714760294555219,frozen_2006_2015,False
P3,"B1,S2",7,1.75,1.75,0.915831035695185,1.1639207331549215,0.10631928223226639,0.9468548484457834,0.10631928223226639,0.8012152415885708,0.9075345238208372,0.6959186355937563,frozen_2006_2015,False
P3,"B1,S2",10,2.5,2.5,0.915831035695185,1.1639207331549215,0.10631928223226639,0.9240671301905723,0.10631928223226639,0.7631140195045443,0.8694333017368107,0.6386598579410401,frozen_2006_2015,False
P3,"B1,S2",14,3.5,3.5,0.915831035695185,1.1639207331549215,0.10631928223226639,0.8937173544720678,0.10631928223226639,0.7138102339340213,0.8201295161662877,0.5758885950204684,frozen_2006_2015,False
P3,"B1,S2",21,5.25,5.25,0.915831035695185,1.1639207331549215,0.10631928223226639,0.8421238387905372,0.10631928223226639,0.6337738423162498,0.7400931245485162,0.49018937295159903,frozen_2006_2015,False
P3,"B1,S2",30,7.5,7.5,0.915831035695185,1.1639207331549215,0.10631928223226639,0.7866566725001072,0.10631928223226639,0.5530352950124768,0.6593545772447432,0.41635162747142285,frozen_2006_2015,False
P3,"B1,S2",45,11.25,11.25,0.915831035695185,1.1639207331549215,0.10631928223226639,0.723378596774736,0.10631928223226639,0.467642202359865,0.5739614845921314,0.3472837405059771,frozen_2006_2015,False
P3,"B1,S2",60,15.0,15.0,0.915831035695185,1.1639207331549215,0.10631928223226639,0.6970168600026676,0.10631928223226639,0.43417914011030634,0.5404984223425727,0.32213454310060374,frozen_2006_2015,False
P3,"B1,S2",90,22.5,22.5,0.915831035695185,1.1639207331549215,0.10631928223226639,0.6357922058404162,0.10631928223226639,0.36125410172384503,0.4675733839561114,0.270324307624347,frozen_2006_2015,False
P3,"B1,S2",120,30.0,30.0,0.915831035695185,1.1639207331549215,0.10631928223226639,0.5846838041368786,0.10631928223226639,0.30550935655738926,0.41182863878965564,0.2330766914414817,frozen_2006_2015,False
P3,"B1,S2",150,37.5,37.5,0.915831035695185,1.1639207331549215,0.10631928223226639,0.5424580624929444,0.10631928223226639,0.2629751578808686,0.369294440113135,0.20583027010162058,frozen_2006_2015,False
P3,"B1,S2",180,45.0,45.0,0.915831035695185,1.1639207331549215,0.10631928223226639,0.46445137443905576,0.10631928223226639,0.19278040682915887,0.29909968906142526,0.16280210765997816,frozen_2006_2015,False
P3,"B1,S2",240,60.0,60.0,0.915831035695185,1.1639207331549215,0.10631928223226639,0.30471675980683716,0.10631928223226639,0.08298031342341815,0.18929959565568455,0.09961097055532964,frozen_2006_2015,False
P3,"B1,S2",365,91.25,91.25,0.915831035695185,1.1639207331549215,0.10631928223226639,0.11183633896417781,0.10631928223226639,0.011177592461378094,0.11749687469364448,0.060583625165946176,frozen_2006_2015,False
B1,"S2,P3",1,0.25,1.0,0.987426315365279,0.5792650042989645,0.5794588934361571,0.9061013952215422,0.5794588934361571,0.34527254930692364,0.9247314427430807,0.7256488431646054,bridge_2016_2017,True
B1,"S2,P3",3,0.75,1.0,0.987426315365279,0.5792650042989645,0.5794588934361571,0.9061013952215422,0.5794588934361571,0.34527254930692364,0.9247314427430807,0.7256488431646054,bridge_2016_2017,True
B1,"S2,P3",7,1.75,1.75,0.987426315365279,0.5792650042989645,0.5794588934361571,0.8186837053018176,0.5794588934361571,0.2818647368089361,0.8613236302450932,0.6276072372415022,bridge_2016_2017,True
B1,"S2,P3",10,2.5,2.5,0.987426315365279,0.5792650042989645,0.5794588934361571,0.73396181677157,0.5794588934361571,0.22654547243908557,0.8060043658752427,0.5595506452215451,bridge_2016_2017,True
B1,"S2,P3",14,3.5,3.5,0.987426315365279,0.5792650042989645,0.5794588934361571,0.6197426725004435,0.5794588934361571,0.16152184038894568,0.7409807338251028,0.49106064587723497,bridge_2016_2017,True
B1,"S2,P3",21,5.25,5.25,0.987426315365279,0.5792650042989645,0.5794588934361571,0.44967813061161943,0.5794588934361571,0.08503779426931338,0.6644966877054704,0.42077352245038935,bridge_2016_2017,True
B1,"S2,P3",30,7.5,7.5,0.987426315365279,0.5792650042989645,0.5794588934361571,0.2911816884600817,0.5794588934361571,0.03565632447253026,0.6151152179086874,0.37960916988456983,bridge_2016_2017,True
B1,"S2,P3",45,11.25,11.25,0.987426315365279,0.5792650042989645,0.5794588934361571,0.10999318241124642,0.5794588934361571,0.005087916652178971,0.5845468100883361,0.35544341605126406,bridge_2016_2017,True
