analysis,station_id,gap_length,best_model,mean_skill,skill_ci_lower,skill_ci_upper,mean_MAE_degC,mean_climatology_MAE_degC,n_anchors,n_anchor_year_units,R2_donor,rho,predicted_skill,calibration,best_exceeds_budget,best_lower_ci_exceeds_budget,prediction_error
original_training_climatology,P3,60.0,kalman,0.5238881253794438,0.3887633995037666,0.5853140023657115,0.4363518243833745,1.32858332157135,20,20,0.10631928223226639,0.6970168600026676,0.32213454310060374,frozen_2006_2015,True,True,0.2017535822788401
original_training_climatology,P3,90.0,kalman,0.4791047953869548,0.4205682127447068,0.5105635973420681,0.48016754285477947,1.2955555327733355,20,20,0.10631928223226639,0.6357922058404162,0.270324307624347,frozen_2006_2015,True,True,0.20878048776260777
original_training_climatology,P3,120.0,kalman,0.3467380298480146,0.2025907317870666,0.5097860617005043,0.6831976065236482,1.2506041512886683,20,20,0.10631928223226639,0.5846838041368786,0.2330766914414817,frozen_2006_2015,True,False,0.11366133840653292
original_training_climatology,P3,150.0,xgboost,0.2261464343947873,0.1808126610676762,0.2670973868792703,0.9129704411824544,1.2288666542371114,20,20,0.10631928223226639,0.5424580624929444,0.20583027010162058,frozen_2006_2015,True,False,0.02031616429316671
original_training_climatology,P3,180.0,xgboost,0.2165722231752277,0.1879301491427492,0.2355860198739737,0.9182780493630303,1.2178888705041675,20,20,0.10631928223226639,0.46445137443905576,0.16280210765997816,frozen_2006_2015,True,True,0.053770115515249545
original_training_climatology,P3,240.0,xgboost,0.207267166721064,0.1574529487706955,0.2416878333026881,0.9611064499616621,1.2355104019244514,20,20,0.10631928223226639,0.30471675980683716,0.09961097055532964,frozen_2006_2015,True,True,0.10765619616573435
original_training_climatology,P3,365.0,xgboost,0.2085251650075607,0.1297367398785947,0.2957149156276979,1.0513433951547702,1.3474931415139813,20,20,0.10631928223226639,0.11183633896417781,0.060583625165946176,frozen_2006_2015,True,True,0.1479415398416145
original_training_climatology,S2,1.0,pchip,0.7338302173359776,0.6538984774715614,0.919646891805146,0.14587905668282244,0.700000011920929,20,20,0.4698037657024676,0.9231094002676072,0.7200007042881115,frozen_2006_2015,True,False,0.013829513047866171
original_training_climatology,S2,3.0,linear,0.5126531982117257,-0.0625770532953289,0.7145134375634884,0.1700000802675883,0.6958333770434062,20,20,0.4698037657024676,0.9231094002676072,0.7200007042881115,frozen_2006_2015,False,False,-0.20734750607638575
original_training_climatology,S2,7.0,pchip,0.5676385982092074,0.3797375347912528,0.7602897736758868,0.20976717104431897,0.6935714704649789,20,20,0.4698037657024676,0.8545597301218019,0.6218352294619602,frozen_2006_2015,False,False,-0.05419663125275287
original_training_climatology,S2,10.0,pchip,0.4425713603847316,0.3493405849062639,0.6653687023370956,0.2908159495119684,0.6955000388622284,20,20,0.4698037657024676,0.7844669843736555,0.5484254261983924,frozen_2006_2015,False,False,-0.1058540658136608
original_training_climatology,S2,14.0,pchip,0.3352451759296687,0.2649576271688636,0.5148236509149503,0.36435151044380965,0.7012500337191991,20,20,0.4698037657024676,0.6899503228861668,0.47292680476632454,frozen_2006_2015,False,False,-0.13768162883665586
original_training_climatology,S2,21.0,xgboost,0.2072653829812987,0.1950751644327412,0.2341117178965922,0.5131822415760585,0.7041666706403096,20,20,0.4698037657024676,0.5338258299274423,0.38428399033588956,frozen_2006_2015,False,False,-0.17701860735459085
original_training_climatology,S2,30.0,kalman,0.2103256186293444,-0.2161649921141553,0.5384562272462396,0.47641874665692796,0.6738333268960316,20,20,0.4698037657024676,0.3854171259926298,0.32810900209017013,frozen_2006_2015,False,False,-0.11778338346082573
original_training_climatology,S2,45.0,xgboost,0.2089188912883061,0.1752862204670239,0.274116396747239,0.5171739053726196,0.6681111065546672,20,20,0.4698037657024676,0.24421330918435158,0.29390138333685234,frozen_2006_2015,False,False,-0.08498249204854624
original_training_climatology,S2,60.0,xgboost,0.2284631138643448,0.1653276698491487,0.2599172865426654,0.5105643073717753,0.6838749907414119,20,20,0.4698037657024676,0.176886890880067,0.2833362440582794,frozen_2006_2015,False,False,-0.05487313019393458
original_training_climatology,S2,90.0,xgboost,0.2153931343354521,0.1800656190989646,0.2595208104065505,0.5196253270573086,0.6735277616977692,20,20,0.4698037657024676,0.12445689203929627,0.27751557096672996,frozen_2006_2015,False,False,-0.062122436631277866
original_training_climatology,S2,120.0,xgboost,0.2125366404497206,0.1817644375692234,0.3036613447173924,0.5166897090276082,0.6641874947150548,20,20,0.4698037657024676,0.1396555372056361,0.278989970665824,frozen_2006_2015,False,False,-0.06645333021610339
original_training_climatology,S2,150.0,xgboost,0.2086847177726661,0.1417500276249463,0.3386470004623614,0.5120379741986593,0.6481499947706857,20,20,0.4698037657024676,0.15316775652653786,0.28044622237036476,frozen_2006_2015,False,False,-0.07176150459769867
