network_id,target_station,donor_station,gap_length,realized_mae,n_placements
huc8_02040205,01480870,01478137,90,1.6169322355353364,12
huc8_02040205,01480870,01480065,90,1.6738728538459444,20
huc8_02040205,01480870,01480400,90,1.6943349798107188,20
huc8_02040205,01480870,01480500,90,1.5984481651059972,20
huc8_02040205,01480870,01480617,90,1.506206300460375,20
huc8_02040205,01480870,01481000,90,1.0722950948740109,20
huc8_02040205,01480870,01481500,90,1.6532190652568146,20
huc8_02040205,01481000,01478137,90,1.8893398578450988,12
huc8_02040205,01481000,01480065,90,2.0198520028608007,20
huc8_02040205,01481000,01480400,90,2.0367537348579123,20
huc8_02040205,01481000,01480500,90,1.9058837526470858,20
huc8_02040205,01481000,01480617,90,1.8429421769440648,20
huc8_02040205,01481000,01480870,90,1.7658600493189787,20
huc8_02040205,01481000,01481500,90,1.9931008496640388,20
huc8_02040205,01481500,01478137,90,2.588708318630176,12
huc8_02040205,01481500,01480065,90,1.79127162794287,20
huc8_02040205,01481500,01480400,90,2.35199224909337,20
huc8_02040205,01481500,01480500,90,1.4493170160629287,20
huc8_02040205,01481500,01480617,90,2.1249287654295026,20
huc8_02040205,01481500,01480870,90,2.1154069074892425,20
huc8_02040205,01481500,01481000,90,2.096130508861247,20
huc8_03070103,02203655,02203603,90,2.1950875394156304,20
huc8_03070103,02203655,02203831,90,2.330066030974338,20
huc8_03070103,02203655,02203863,90,2.3172381922867737,20
huc8_03070103,02203655,02203873,90,2.3144856284889057,20
huc8_03070103,02203655,02203900,90,2.329364915086734,20
huc8_03070103,02203655,02203950,90,2.3195460177709015,20
huc8_03070103,02203655,02203960,90,2.327514146574969,20
huc8_03070103,02203655,02204037,90,2.3212150439072157,20
huc8_03070103,02203655,02205865,90,2.3115132794910718,20
huc8_03070103,02203655,02207120,90,1.335805241373281,20
huc8_03070103,02203655,02207135,90,2.322091673530818,20
huc8_03070103,02203655,02207160,90,2.373363154648705,20
huc8_03070103,02203655,02207185,90,1.14155048545955,20
huc8_03070103,02203655,02207385,90,1.4440318769823608,20
huc8_03070103,02203655,02207400,90,1.1253008339412882,20
huc8_03070103,02203655,02208150,90,1.710722861888539,20
huc8_03070103,02203655,02208450,90,2.3555108072240762,20
huc8_03070103,02203655,02208493,90,2.3651801031675985,20
huc8_03070103,02203831,02203603,90,1.4711468603654527,20
huc8_03070103,02203831,02203655,90,1.5223215833885253,20
huc8_03070103,02203831,02203863,90,1.0406918203527011,20
huc8_03070103,02203831,02203873,90,1.7856448400302334,20
huc8_03070103,02203831,02203900,90,1.6161020547800409,20
huc8_03070103,02203831,02203950,90,0.8626171923196132,20
huc8_03070103,02203831,02203960,90,1.657905349663875,20
huc8_03070103,02203831,02204037,90,1.2348175394556211,20
huc8_03070103,02203831,02205865,90,0.8318237834431661,20
huc8_03070103,02203831,02207120,90,1.740470274469999,20
huc8_03070103,02203831,02207135,90,1.7556665402910572,20
huc8_03070103,02203831,02207160,90,2.186504824151632,20
huc8_03070103,02203831,02207185,90,1.3211432676096373,20
huc8_03070103,02203831,02207385,90,1.244054747700313,20
huc8_03070103,02203831,02207400,90,1.5552729262936027,20
huc8_03070103,02203831,02208150,90,1.3734260568312735,20
huc8_03070103,02203831,02208450,90,2.149601092492373,20
huc8_03070103,02203831,02208493,90,2.150055948673074,20
huc8_03070103,02203863,02203603,90,1.4816486399524122,20
huc8_03070103,02203863,02203655,90,1.6777148880517458,20
huc8_03070103,02203863,02203831,90,2.2280439050643897,20
huc8_03070103,02203863,02203873,90,2.2553879591150983,20
huc8_03070103,02203863,02203900,90,1.6025621631751061,20
huc8_03070103,02203863,02203950,90,0.5556632249832275,20
huc8_03070103,02203863,02203960,90,2.1513845398765437,20
huc8_03070103,02203863,02204037,90,2.0874655043880277,20
huc8_03070103,02203863,02205865,90,0.6040478184772382,20
huc8_03070103,02203863,02207120,90,1.6202421745581996,20
huc8_03070103,02203863,02207135,90,2.2645841064316943,20
huc8_03070103,02203863,02207160,90,2.438055155924887,20
huc8_03070103,02203863,02207185,90,1.4091754139391612,20
huc8_03070103,02203863,02207385,90,1.403787189492499,20
huc8_03070103,02203863,02207400,90,1.6459367637316742,20
huc8_03070103,02203863,02208150,90,1.5949568335987614,20
huc8_03070103,02203863,02208450,90,2.3985207670321387,20
huc8_03070103,02203863,02208493,90,2.4130528570025134,20
huc8_03070103,02203873,02203603,90,1.3132285590658495,20
huc8_03070103,02203873,02203655,90,1.3734616575872347,20
huc8_03070103,02203873,02203831,90,0.592596872159012,20
huc8_03070103,02203873,02203863,90,0.8044548995403107,20
huc8_03070103,02203873,02203900,90,1.4112184676180504,20
huc8_03070103,02203873,02203950,90,0.615095043763197,20
huc8_03070103,02203873,02203960,90,1.4921013214576624,20
huc8_03070103,02203873,02204037,90,1.0544305522563227,20
huc8_03070103,02203873,02205865,90,0.5323375909994067,20
huc8_03070103,02203873,02207120,90,1.3582797099383428,20
huc8_03070103,02203873,02207135,90,0.4065286470927257,20
huc8_03070103,02203873,02207160,90,2.390597109634238,20
huc8_03070103,02203873,02207185,90,1.2667780077318347,20
huc8_03070103,02203873,02207385,90,1.0476841090929798,20
huc8_03070103,02203873,02207400,90,1.491887401639366,20
huc8_03070103,02203873,02208150,90,1.0674992757428223,20
huc8_03070103,02203873,02208450,90,2.268532251099649,20
huc8_03070103,02203873,02208493,90,2.3003158031049944,20
huc8_03070103,02203900,02203603,90,1.4036050573539156,20
huc8_03070103,02203900,02203655,90,1.5376658864639114,20
huc8_03070103,02203900,02203831,90,2.2535820067911674,20
huc8_03070103,02203900,02203863,90,0.9221872094914991,20
huc8_03070103,02203900,02203873,90,2.2438616806625804,20
huc8_03070103,02203900,02203950,90,0.582982776817097,20
huc8_03070103,02203900,02203960,90,2.091169140851865,20
huc8_03070103,02203900,02204037,90,1.9693613310177227,20
huc8_03070103,02203900,02205865,90,0.5419893676729417,20
huc8_03070103,02203900,02207120,90,1.1615765359397616,20
huc8_03070103,02203900,02207135,90,2.251203202872289,20
huc8_03070103,02203900,02207160,90,2.508074570072074,20
huc8_03070103,02203900,02207185,90,1.2971281910744827,20
huc8_03070103,02203900,02207385,90,1.281025623227221,20
huc8_03070103,02203900,02207400,90,1.5074429325005503,20
huc8_03070103,02203900,02208150,90,1.367673751931306,20
huc8_03070103,02203900,02208450,90,2.42164384367502,20
huc8_03070103,02203900,02208493,90,2.4531927800728175,20
huc8_03070103,02203950,02203603,90,1.6411751084781887,20
huc8_03070103,02203950,02203655,90,1.8301582237524863,20
huc8_03070103,02203950,02203831,90,2.363196380414379,20
huc8_03070103,02203950,02203863,90,1.1048231319389328,20
huc8_03070103,02203950,02203873,90,2.382716396854858,20
huc8_03070103,02203950,02203900,90,1.7327632523237537,20
huc8_03070103,02203950,02203960,90,2.280099735129043,20
huc8_03070103,02203950,02204037,90,2.2243216276377,20
huc8_03070103,02203950,02205865,90,0.6027051480321218,20
huc8_03070103,02203950,02207120,90,1.6992298629573235,20
huc8_03070103,02203950,02207135,90,2.3931880053461936,20
huc8_03070103,02203950,02207160,90,2.5540851235133983,20
huc8_03070103,02203950,02207185,90,1.605877362587642,20
huc8_03070103,02203950,02207385,90,1.5859254159893852,20
huc8_03070103,02203950,02207400,90,1.801820460477428,20
huc8_03070103,02203950,02208150,90,1.7531392256895895,20
huc8_03070103,02203950,02208450,90,2.5096604766940422,20
huc8_03070103,02203950,02208493,90,2.520641143941757,20
huc8_03070103,02203960,02203603,90,1.1353609317523972,20
huc8_03070103,02203960,02203655,90,1.3057762577942036,20
huc8_03070103,02203960,02203831,90,1.8392152994989233,20
huc8_03070103,02203960,02203863,90,0.6835197087206655,20
huc8_03070103,02203960,02203873,90,1.8953681835575715,20
huc8_03070103,02203960,02203900,90,1.079726753560842,20
huc8_03070103,02203960,02203950,90,0.43003221076618586,20
huc8_03070103,02203960,02204037,90,0.810528191772768,20
huc8_03070103,02203960,02205865,90,0.3647791670861972,20
huc8_03070103,02203960,02207120,90,0.9428570443832756,20
huc8_03070103,02203960,02207135,90,1.889502773599898,20
huc8_03070103,02203960,02207160,90,2.370269412614575,20
huc8_03070103,02203960,02207185,90,1.00671180221305,20
huc8_03070103,02203960,02207385,90,0.9290451468957318,20
huc8_03070103,02203960,02207400,90,1.1969014736312409,20
huc8_03070103,02203960,02208150,90,1.1518170216568526,20
huc8_03070103,02203960,02208450,90,2.2582997087242154,20
huc8_03070103,02203960,02208493,90,2.2942699497125476,20
huc8_03070103,02204037,02203603,90,1.561951527536006,20
huc8_03070103,02204037,02203655,90,1.6649288506999191,20
huc8_03070103,02204037,02203831,90,2.0956809800582623,20
huc8_03070103,02204037,02203863,90,1.085265036350738,20
huc8_03070103,02204037,02203873,90,2.1493343585813856,20
huc8_03070103,02204037,02203900,90,1.4748031950436078,20
huc8_03070103,02204037,02203950,90,0.871220001142907,20
huc8_03070103,02204037,02203960,90,1.6417653293351893,20
huc8_03070103,02204037,02205865,90,0.6030863739180348,20
huc8_03070103,02204037,02207120,90,1.420406852506535,20
huc8_03070103,02204037,02207135,90,2.1595160404516758,20
huc8_03070103,02204037,02207160,90,2.421738447294072,20
huc8_03070103,02204037,02207185,90,1.4186416769124852,20
huc8_03070103,02204037,02207385,90,1.354274899392143,20
huc8_03070103,02204037,02207400,90,1.5910077445645827,20
huc8_03070103,02204037,02208150,90,1.552890220673348,20
huc8_03070103,02204037,02208450,90,2.3506971844749076,20
huc8_03070103,02204037,02208493,90,2.383053571428186,20
huc8_03070103,02205865,02203603,90,1.811167662280294,20
huc8_03070103,02205865,02203655,90,1.8463250185771571,20
huc8_03070103,02205865,02203831,90,2.414667283091084,20
huc8_03070103,02205865,02203863,90,2.3916957754631096,20
huc8_03070103,02205865,02203873,90,2.4101546296846377,20
huc8_03070103,02205865,02203900,90,2.4044574772272136,20
huc8_03070103,02205865,02203950,90,2.3912086396178163,20
huc8_03070103,02205865,02203960,90,2.409895335440213,20
huc8_03070103,02205865,02204037,90,2.4040183501916927,20
huc8_03070103,02205865,02207120,90,1.6999231574508618,20
