risk_model,moderator,term,estimate,std_error,p_value,ci_lower,ci_upper
simple_descriptors,regulation_stratum,C(regulation_stratum)[T.unregulated],0.15050036290755542,0.0969149037555289,0.12044404641856285,-0.03945284845328123,0.34045357426839207
simple_descriptors,regulation_stratum,C(phase)[T.first],-0.07143955277013077,0.10225463420549115,0.48477474606155013,-0.27185863581289343,0.12897953027263187
simple_descriptors,regulation_stratum,C(phase)[T.second],-0.017933566991238978,0.08498882901586492,0.8328787870855883,-0.18451167186233425,0.14864453787985626
simple_descriptors,regulation_stratum,predicted_loss,0.9724645816347329,0.07088502282311604,7.82428180567261e-43,0.8335299369014255,1.1113992263680403
simple_descriptors,regulation_stratum,predicted_loss:C(regulation_stratum)[T.unmatched_gages],0.07295677881878163,0.13840261820840213,0.5981002711208898,-0.19831235286968654,0.3442259105072498
simple_descriptors,regulation_stratum,predicted_loss:C(regulation_stratum)[T.unregulated],-0.22000434269671412,0.1143374152197538,0.05433358672855835,-0.44410567652743155,0.004096991134003303
simple_descriptors,regulation_stratum,predicted_loss:C(phase)[T.first],-0.027276627150722352,0.12073616267344167,0.8212642008357145,-0.26391950599066805,0.20936625168922332
simple_descriptors,regulation_stratum,predicted_loss:C(phase)[T.second],0.12448461300198968,0.09869930452666269,0.20721836910044167,-0.06896602387026918,0.31793524987424854
simple_descriptors,regulation_stratum,Group Var,0.46868443864593734,0.09951430275631859,2.4805810618744237e-06,0.2736364052435529,0.6637324720483218
simple_descriptors,regulation_stratum,Group x predicted_loss Cov,-0.4760432991659316,0.0997144619361644,1.805442796282654e-06,-0.6714836445608138,-0.2806029537710494
simple_descriptors,regulation_stratum,predicted_loss Var,0.7657955001087434,0.127630978040858,1.9722584464014726e-09,0.5156387831486617,1.015952217068825
fitting_period_empirical,climate_group,Intercept,0.4277013125598405,0.16798821448969925,0.010895902219482795,0.09844441216002997,0.756958212959651
fitting_period_empirical,climate_group,C(climate_group)[T.humid],-0.16019596893839685,0.16440261267183026,0.32985174091760916,-0.48242508977518417,0.16203315189839043
fitting_period_empirical,climate_group,C(climate_group)[T.maritime],-0.19578959175387606,0.18584040955539244,0.2920953298744703,-0.5600367944824453,0.16845761097469314
fitting_period_empirical,climate_group,C(climate_group)[T.other],-0.1105470094118904,0.3987119970962516,0.7815802381372182,-0.8920225237205436,0.6709285048967627
fitting_period_empirical,climate_group,C(phase)[T.first],-0.08279437326047993,0.12782157809722408,0.5171570541412023,-0.33332466633103913,0.16773591981007924
fitting_period_empirical,climate_group,C(phase)[T.second],-0.04018570742076856,0.1208447352718208,0.7394815461563986,-0.2770413885535373,0.19666997371200018
fitting_period_empirical,climate_group,predicted_loss,0.7402967019093928,0.14993969317113867,7.921304855208816e-07,0.446414903293961,1.0341785005248245
fitting_period_empirical,climate_group,predicted_loss:C(climate_group)[T.humid],0.11765672706422861,0.14678609923761812,0.4228120124088698,-0.1700440274415029,0.4053574815699601
fitting_period_empirical,climate_group,predicted_loss:C(climate_group)[T.maritime],0.2665804130449652,0.18257022503496473,0.14424810253755813,-0.09125722802356567,0.624418054113496
fitting_period_empirical,climate_group,predicted_loss:C(climate_group)[T.other],0.08301913286139594,0.36976455688527554,0.8223535594824416,-0.641719398633744,0.807757664356536
fitting_period_empirical,climate_group,predicted_loss:C(phase)[T.first],0.01112809877023635,0.13418452657236193,0.9339061568200799,-0.25187357331159305,0.27412977085206575
fitting_period_empirical,climate_group,predicted_loss:C(phase)[T.second],0.05620158908733108,0.11287247522040937,0.6185396417576372,-0.16502846234467128,0.27743164051933344
fitting_period_empirical,climate_group,Group Var,0.0014031713142345558,0.013578567710366009,0.9176953437187573,-0.02521082139808282,0.028017164026551935
fitting_period_empirical,climate_group,Group x predicted_loss Cov,0.008810755839306435,0.016280705562080392,0.5883850621015351,-0.023099427062371135,0.040720938740984
fitting_period_empirical,climate_group,predicted_loss Var,0.07860545214874445,,,,
fitting_period_empirical,regulation_stratum,Intercept,0.3055216405605248,0.07737304595916036,7.85822913513888e-05,0.15387047048057045,0.4571728106404791
