network_id,station_id,gap_length,season_plurality,observed_recovery_loss,dur_season,simple,empirical,surface,support_status,horizon_group
chmi_berounka,0-203-1-194500,90.0,MAM,1.4746174791559472,1.4020199584317707,1.5218549306626945,1.637335632773604,1.3255370310073418,direct,direct
chmi_berounka,0-203-1-194500,180.0,DJF,3.679277637658208,1.414687020145989,2.475892242521988,3.32307997711429,2.281944865597801,direct,direct
chmi_berounka,0-203-1-194500,365.0,DJF,6.721445520790407,1.7698273859548541,4.526881990533307,1.4850117888568983,2.4477668451520542,extrapolated,fallback
chmi_berounka,0-203-1-198000,7.0,DJF,0.6042427921827349,0.2857295721324808,0.5565155299027695,0.6443679087121612,0.7062816471308115,direct,direct
chmi_berounka,0-203-1-198000,14.0,DJF,0.6992400344762553,0.4708851932070064,0.717715231891759,1.4850117888568983,0.8760932048463568,interpolated,fallback
chmi_berounka,0-203-1-198000,30.0,MAM,0.9076974560247812,0.9407456021579343,0.8432855248466893,1.1489061127982805,0.9735147577741544,direct,direct
chmi_berounka,0-203-1-198000,60.0,DJF,1.2940437230747164,0.9509801317370232,1.0067801077103178,1.4850117888568983,1.1808549800415982,interpolated,fallback
chmi_berounka,0-203-1-198000,90.0,MAM,1.5259708108499548,1.4020199584317707,1.2371471409771009,1.663663182996601,1.5128529678391824,direct,direct
chmi_berounka,0-203-1-198000,180.0,DJF,3.5259645820934624,1.414687020145989,2.141726556526684,3.248861578226697,2.540149249244327,direct,direct
chmi_berounka,0-203-1-198000,365.0,DJF,6.610413708367839,1.7698273859548541,4.213070517107598,1.4850117888568983,2.720738129320969,extrapolated,fallback
chmi_berounka,0-203-1-198600,7.0,DJF,0.4391341125492064,0.2857295721324808,0.5640142382532087,0.4893095720495867,0.6202858758755523,direct,direct
chmi_berounka,0-203-1-198600,14.0,DJF,0.5905718292187806,0.4708851932070064,0.74846437970815,1.4850117888568983,0.7811656854764896,interpolated,fallback
chmi_berounka,0-203-1-198600,30.0,MAM,0.7654626371592079,0.9407456021579343,0.9322769191199451,0.9640743785000192,0.8746787941169835,direct,direct
chmi_berounka,0-203-1-198600,60.0,DJF,1.080038505571976,0.9509801317370232,1.1175875517888156,1.4850117888568983,1.0734365782789317,interpolated,fallback
chmi_berounka,0-203-1-198600,90.0,MAM,1.3824796382091264,1.4020199584317707,1.3459405680308678,1.4470275541711413,1.3906097117323972,direct,direct
chmi_berounka,0-203-1-198600,180.0,DJF,3.3650015018415766,1.414687020145989,2.226194548571532,2.9250545343331438,2.3735210709111607,direct,direct
chmi_berounka,0-203-1-198600,365.0,DJF,6.349258923770766,1.7698273859548541,4.269601164846426,1.4850117888568983,2.5340256644702928,extrapolated,fallback
chmi_blanice,0-203-1-147000,7.0,DJF,0.7167336702890443,0.2857295721324808,0.6051211426184804,0.840794556206039,0.5492287243658184,direct,direct
chmi_blanice,0-203-1-147000,14.0,MAM,0.8622384081841025,0.6738775450017574,0.799298410098497,1.4955686925480314,0.7039338679342726,interpolated,fallback
chmi_blanice,0-203-1-147000,30.0,DJF,1.1347354493019934,0.7053899662610769,0.8714997148689958,1.2342341590746906,0.7934403798133456,direct,direct
chmi_blanice,0-203-1-147000,60.0,DJF,1.4239667307367032,0.9509801317370232,1.0898206288726806,1.4955686925480314,0.9680541909773116,interpolated,fallback
chmi_blanice,0-203-1-147000,90.0,DJF,1.614013293498386,1.1107252446243259,1.3730894776016689,1.7481579817797883,1.2471371455811031,direct,direct
chmi_blanice,0-203-1-147000,180.0,DJF,3.0358036615634925,1.414687020145989,2.330388312437893,3.205854608390194,2.170291440377404,direct,direct
chmi_blanice,0-203-1-147000,365.0,MAM,5.918544804893348,2.152082763694151,4.451958179307958,1.4955686925480314,2.3969450241994807,extrapolated,fallback
chmi_blanice,0-203-1-148000,7.0,DJF,0.2309728648549032,0.2857295721324808,-0.0657272850372057,0.1803382959517221,0.4956068625999921,direct,direct
chmi_blanice,0-203-1-148000,14.0,MAM,0.2454254115952384,0.6738775450017574,0.2530101490040248,1.4955686925480314,0.6438231781028075,interpolated,fallback
chmi_blanice,0-203-1-148000,30.0,DJF,0.512045604596499,0.7053899662610769,0.7589174237276679,0.2874393968562269,0.7311190334313121,direct,direct
chmi_blanice,0-203-1-148000,60.0,DJF,0.8519837741072436,0.9509801317370232,1.4512810314571625,1.4955686925480314,0.9048394689292748,interpolated,fallback
chmi_blanice,0-203-1-148000,90.0,DJF,1.2000928563535234,1.1107252446243259,2.011098698224373,0.6365969330180036,1.182387208364622,direct,direct
chmi_blanice,0-203-1-148000,180.0,DJF,3.0870879976723726,1.414687020145989,3.342430006036712,1.8172650981311125,2.099279390130224,direct,direct
chmi_blanice,0-203-1-148000,365.0,MAM,5.460305049151752,2.152082763694151,5.481821277054577,1.4955686925480314,2.285817911749984,extrapolated,fallback
chmi_blanice,0-203-1-165600,7.0,DJF,0.4986803591819037,0.2857295721324808,0.3018899889724209,0.4566133385310096,0.6225861861316581,direct,direct
chmi_blanice,0-203-1-165600,14.0,MAM,0.644182336680473,0.6738775450017574,0.7400321801830292,1.4955686925480314,0.7850560002891948,interpolated,fallback
chmi_blanice,0-203-1-165600,30.0,DJF,1.0031295487477276,0.7053899662610769,1.13356658887748,1.0142896329901263,0.8789451050107712,direct,direct
chmi_blanice,0-203-1-165600,60.0,DJF,1.1666177967121292,0.9509801317370232,1.4853078174797685,1.4955686925480314,1.0618798983062925,interpolated,fallback
chmi_blanice,0-203-1-165600,90.0,DJF,1.6089604909928383,1.1107252446243259,1.779259942854367,1.5735278614803394,1.3567651503729177,direct,direct
chmi_blanice,0-203-1-165600,180.0,DJF,3.400729051179031,1.414687020145989,2.699665486117125,3.4809453778402384,2.3337506555028056,direct,direct
chmi_blanice,0-203-1-165600,365.0,MAM,6.931355774386115,2.152082763694151,4.741142630637548,1.4955686925480314,2.5603040442440306,extrapolated,fallback
chmi_blanice,0-203-1-166200,7.0,DJF,0.6276287181522431,0.2857295721324808,0.0247646097678937,0.6785442018861241,0.7305500703416061,direct,direct
chmi_blanice,0-203-1-166200,14.0,MAM,0.7260176241641554,0.6738775450017574,0.4882483635418757,1.4955686925480314,0.9029672885590136,interpolated,fallback
chmi_blanice,0-203-1-166200,30.0,DJF,1.1203451640233184,0.7053899662610769,0.9415574918811732,1.2321526399321787,1.0019088798972446,direct,direct
chmi_blanice,0-203-1-166200,60.0,DJF,1.309793826475144,0.9509801317370232,1.362228718788656,1.4955686925480314,1.1965176106510722,interpolated,fallback
chmi_blanice,0-203-1-166200,90.0,DJF,1.755194310561837,1.1107252446243259,1.6987939143624846,1.7663602595588408,1.5094907607502872,direct,direct
chmi_blanice,0-203-1-166200,180.0,DJF,3.374750372160831,1.414687020145989,2.652468768292519,3.6250361383441545,2.5360631209099544,direct,direct
chmi_blanice,0-203-1-166200,365.0,MAM,7.096523147310047,2.152082763694151,4.660005170491496,1.4955686925480314,2.805922629652921,extrapolated,fallback
chmi_botic,0-203-1-200480,7.0,DJF,0.5181965964993542,0.2857295721324808,0.5190217568518429,0.5112661316580078,0.3638943213065848,direct,direct
chmi_botic,0-203-1-200480,14.0,DJF,0.6010536429583226,0.4708851932070064,0.6664079160128693,1.1904294749569722,0.4999079381912198,interpolated,fallback
chmi_botic,0-203-1-200480,30.0,MAM,0.640786798581362,0.9407456021579343,0.7496199722386854,0.7707316098171522,0.5789841446700719,direct,direct
chmi_botic,0-203-1-200480,60.0,DJF,0.7882280744689474,0.9509801317370232,0.9457260206462584,1.1904294749569722,0.7460995954893399,interpolated,fallback
chmi_botic,0-203-1-200480,90.0,MAM,1.0729169654334458,1.4020199584317707,1.2124064767690823,1.1130409337733431,1.0081382884453485,direct,direct
chmi_botic,0-203-1-200480,180.0,DJF,2.133420727988621,1.414687020145989,2.148355425122445,2.177589633692945,1.8354510852753485,direct,direct
chmi_botic,0-203-1-200480,365.0,DJF,3.981492652321607,1.7698273859548541,4.254961851139521,1.1904294749569722,1.9746572025639444,extrapolated,fallback
chmi_botic,0-203-1-200550,7.0,DJF,0.3978445665798489,0.2857295721324808,0.5225393644200242,0.3622293661456342,0.5255890340898554,direct,direct
