station_id,n_approved_days,n_qualifying_years,first_date,last_date,median_annual_amplitude_degC,anomaly_sd_degC,acf30,acf90,n_exact_pairs_30d,n_exact_pairs_90d,seasonal_variance_fraction,observed_temperature_range_degC,memory_range_index_per_degC,STANAME,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STATE,CLASS,AGGECOREGION,NDAMS_2009,STOR_NID_2009,STOR_NOR_2009,MAJ_NDAMS_2009,RAW_DIS_NEAREST_DAM,RAW_DIS_NEAREST_MAJ_DAM,upstream_major_dam_2009
02336030,6682,18,2001-06-20,2019-12-31,20.65,1.9599074670284131,0.0338578023482472,0.050916878705388136,6570,6511,0.872649141704344,24.1,0.0014048880642426225,"N.F. PEACHTREE CREEK AT GRAVES RD, NR DORAVILLE,GA",3.7,33.905658,-84.224921,GA,Non-ref,SEPlains,0.0,0.0,0.0,0.0,,,0
02336120,5916,16,2003-06-28,2019-12-31,24.799999999999997,2.2597661563314486,0.06601634519211111,0.06616035481729422,5790,5714,0.8916309726841416,27.9,0.0023661772470290722,"N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA",91.3,33.831493,-84.342703,GA,Non-ref,SEPlains,6.0,7.08,0.39,0.0,5.5,,0
02336240,5880,16,2003-06-07,2019-12-31,24.549999999999997,2.2635774666519466,0.06088124293884505,0.05028606999322612,5696,5644,0.8867973581197085,28.0,0.0021743301049587517,"S.F. PEACHTREE CREEK JOHNSON RD, NEAR ATLANTA, GA",71.6,33.802883,-84.340759,GA,Non-ref,SEPlains,1.0,0.9,0.0,0.0,2.4,,0
02336300,5671,14,2003-04-17,2019-12-31,26.049999999999997,2.295917597043512,0.07733704901151983,0.07306148286097683,5421,5333,0.8945374628652748,29.2,0.0026485290757369807,"PEACHTREE CREEK AT ATLANTA, GA",221.7,33.819444,-84.407778,GA,Non-ref,SEPlains,7.0,3.2,0.16,0.0,8.8,,0
02336360,5972,16,2003-05-24,2019-12-31,25.05,2.2165421959169507,0.07009189517175995,0.05905545791811334,5857,5792,0.8984465398859346,28.0,0.0025032819704199983,"NANCY CREEK AT RICKENBACKER DRIVE, AT ATLANTA, GA",68.1,33.869167,-84.378889,GA,Non-ref,SEPlains,5.0,40.38,7.28,1.0,2.4,11.8,1
02336410,5925,16,2003-04-09,2019-12-31,24.9,2.2407337713852864,0.06870896398664283,0.05264325419881132,5753,5680,0.8941704335780122,28.1,0.0024451588607346205,"NANCY CREEK AT WEST WESLEY ROAD, AT ATLANTA, GA",96.5,33.838438,-84.439373,GA,Non-ref,SEPlains,6.0,29.3,5.71,1.0,6.7,18.3,1
02336526,5875,16,2003-04-11,2019-12-31,25.5,2.365414883400819,0.05977736418146728,0.03939498013802194,5618,5559,0.8855684633926096,28.5,0.0020974513747883256,"PROCTOR CREEK AT JACKSON PARKWAY, AT ATLANTA, GA",35.1,33.794273,-84.474375,GA,Non-ref,SEPlains,0.0,0.0,0.0,0.0,,,0
02336728,5938,16,2003-04-11,2019-12-31,24.5,2.191565928015053,0.07750419697912164,0.059480611890582194,5744,5683,0.8929249932820956,27.7,0.0027979854505098068,"UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA, GA",90.1,33.743441,-84.568266,GA,Non-ref,SEPlains,8.0,14.96,6.49,1.0,2.0,4.5,1
02337170,6944,19,2000-01-01,2019-12-31,21.6,2.5488874102908303,0.3564510004421071,0.2881246391230525,6651,6561,0.8057609443953366,27.8,0.01282197843316932,"CHATTAHOOCHEE RIVER NEAR FAIRBURN, GA",5325.3,33.656667,-84.673611,GA,Non-ref,SEPlains,314.0,614.28,451.97,32.0,4.3,6.3,1
02337410,4360,11,2007-07-25,2019-12-31,25.7,2.2647684233330163,0.1659404872481122,0.12081914869590935,4251,4140,0.8945317251518947,29.4,0.005644234260139871,"DOG RIVER AT GA 5, NEAR FAIRPLAY, GA",172.2,33.653806,-84.821028,GA,Non-ref,SEPlains,11.0,85.83,58.63,2.0,2.5,8.9,1
02344630,4188,11,2008-05-20,2019-12-31,26.2,2.2442000528424257,0.29041844461581773,0.24600004803720976,4105,4050,0.9138133794690636,30.7,0.009459884189440318,"LINE CREEK BLW LAKE MCINTOSH, NR PEACHTREE CITY,GA",179.6,33.36039,-84.58632,GA,Non-ref,SEPlains,14.0,24.11,15.28,0.0,3.5,,0
02397000,6940,19,2000-01-01,2019-12-31,23.299999999999997,1.816115845639234,0.19888380868222807,0.10384743637410457,6700,6595,0.9284522486788989,26.599999999999998,0.007476834912865718,"COOSA RIVER NEAR ROME, GA",10460.5,34.200373,-85.25662,GA,Non-ref,EastHghlnds,474.0,175.76,152.17,79.0,2.4,16.9,1
02419890,5053,13,2005-07-23,2019-10-17,20.8,1.9186994613898551,0.30727433476929883,0.11057794848210883,4888,4819,0.8973896370201623,26.2,0.011728028044629727,TALLAPOOSA RIVER NEAR MONT.-MONT. WATER WORKS,12066.9,32.439859,-86.195522,AL,Non-ref,SEPlains,341.0,239.54,223.15,22.0,7.3,30.7,1
02423130,5871,11,2000-01-01,2019-12-31,22.9,2.0179035619367336,0.12533222404024538,0.0640777412108806,5302,4859,0.8900288105854071,26.9,0.004659190484767486,"CAHABA RIVER AT TRUSSVILLE, AL.",51.7,33.622325,-86.599431,AL,Non-ref,EastHghlnds,3.0,42.58,35.97,0.0,7.7,,0
02423397,6604,18,2000-01-01,2019-12-31,16.8,1.6123992241870013,0.09403958417599566,0.0892069746214675,6498,6379,0.8757249875452225,19.299999999999997,0.004872517314818429,"LITTLE CAHABA RIVER BELOW LEEDS, AL.",43.9,33.534549,-86.562485,AL,Non-ref,EastHghlnds,0.0,0.0,0.0,0.0,,,0
02423496,7203,20,2000-01-01,2019-12-31,25.35,2.075189179619022,0.10436401039963013,0.07101885503749022,7073,7013,0.9190104366180455,29.9,0.0034904351304224125,"CAHABA RIVER NEAR HOOVER, AL",585.8,33.369277,-86.784155,AL,Non-ref,EastHghlnds,39.0,83.68,72.6,5.0,1.1,1.1,1
02455980,7167,20,2000-01-01,2019-12-31,18.9,1.7794732888776976,0.0661722208364348,0.05213665559709894,7031,6941,0.8709882157979147,22.7,0.0029150758077724583,TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL,71.4,33.711213,-86.696101,AL,Non-ref,EastHghlnds,5.0,6.48,4.75,0.0,6.3,,0
02457595,7032,19,2000-01-01,2019-12-31,24.2,2.228197037851138,0.08420422358999013,0.05324621054182988,6764,6732,0.883792127095986,28.4,0.0029649374503517654,"FIVEMILE CREEK NEAR REPUBLIC, AL",133.2,33.597049,-86.868048,AL,Non-ref,EastHghlnds,2.0,3.09,2.37,0.0,7.3,,0
