geometry,network_id,n_matched_items,observed_loss,simple_prediction,empirical_prediction,empirical_supported_fraction
natural,huc8_10300101,17,0.8865469292524606,0.7571569877735759,1.6298444615734233,0.0
natural,huc8_11010014,20,0.35322793781020695,0.2039167176880329,0.3242847635169256,0.3
natural,huc8_11020002,27,0.7114199501181161,0.7828293382664006,0.9303574227602484,0.18518518518518517
natural,huc8_11030012,9,1.0837175309400549,0.7857279109468654,1.423835542130179,0.2222222222222222
natural,huc8_13060011,15,0.7188397399423228,0.6452089772398575,1.1733849351401093,0.0
natural,huc8_16020102,1,0.4632132768630981,0.6435260379614837,1.2397163058127423,0.0
natural,huc8_16050102,72,1.030515302714856,0.8222605134948493,1.2670449592848034,0.1111111111111111
artificial,huc8_01070004,12,0.9097044247957093,0.7627897850682985,1.3961797722757794,0.4166666666666667
artificial,huc8_01090001,35,0.7634062448079894,0.47884706621029566,1.235253704229032,0.5142857142857142
artificial,huc8_01090004,60,0.6830418330909421,0.6445268703570217,0.8080962736591363,0.5166666666666667
artificial,huc8_02020006,17,0.6918325616051507,0.3872427579743234,1.2856009754617115,0.47058823529411764
artificial,huc8_02040106,100,1.0242046034153154,0.7449970361634208,1.248299499093384,0.56
artificial,huc8_02040205,254,1.0057074406965778,0.7613106897903461,0.9834134575810848,0.7401574803149606
artificial,huc8_02060003,7,0.607664810602531,0.5819520984580577,0.7200599993951322,0.5714285714285714
artificial,huc8_02070002,10,1.1660845108617774,0.9036218329851391,1.1434459266988697,0.6
artificial,huc8_02070010,23,0.6175161905580361,0.5673509948003858,0.710695700919027,0.7391304347826086
artificial,huc8_03050106,36,1.010159179007618,0.7267265894291282,1.287345495226982,0.5555555555555556
artificial,huc8_03050109,26,0.5506214646061698,0.5543256456969442,1.0261121269905513,0.34615384615384615
artificial,huc8_03070101,7,0.3915993237008854,0.5469168421688296,0.4990701413818565,0.5714285714285714
artificial,huc8_03070103,30,0.39514101497332255,0.6173423288485171,0.42566858126688173,0.6666666666666666
artificial,huc8_03080103,48,0.8784182202768704,0.9190395483784178,0.8638500547085061,0.5208333333333334
artificial,huc8_03090101,48,1.0454054922649154,0.9855788671055233,1.3449667586606535,0.5625
artificial,huc8_03090204,24,0.5919218662485243,0.7188428401064274,0.6124510085074281,0.3333333333333333
artificial,huc8_03100101,12,0.7214332380559708,0.9535752097304698,0.7803759879692521,0.5
artificial,huc8_03100204,2,0.9805021621159146,0.9368617252416852,0.8928080925305686,1.0
artificial,huc8_03100205,3,0.7236090430305118,0.8223932489251312,0.798130044011212,0.3333333333333333
artificial,huc8_03100207,6,0.32563070478893463,0.7274192142831882,0.3562543709845139,0.5
artificial,huc8_03150104,3,1.0368153777156135,1.5088323476999996,0.8338829258837454,0.3333333333333333
artificial,huc8_03160111,39,0.6953024151581402,0.5468806222138325,0.7688798578951783,0.46153846153846156
artificial,huc8_04020105,14,0.48341162849794267,0.4581255584022951,0.6883511576282697,0.2857142857142857
artificial,huc8_04040003,18,0.99084080835366,0.6875307637083838,1.1194678494257135,0.3888888888888889
artificial,huc8_04060102,22,0.7208601789203383,0.7451311132645272,0.9082557078868011,0.6818181818181818
artificial,huc8_04060103,24,0.7275959352850553,0.8559558550430096,0.7775913978746916,0.5
artificial,huc8_04070007,30,0.6012134847570457,0.9004312417016861,0.7911090256422759,0.5333333333333333
artificial,huc8_05010005,4,1.0306067458304267,1.3510118807853424,0.6483196748272035,0.5
artificial,huc8_05010006,23,0.9073552388351219,0.8374308309263244,0.8020021572921843,0.6521739130434783
artificial,huc8_05010007,21,0.9575772429112368,0.7724517199815194,1.3084859808499474,0.5714285714285714
artificial,huc8_05020001,7,1.0186940799231583,0.9413882767255455,1.510558633264991,0.5714285714285714
artificial,huc8_05020005,9,1.2607630315308167,0.9501774217311163,1.5286320684905617,0.4444444444444444
artificial,huc8_05020006,20,0.4690322062750136,0.6499449375774058,0.7697826726057984,0.5
artificial,huc8_05030102,17,0.9328918832664166,0.7730975745706967,0.9154472753948903,0.29411764705882354
artificial,huc8_05040001,17,0.39136863744716505,0.4169287387304012,0.5396966472780733,0.47058823529411764
artificial,huc8_05040005,12,0.5572801542252982,0.5294194278441728,0.665034509013022,0.4166666666666667
artificial,huc8_05090203,11,0.6654096724851272,0.5224323573339158,0.5122265017063833,0.6363636363636364
artificial,huc8_05120201,29,1.5149710661062756,1.0453589494149083,1.743444777477254,0.6551724137931034
artificial,huc8_05130202,16,0.3900564729798407,1.0193509041842992,1.0513760579108353,0.5
artificial,huc8_05140101,22,1.1338268049324596,0.7591454207842042,1.6826783871879052,0.5909090909090909
artificial,huc8_07040006,35,0.5992010050214878,0.5716684074918261,0.7389363942222698,0.6
artificial,huc8_10230006,13,0.8898853027471619,0.9760452309328238,1.4253444866063776,0.6923076923076923
artificial,huc8_10300101,17,0.8674000252567503,0.39530923281722136,1.1560649938417615,0.7058823529411765
artificial,huc8_11010014,20,0.3611636050689787,0.12006337861858107,0.3113822582646778,0.8
artificial,huc8_11020002,27,0.6371356434363458,0.6631602707340795,0.7634946402567957,0.6666666666666666
