network_id,station_id,gap_length,prediction,observed,n_placements,sources,tier,all_placements_same_tier,panel,observed_recovery_loss,effective_support,distance_to_nearest_supported_cell
chmi_blanice,0-203-1-165600,30,1.0142896329901263,1.0031295487477276,20,station_gap_season,station_gap_season,True,second,1.0031295487477276,20.0,0.0
chmi_blanice,0-203-1-165600,60,1.4955686925480314,1.1666177967121292,20,network_mean_fallback,network_mean_fallback,True,second,1.1666177967121292,1280.0,30.0
chmi_blanice,0-203-1-165600,90,1.5735278614803394,1.6089604909928383,20,station_gap_season,station_gap_season,True,second,1.6089604909928383,20.0,0.0
chmi_blanice,0-203-1-165600,180,3.4809453778402384,3.400729051179031,20,station_gap_season,station_gap_season,True,second,3.400729051179031,20.0,0.0
chmi_blanice,0-203-1-165600,365,1.4955686925480314,6.931355774386115,20,network_mean_fallback,network_mean_fallback,True,second,6.931355774386115,1280.0,185.0
chmi_blanice,0-203-1-166200,7,0.6785442018861241,0.6276287181522431,20,station_gap_season,station_gap_season,True,second,0.6276287181522431,20.0,0.0
chmi_blanice,0-203-1-166200,14,1.4955686925480314,0.7260176241641554,20,network_mean_fallback,network_mean_fallback,True,second,0.7260176241641554,1280.0,7.0
chmi_blanice,0-203-1-166200,30,1.2321526399321787,1.1203451640233182,20,station_gap_season,station_gap_season,True,second,1.1203451640233184,20.0,0.0
chmi_blanice,0-203-1-166200,60,1.4955686925480314,1.3097938264751439,20,network_mean_fallback,network_mean_fallback,True,second,1.309793826475144,1280.0,30.0
chmi_blanice,0-203-1-166200,90,1.7663602595588408,1.755194310561837,20,station_gap_season,station_gap_season,True,second,1.755194310561837,20.0,0.0
chmi_blanice,0-203-1-166200,180,3.6250361383441545,3.3747503721608316,20,station_gap_season,station_gap_season,True,second,3.374750372160831,20.0,0.0
chmi_blanice,0-203-1-166200,365,1.4955686925480314,7.096523147310047,20,network_mean_fallback,network_mean_fallback,True,second,7.096523147310047,1280.0,185.0
chmi_botic,0-203-1-200480,7,0.5112661316580078,0.5181965964993542,20,station_gap_season,station_gap_season,True,second,0.5181965964993542,20.0,0.0
chmi_botic,0-203-1-200480,14,1.1904294749569722,0.6010536429583226,20,network_mean_fallback,network_mean_fallback,True,second,0.6010536429583226,1600.0,7.0
chmi_botic,0-203-1-200480,30,0.7707316098171522,0.640786798581362,20,station_gap_season,station_gap_season,True,second,0.640786798581362,20.0,0.0
chmi_botic,0-203-1-200480,60,1.1904294749569722,0.7882280744689474,20,network_mean_fallback,network_mean_fallback,True,second,0.7882280744689474,1600.0,30.0
chmi_botic,0-203-1-200480,90,1.1130409337733431,1.0729169654334458,20,station_gap_season,station_gap_season,True,second,1.0729169654334458,20.0,0.0
chmi_botic,0-203-1-200480,180,2.1775896336929454,2.133420727988621,20,station_gap_season,station_gap_season,True,second,2.133420727988621,20.0,0.0
chmi_botic,0-203-1-200480,365,1.1904294749569722,3.981492652321607,20,network_mean_fallback,network_mean_fallback,True,second,3.981492652321607,1600.0,185.0
chmi_botic,0-203-1-200550,7,0.3622293661456342,0.39784456657984896,20,station_gap_season,station_gap_season,True,second,0.3978445665798489,20.0,0.0
chmi_botic,0-203-1-200550,14,1.1904294749569722,0.4649845380516525,20,network_mean_fallback,network_mean_fallback,True,second,0.4649845380516526,1600.0,7.0
chmi_botic,0-203-1-200550,30,0.5814509675140005,0.6190633408688359,20,station_gap_season,station_gap_season,True,second,0.6190633408688359,20.0,0.0
chmi_botic,0-203-1-200550,60,1.1904294749569722,0.8329190112358018,20,network_mean_fallback,network_mean_fallback,True,second,0.8329190112358018,1600.0,30.0
chmi_botic,0-203-1-200550,90,1.0600901316053073,1.105607004413066,20,station_gap_season,station_gap_season,True,second,1.105607004413066,20.0,0.0
chmi_botic,0-203-1-200550,180,2.4607161074010997,2.5778846008507648,20,station_gap_season,station_gap_season,True,second,2.5778846008507648,20.0,0.0
chmi_botic,0-203-1-200550,365,1.1904294749569722,5.012806447790972,20,network_mean_fallback,network_mean_fallback,True,second,5.012806447790972,1600.0,185.0
chmi_botic,0-203-1-200580,7,0.4319990755172015,0.3759951528291853,20,station_gap_season,station_gap_season,True,second,0.3759951528291853,20.0,0.0
chmi_botic,0-203-1-200580,14,1.1904294749569722,0.4621319370614486,20,network_mean_fallback,network_mean_fallback,True,second,0.4621319370614486,1600.0,7.0
chmi_botic,0-203-1-200580,30,0.6782675854919376,0.5722881856153246,20,station_gap_season,station_gap_season,True,second,0.5722881856153246,20.0,0.0
chmi_botic,0-203-1-200580,60,1.1904294749569722,0.7055034569175231,20,network_mean_fallback,network_mean_fallback,True,second,0.7055034569175231,1600.0,30.0
chmi_botic,0-203-1-200580,90,1.0730701034574748,1.013218315461374,20,station_gap_season,station_gap_season,True,second,1.013218315461374,20.0,0.0
chmi_botic,0-203-1-200580,180,2.4163037597816017,2.182080662258174,20,station_gap_season,station_gap_season,True,second,2.182080662258174,20.0,0.0
chmi_botic,0-203-1-200580,365,1.1904294749569722,4.318259127335614,20,network_mean_fallback,network_mean_fallback,True,second,4.318259127335614,1600.0,185.0
chmi_botic,0-203-1-200590,7,0.39335351119256085,0.4703653309837219,20,station_gap_season,station_gap_season,True,second,0.470365330983722,20.0,0.0
chmi_botic,0-203-1-200590,14,1.1904294749569722,0.5164233493245496,20,network_mean_fallback,network_mean_fallback,True,second,0.5164233493245496,1600.0,7.0
chmi_botic,0-203-1-200590,30,0.7482534186682402,0.6777020873605418,20,station_gap_season,station_gap_season,True,second,0.6777020873605418,20.0,0.0
chmi_botic,0-203-1-200590,60,1.1904294749569722,1.0853576872770492,20,network_mean_fallback,network_mean_fallback,True,second,1.0853576872770492,1600.0,30.0
chmi_botic,0-203-1-200590,90,1.416805877302625,1.5264263737072283,20,station_gap_season,station_gap_season,True,second,1.5264263737072283,20.0,0.0
chmi_botic,0-203-1-200590,180,3.1751644332635838,3.654472040277864,20,station_gap_season,station_gap_season,True,second,3.654472040277864,20.0,0.0
chmi_botic,0-203-1-200590,365,1.1904294749569722,6.984301511937825,20,network_mean_fallback,network_mean_fallback,True,second,6.984301511937825,1600.0,185.0
chmi_botic,0-203-1-200600,7,0.39444191021038955,0.44390441830196076,20,station_gap_season,station_gap_season,True,second,0.4439044183019607,20.0,0.0
chmi_botic,0-203-1-200600,14,1.1904294749569722,0.5356875637628193,20,network_mean_fallback,network_mean_fallback,True,second,0.5356875637628195,1600.0,7.0
