method,criterion,c,family,share
best_fixed,a_ambiguity_margin,0.9,seasonal_ridge,0.0
best_fixed,a_ambiguity_margin,0.9,donor_ridge,0.0
best_fixed,a_ambiguity_margin,0.9,xgboost,1.0
global_cv,a_ambiguity_margin,0.9,seasonal_ridge,0.0
global_cv,a_ambiguity_margin,0.9,donor_ridge,0.0
global_cv,a_ambiguity_margin,0.9,xgboost,1.0
per_net_cv,a_ambiguity_margin,0.9,seasonal_ridge,0.0
per_net_cv,a_ambiguity_margin,0.9,donor_ridge,0.4807098765432099
per_net_cv,a_ambiguity_margin,0.9,xgboost,0.5192901234567902
gap_rule,a_ambiguity_margin,0.9,seasonal_ridge,0.0
gap_rule,a_ambiguity_margin,0.9,donor_ridge,0.7391975308641975
gap_rule,a_ambiguity_margin,0.9,xgboost,0.26080246913580246
random,a_ambiguity_margin,0.9,seasonal_ridge,0.006172839506172839
random,a_ambiguity_margin,0.9,donor_ridge,0.9899691358024691
random,a_ambiguity_margin,0.9,xgboost,0.0038580246913580245
oracle,a_ambiguity_margin,0.9,seasonal_ridge,0.010030864197530864
oracle,a_ambiguity_margin,0.9,donor_ridge,0.4498456790123457
oracle,a_ambiguity_margin,0.9,xgboost,0.5401234567901234
proposed,a_ambiguity_margin,1.0,seasonal_ridge,0.001388888888888889
proposed,a_ambiguity_margin,1.0,donor_ridge,0.59375
proposed,a_ambiguity_margin,1.0,xgboost,0.4048611111111111
best_fixed,a_ambiguity_margin,1.0,seasonal_ridge,0.0
best_fixed,a_ambiguity_margin,1.0,donor_ridge,0.0
best_fixed,a_ambiguity_margin,1.0,xgboost,1.0
global_cv,a_ambiguity_margin,1.0,seasonal_ridge,0.0
global_cv,a_ambiguity_margin,1.0,donor_ridge,0.0
global_cv,a_ambiguity_margin,1.0,xgboost,1.0
per_net_cv,a_ambiguity_margin,1.0,seasonal_ridge,0.0
per_net_cv,a_ambiguity_margin,1.0,donor_ridge,0.48194444444444445
per_net_cv,a_ambiguity_margin,1.0,xgboost,0.5180555555555556
gap_rule,a_ambiguity_margin,1.0,seasonal_ridge,0.0
gap_rule,a_ambiguity_margin,1.0,donor_ridge,0.7604166666666666
gap_rule,a_ambiguity_margin,1.0,xgboost,0.23958333333333334
random,a_ambiguity_margin,1.0,seasonal_ridge,0.00625
random,a_ambiguity_margin,1.0,donor_ridge,0.9895833333333334
random,a_ambiguity_margin,1.0,xgboost,0.004166666666666667
oracle,a_ambiguity_margin,1.0,seasonal_ridge,0.009027777777777777
oracle,a_ambiguity_margin,1.0,donor_ridge,0.44722222222222224
oracle,a_ambiguity_margin,1.0,xgboost,0.54375
proposed,b_mean_width,0.1,seasonal_ridge,0.0
proposed,b_mean_width,0.1,donor_ridge,0.5763888888888888
proposed,b_mean_width,0.1,xgboost,0.4236111111111111
best_fixed,b_mean_width,0.1,seasonal_ridge,0.0
best_fixed,b_mean_width,0.1,donor_ridge,0.0
best_fixed,b_mean_width,0.1,xgboost,1.0
global_cv,b_mean_width,0.1,seasonal_ridge,0.0
global_cv,b_mean_width,0.1,donor_ridge,0.0
global_cv,b_mean_width,0.1,xgboost,1.0
per_net_cv,b_mean_width,0.1,seasonal_ridge,0.0
per_net_cv,b_mean_width,0.1,donor_ridge,0.4583333333333333
per_net_cv,b_mean_width,0.1,xgboost,0.5416666666666666
gap_rule,b_mean_width,0.1,seasonal_ridge,0.0
gap_rule,b_mean_width,0.1,donor_ridge,0.8333333333333334
gap_rule,b_mean_width,0.1,xgboost,0.16666666666666666
random,b_mean_width,0.1,seasonal_ridge,0.006944444444444444
random,b_mean_width,0.1,donor_ridge,0.9930555555555556
random,b_mean_width,0.1,xgboost,0.0
oracle,b_mean_width,0.1,seasonal_ridge,0.0
oracle,b_mean_width,0.1,donor_ridge,0.3125
oracle,b_mean_width,0.1,xgboost,0.6875
proposed,b_mean_width,0.5,seasonal_ridge,0.0
proposed,b_mean_width,0.5,donor_ridge,0.6166666666666667
proposed,b_mean_width,0.5,xgboost,0.38333333333333336
best_fixed,b_mean_width,0.5,seasonal_ridge,0.0
best_fixed,b_mean_width,0.5,donor_ridge,0.0
best_fixed,b_mean_width,0.5,xgboost,1.0
global_cv,b_mean_width,0.5,seasonal_ridge,0.0
global_cv,b_mean_width,0.5,donor_ridge,0.0
global_cv,b_mean_width,0.5,xgboost,1.0
per_net_cv,b_mean_width,0.5,seasonal_ridge,0.0
per_net_cv,b_mean_width,0.5,donor_ridge,0.48333333333333334
per_net_cv,b_mean_width,0.5,xgboost,0.5166666666666667
gap_rule,b_mean_width,0.5,seasonal_ridge,0.0
gap_rule,b_mean_width,0.5,donor_ridge,0.8333333333333334
gap_rule,b_mean_width,0.5,xgboost,0.16666666666666666
random,b_mean_width,0.5,seasonal_ridge,0.002777777777777778
random,b_mean_width,0.5,donor_ridge,0.9902777777777778
random,b_mean_width,0.5,xgboost,0.006944444444444444
oracle,b_mean_width,0.5,seasonal_ridge,0.011111111111111112
oracle,b_mean_width,0.5,donor_ridge,0.44583333333333336
oracle,b_mean_width,0.5,xgboost,0.5430555555555555
proposed,b_mean_width,0.7,seasonal_ridge,0.0
proposed,b_mean_width,0.7,donor_ridge,0.623015873015873
proposed,b_mean_width,0.7,xgboost,0.376984126984127
best_fixed,b_mean_width,0.7,seasonal_ridge,0.0
best_fixed,b_mean_width,0.7,donor_ridge,0.0
best_fixed,b_mean_width,0.7,xgboost,1.0
global_cv,b_mean_width,0.7,seasonal_ridge,0.0
global_cv,b_mean_width,0.7,donor_ridge,0.0
global_cv,b_mean_width,0.7,xgboost,1.0
per_net_cv,b_mean_width,0.7,seasonal_ridge,0.0
per_net_cv,b_mean_width,0.7,donor_ridge,0.4583333333333333
per_net_cv,b_mean_width,0.7,xgboost,0.5416666666666666
gap_rule,b_mean_width,0.7,seasonal_ridge,0.0
gap_rule,b_mean_width,0.7,donor_ridge,0.8442460317460317
gap_rule,b_mean_width,0.7,xgboost,0.15575396825396826
random,b_mean_width,0.7,seasonal_ridge,0.00496031746031746
random,b_mean_width,0.7,donor_ridge,0.9900793650793651
random,b_mean_width,0.7,xgboost,0.00496031746031746
oracle,b_mean_width,0.7,seasonal_ridge,0.00992063492063492
oracle,b_mean_width,0.7,donor_ridge,0.42658730158730157
oracle,b_mean_width,0.7,xgboost,0.5634920634920635
proposed,b_mean_width,0.9,seasonal_ridge,0.0015432098765432098
proposed,b_mean_width,0.9,donor_ridge,0.6311728395061729
proposed,b_mean_width,0.9,xgboost,0.36728395061728397
best_fixed,b_mean_width,0.9,seasonal_ridge,0.0
best_fixed,b_mean_width,0.9,donor_ridge,0.0
best_fixed,b_mean_width,0.9,xgboost,1.0
global_cv,b_mean_width,0.9,seasonal_ridge,0.0
global_cv,b_mean_width,0.9,donor_ridge,0.0
global_cv,b_mean_width,0.9,xgboost,1.0
per_net_cv,b_mean_width,0.9,seasonal_ridge,0.0
per_net_cv,b_mean_width,0.9,donor_ridge,0.47762345679012347
per_net_cv,b_mean_width,0.9,xgboost,0.5223765432098766
gap_rule,b_mean_width,0.9,seasonal_ridge,0.0
gap_rule,b_mean_width,0.9,donor_ridge,0.8449074074074074
gap_rule,b_mean_width,0.9,xgboost,0.1550925925925926
random,b_mean_width,0.9,seasonal_ridge,0.006944444444444444
random,b_mean_width,0.9,donor_ridge,0.9884259259259259
random,b_mean_width,0.9,xgboost,0.004629629629629629
oracle,b_mean_width,0.9,seasonal_ridge,0.010030864197530864
oracle,b_mean_width,0.9,donor_ridge,0.45447530864197533
oracle,b_mean_width,0.9,xgboost,0.5354938271604939
proposed,b_mean_width,1.0,seasonal_ridge,0.001388888888888889
proposed,b_mean_width,1.0,donor_ridge,0.59375
proposed,b_mean_width,1.0,xgboost,0.4048611111111111
best_fixed,b_mean_width,1.0,seasonal_ridge,0.0
best_fixed,b_mean_width,1.0,donor_ridge,0.0
best_fixed,b_mean_width,1.0,xgboost,1.0
global_cv,b_mean_width,1.0,seasonal_ridge,0.0
global_cv,b_mean_width,1.0,donor_ridge,0.0
global_cv,b_mean_width,1.0,xgboost,1.0
per_net_cv,b_mean_width,1.0,seasonal_ridge,0.0
per_net_cv,b_mean_width,1.0,donor_ridge,0.48194444444444445
per_net_cv,b_mean_width,1.0,xgboost,0.5180555555555556
gap_rule,b_mean_width,1.0,seasonal_ridge,0.0
gap_rule,b_mean_width,1.0,donor_ridge,0.7604166666666666
gap_rule,b_mean_width,1.0,xgboost,0.23958333333333334
random,b_mean_width,1.0,seasonal_ridge,0.00625
random,b_mean_width,1.0,donor_ridge,0.9895833333333334
random,b_mean_width,1.0,xgboost,0.004166666666666667
oracle,b_mean_width,1.0,seasonal_ridge,0.009027777777777777
oracle,b_mean_width,1.0,donor_ridge,0.44722222222222224
oracle,b_mean_width,1.0,xgboost,0.54375
proposed,c_support_completeness,0.1,seasonal_ridge,0.006944444444444444
proposed,c_support_completeness,0.1,donor_ridge,0.6944444444444444
proposed,c_support_completeness,0.1,xgboost,0.2986111111111111
best_fixed,c_support_completeness,0.1,seasonal_ridge,0.0
best_fixed,c_support_completeness,0.1,donor_ridge,0.0
best_fixed,c_support_completeness,0.1,xgboost,1.0
global_cv,c_support_completeness,0.1,seasonal_ridge,0.0
global_cv,c_support_completeness,0.1,donor_ridge,0.0
global_cv,c_support_completeness,0.1,xgboost,1.0
per_net_cv,c_support_completeness,0.1,seasonal_ridge,0.0
per_net_cv,c_support_completeness,0.1,donor_ridge,0.8125
per_net_cv,c_support_completeness,0.1,xgboost,0.1875
gap_rule,c_support_completeness,0.1,seasonal_ridge,0.0
gap_rule,c_support_completeness,0.1,donor_ridge,0.6736111111111112
gap_rule,c_support_completeness,0.1,xgboost,0.3263888888888889
random,c_support_completeness,0.1,seasonal_ridge,0.013888888888888888
random,c_support_completeness,0.1,donor_ridge,0.9861111111111112
random,c_support_completeness,0.1,xgboost,0.0
oracle,c_support_completeness,0.1,seasonal_ridge,0.0
oracle,c_support_completeness,0.1,donor_ridge,0.6319444444444444
oracle,c_support_completeness,0.1,xgboost,0.3680555555555556
proposed,c_support_completeness,0.5,seasonal_ridge,0.002777777777777778
proposed,c_support_completeness,0.5,donor_ridge,0.5625
proposed,c_support_completeness,0.5,xgboost,0.43472222222222223
best_fixed,c_support_completeness,0.5,seasonal_ridge,0.0
best_fixed,c_support_completeness,0.5,donor_ridge,0.0
best_fixed,c_support_completeness,0.5,xgboost,1.0
global_cv,c_support_completeness,0.5,seasonal_ridge,0.0
global_cv,c_support_completeness,0.5,donor_ridge,0.0
global_cv,c_support_completeness,0.5,xgboost,1.0
per_net_cv,c_support_completeness,0.5,seasonal_ridge,0.0
per_net_cv,c_support_completeness,0.5,donor_ridge,0.5263888888888889
per_net_cv,c_support_completeness,0.5,xgboost,0.4736111111111111
gap_rule,c_support_completeness,0.5,seasonal_ridge,0.0
gap_rule,c_support_completeness,0.5,donor_ridge,0.6319444444444444
gap_rule,c_support_completeness,0.5,xgboost,0.3680555555555556
random,c_support_completeness,0.5,seasonal_ridge,0.004166666666666667
random,c_support_completeness,0.5,donor_ridge,0.9902777777777778
random,c_support_completeness,0.5,xgboost,0.005555555555555556
oracle,c_support_completeness,0.5,seasonal_ridge,0.001388888888888889
oracle,c_support_completeness,0.5,donor_ridge,0.41805555555555557
oracle,c_support_completeness,0.5,xgboost,0.5805555555555556
proposed,c_support_completeness,0.7,seasonal_ridge,0.001984126984126984
proposed,c_support_completeness,0.7,donor_ridge,0.5704365079365079
proposed,c_support_completeness,0.7,xgboost,0.42757936507936506
best_fixed,c_support_completeness,0.7,seasonal_ridge,0.0
best_fixed,c_support_completeness,0.7,donor_ridge,0.0
best_fixed,c_support_completeness,0.7,xgboost,1.0
global_cv,c_support_completeness,0.7,seasonal_ridge,0.0
global_cv,c_support_completeness,0.7,donor_ridge,0.0
global_cv,c_support_completeness,0.7,xgboost,1.0
per_net_cv,c_support_completeness,0.7,seasonal_ridge,0.0
per_net_cv,c_support_completeness,0.7,donor_ridge,0.4990079365079365
per_net_cv,c_support_completeness,0.7,xgboost,0.5009920634920635
gap_rule,c_support_completeness,0.7,seasonal_ridge,0.0
gap_rule,c_support_completeness,0.7,donor_ridge,0.7232142857142857
gap_rule,c_support_completeness,0.7,xgboost,0.2767857142857143
random,c_support_completeness,0.7,seasonal_ridge,0.003968253968253968
random,c_support_completeness,0.7,donor_ridge,0.9910714285714286
random,c_support_completeness,0.7,xgboost,0.00496031746031746
oracle,c_support_completeness,0.7,seasonal_ridge,0.002976190476190476
oracle,c_support_completeness,0.7,donor_ridge,0.42162698412698413
oracle,c_support_completeness,0.7,xgboost,0.5753968253968254
proposed,c_support_completeness,0.9,seasonal_ridge,0.0015432098765432098
proposed,c_support_completeness,0.9,donor_ridge,0.5486111111111112
proposed,c_support_completeness,0.9,xgboost,0.4498456790123457
best_fixed,c_support_completeness,0.9,seasonal_ridge,0.0
best_fixed,c_support_completeness,0.9,donor_ridge,0.0
best_fixed,c_support_completeness,0.9,xgboost,1.0
global_cv,c_support_completeness,0.9,seasonal_ridge,0.0
global_cv,c_support_completeness,0.9,donor_ridge,0.0
global_cv,c_support_completeness,0.9,xgboost,1.0
per_net_cv,c_support_completeness,0.9,seasonal_ridge,0.0
per_net_cv,c_support_completeness,0.9,donor_ridge,0.4876543209876543
per_net_cv,c_support_completeness,0.9,xgboost,0.5123456790123457
gap_rule,c_support_completeness,0.9,seasonal_ridge,0.0
gap_rule,c_support_completeness,0.9,donor_ridge,0.7337962962962963
gap_rule,c_support_completeness,0.9,xgboost,0.2662037037037037
random,c_support_completeness,0.9,seasonal_ridge,0.005401234567901234
random,c_support_completeness,0.9,donor_ridge,0.9899691358024691
random,c_support_completeness,0.9,xgboost,0.004629629629629629
oracle,c_support_completeness,0.9,seasonal_ridge,0.0030864197530864196
oracle,c_support_completeness,0.9,donor_ridge,0.4367283950617284
oracle,c_support_completeness,0.9,xgboost,0.5601851851851852
proposed,c_support_completeness,1.0,seasonal_ridge,0.001388888888888889
proposed,c_support_completeness,1.0,donor_ridge,0.59375
proposed,c_support_completeness,1.0,xgboost,0.4048611111111111
best_fixed,c_support_completeness,1.0,seasonal_ridge,0.0
best_fixed,c_support_completeness,1.0,donor_ridge,0.0
best_fixed,c_support_completeness,1.0,xgboost,1.0
global_cv,c_support_completeness,1.0,seasonal_ridge,0.0
global_cv,c_support_completeness,1.0,donor_ridge,0.0
global_cv,c_support_completeness,1.0,xgboost,1.0
per_net_cv,c_support_completeness,1.0,seasonal_ridge,0.0
per_net_cv,c_support_completeness,1.0,donor_ridge,0.48194444444444445
per_net_cv,c_support_completeness,1.0,xgboost,0.5180555555555556
gap_rule,c_support_completeness,1.0,seasonal_ridge,0.0
gap_rule,c_support_completeness,1.0,donor_ridge,0.7604166666666666
gap_rule,c_support_completeness,1.0,xgboost,0.23958333333333334
random,c_support_completeness,1.0,seasonal_ridge,0.00625
random,c_support_completeness,1.0,donor_ridge,0.9895833333333334
random,c_support_completeness,1.0,xgboost,0.004166666666666667
oracle,c_support_completeness,1.0,seasonal_ridge,0.009027777777777777
oracle,c_support_completeness,1.0,donor_ridge,0.44722222222222224
oracle,c_support_completeness,1.0,xgboost,0.54375
proposed,current_85pct,0.08541666666666667,seasonal_ridge,0.0
proposed,current_85pct,0.08541666666666667,donor_ridge,0.7317073170731707
proposed,current_85pct,0.08541666666666667,xgboost,0.2682926829268293
best_fixed,current_85pct,0.08541666666666667,seasonal_ridge,0.0
best_fixed,current_85pct,0.08541666666666667,donor_ridge,0.0
best_fixed,current_85pct,0.08541666666666667,xgboost,1.0
global_cv,current_85pct,0.08541666666666667,seasonal_ridge,0.0
global_cv,current_85pct,0.08541666666666667,donor_ridge,0.0
global_cv,current_85pct,0.08541666666666667,xgboost,1.0
per_net_cv,current_85pct,0.08541666666666667,seasonal_ridge,0.0
per_net_cv,current_85pct,0.08541666666666667,donor_ridge,0.8130081300813008
per_net_cv,current_85pct,0.08541666666666667,xgboost,0.18699186991869918
gap_rule,current_85pct,0.08541666666666667,seasonal_ridge,0.0
gap_rule,current_85pct,0.08541666666666667,donor_ridge,0.7235772357723578
gap_rule,current_85pct,0.08541666666666667,xgboost,0.2764227642276423
random,current_85pct,0.08541666666666667,seasonal_ridge,0.008130081300813009
random,current_85pct,0.08541666666666667,donor_ridge,0.991869918699187
random,current_85pct,0.08541666666666667,xgboost,0.0
oracle,current_85pct,0.08541666666666667,seasonal_ridge,0.0
oracle,current_85pct,0.08541666666666667,donor_ridge,0.6585365853658537
oracle,current_85pct,0.08541666666666667,xgboost,0.34146341463414637
