criterion,c,method,released_units,released_networks,unit_coverage,network_coverage,network_balanced_regret,pooled_regret,selection_accuracy,top2_hit,top2_hit_pen_t09,abstention_cost_units,abstention_cost_networks,note
a_ambiguity_margin,0.5,global_cv,720,42,0.5,1.0,0.13004415658870117,0.14911652391287306,0.5763888888888888,0.9583333333333334,,0.5,0.0,
a_ambiguity_margin,0.5,per_net_cv,720,42,0.5,1.0,0.06127567926949738,0.05355528014850807,0.7055555555555556,0.9833333333333333,,0.5,0.0,
a_ambiguity_margin,0.5,gap_rule,720,42,0.5,1.0,0.13474294701622624,0.14745066037577906,0.48194444444444445,0.9861111111111112,,0.5,0.0,
a_ambiguity_margin,0.5,random,720,42,0.5,1.0,0.3868173196282639,0.39275683759085006,0.33472222222222225,0.6697916666666667,,0.5,0.0,
a_ambiguity_margin,0.5,oracle,720,42,0.5,1.0,0.0,0.0,1.0,1.0,,0.5,0.0,
a_ambiguity_margin,0.6,proposed,864,42,0.6,1.0,0.10882542796356923,0.1233793277101914,0.5162037037037037,0.9803240740740741,0.8541666666666666,0.4,0.0,
a_ambiguity_margin,0.6,best_fixed,864,42,0.6,1.0,0.11607880099159458,0.13276702445369357,0.5590277777777778,0.9490740740740741,,0.4,0.0,
a_ambiguity_margin,0.6,global_cv,864,42,0.6,1.0,0.11607880099159458,0.13276702445369357,0.5590277777777778,0.9490740740740741,,0.4,0.0,
a_ambiguity_margin,0.6,per_net_cv,864,42,0.6,1.0,0.05641705197546185,0.04829329382281902,0.6863425925925926,0.9733796296296297,,0.4,0.0,
a_ambiguity_margin,0.6,gap_rule,864,42,0.6,1.0,0.12265466004803237,0.13212988769922618,0.49421296296296297,0.9861111111111112,,0.4,0.0,
a_ambiguity_margin,0.6,random,864,42,0.6,1.0,0.3525240202343734,0.35409656330616857,0.334375,0.6688657407407408,,0.4,0.0,
a_ambiguity_margin,0.6,oracle,864,42,0.6,1.0,0.0,0.0,1.0,1.0,,0.4,0.0,
a_ambiguity_margin,0.7,proposed,1008,42,0.7,1.0,0.09781287649278642,0.11237343188234532,0.5238095238095238,0.9811507936507936,0.875,0.30000000000000004,0.0,
a_ambiguity_margin,0.7,best_fixed,1008,42,0.7,1.0,0.10845091308793367,0.12814122992537796,0.5505952380952381,0.9523809523809523,,0.30000000000000004,0.0,
a_ambiguity_margin,0.7,global_cv,1008,42,0.7,1.0,0.10845091308793367,0.12814122992537796,0.5505952380952381,0.9523809523809523,,0.30000000000000004,0.0,
a_ambiguity_margin,0.7,per_net_cv,1008,42,0.7,1.0,0.04871473379508107,0.04422355964972136,0.6865079365079365,0.9742063492063492,,0.30000000000000004,0.0,
a_ambiguity_margin,0.7,gap_rule,1008,42,0.7,1.0,0.11144211141719215,0.1219145430969202,0.49603174603174605,0.9851190476190477,,0.30000000000000004,0.0,
a_ambiguity_margin,0.7,random,1008,42,0.7,1.0,0.32270476657827263,0.3336653599922118,0.33373015873015877,0.6672123015873016,,0.30000000000000004,0.0,
a_ambiguity_margin,0.7,oracle,1008,42,0.7,1.0,0.0,0.0,1.0,1.0,,0.30000000000000004,0.0,
a_ambiguity_margin,0.8,proposed,1152,42,0.8,1.0,0.09337826899155408,0.10530583045951841,0.515625,0.9765625,0.8793402777777778,0.19999999999999996,0.0,
a_ambiguity_margin,0.8,best_fixed,1152,42,0.8,1.0,0.09448145941535827,0.11945626571978209,0.546875,0.9548611111111112,,0.19999999999999996,0.0,
a_ambiguity_margin,0.8,global_cv,1152,42,0.8,1.0,0.09448145941535827,0.11945626571978209,0.546875,0.9548611111111112,,0.19999999999999996,0.0,
a_ambiguity_margin,0.8,per_net_cv,1152,42,0.8,1.0,0.04390778948804984,0.04181522441472876,0.6753472222222222,0.9722222222222222,,0.19999999999999996,0.0,
a_ambiguity_margin,0.8,gap_rule,1152,42,0.8,1.0,0.10115345994114514,0.11411128503049871,0.4956597222222222,0.9817708333333334,,0.19999999999999996,0.0,
a_ambiguity_margin,0.8,random,1152,42,0.8,1.0,0.29291274903502845,0.3118486280302889,0.3319878472222222,0.6643229166666667,,0.19999999999999996,0.0,
a_ambiguity_margin,0.8,oracle,1152,42,0.8,1.0,0.0,0.0,1.0,1.0,,0.19999999999999996,0.0,
a_ambiguity_margin,0.9,proposed,1296,42,0.9,1.0,0.08716844566786038,0.0989038505153944,0.5138888888888888,0.9714506172839507,0.8850308641975309,0.09999999999999998,0.0,
a_ambiguity_margin,0.9,best_fixed,1296,42,0.9,1.0,0.08636807458886696,0.1118251292217581,0.5401234567901234,0.9544753086419753,,0.09999999999999998,0.0,
a_ambiguity_margin,0.9,global_cv,1296,42,0.9,1.0,0.08636807458886696,0.1118251292217581,0.5401234567901234,0.9544753086419753,,0.09999999999999998,0.0,
a_ambiguity_margin,0.9,per_net_cv,1296,42,0.9,1.0,0.04000007515602279,0.03906275196982272,0.6736111111111112,0.970679012345679,,0.09999999999999998,0.0,
a_ambiguity_margin,0.9,gap_rule,1296,42,0.9,1.0,0.09544702619313747,0.10754955498625636,0.4930555555555556,0.9776234567901234,,0.09999999999999998,0.0,
a_ambiguity_margin,0.9,random,1296,42,0.9,1.0,0.2754775501584856,0.29386063494468523,0.3303240740740741,0.6634645061728396,,0.09999999999999998,0.0,
a_ambiguity_margin,0.9,oracle,1296,42,0.9,1.0,0.0,0.0,1.0,1.0,,0.09999999999999998,0.0,
a_ambiguity_margin,1.0,proposed,1440,42,1.0,1.0,0.08495302069947079,0.0931839673738707,0.5152777777777777,0.9722222222222222,0.8965277777777778,0.0,0.0,
a_ambiguity_margin,1.0,best_fixed,1440,42,1.0,1.0,0.08149852237862493,0.10394743535021787,0.54375,0.9555555555555556,,0.0,0.0,
a_ambiguity_margin,1.0,global_cv,1440,42,1.0,1.0,0.08149852237862493,0.10394743535021787,0.54375,0.9555555555555556,,0.0,0.0,
a_ambiguity_margin,1.0,per_net_cv,1440,42,1.0,1.0,0.03829553216443614,0.03691751595850134,0.66875,0.9715277777777778,,0.0,0.0,
a_ambiguity_margin,1.0,gap_rule,1440,42,1.0,1.0,0.09267099541749861,0.1023840668116925,0.48541666666666666,0.9798611111111111,,0.0,0.0,
a_ambiguity_margin,1.0,random,1440,42,1.0,1.0,0.26283744015123356,0.2785856691993947,0.33034722222222224,0.6642708333333334,,0.0,0.0,
a_ambiguity_margin,1.0,oracle,1440,42,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,
b_mean_width,0.1,proposed,144,7,0.1,0.16666666666666666,0.05220562187484482,0.05433989762582971,0.4305555555555556,0.9930555555555556,0.8333333333333334,0.9,0.8333333333333334,
