network_id,station_id,gap_length,placement,gap_start,season,model_family,mae_deg_c
foen_aare_aaregebiet,2457,180,13,2023-02-08,DJF,pchip_record,1.6415841743724324
foen_aare_aaregebiet,2457,180,14,2023-06-03,JJA,linear_boundary,3.806707182320441
foen_aare_aaregebiet,2457,180,14,2023-06-03,JJA,pchip_record,3.352270082781194
foen_aare_aaregebiet,2457,180,15,2024-03-29,MAM,linear_boundary,2.450309392265193
foen_aare_aaregebiet,2457,180,15,2024-03-29,MAM,pchip_record,2.450309392265194
foen_aare_aaregebiet,2457,180,16,2024-07-23,JJA,linear_boundary,1.0396737262124005
foen_aare_aaregebiet,2457,180,16,2024-07-23,JJA,pchip_record,1.0396737262124005
foen_aare_aaregebiet,2457,180,17,2024-11-15,SON,linear_boundary,2.93044290976059
foen_aare_aaregebiet,2457,180,17,2024-11-15,SON,pchip_record,2.93044290976059
foen_aare_aaregebiet,2457,180,18,2025-03-10,MAM,linear_boundary,2.0132519950890115
foen_aare_aaregebiet,2457,180,18,2025-03-10,MAM,pchip_record,2.013251995089011
foen_aare_aaregebiet,2457,180,19,2025-07-04,JJA,linear_boundary,0.9826731123388582
foen_aare_aaregebiet,2457,180,19,2025-07-04,JJA,pchip_record,0.982673112338858
foen_aare_aaregebiet,2457,365,0,2019-01-01,DJF,linear_boundary,3.855758215435287
foen_aare_aaregebiet,2457,365,0,2019-01-01,DJF,pchip_record,3.926642623872409
foen_aare_aaregebiet,2457,365,1,2019-04-06,MAM,linear_boundary,3.9789002919380194
foen_aare_aaregebiet,2457,365,1,2019-04-06,MAM,pchip_record,4.187816028717708
foen_aare_aaregebiet,2457,365,2,2019-07-11,JJA,linear_boundary,4.690281009057564
foen_aare_aaregebiet,2457,365,2,2019-07-11,JJA,pchip_record,4.880201387967552
foen_aare_aaregebiet,2457,365,3,2019-10-15,SON,linear_boundary,3.646043341567483
foen_aare_aaregebiet,2457,365,3,2019-10-15,SON,pchip_record,3.6650392635843785
foen_aare_aaregebiet,2457,365,4,2020-01-19,DJF,linear_boundary,5.07104858148065
foen_aare_aaregebiet,2457,365,4,2020-01-19,DJF,pchip_record,5.026329546620466
foen_aare_aaregebiet,2457,365,5,2020-04-24,MAM,linear_boundary,3.256512089228236
foen_aare_aaregebiet,2457,365,5,2020-04-24,MAM,pchip_record,3.237060571231112
foen_aare_aaregebiet,2457,365,6,2020-07-29,JJA,linear_boundary,6.338747585897147
foen_aare_aaregebiet,2457,365,6,2020-07-29,JJA,pchip_record,6.82690331836712
foen_aare_aaregebiet,2457,365,7,2020-11-01,SON,linear_boundary,3.417554457668988
foen_aare_aaregebiet,2457,365,7,2020-11-01,SON,pchip_record,3.4184317691467303
foen_aare_aaregebiet,2457,365,8,2021-02-05,DJF,linear_boundary,4.590332135638895
foen_aare_aaregebiet,2457,365,8,2021-02-05,DJF,pchip_record,4.600833481385189
foen_aare_aaregebiet,2457,365,9,2021-05-12,MAM,linear_boundary,3.879583950894528
foen_aare_aaregebiet,2457,365,9,2021-05-12,MAM,pchip_record,3.924811711106026
foen_aare_aaregebiet,2457,365,10,2021-08-16,JJA,linear_boundary,5.020677520772513
foen_aare_aaregebiet,2457,365,10,2021-08-16,JJA,pchip_record,5.017098841438841
foen_aare_aaregebiet,2457,365,11,2021-11-20,SON,linear_boundary,3.875957706415152
foen_aare_aaregebiet,2457,365,11,2021-11-20,SON,pchip_record,3.87326385781296
foen_aare_aaregebiet,2457,365,12,2022-02-24,DJF,linear_boundary,5.725938019312823
